Date,NO2_mean,NO2_max,NO2_min
2021-07-11,10.598461538461539,13.96,7.39
2021-07-12,29.200833333333335,40.72,12.67
2021-07-13,14.837916666666667,35.59,9.6
2021-07-14,13.47125,15.62,11.02
2021-07-15,14.53125,18.55,9.56
2021-07-16,17.933333333333334,32.08,9.45
2021-07-17,16.669166666666666,31.08,8.54
2021-07-18,16.767916666666668,36.65,8.02
2021-07-19,48.60375,72.45,18.9
2021-07-20,55.02791666666667,71.88,24.0
2021-07-21,32.21333333333333,80.81,21.31
2021-07-22,26.36,35.76,14.6
2021-07-23,16.654166666666665,34.24,8.97
2021-07-24,49.43958333333333,78.63,13.17
2021-07-25,21.609583333333333,37.15,9.9
2021-07-26,20.604166666666668,28.61,9.04
2021-07-27,18.300833333333333,27.96,7.71
2021-07-28,17.4225,26.91,8.73
2021-07-29,13.688749999999999,22.51,5.29
2021-07-30,36.62,60.12,20.44
2021-07-31,18.61916666666667,40.84,11.46
2021-08-01,17.17833333333333,24.65,10.5
2021-08-02,24.032083333333333,36.3,15.2
2021-08-03,27.226249999999997,36.76,16.81
2021-08-04,31.88083333333333,56.2,16.26
2021-08-05,21.287499999999998,47.14,8.9
2021-08-06,14.887500000000001,28.8,4.69
2021-08-07,17.252083333333335,31.1,6.7
2021-08-08,11.355416666666665,15.56,5.46
2021-08-09,19.240416666666665,36.48,8.74
2021-08-10,18.095833333333335,28.2,9.61
2021-08-11,20.625416666666666,36.18,8.72
2021-08-12,16.304166666666667,27.02,7.54
2021-08-13,16.76125,24.97,9.19
2021-08-14,12.074166666666668,20.18,8.07
2021-08-15,10.264166666666666,20.31,5.09
2021-08-16,18.110416666666666,31.0,5.54
2021-08-17,24.364583333333332,36.07,18.75
2021-08-18,21.903750000000002,36.07,12.18
2021-08-19,19.970000000000002,26.68,9.1
2021-08-20,17.725833333333334,25.45,8.68
2021-08-21,30.887083333333333,56.99,18.34
2021-08-22,20.470833333333335,34.67,9.15
2021-08-23,17.91375,27.92,4.33
2021-08-24,15.85375,22.64,6.9
2021-08-25,12.533333333333333,22.53,7.36
2021-08-26,14.325000000000001,21.32,5.76
2021-08-27,17.50875,23.24,5.73
2021-08-28,16.790833333333335,32.36,9.97
2021-08-29,18.709166666666665,31.05,7.97
2021-08-30,19.039166666666667,30.38,5.53
2021-08-31,22.8325,37.24,7.63
2021-09-01,16.125833333333333,23.91,6.64
2021-09-02,13.893749999999999,22.82,6.43
2021-09-03,23.24625,36.39,11.12
2021-09-04,18.950416666666666,25.91,15.64
2021-09-05,21.617499999999996,37.81,13.27
2021-09-06,43.98374999999999,70.27,21.96
2021-09-07,52.31458333333333,71.57,20.18
2021-09-08,44.63666666666666,59.26,28.15
2021-09-09,23.549583333333334,40.2,13.55
2021-09-10,24.667083333333334,35.25,15.63
2021-09-11,16.84,28.18,7.91
2021-09-12,25.499583333333334,34.87,16.09
2021-09-13,19.4225,39.2,9.07
2021-09-14,36.062916666666666,52.06,14.21
2021-09-15,29.42625,53.19,9.45
2021-09-16,30.512083333333333,46.49,17.04
2021-09-17,26.373333333333335,42.83,11.42
2021-09-18,43.44083333333333,62.59,14.11
2021-09-19,30.045833333333334,56.66,16.61
2021-09-20,26.932916666666667,39.37,12.09
2021-09-21,40.005,62.96,23.6
2021-09-22,35.21625,45.27,16.46
2021-09-23,23.879583333333333,35.33,12.16
2021-09-24,20.2425,29.56,12.51
2021-09-25,24.09583333333333,36.94,13.4
2021-09-26,21.88,39.2,10.65
2021-09-27,16.345000000000002,29.09,4.46
2021-09-28,23.61375,48.85,9.73
2021-09-29,22.1575,40.22,9.22
2021-09-30,24.09583333333333,42.94,6.51
2021-10-01,21.558333333333334,44.4,6.17
2021-10-02,19.718333333333334,29.44,7.57
2021-10-03,18.809583333333332,29.32,8.89
2021-10-04,20.08125,38.82,8.66
2021-10-05,22.959166666666665,41.42,9.71
2021-10-06,22.636666666666667,50.41,7.02
2021-10-07,34.82958333333333,52.23,23.78
2021-10-08,27.64333333333333,48.33,11.02
2021-10-09,39.16625,55.24,24.54
2021-10-10,27.657916666666665,48.58,13.67
2021-10-11,33.689166666666665,55.35,16.14
2021-10-12,38.24,48.68,18.24
2021-10-13,43.807500000000005,59.9,16.36
2021-10-14,32.65541666666667,47.01,18.2
2021-10-15,30.52,56.24,9.66
2021-10-16,46.6675,64.0,29.84
2021-10-17,30.787499999999998,48.76,14.33
2021-10-18,29.24791666666667,45.99,12.78
2021-10-19,14.975,19.89,8.75
2021-10-20,18.1025,34.09,4.97
2021-10-21,31.758333333333336,63.81,7.88
2021-10-22,32.83625,46.73,17.42
2021-10-23,28.647499999999997,40.36,20.08
2021-10-24,17.71291666666667,28.25,9.13
2021-10-25,26.162499999999998,52.74,10.19
2021-10-26,26.671666666666667,38.65,11.02
2021-10-27,15.524166666666666,25.29,5.48
2021-10-28,21.5125,37.12,6.68
2021-10-29,20.992916666666666,38.94,7.57
2021-10-30,23.3925,35.26,14.78
2021-10-31,16.734,29.36,7.0
2021-11-01,29.85166666666667,53.98,4.07
2021-11-02,44.00625,66.19,29.02
2021-11-03,40.07333333333333,54.89,15.0
2021-11-04,30.015833333333333,48.33,11.22
2021-11-05,46.72416666666667,58.14,31.04
2021-11-06,19.605833333333333,36.07,12.05
2021-11-07,30.06625,54.12,8.84
2021-11-08,37.91833333333333,52.32,25.45
2021-11-09,28.645,46.86,14.15
2021-11-10,33.32125,47.04,15.05
2021-11-11,34.43083333333333,48.63,13.79
2021-11-12,21.176666666666666,34.09,11.72
2021-11-13,26.125833333333333,45.25,9.3
2021-11-14,21.399583333333336,32.81,10.35
2021-11-15,41.827083333333334,57.32,18.01
2021-11-16,45.76708333333334,60.76,32.32
2021-11-17,43.393750000000004,66.36,18.74
2021-11-18,38.479166666666664,52.59,24.02
2021-11-19,42.26166666666666,61.18,20.26
2021-11-20,34.52875,49.54,11.85
2021-11-21,19.033333333333335,27.19,9.34
2021-11-22,27.457083333333333,42.11,9.02
2021-11-23,47.43416666666667,67.93,29.69
2021-11-24,57.20416666666667,75.49,33.83
2021-11-25,44.28916666666667,65.25,16.98
2021-11-26,26.36375,43.53,10.73
2021-11-27,20.034583333333334,34.31,7.84
2021-11-28,24.410416666666666,50.91,6.72
2021-11-29,45.142500000000005,70.8,23.21
2021-11-30,29.385,54.33,9.27
2021-12-01,28.971666666666668,62.61,8.42
2021-12-02,37.33375,63.99,13.85
2021-12-03,49.24,72.32,9.92
2021-12-04,25.742083333333337,38.74,15.38
2021-12-05,17.96375,35.55,4.0
2021-12-06,35.586666666666666,65.0,23.26
2021-12-07,27.57625,59.17,12.54
2021-12-08,20.486250000000002,40.09,6.43
2021-12-09,32.444583333333334,58.89,7.01
2021-12-10,25.665833333333335,46.92,5.2
2021-12-11,37.10458333333333,54.75,16.0
2021-12-12,17.818749999999998,28.26,6.64
2021-12-13,20.611250000000002,33.92,5.75
2021-12-14,31.745833333333334,50.27,10.89
2021-12-15,36.81375,58.35,8.65
2021-12-16,43.2575,67.92,24.42
2021-12-17,42.02458333333333,60.53,20.52
2021-12-18,30.5425,48.6,14.27
2021-12-19,21.63157894736842,34.42,11.79
2021-12-20,31.436666666666667,56.7,7.66
2021-12-21,36.355555555555554,65.57,12.85
2021-12-22,36.248823529411766,47.97,30.87
2021-12-23,29.181666666666665,40.56,18.04
2021-12-24,33.71222222222222,60.5,9.4
2021-12-25,17.925882352941176,27.48,8.82
2021-12-26,26.82888888888889,41.93,19.4
2021-12-27,24.006666666666668,32.25,12.33
2021-12-28,12.947777777777778,22.78,4.77
2021-12-29,13.501176470588236,24.76,6.81
2021-12-30,10.431111111111111,29.2,3.15
