Date,NO2_mean,NO2_max,NO2_min
2023-06-04,21.535294117647055,36.15,6.61
2023-06-05,15.834583333333333,29.68,4.74
2023-06-06,13.896666666666667,21.88,3.06
2023-06-07,29.65125,43.78,6.0
2023-06-08,36.7875,50.54,10.13
2023-06-09,44.83416666666667,63.29,12.61
2023-06-10,47.61083333333334,67.35,13.69
2023-06-11,21.160416666666666,68.96,10.6
2023-06-12,38.736666666666665,56.25,18.54
2023-06-13,26.04625,37.04,10.99
2023-06-14,25.625833333333333,39.07,8.67
2023-06-15,31.270416666666666,46.82,11.98
2023-06-16,28.36791666666667,46.47,8.13
2023-06-17,50.16291666666667,76.54,20.89
2023-06-18,33.82333333333333,66.36,9.46
2023-06-19,16.476666666666667,31.77,7.89
2023-06-20,27.36125,58.74,9.75
2023-06-21,14.53625,28.89,6.89
2023-06-22,25.4075,41.39,8.43
2023-06-23,26.487083333333334,53.17,6.46
2023-06-24,18.245416666666667,27.65,7.46
2023-06-25,9.231666666666667,21.67,4.77
2023-06-26,13.680416666666666,23.59,6.33
2023-06-27,9.223333333333333,24.89,5.31
2023-06-28,14.836666666666666,19.92,7.5
2023-06-29,24.880416666666665,38.47,12.1
2023-06-30,16.556250000000002,27.59,6.47
2023-07-01,4.642916666666666,18.72,3.04
2023-07-02,8.540833333333333,15.3,3.55
2023-07-03,11.44,18.78,4.1
2023-07-04,12.585416666666667,31.35,3.25
2023-07-05,11.209583333333335,16.94,6.31
2023-07-06,20.2425,32.04,6.38
2023-07-07,42.70041666666666,67.17,10.21
2023-07-08,30.92375,60.7,13.31
2023-07-09,13.777083333333332,37.74,6.02
2023-07-10,9.172500000000001,18.6,5.42
2023-07-11,24.76375,48.17,4.09
2023-07-12,16.71708333333333,40.72,3.67
2023-07-13,11.307083333333333,21.33,5.4
2023-07-14,30.380416666666665,45.54,9.25
2023-07-15,34.61,55.63,4.99
2023-07-16,4.17375,30.38,2.25
2023-07-17,11.293750000000001,16.69,3.39
2023-07-18,26.08875,46.78,8.02
2023-07-19,22.827916666666667,37.42,8.19
2023-07-20,26.81458333333333,42.19,8.45
2023-07-21,21.761666666666667,31.19,10.58
2023-07-22,11.845,32.39,6.19
2023-07-23,8.0175,12.48,3.28
2023-07-24,14.347499999999998,17.99,7.3
2023-07-25,22.67625,34.76,10.67
2023-07-26,22.375,38.05,5.09
2023-07-27,8.679583333333333,20.43,4.08
2023-07-28,11.893749999999999,13.61,7.57
2023-07-29,10.892083333333334,15.68,6.1
2023-07-30,8.06625,14.82,2.58
2023-07-31,12.887500000000001,18.84,6.36
2023-08-01,9.976086956521739,16.19,3.03
2023-08-02,29.282916666666665,48.78,7.27
2023-08-03,12.809583333333334,22.89,6.04
2023-08-04,19.7075,47.12,7.9
2023-08-05,14.059583333333334,42.94,5.4
2023-08-06,15.38875,26.64,6.29
2023-08-07,19.90375,33.71,7.43
2023-08-08,16.48,23.18,10.2
2023-08-09,23.349999999999998,35.39,8.67
2023-08-10,18.846666666666668,30.34,7.61
2023-08-11,14.853333333333333,20.76,8.06
2023-08-12,7.88375,16.69,4.28
2023-08-13,6.269166666666667,9.45,3.61
2023-08-14,12.491666666666667,22.8,6.3
2023-08-15,14.375416666666666,21.06,7.11
2023-08-16,18.49125,24.19,9.75
2023-08-17,25.327916666666667,37.87,10.01
2023-08-18,34.795833333333334,61.52,10.0
2023-08-19,12.930416666666666,54.4,4.04
2023-08-20,11.542916666666665,21.97,3.69
2023-08-21,16.519583333333333,23.88,6.19
2023-08-22,26.585416666666664,40.93,7.49
2023-08-23,31.084999999999997,47.44,7.32
2023-08-24,48.322916666666664,71.09,18.08
2023-08-25,20.615,48.46,7.85
2023-08-26,30.717916666666667,45.61,8.75
2023-08-27,17.427083333333332,44.66,5.65
2023-08-28,23.076666666666668,39.73,6.35
2023-08-29,20.07875,38.3,6.38
2023-08-30,19.1475,33.33,5.89
2023-08-31,22.90041666666667,35.08,10.96
2023-09-01,31.27541666666667,47.01,14.16
2023-09-02,32.71375,43.54,11.23
2023-09-03,35.35041666666667,48.37,11.53
2023-09-04,36.280833333333334,49.62,17.03
2023-09-05,49.61416666666667,78.14,17.21
2023-09-06,77.61458333333333,109.57,26.51
2023-09-07,63.25208333333333,98.33,16.28
2023-09-08,60.57333333333333,105.26,15.8
2023-09-09,52.9475,81.59,13.58
2023-09-10,33.16375,83.54,9.72
2023-09-11,11.811250000000001,35.95,5.07
2023-09-12,17.024166666666666,28.55,6.59
2023-09-13,11.787916666666666,26.37,4.55
2023-09-14,29.337083333333336,54.38,9.22
2023-09-15,53.01125,78.41,17.91
2023-09-16,34.59041666666666,74.99,11.39
2023-09-17,25.61375,38.36,11.42
2023-09-18,16.35291666666667,32.36,5.69
2023-09-19,7.7525,19.49,3.35
2023-09-20,12.039166666666667,31.31,3.13
2023-09-21,20.172083333333333,42.87,6.38
2023-09-22,21.421666666666667,35.59,7.86
2023-09-23,26.11583333333333,39.51,8.51
2023-09-24,9.717916666666666,39.32,4.46
2023-09-25,12.573749999999999,33.92,4.11
2023-09-26,14.472499999999998,24.87,6.37
2023-09-27,21.075,43.76,9.88
2023-09-28,11.654583333333333,24.81,2.8
2023-09-29,17.50875,35.75,5.23
2023-09-30,12.83625,35.73,6.15
2023-10-01,12.569166666666668,16.92,7.28
2023-10-02,45.72125,68.74,14.44
2023-10-03,32.71666666666667,53.3,7.85
2023-10-04,23.985833333333332,44.95,7.88
2023-10-05,20.156666666666666,35.44,7.26
2023-10-06,14.902083333333332,23.34,7.04
2023-10-07,15.77625,28.14,6.64
2023-10-08,30.828333333333333,45.62,11.21
2023-10-09,39.86708333333333,72.04,20.75
2023-10-10,28.712500000000002,51.36,8.76
2023-10-11,11.656666666666666,19.87,5.08
2023-10-12,31.110416666666666,45.67,15.48
2023-10-13,9.4625,23.04,3.98
2023-10-14,22.392083333333332,42.15,8.47
2023-10-15,31.1075,65.6,6.76
2023-10-16,47.25333333333333,66.52,25.96
2023-10-17,28.860416666666666,42.59,18.77
2023-10-18,38.2875,51.31,20.57
2023-10-19,15.892916666666666,33.33,3.16
2023-10-20,25.37875,32.36,10.11
2023-10-21,16.28,25.83,9.71
2023-10-22,29.393333333333334,50.26,6.97
2023-10-23,47.62875,65.84,27.08
2023-10-24,47.89541666666667,69.48,15.15
2023-10-25,44.884166666666665,62.7,21.38
2023-10-26,48.4975,66.27,16.78
2023-10-27,46.33166666666667,61.64,15.18
2023-10-28,25.435,38.55,11.87
2023-10-29,15.374,25.48,5.13
2023-10-30,29.18166666666667,50.58,8.46
2023-10-31,41.927083333333336,60.8,13.62
2023-11-01,18.937083333333334,28.86,7.72
2023-11-02,33.464166666666664,56.27,19.43
2023-11-03,17.855,43.46,4.17
2023-11-04,25.9275,39.59,14.17
2023-11-05,19.095000000000002,43.85,6.69
2023-11-06,18.671666666666667,35.95,5.43
2023-11-07,21.89125,35.89,9.75
2023-11-08,24.73708333333333,43.65,16.15
2023-11-09,36.815000000000005,55.61,11.93
2023-11-10,29.087500000000002,48.75,12.46
2023-11-11,43.234166666666674,64.95,13.94
2023-11-12,42.992105263157896,52.74,13.78
2023-11-13,9.798823529411765,15.32,4.35
2023-11-14,22.531111111111112,49.51,3.07
2023-11-15,25.024444444444445,43.47,5.84
2023-11-16,38.44833333333334,50.37,27.24
2023-11-17,38.36705882352941,65.69,12.64
2023-11-18,18.59722222222222,26.02,6.09
2023-11-19,6.410555555555556,12.33,2.57
2023-11-20,25.190555555555555,52.63,4.18
2023-11-21,15.677777777777777,25.04,5.98
2023-11-22,30.329411764705885,46.04,16.11
2023-11-23,19.866666666666667,31.57,7.67
2023-11-24,14.984444444444446,31.08,5.18
2023-11-25,38.81333333333333,61.87,12.03
2023-11-26,30.388333333333335,42.11,21.02
2023-11-27,15.70705882352941,26.05,3.89
2023-11-28,26.92111111111111,46.6,8.05
2023-11-29,46.464444444444446,72.75,21.6
2023-11-30,37.093333333333334,51.93,22.9
2023-12-01,26.998333333333335,35.71,17.48
2023-12-02,29.54470588235294,55.97,12.73
2023-12-03,37.385555555555555,62.03,9.64
2023-12-04,22.212222222222223,65.11,4.74
2023-12-05,21.72888888888889,31.66,11.02
2023-12-06,31.07058823529412,49.57,12.88
2023-12-07,20.37222222222222,39.7,9.35
2023-12-08,23.180555555555557,44.31,10.47
2023-12-09,10.274444444444445,20.21,5.54
2023-12-10,9.832777777777778,20.38,3.5
2023-12-11,30.958235294117646,71.02,1.55
2023-12-12,55.58166666666667,216.34,12.42
2023-12-13,29.266470588235293,44.85,11.19
2023-12-14,29.608,51.34,11.0
2023-12-26,23.784444444444446,42.94,2.7
2023-12-27,13.230555555555556,29.32,3.47
2023-12-28,7.807222222222222,13.78,2.06
2023-12-29,10.155294117647058,19.06,2.99
2023-12-30,13.397777777777778,39.68,3.79
2023-12-31,7.946666666666666,11.87,2.71
2024-01-01,14.811111111111112,37.89,3.68
2024-01-02,12.555,32.58,2.67
2024-01-03,16.405882352941177,29.89,3.79
2024-01-04,20.360555555555557,64.41,4.35
2024-01-05,20.057222222222222,31.41,3.34
2024-01-06,24.612777777777776,36.49,9.83
2024-01-07,11.737647058823528,20.73,5.05
2024-01-08,18.936111111111114,29.4,5.3
2024-01-09,21.724444444444444,47.01,7.75
2024-01-10,19.509444444444444,31.65,10.4
2024-01-11,22.163888888888888,45.19,10.66
2024-01-12,15.311764705882354,24.68,4.12
2024-01-13,19.48,32.31,7.34
2024-01-15,45.056666666666665,69.88,12.24
2024-01-16,48.23777777777778,68.65,20.42
2024-01-17,46.05111111111111,74.43,22.43
2024-01-18,47.93294117647059,68.77,18.99
2024-01-19,54.708888888888886,72.9,20.34
2024-01-20,20.827222222222222,36.53,8.38
2024-01-21,9.228333333333333,17.97,2.75
2024-01-22,8.007777777777779,14.67,1.76
2024-01-23,16.85882352941176,48.23,2.61
2024-01-24,16.052222222222223,39.52,0.62
2024-01-25,23.00277777777778,55.35,5.6
2024-01-26,21.707222222222224,51.8,2.48
2024-01-27,39.805,62.8,12.72
2024-01-28,33.487647058823526,44.77,15.74
2024-01-29,32.096111111111114,59.74,11.16
2024-01-30,19.028888888888886,37.2,3.13
2024-01-31,20.50722222222222,33.6,5.08
2024-02-01,33.392,60.53,4.9
2024-02-02,13.831666666666665,20.86,7.44
2024-02-03,11.602083333333333,17.38,4.73
2024-02-04,5.745,7.87,3.53
2024-02-05,9.907083333333334,13.98,2.41
2024-02-06,9.994583333333333,15.56,5.23
2024-02-07,19.841052631578947,46.69,7.9
2024-02-08,30.319444444444443,71.88,7.84
2024-02-09,16.163529411764703,35.93,5.63
2024-02-10,24.935,47.33,5.6
2024-02-11,34.126666666666665,45.66,12.2
2024-02-12,27.2945,40.98,8.95
2024-02-13,23.50125,44.03,8.32
2024-02-14,14.688749999999999,25.18,4.97
2024-02-15,21.44458333333333,43.38,8.15
2024-02-16,29.57166666666667,41.98,13.18
2024-02-17,18.632083333333334,30.56,8.07
2024-02-18,22.09583333333333,41.42,6.17
2024-02-19,34.545,51.98,7.76
2024-02-20,32.302083333333336,47.55,12.13
2024-02-21,15.847083333333332,28.67,4.35
2024-02-22,33.995,66.96,11.99
2024-02-23,22.871666666666666,51.21,7.08
2024-02-24,38.17125,75.43,12.9
2024-02-25,34.19291666666667,57.64,11.44
2024-02-26,16.39708333333333,26.8,5.77
2024-02-27,27.136666666666667,57.01,13.92
2024-02-28,29.663750000000004,58.04,10.75
2024-02-29,27.917083333333334,44.21,10.61
2024-03-01,24.787499999999998,41.83,10.39
2024-03-02,24.705,42.54,10.98
2024-03-03,47.56458333333333,82.59,13.96
2024-03-04,26.34375,50.76,8.27
2024-03-05,29.080833333333334,53.74,6.29
2024-03-06,54.907916666666665,79.66,29.05
2024-03-07,29.581666666666667,49.24,17.51
2024-03-08,32.619166666666665,44.43,14.39
2024-03-09,38.42541666666667,70.05,18.92
2024-03-10,26.132499999999997,48.66,11.94
2024-03-11,19.644166666666667,31.82,10.39
2024-03-12,24.94541666666667,47.93,10.55
2024-03-13,12.319583333333334,22.73,4.95
2024-03-14,20.682916666666667,32.73,7.01
2024-03-15,11.4475,20.55,5.2
2024-03-16,29.69125,45.16,13.01
2024-03-17,25.661666666666665,33.36,11.97
2024-03-18,16.118750000000002,26.01,6.62
2024-03-19,15.571666666666667,27.48,6.7
2024-03-20,30.2325,52.41,7.4
2024-03-21,32.778749999999995,53.11,12.82
2024-03-22,23.3425,39.47,12.06
2024-03-23,11.147083333333333,17.88,5.18
2024-03-24,19.441666666666666,68.66,4.61
2024-03-25,24.2,35.47,11.91
2024-03-26,43.2275,60.72,9.24
2024-03-27,15.9475,33.48,7.28
2024-03-28,19.174166666666668,33.89,5.12
2024-03-29,10.912916666666668,25.8,4.36
2024-03-30,33.82,56.56,7.71
2024-03-31,24.405652173913044,42.13,11.35
2024-04-01,13.167083333333332,28.57,4.86
2024-04-02,15.085833333333333,28.48,5.87
