Date,NO2_mean,NO2_max,NO2_min
2024-06-23,12.728571428571428,17.12,6.29
2024-06-24,19.977083333333333,29.9,9.11
2024-06-25,21.821250000000003,29.85,13.44
2024-06-26,23.08125,39.77,11.01
2024-06-27,21.2775,37.82,6.01
2024-06-28,11.049583333333333,27.8,3.48
2024-06-29,22.384583333333335,43.28,8.57
2024-06-30,17.3225,36.85,6.93
2024-07-01,17.674166666666668,24.49,6.08
2024-07-02,18.12333333333333,35.74,6.12
2024-07-03,15.889166666666668,31.78,7.47
2024-07-04,7.672499999999999,12.9,4.58
2024-07-05,11.811250000000001,20.8,3.99
2024-07-06,17.419999999999998,24.57,10.0
2024-07-07,10.155833333333334,23.6,5.62
2024-07-08,17.090416666666666,26.4,9.52
2024-07-09,26.120416666666667,33.53,14.79
2024-07-10,16.624166666666667,29.41,5.4
2024-07-11,14.290416666666667,25.48,7.73
2024-07-12,15.683333333333332,22.74,3.54
2024-07-13,18.35291666666667,29.74,6.65
2024-07-14,16.169999999999998,30.2,8.71
2024-07-15,22.061666666666667,33.24,9.58
2024-07-16,13.503333333333332,27.66,4.21
2024-07-17,19.095000000000002,29.76,9.21
2024-07-18,29.99,43.21,9.81
2024-07-19,26.332916666666666,50.11,8.78
2024-07-20,14.033333333333333,38.46,7.43
2024-07-21,12.192083333333334,17.92,6.05
2024-07-22,13.889166666666668,21.78,6.59
2024-07-23,21.924166666666665,37.4,6.58
2024-07-24,20.702916666666667,38.06,9.7
2024-07-25,11.634705882352941,27.08,6.9
