Date,PM2.5_mean,PM2.5_max,PM2.5_min
2024-06-23,6.027142857142857,7.1,5.56
2024-06-24,4.742083333333333,7.17,3.87
2024-06-25,8.17,9.78,4.14
2024-06-26,11.168750000000001,12.94,9.7
2024-06-27,9.045,14.2,5.81
2024-06-28,8.727500000000001,9.81,6.04
2024-06-29,6.339583333333334,10.36,5.42
2024-06-30,3.893333333333333,6.61,3.13
2024-07-01,5.3220833333333335,7.15,3.65
2024-07-02,6.7683333333333335,10.03,4.53
2024-07-03,5.4675,9.24,4.69
2024-07-04,4.55,6.17,4.1
2024-07-05,3.9608333333333334,6.47,2.1
2024-07-06,3.4120833333333334,8.39,1.96
2024-07-07,6.0754166666666665,7.81,3.22
2024-07-08,3.9029166666666666,6.41,3.16
2024-07-09,4.5825000000000005,9.72,2.75
2024-07-10,2.6941666666666664,3.55,2.22
2024-07-11,3.8091666666666666,4.82,2.91
2024-07-12,5.202083333333333,6.76,3.8
2024-07-13,4.435,6.26,2.4
2024-07-14,5.3812500000000005,7.46,4.51
2024-07-15,6.620416666666666,9.21,5.27
2024-07-16,6.3254166666666665,7.81,5.03
2024-07-17,6.699166666666667,8.62,5.42
2024-07-18,5.4725,8.53,3.55
2024-07-19,10.040000000000001,16.17,4.71
2024-07-20,3.8325,11.53,1.73
2024-07-21,3.030416666666667,4.78,2.34
2024-07-22,5.66125,7.36,2.71
2024-07-23,5.0754166666666665,8.69,3.47
2024-07-24,5.499583333333334,8.01,3.55
2024-07-25,4.431666666666667,6.19,3.28
