Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-06-11,4.3938461538461535,4.92,3.91
2021-06-12,8.087083333333334,11.26,4.68
2021-06-13,10.37125,17.7,5.17
2021-06-14,8.431666666666667,10.92,6.19
2021-06-15,8.261249999999999,11.53,5.76
2021-06-16,9.851666666666667,15.18,7.12
2021-06-17,12.378750000000002,21.14,6.67
2021-06-18,2.5595833333333333,7.34,0.0
2021-06-19,4.476666666666667,12.23,0.0
2021-06-20,7.65125,10.96,4.5
2021-06-21,6.4679166666666665,8.87,4.45
2021-06-22,6.388333333333333,10.57,4.35
2021-06-23,7.905833333333334,13.27,4.35
2021-06-24,11.191666666666668,19.87,4.06
2021-06-25,4.878333333333333,12.27,3.34
2021-06-26,7.759166666666666,13.39,3.66
2021-06-27,16.203333333333333,27.65,3.29
2021-06-28,8.036666666666667,15.22,0.79
2021-06-29,9.86,17.13,6.62
2021-06-30,6.194166666666667,11.84,2.86
2021-07-01,25.917916666666667,32.47,10.28
2021-07-02,14.806666666666667,27.59,7.17
2021-07-03,7.047083333333333,14.11,2.77
2021-07-04,3.5933333333333333,5.98,1.67
2021-07-05,4.928333333333334,7.84,2.5
2021-07-06,4.82125,10.48,1.6
2021-07-07,6.632083333333333,10.94,3.83
2021-07-08,6.795416666666667,12.63,3.97
2021-07-09,7.8975,11.02,3.89
2021-07-10,4.67,9.62,2.96
2021-07-11,5.916666666666667,10.18,2.94
2021-07-12,5.505,8.09,3.32
2021-07-13,9.83125,19.03,3.84
2021-07-14,6.47125,8.46,4.65
2021-07-15,5.8875,7.66,4.91
2021-07-16,7.328333333333333,12.08,4.11
2021-07-17,5.352916666666666,8.6,3.75
2021-07-18,8.079583333333334,9.72,6.66
2021-07-19,10.8175,15.47,7.83
2021-07-20,11.77875,15.61,9.27
2021-07-21,17.925,26.38,10.85
2021-07-22,19.408333333333335,37.44,7.52
2021-07-23,8.991249999999999,12.21,6.58
2021-07-24,15.921666666666667,24.84,4.44
2021-07-25,14.425833333333332,26.47,4.02
2021-07-26,13.405000000000001,17.94,8.65
2021-07-27,6.079583333333333,10.7,3.18
2021-07-28,4.828333333333333,9.86,2.77
2021-07-29,5.340416666666667,9.4,2.8
2021-07-30,5.05875,8.97,3.25
2021-07-31,3.5908333333333338,6.93,2.06
2021-08-01,4.4225,7.03,2.12
2021-08-02,4.564583333333333,6.03,3.6
2021-08-03,6.582083333333333,10.77,4.11
2021-08-04,7.644583333333333,12.68,4.9
2021-08-05,5.307916666666666,8.3,2.29
2021-08-06,4.671666666666667,6.85,3.29
2021-08-07,3.6266666666666665,6.54,2.56
2021-08-08,6.1812499999999995,9.39,3.6
2021-08-09,4.624583333333333,7.57,2.83
2021-08-10,6.047916666666667,8.02,3.94
2021-08-11,4.774166666666667,7.68,2.24
2021-08-12,5.319999999999999,8.17,2.33
2021-08-13,8.100833333333334,12.96,4.54
2021-08-14,8.569166666666666,13.01,5.84
2021-08-15,5.622083333333333,9.34,3.52
2021-08-16,10.217083333333333,18.68,3.09
2021-08-17,4.2525,8.04,2.46
2021-08-18,3.925416666666667,4.87,2.98
2021-08-19,5.075,8.87,2.53
2021-08-20,3.7741666666666664,6.53,2.48
2021-08-21,5.848333333333334,8.69,2.89
2021-08-22,5.159166666666667,8.49,1.57
2021-08-23,5.1575,9.83,3.66
2021-08-24,4.8879166666666665,6.76,3.81
2021-08-25,3.049583333333333,5.01,2.17
2021-08-26,5.574166666666667,8.47,4.59
2021-08-27,6.674166666666667,11.48,4.69
2021-08-28,6.736249999999999,9.36,4.73
2021-08-29,5.587083333333333,7.73,3.81
2021-08-30,4.582083333333333,6.87,2.74
2021-08-31,5.19125,5.83,3.8
2021-09-01,7.8999999999999995,14.49,4.66
2021-09-02,9.38625,14.08,6.63
2021-09-03,14.38375,19.6,8.01
2021-09-04,14.842916666666667,20.81,7.72
2021-09-05,18.84875,28.48,9.04
2021-09-06,21.9175,28.75,9.44
2021-09-07,23.820833333333336,38.51,8.48
2021-09-08,29.08666666666667,42.8,12.98
2021-09-09,9.387500000000001,28.62,2.04
2021-09-10,4.89625,9.17,2.73
2021-09-11,5.980833333333333,8.14,4.36
2021-09-12,6.515416666666667,12.95,4.07
2021-09-13,4.648750000000001,6.17,3.7
2021-09-14,13.379583333333334,19.74,5.31
2021-09-15,10.789166666666667,17.42,5.76
2021-09-16,11.479583333333332,16.96,5.39
2021-09-17,7.548333333333333,13.52,3.15
2021-09-18,13.901666666666666,25.28,4.81
2021-09-19,21.78,39.34,1.98
2021-09-20,6.812916666666666,13.39,2.08
2021-09-21,10.278333333333334,15.21,5.22
