Date,NO2_mean,NO2_max,NO2_min
2024-07-06,10.464545454545455,14.93,6.19
2024-07-07,8.040416666666667,13.4,5.33
2024-07-08,13.895416666666668,20.37,9.4
2024-07-09,17.90791666666667,23.15,10.22
2024-07-10,6.650833333333334,15.59,3.26
2024-07-11,13.445833333333333,22.79,7.72
2024-07-12,8.656666666666666,13.97,2.98
2024-07-13,13.813749999999999,19.28,6.7
2024-07-14,14.157499999999999,20.6,7.01
2024-07-15,26.178749999999997,42.18,11.81
2024-07-16,10.555833333333334,16.54,4.0
2024-07-17,16.645833333333332,24.11,9.45
2024-07-18,24.42375,35.46,9.56
2024-07-19,29.464583333333334,63.24,8.47
2024-07-20,11.323333333333332,28.07,6.72
2024-07-21,8.763333333333334,12.59,4.83
2024-07-22,9.239583333333334,11.78,5.85
2024-07-23,13.500416666666666,24.28,6.73
2024-07-24,19.142083333333336,32.99,7.04
2024-07-25,9.296470588235294,12.76,6.2
