Date,NO2_mean,NO2_max,NO2_min
2023-03-05,23.469090909090905,31.33,16.75
2023-03-06,38.34875,55.48,21.68
2023-03-07,46.06708333333333,81.58,12.27
2023-03-08,38.81166666666667,56.57,29.78
2023-03-09,36.13708333333333,57.46,17.12
2023-03-10,30.34,60.92,13.92
2023-03-11,37.67333333333333,55.9,14.58
2023-03-12,17.895,40.79,8.32
2023-03-13,10.793333333333335,14.47,2.17
2023-03-14,17.075,28.87,5.55
2023-03-15,42.24041666666667,60.15,14.17
2023-03-16,22.892916666666665,40.46,8.23
2023-03-17,27.3925,42.9,11.63
2023-03-18,24.760833333333334,43.06,14.91
2023-03-19,21.719166666666666,43.94,10.84
2023-03-20,35.50625,48.74,12.55
2023-03-21,22.327916666666667,35.43,7.96
2023-03-22,17.620833333333334,30.78,3.86
2023-03-23,18.405833333333334,36.29,3.63
2023-03-24,18.672173913043476,29.82,7.8
2023-03-25,18.217916666666667,37.48,6.01
2023-03-26,21.69217391304348,35.8,9.89
2023-03-27,24.115,46.78,6.74
2023-03-28,23.399583333333336,36.0,10.99
2023-03-29,32.589166666666664,54.28,8.01
2023-03-30,18.257916666666667,26.43,5.83
2023-03-31,24.295833333333334,40.72,6.11
2023-04-01,22.0575,38.97,8.13
2023-04-02,11.825000000000001,21.67,4.17
2023-04-03,30.744583333333335,52.13,11.58
2023-04-04,39.93833333333333,58.92,23.22
2023-04-05,36.54125,61.52,19.85
2023-04-06,31.812916666666666,48.2,12.65
2023-04-07,17.517916666666668,38.25,8.14
2023-04-08,20.54125,34.01,8.95
2023-04-09,23.460434782608697,32.53,8.21
2023-04-10,39.065,59.2,12.21
2023-04-11,23.945416666666663,41.76,12.75
2023-04-12,20.174583333333334,39.99,5.04
2023-04-13,17.565833333333334,30.93,3.69
2023-04-14,27.185833333333335,40.89,10.98
2023-04-15,23.408749999999998,61.8,8.13
2023-04-16,49.75625,66.48,23.69
2023-04-17,25.599166666666665,49.76,13.39
2023-04-18,17.8875,26.73,8.34
2023-04-19,22.741304347826084,27.92,11.26
2023-04-20,20.287916666666668,30.46,8.4
2023-04-21,27.546666666666667,50.19,9.22
2023-04-22,38.47666666666667,70.3,18.08
2023-04-23,27.597916666666666,47.74,7.63
2023-04-24,18.037499999999998,26.97,10.82
2023-04-25,20.78391304347826,42.6,8.11
2023-04-26,20.82125,35.62,11.38
2023-04-27,24.55695652173913,40.36,12.41
2023-04-28,18.28304347826087,25.0,8.88
2023-04-29,32.80434782608695,51.39,18.91
2023-04-30,19.785,43.7,8.03
2023-05-01,19.562608695652173,28.43,9.66
2023-05-02,9.990869565217391,26.35,6.58
2023-05-03,16.01,29.25,10.07
2023-05-04,34.151666666666664,58.35,16.44
2023-05-05,24.136666666666667,41.1,5.06
2023-05-06,22.130416666666665,33.72,14.73
2023-05-07,13.118333333333334,33.38,5.39
2023-05-08,26.851250000000004,47.13,10.73
2023-05-09,25.764166666666668,48.77,13.03
2023-05-10,30.014166666666668,43.64,14.2
2023-05-11,25.349999999999998,37.74,11.19
2023-05-12,13.93,28.27,5.75
2023-05-13,10.71125,17.71,4.21
2023-05-14,15.702916666666667,28.33,5.98
2023-05-15,25.56,47.75,5.6
2023-05-16,18.35217391304348,55.92,8.31
2023-05-17,21.683043478260867,31.2,10.73
2023-05-18,20.077826086956524,35.23,11.57
2023-05-19,21.178260869565218,46.68,11.75
2023-05-20,17.648695652173913,25.81,7.41
2023-05-21,7.541304347826086,17.44,5.09
2023-05-22,14.555217391304348,25.61,4.5
2023-05-23,12.312608695652173,23.23,4.39
2023-05-24,17.446521739130436,29.68,7.88
2023-05-25,14.05782608695652,21.55,9.22
