Date,PM2.5_mean,PM2.5_max,PM2.5_min
2023-03-05,9.054545454545455,11.84,6.81
2023-03-06,7.737500000000001,12.88,2.77
2023-03-07,7.6883333333333335,14.08,2.32
2023-03-08,7.44,15.62,2.75
2023-03-09,7.989583333333333,10.68,5.13
2023-03-10,4.392083333333333,8.41,2.26
2023-03-11,7.601666666666667,15.55,5.05
2023-03-12,6.415416666666666,15.28,2.99
2023-03-13,9.424166666666666,20.0,0.0
2023-03-14,3.86125,6.97,2.34
2023-03-15,5.965833333333333,10.59,4.11
2023-03-16,5.797083333333333,9.98,3.94
2023-03-17,7.710416666666667,10.59,5.28
2023-03-18,6.721666666666667,9.26,5.25
2023-03-19,4.693333333333333,8.72,2.82
2023-03-20,7.41875,10.12,5.93
2023-03-21,5.4191666666666665,9.4,4.15
2023-03-22,7.890833333333333,13.9,3.08
2023-03-23,5.772083333333334,11.22,0.18
2023-03-24,6.344347826086956,8.74,3.09
2023-03-25,7.6312500000000005,15.43,4.69
2023-03-26,3.951304347826087,7.84,1.54
2023-03-27,5.515000000000001,9.07,2.65
2023-03-28,5.632083333333333,9.19,3.06
2023-03-29,6.784166666666667,11.84,5.16
2023-03-30,9.90625,17.86,2.94
2023-03-31,4.7995833333333335,11.54,2.72
2023-04-01,4.824583333333334,11.55,2.3
2023-04-02,4.485833333333333,11.19,0.0
2023-04-03,8.121666666666668,13.86,0.4
2023-04-04,10.227916666666667,14.35,7.05
2023-04-05,12.827083333333334,19.34,9.88
2023-04-06,6.454583333333333,17.18,4.83
2023-04-07,5.8325,9.91,4.91
2023-04-08,11.633333333333333,16.95,7.11
2023-04-09,14.248695652173911,22.24,6.72
2023-04-10,6.28375,10.71,4.34
2023-04-11,2.055,6.42,0.0
2023-04-12,4.8775,7.58,1.1
2023-04-13,5.697916666666667,19.99,1.14
2023-04-14,5.111666666666667,10.22,3.79
2023-04-15,7.90375,18.0,3.47
2023-04-16,8.06625,16.7,2.72
2023-04-17,12.880416666666667,19.82,3.44
2023-04-18,14.802916666666667,18.3,9.71
2023-04-19,13.245652173913042,19.09,7.15
2023-04-20,8.119583333333333,11.29,6.51
2023-04-21,11.4825,20.09,3.53
2023-04-22,19.675416666666667,31.15,6.97
2023-04-23,7.298749999999999,14.04,5.26
2023-04-24,9.447083333333333,15.83,6.66
2023-04-25,6.721739130434782,8.44,5.27
2023-04-26,9.082916666666668,14.06,6.9
2023-04-27,15.61608695652174,19.64,10.62
2023-04-28,6.534782608695653,13.59,3.14
2023-04-29,12.098695652173912,16.0,8.6
2023-04-30,15.323749999999999,21.67,9.31
2023-05-01,7.767391304347826,15.72,4.7
2023-05-02,5.782608695652174,7.48,4.74
2023-05-03,9.54391304347826,11.07,5.24
2023-05-04,13.829583333333334,19.22,5.65
2023-05-05,5.709166666666667,8.3,4.7
2023-05-06,7.389583333333333,10.46,5.35
2023-05-07,7.495833333333334,10.9,5.05
2023-05-08,6.895833333333333,10.01,4.91
2023-05-09,4.1258333333333335,8.22,2.7
2023-05-10,5.540833333333333,8.94,3.77
2023-05-11,6.665,14.7,2.62
2023-05-12,8.417916666666667,11.62,5.03
2023-05-13,10.02,14.62,7.44
2023-05-14,11.682916666666666,14.91,7.09
2023-05-15,4.543478260869565,8.2,3.29
2023-05-16,7.64695652173913,12.23,5.34
2023-05-17,9.395652173913044,13.91,5.14
2023-05-18,6.73391304347826,7.49,5.37
2023-05-19,10.31608695652174,18.14,6.71
2023-05-20,8.39,10.74,6.8
2023-05-21,7.520434782608696,9.36,6.66
2023-05-22,6.540434782608696,8.14,5.58
2023-05-23,5.68304347826087,8.49,4.77
2023-05-24,10.356521739130434,13.75,5.61
2023-05-25,8.757826086956522,12.03,7.7
2023-05-26,9.128571428571428,10.94,7.0
2023-05-27,8.268333333333333,10.88,7.0
2023-05-28,8.749583333333334,12.47,6.65
2023-05-29,4.6970833333333335,7.32,3.28
2023-05-30,5.3275,7.55,2.1
2023-05-31,4.817916666666666,7.77,1.31
2023-06-01,5.407916666666666,7.6,2.33
2023-06-02,5.5808333333333335,9.19,2.99
2023-06-03,8.684166666666666,12.96,5.69
2023-06-04,5.540416666666666,7.39,4.3
2023-06-05,5.13375,5.94,4.2
2023-06-06,6.0375000000000005,7.73,4.96
2023-06-07,7.332916666666667,9.38,4.96
2023-06-08,7.145833333333333,8.13,6.44
2023-06-09,9.508750000000001,13.74,5.91
2023-06-10,12.566250000000002,15.01,8.96
2023-06-11,15.366666666666667,21.39,9.02
2023-06-12,17.066666666666666,25.14,8.79
2023-06-13,11.378749999999998,14.15,8.53
2023-06-14,11.30375,16.22,5.6
2023-06-15,10.5,12.25,7.57
2023-06-16,8.404583333333333,14.62,6.94
2023-06-17,11.448333333333332,16.8,7.35
2023-06-18,13.435416666666667,16.48,9.63
2023-06-19,9.589166666666667,16.71,7.19
2023-06-20,8.338333333333333,13.87,6.08
2023-06-21,7.62375,8.97,6.7
2023-06-22,7.8325,11.21,6.32
2023-06-23,7.735833333333333,12.31,5.11
2023-06-24,7.4175,10.72,5.59
2023-06-25,6.789583333333333,10.88,1.85
2023-06-26,4.9816666666666665,7.28,3.12
2023-06-27,6.5825,9.69,4.43
2023-06-28,8.375416666666666,11.36,5.67
2023-06-29,5.537916666666667,9.09,3.88
2023-06-30,4.937083333333333,8.88,2.81
2023-07-01,4.489583333333333,12.28,1.72
2023-07-02,9.663333333333332,14.2,7.36
2023-07-03,4.815833333333333,7.71,2.26
2023-07-04,5.769166666666667,8.04,3.42
2023-07-05,4.796666666666667,8.93,2.48
2023-07-06,5.747916666666666,8.82,3.06
2023-07-07,5.363333333333333,8.79,3.11
2023-07-08,8.66,10.7,6.7
2023-07-09,5.1125,8.08,4.36
2023-07-10,4.81375,5.54,4.25
2023-07-11,5.389583333333333,10.85,0.0
2023-07-12,5.554583333333333,8.46,3.29
2023-07-13,6.251666666666666,12.04,0.0
2023-07-14,6.173749999999999,11.22,2.96
2023-07-15,6.189583333333334,10.47,3.58
2023-07-16,6.72625,9.09,4.88
2023-07-17,7.010416666666667,9.11,5.98
2023-07-18,3.6358333333333337,6.83,2.88
2023-07-19,4.778333333333333,8.34,2.44
2023-07-20,3.635,5.76,2.51
2023-07-21,6.342083333333334,10.43,3.99
2023-07-22,5.58625,8.16,4.03
2023-07-23,3.2758333333333334,5.73,0.0
2023-07-24,4.3775,6.69,2.19
2023-07-25,5.99125,8.44,4.24
2023-07-26,4.658333333333333,6.78,2.64
2023-07-27,3.6612500000000003,6.53,1.17
2023-07-28,2.895,7.71,1.45
2023-07-29,5.687916666666666,8.24,2.88
2023-07-30,4.622083333333333,7.32,2.92
2023-07-31,4.068333333333333,9.1,1.85
2023-08-01,6.73,8.06,5.3
2023-08-02,3.83375,12.3,0.59
2023-08-03,3.997083333333333,5.6,2.07
2023-08-04,5.57,8.84,3.13
2023-08-05,5.772083333333334,10.53,2.82
2023-08-06,4.25875,6.28,2.56
2023-08-07,4.429583333333333,6.17,3.59
2023-08-08,4.246666666666667,8.07,1.99
2023-08-09,6.569583333333333,7.62,2.84
2023-08-10,5.107916666666667,6.7,2.55
2023-08-11,5.387083333333333,6.9,3.11
2023-08-12,6.702500000000001,11.69,5.05
2023-08-13,4.7404166666666665,7.12,2.12
2023-08-14,4.0062500000000005,4.95,2.8
2023-08-15,7.21875,10.94,3.9
2023-08-16,3.0554166666666664,7.72,0.22
2023-08-17,6.427499999999999,9.88,4.65
2023-08-18,13.957916666666668,22.89,4.05
2023-08-19,4.089166666666666,22.8,1.97
2023-08-20,5.963333333333334,8.19,2.61
2023-08-21,4.62875,6.57,3.22
2023-08-22,4.89375,7.87,3.84
2023-08-23,6.1812499999999995,8.34,4.23
2023-08-24,8.77875,12.96,6.7
2023-08-25,6.05,7.98,4.69
2023-08-26,6.043333333333333,11.46,3.62
2023-08-27,3.889583333333333,6.12,2.42
2023-08-28,6.009583333333333,13.1,3.82
2023-08-29,3.9616666666666664,6.55,1.03
2023-08-30,4.102916666666666,7.5,2.36
2023-08-31,6.4375,8.88,4.65
2023-09-01,4.689583333333333,7.93,2.62
2023-09-02,9.645,13.0,6.28
2023-09-03,11.5075,14.91,7.53
2023-09-04,14.484166666666667,27.06,5.71
2023-09-05,14.949583333333335,20.64,9.2
2023-09-06,19.60125,35.24,14.34
2023-09-07,27.036666666666665,39.82,16.19
2023-09-08,16.2625,22.86,12.52
2023-09-09,17.934583333333332,20.97,15.73
2023-09-10,25.4325,53.71,10.04
2023-09-11,10.055833333333334,18.52,5.75
2023-09-12,3.2270833333333333,7.67,0.0
2023-09-13,4.9158333333333335,7.45,0.0
2023-09-14,6.3525,7.79,5.64
2023-09-15,9.4625,13.79,6.67
2023-09-16,11.40125,15.92,7.43
2023-09-17,12.15375,20.97,3.45
2023-09-18,5.048333333333333,14.16,2.81
2023-09-19,5.05,10.03,1.72
2023-09-20,6.5929166666666665,13.69,1.31
2023-09-21,7.424166666666667,9.86,1.8
2023-09-22,6.135000000000001,10.53,3.8
2023-09-23,7.2437499999999995,10.53,3.95
2023-09-24,7.819583333333333,8.97,7.4
2023-09-25,6.009166666666666,7.62,4.21
2023-09-26,8.63875,13.7,7.08
2023-09-27,9.548333333333334,11.58,7.42
2023-09-28,8.333333333333334,13.76,3.01
2023-09-29,7.825833333333333,11.02,5.4
2023-09-30,10.080833333333333,12.41,8.48
2023-10-01,8.883750000000001,12.67,6.88
2023-10-02,10.746666666666668,17.23,6.11
2023-10-03,6.493333333333333,9.33,5.28
2023-10-04,6.4504166666666665,8.99,4.81
2023-10-05,5.159583333333333,6.51,3.84
2023-10-06,6.167,11.87,1.86
2023-10-07,8.470833333333333,12.15,4.45
2023-10-08,11.14,13.59,9.85
2023-10-09,12.94375,16.57,9.42
2023-10-10,12.494166666666667,17.28,8.45
2023-10-11,5.501666666666666,14.76,0.0
2023-10-12,6.964166666666666,11.6,3.29
2023-10-13,6.5441666666666665,11.93,2.83
2023-10-14,6.4025,9.5,4.19
2023-10-15,5.164166666666667,9.41,3.74
2023-10-16,7.997916666666666,15.46,5.08
2023-10-17,4.515833333333333,8.97,3.51
2023-10-18,7.698333333333333,9.62,5.37
2023-10-19,7.59375,11.22,5.19
2023-10-20,4.364166666666667,11.52,1.93
2023-10-21,4.782916666666666,8.33,2.92
2023-10-22,5.564166666666666,7.08,4.34
2023-10-23,4.263333333333334,6.61,3.64
2023-10-24,6.158333333333334,8.99,4.12
2023-10-25,7.585416666666667,10.95,4.74
2023-10-26,6.486249999999999,11.08,4.87
2023-10-27,6.3183333333333325,7.43,5.35
2023-10-28,5.087916666666667,9.16,2.64
2023-10-29,7.0976,15.93,1.21
2023-10-30,5.694166666666667,7.79,4.54
2023-10-31,6.5025,7.74,5.35
2023-11-01,5.20375,8.1,2.44
2023-11-02,4.191666666666666,12.97,1.51
2023-11-03,5.951249999999999,15.02,4.11
2023-11-04,7.367083333333333,19.55,2.16
2023-11-05,9.542916666666667,17.38,4.47
2023-11-06,6.564583333333334,9.52,5.07
2023-11-07,5.530833333333334,8.79,3.74
2023-11-08,4.943333333333333,12.12,1.94
2023-11-09,5.050416666666667,8.79,3.38
2023-11-10,6.827083333333333,13.01,4.14
2023-11-11,9.925416666666665,23.87,4.09
2023-11-12,9.184166666666666,13.83,3.68
2023-11-13,6.517916666666667,11.89,3.32
2023-11-14,9.810416666666667,13.95,5.11
2023-11-15,6.641249999999999,11.56,4.6
2023-11-16,10.381666666666666,15.82,6.83
2023-11-17,9.729166666666666,13.98,6.79
2023-11-18,5.460416666666667,11.59,0.55
2023-11-19,7.9025,15.76,1.78
2023-11-20,7.537916666666667,9.75,6.7
2023-11-21,4.2612499999999995,6.29,3.52
2023-11-22,7.340416666666666,10.9,3.81
2023-11-23,4.113333333333333,6.29,2.77
2023-11-24,8.6375,18.22,1.62
2023-11-25,10.026666666666667,20.27,5.77
2023-11-26,12.462916666666667,18.41,4.58
2023-11-27,3.0104166666666665,6.17,1.06
2023-11-28,6.246956521739131,10.98,3.5
2023-11-29,10.29625,15.96,3.09
2023-11-30,10.424583333333333,15.07,6.26
2023-12-01,7.872,9.45,5.32
2024-01-28,14.548333333333334,17.96,11.12
2024-01-29,14.578333333333333,18.36,11.12
2024-01-30,5.077916666666667,9.8,3.18
2024-01-31,5.479583333333333,8.43,3.19
2024-02-01,7.583333333333333,12.24,5.03
2024-02-02,6.137083333333333,10.75,3.68
2024-02-03,6.50875,21.38,1.38
2024-02-04,5.919583333333333,15.23,1.1
2024-02-05,9.269583333333333,14.4,2.05
2024-02-06,10.093333333333334,14.54,6.56
2024-02-07,5.790909090909091,10.4,2.43
2024-02-08,5.646111111111111,9.09,3.62
2024-02-09,7.1499999999999995,9.49,5.23
2024-02-10,6.334444444444444,11.16,3.92
2024-02-11,7.4511111111111115,9.33,5.32
2024-02-12,5.503809523809524,7.48,4.28
2024-02-13,4.04375,9.89,0.0
2024-02-14,7.237500000000001,18.6,1.11
2024-02-15,6.28,9.01,3.54
2024-02-16,6.35625,10.52,4.31
2024-02-17,1.8208333333333335,4.63,0.0
2024-02-18,4.87125,10.79,1.18
2024-02-19,5.834583333333334,9.46,4.0
2024-02-20,7.208749999999999,10.61,4.41
2024-02-21,4.487727272727273,8.15,1.54
2024-02-22,6.375294117647059,27.38,1.29
2024-02-23,5.408571428571428,9.16,3.93
2024-02-24,9.429583333333333,18.92,3.54
2024-02-25,8.24,16.16,2.03
2024-02-26,4.556666666666667,8.05,3.64
2024-02-27,8.731666666666667,11.29,6.81
2024-02-28,5.99625,8.84,4.04
2024-02-29,2.90375,5.29,1.08
2024-03-01,1.45625,2.57,0.61
2024-03-02,5.052083333333333,8.47,3.02
2024-03-03,8.96125,17.28,5.35
2024-03-04,5.096666666666667,8.74,3.77
2024-03-05,5.2370833333333335,9.85,3.19
2024-03-06,14.983333333333334,22.37,8.87
2024-03-07,20.450833333333332,31.12,14.34
2024-03-08,20.392500000000002,24.88,15.09
2024-03-09,10.576666666666666,16.35,2.73
2024-03-10,11.542083333333332,23.98,0.81
2024-03-11,28.1125,34.75,22.33
2024-03-12,9.705238095238096,21.72,3.09
2024-03-13,5.052222222222222,10.19,2.02
2024-03-14,4.671666666666667,8.47,3.48
2024-03-15,3.1205555555555557,10.21,0.0
2024-03-16,4.464761904761905,7.63,3.24
2024-03-17,2.5425,7.45,0.29
2024-03-18,3.1175,5.57,1.81
2024-03-19,4.2316666666666665,7.25,3.32
2024-03-20,5.551666666666667,13.92,1.85
2024-03-21,6.492916666666667,9.64,1.84
2024-03-22,6.178333333333334,9.73,4.25
2024-03-23,4.267916666666667,9.9,2.43
2024-03-24,5.076666666666667,9.57,3.44
2024-03-25,4.9725,7.5,2.95
2024-03-26,7.547499999999999,11.11,4.55
2024-03-27,2.973333333333333,4.53,2.26
2024-03-28,4.997083333333333,9.48,0.51
2024-03-29,7.291666666666667,12.54,4.26
2024-03-30,4.898333333333333,6.16,4.29
2024-03-31,11.712173913043477,18.83,4.2
2024-04-01,5.511666666666667,22.19,2.5
2024-04-02,4.457083333333333,25.66,0.0
2024-04-03,2.6841666666666666,6.94,0.15
2024-04-04,6.391666666666667,13.94,0.0
2024-04-05,7.895416666666667,11.63,5.05
2024-04-06,4.592083333333334,8.35,2.12
2024-04-07,9.536666666666667,13.22,2.91
2024-04-08,3.3816666666666664,10.25,1.76
2024-04-09,5.529583333333334,8.65,1.68
2024-04-10,8.84875,15.6,6.06
2024-04-11,4.274166666666667,15.11,2.8
2024-04-12,5.595416666666666,8.21,3.74
2024-04-13,5.076666666666667,9.47,3.71
2024-04-14,3.391666666666667,8.55,0.79
2024-04-15,2.5258333333333334,3.41,1.91
2024-04-16,3.1329166666666666,4.07,2.45
2024-04-17,5.0575,6.04,4.16
2024-04-18,2.821739130434783,3.68,2.19
2024-04-19,5.215416666666667,7.56,3.15
2024-04-20,5.595,8.19,3.65
2024-04-21,4.7941666666666665,6.77,4.01
2024-04-22,5.489166666666667,8.26,4.47
2024-04-23,5.409583333333334,10.15,3.98
2024-04-24,5.054583333333333,5.85,4.28
2024-04-25,7.684166666666666,9.12,5.65
2024-04-26,6.22,8.72,3.87
2024-04-27,4.14,7.4,1.65
2024-04-28,3.3491666666666666,7.38,0.68
2024-04-29,4.114583333333333,8.67,2.55
2024-04-30,5.310416666666667,8.86,3.21
2024-05-01,13.47,18.53,8.73
2024-05-02,15.044583333333334,20.32,4.41
2024-05-03,3.0237499999999997,4.43,1.24
2024-05-04,5.2175,9.14,1.92
2024-05-05,6.36625,10.78,3.4
2024-05-06,8.419166666666667,15.67,3.63
2024-05-07,9.577916666666667,14.52,6.25
2024-05-08,11.766666666666666,17.28,6.42
2024-05-09,11.52125,15.25,8.43
2024-05-10,10.770833333333334,14.04,7.31
2024-05-11,18.674583333333334,23.02,12.19
2024-05-12,16.89375,22.11,12.34
2024-05-13,6.7004166666666665,18.28,2.41
2024-05-14,5.66,11.75,3.57
2024-05-15,4.249583333333333,7.21,2.51
2024-05-16,10.43875,15.27,5.21
2024-05-17,6.125416666666666,10.84,4.44
2024-05-18,9.777083333333334,12.41,5.13
2024-05-19,10.30875,12.31,6.48
2024-05-20,9.4925,11.83,7.32
2024-05-21,8.422083333333333,10.81,5.25
2024-05-22,9.713333333333333,13.2,6.17
2024-05-23,3.8249999999999997,7.25,2.52
2024-05-24,5.027083333333334,8.07,2.74
2024-05-25,6.465833333333333,8.92,4.96
2024-05-26,4.619583333333334,5.91,3.92
2024-05-27,5.235833333333333,7.02,4.08
2024-05-28,3.7783333333333338,8.9,0.02
2024-05-29,7.863333333333333,10.96,1.29
2024-05-30,2.9275,5.63,2.04
2024-05-31,4.380833333333333,7.11,2.7
2024-06-01,6.676666666666667,12.53,4.45
2024-06-02,8.397083333333333,11.34,5.15
2024-06-03,4.3075,6.53,2.83
2024-06-04,5.328333333333333,8.27,2.77
2024-06-05,8.097083333333334,10.09,5.43
2024-06-06,9.558333333333334,13.02,6.77
2024-06-07,7.135833333333333,8.81,5.49
2024-06-08,3.6437500000000003,5.09,2.41
2024-06-09,3.747083333333333,5.54,3.13
2024-06-10,4.2225,5.82,2.77
2024-06-11,4.95125,5.8,4.0
2024-06-12,10.47125,14.82,6.03
2024-06-13,5.30375,9.22,3.73
2024-06-14,2.3070833333333334,4.3,0.8
2024-06-15,5.2283333333333335,9.99,2.46
2024-06-16,6.409166666666667,9.24,5.21
2024-06-17,5.599583333333334,7.2,4.51
2024-06-18,4.772083333333334,6.13,3.99
2024-06-19,3.512916666666667,6.11,2.53
2024-06-20,3.7325,5.22,2.67
2024-06-21,6.8175,8.82,5.56
2024-06-22,2.9858333333333333,7.1,1.63
2024-06-23,5.600833333333333,6.73,2.79
2024-06-24,4.627916666666667,6.78,3.51
2024-06-25,7.866666666666667,9.9,3.61
2024-06-26,11.075833333333334,12.63,9.36
2024-06-27,8.7475,14.07,5.06
2024-06-28,7.605416666666667,9.18,5.67
2024-06-29,5.868333333333333,9.38,4.9
2024-06-30,3.5991666666666666,5.87,2.76
2024-07-01,4.13375,6.07,1.85
2024-07-02,6.197500000000001,10.22,4.0
2024-07-03,5.144166666666666,8.3,4.31
2024-07-04,4.120416666666666,5.77,3.64
2024-07-05,3.4929166666666664,6.4,1.1
2024-07-06,2.83625,9.51,0.99
2024-07-07,5.507916666666667,8.42,2.45
2024-07-08,3.5862499999999997,5.74,2.62
2024-07-09,4.4525,9.13,2.67
2024-07-10,2.2441666666666666,3.05,1.55
2024-07-11,3.6145833333333335,4.43,2.47
2024-07-12,4.7058333333333335,6.61,3.36
2024-07-13,3.9,9.3,1.44
2024-07-14,5.230833333333334,6.69,4.31
2024-07-15,6.25125,8.16,4.86
2024-07-16,6.013750000000001,7.18,4.71
2024-07-17,6.492916666666667,8.41,5.21
2024-07-18,5.20125,7.8,3.4
2024-07-19,9.690833333333332,16.41,4.22
2024-07-20,3.475,11.19,1.41
2024-07-21,2.5504166666666666,4.55,1.76
2024-07-22,5.26375,6.91,2.33
2024-07-23,4.742916666666667,7.95,3.03
2024-07-24,5.214166666666666,7.43,3.42
2024-07-25,4.37235294117647,5.63,3.42
