Date,NO2_mean,NO2_max,NO2_min
2022-06-30,21.726875,32.23,11.82
2022-07-01,22.406666666666666,33.21,13.49
2022-07-02,7.581666666666667,21.82,5.01
2022-07-03,12.248750000000001,20.94,6.9
2022-07-04,24.832916666666666,42.07,12.2
2022-07-05,15.51,28.87,9.0
2022-07-06,22.56375,40.67,12.71
2022-07-07,12.768571428571429,30.61,5.55
2022-07-08,31.118333333333336,53.35,12.49
2022-07-09,10.770000000000001,39.77,6.66
2022-07-10,22.552083333333332,30.17,8.46
2022-07-11,30.17,52.61,13.28
2022-07-12,35.791666666666664,65.51,16.65
2022-07-13,22.92625,43.02,13.24
2022-07-14,14.29625,22.33,8.04
2022-07-15,17.5775,23.11,10.64
2022-07-16,20.906666666666666,28.8,11.83
2022-07-17,24.755,35.16,11.41
2022-07-18,45.473749999999995,80.5,12.53
2022-07-19,43.75208333333333,74.42,12.25
2022-07-20,15.47125,24.44,10.5
2022-07-21,18.930416666666666,26.85,8.86
2022-07-22,14.280833333333334,20.89,7.04
2022-07-23,7.210416666666667,15.72,5.09
2022-07-24,6.52625,9.4,3.61
2022-07-25,7.987916666666667,11.58,2.98
2022-07-26,18.5575,29.87,3.83
2022-07-27,20.42291666666667,37.45,8.22
2022-07-28,20.73,35.56,11.18
2022-07-29,25.375833333333333,42.27,9.27
2022-07-30,15.766666666666666,25.4,8.96
2022-07-31,9.91125,12.77,7.58
2022-08-01,18.97458333333333,26.71,12.67
2022-08-02,12.641666666666666,21.29,7.64
2022-08-03,17.16625,28.53,10.86
2022-08-04,12.129583333333334,19.51,6.67
2022-08-05,13.632083333333334,26.33,6.69
2022-08-06,15.412083333333333,31.49,5.76
2022-08-07,21.569999999999997,38.54,6.26
2022-08-08,29.93375,51.32,5.83
2022-08-09,26.898333333333337,40.09,11.03
2022-08-10,16.859166666666667,36.03,9.19
2022-08-11,31.24625,48.04,14.63
2022-08-12,31.62625,47.36,12.86
2022-08-13,29.45625,52.17,14.09
2022-08-14,33.611666666666665,51.36,9.79
2022-08-15,35.47125,55.85,14.34
2022-08-16,38.39125,67.5,23.49
2022-08-17,30.018333333333334,68.53,12.45
2022-08-18,17.06083333333333,26.48,8.1
2022-08-19,15.847916666666668,27.3,8.15
2022-08-20,12.321666666666665,25.74,6.93
2022-08-21,21.03875,34.29,7.09
2022-08-22,18.726666666666667,36.98,7.43
2022-08-23,11.202916666666667,17.77,6.33
2022-08-24,19.982916666666668,46.49,6.91
2022-08-25,22.634583333333335,47.9,14.22
2022-08-26,25.194166666666664,38.94,15.3
2022-08-27,16.395833333333332,38.66,7.76
2022-08-28,16.862083333333334,27.14,6.39
2022-08-29,12.252916666666666,24.14,5.6
2022-08-30,26.813333333333333,41.08,12.84
2022-08-31,18.109583333333333,35.92,8.26
2022-09-01,14.864583333333334,28.65,6.21
2022-09-02,25.131249999999998,37.4,14.86
2022-09-03,17.903333333333332,24.49,9.87
2022-09-04,12.964583333333332,21.67,6.39
2022-09-05,30.187916666666666,50.33,12.92
2022-09-06,22.60666666666667,36.77,13.06
2022-09-07,19.648333333333333,28.02,12.08
2022-09-08,23.45,36.85,10.38
2022-09-09,26.611666666666665,48.19,10.51
2022-09-10,25.05666666666667,38.56,13.05
2022-09-11,23.258750000000003,33.49,10.31
2022-09-12,29.881666666666664,56.81,13.11
2022-09-13,26.462500000000002,58.72,15.31
2022-09-14,19.629583333333333,31.78,10.13
2022-09-15,22.7325,32.66,15.32
2022-09-16,17.435,30.1,8.71
2022-09-17,23.50916666666667,41.17,9.58
2022-09-18,19.495416666666667,37.13,7.78
