Date,NO2_mean,NO2_max,NO2_min
2021-12-15,32.66181818181818,50.1,19.99
2021-12-16,51.44625,75.5,31.46
2021-12-17,38.23833333333334,51.86,21.39
2021-12-18,30.749166666666667,44.68,17.48
2021-12-19,30.38333333333333,46.36,17.21
2021-12-20,33.31375,56.84,14.02
2021-12-21,44.40833333333333,63.8,16.62
2021-12-22,53.085,62.76,39.37
2021-12-23,40.37416666666667,62.3,21.04
2021-12-24,47.038333333333334,72.89,13.98
2021-12-25,21.2725,31.4,12.85
2021-12-26,40.36,71.29,24.36
2021-12-27,36.92375,59.92,16.5
2021-12-28,26.096666666666668,42.08,9.34
2021-12-29,25.47666666666667,37.7,14.2
2021-12-30,16.547916666666666,26.42,6.97
2021-12-31,19.31375,37.57,6.33
2022-01-01,17.926666666666666,31.97,8.7
2022-01-02,18.882083333333334,29.98,7.12
2022-01-03,26.170416666666668,51.1,6.44
2022-01-04,36.53125,62.44,13.23
2022-01-05,43.23458333333334,71.91,12.27
2022-01-06,64.40625,90.03,21.52
2022-01-07,37.630833333333335,64.21,11.6
2022-01-08,32.882083333333334,54.5,19.79
2022-01-09,45.73583333333334,81.98,12.87
2022-01-10,78.645,105.78,24.19
2022-01-11,50.71041666666667,87.25,16.89
2022-01-12,86.66583333333334,118.58,28.06
2022-01-13,67.74666666666667,91.44,45.46
2022-01-14,88.065,141.12,56.11
2022-01-15,54.68541666666667,77.48,40.18
2022-01-16,50.965,82.63,32.69
2022-01-17,82.09541666666667,118.98,25.46
2022-01-18,87.16416666666667,112.96,64.75
2022-01-19,42.331250000000004,69.42,29.67
2022-01-20,49.30583333333333,80.32,24.16
2022-01-21,78.64541666666666,109.25,35.42
2022-01-22,46.7075,67.2,34.37
2022-01-23,50.403333333333336,72.17,27.4
2022-01-24,54.80041666666667,96.69,16.02
2022-01-25,52.89833333333333,75.72,24.57
2022-01-26,48.57791666666666,77.77,23.07
2022-01-27,57.31333333333333,108.19,12.26
2022-01-28,68.79791666666667,103.27,22.42
2022-01-29,25.886666666666667,48.93,8.22
2022-01-30,38.334583333333335,65.46,10.97
2022-01-31,32.224583333333335,68.34,6.93
2022-02-01,30.33125,44.58,12.05
2022-02-02,51.71541666666667,101.77,11.73
2022-02-03,43.92333333333334,77.55,12.82
2022-02-04,32.187083333333334,53.2,7.19
2022-02-05,27.61791666666667,36.96,9.63
