Date,NO2_mean,NO2_max,NO2_min
2024-06-23,8.767142857142856,10.47,6.5
2024-06-24,27.182916666666667,49.19,9.59
2024-06-25,37.505833333333335,53.27,14.77
2024-06-26,27.044583333333335,49.79,10.16
2024-06-27,13.264583333333334,30.49,6.15
2024-06-28,7.253333333333333,19.81,2.98
2024-06-29,20.240833333333335,31.67,8.57
2024-06-30,17.307083333333335,32.9,5.52
2024-07-01,13.11875,18.02,7.5
2024-07-02,19.6875,33.69,8.46
2024-07-03,19.923750000000002,31.41,8.14
2024-07-04,6.601666666666667,17.68,4.62
2024-07-05,9.98875,15.6,3.28
2024-07-06,12.326666666666668,18.9,7.01
2024-07-07,10.767083333333334,18.02,6.16
2024-07-08,20.141666666666666,27.57,10.98
2024-07-09,25.095,32.79,12.29
2024-07-10,7.937916666666666,19.78,4.81
2024-07-11,20.3775,40.64,9.32
2024-07-12,9.258750000000001,27.48,3.01
2024-07-13,19.17125,29.32,7.64
2024-07-14,20.88375,32.44,7.11
2024-07-15,27.514583333333334,41.82,9.95
2024-07-16,19.013333333333332,28.88,7.32
2024-07-17,21.887083333333333,33.52,10.58
2024-07-18,25.24,36.61,8.76
2024-07-19,31.23,67.26,9.19
2024-07-20,11.413333333333334,31.11,6.26
2024-07-21,12.795833333333334,16.9,6.2
2024-07-22,8.772499999999999,17.09,6.0
2024-07-23,18.7625,32.35,7.49
2024-07-24,20.93375,38.65,7.2
2024-07-25,9.363529411764706,15.25,6.55
