Date,PM2.5_mean,PM2.5_max,PM2.5_min
2024-06-23,4.37,5.82,3.56
2024-06-24,5.76875,7.6,4.42
2024-06-25,8.035833333333334,9.69,4.74
2024-06-26,11.759583333333333,14.96,8.5
2024-06-27,8.581249999999999,14.73,4.38
2024-06-28,5.708333333333333,6.94,4.37
2024-06-29,6.244583333333334,7.62,5.47
2024-06-30,5.135,7.78,3.9
2024-07-01,4.810833333333333,6.38,3.44
2024-07-02,6.001666666666666,9.18,4.08
2024-07-03,5.324583333333334,8.08,4.55
2024-07-04,4.348333333333334,6.06,3.83
2024-07-05,3.7129166666666666,6.34,1.89
2024-07-06,3.1566666666666667,8.51,1.89
2024-07-07,4.574583333333334,8.66,2.63
2024-07-08,3.7504166666666667,5.47,3.06
2024-07-09,4.880833333333333,9.89,2.49
2024-07-10,2.50875,3.43,2.06
2024-07-11,3.783333333333333,4.89,2.99
2024-07-12,5.2124999999999995,7.57,3.69
2024-07-13,4.8637500000000005,6.16,3.83
2024-07-14,5.004166666666666,7.15,4.01
2024-07-15,6.3691666666666675,9.23,4.91
2024-07-16,4.29,5.94,2.84
2024-07-17,6.15375,8.51,4.71
2024-07-18,7.171666666666667,10.85,4.9
2024-07-19,9.02625,16.17,6.26
2024-07-20,5.274166666666667,10.28,2.73
2024-07-21,2.975,5.08,2.13
2024-07-22,4.247083333333333,5.97,2.52
2024-07-23,4.919583333333333,8.22,3.48
2024-07-24,5.785416666666666,8.74,3.72
2024-07-25,4.608235294117647,6.57,3.33
