Date,PM2.5_mean,PM2.5_max,PM2.5_min
2023-02-26,6.28,8.36,4.64
2023-02-27,6.614583333333333,8.04,5.23
2023-02-28,5.939166666666666,10.98,3.65
2023-03-01,4.622916666666667,7.07,3.14
2023-03-02,11.889583333333334,20.8,6.15
2023-03-03,5.6275,7.69,4.07
2023-03-04,5.8187500000000005,10.9,3.43
2023-03-05,13.180416666666666,20.87,6.13
2023-03-06,10.20875,17.26,3.94
2023-03-07,8.522499999999999,17.83,3.16
2023-03-08,11.052916666666667,22.17,2.95
2023-03-09,10.01375,14.54,4.21
2023-03-10,3.8752173913043477,11.94,1.26
2023-03-11,7.465416666666667,16.48,3.83
2023-03-12,6.964166666666666,18.22,3.94
2023-03-13,13.042499999999999,28.02,0.22
2023-03-14,4.651666666666666,7.98,3.28
2023-03-15,5.9745833333333325,9.08,4.59
2023-03-16,6.039166666666667,10.94,3.63
2023-03-17,6.482916666666667,11.19,3.68
2023-03-18,7.305833333333333,12.2,3.16
2023-03-19,5.127083333333333,9.0,3.09
2023-03-20,7.788333333333333,12.39,6.18
2023-03-21,6.64875,11.2,5.27
2023-03-22,6.921666666666667,12.07,2.53
2023-03-23,10.960833333333333,15.62,6.6
2023-03-24,7.524166666666666,10.49,4.41
2023-03-25,8.755833333333333,16.52,5.25
2023-03-26,5.270869565217391,10.65,2.25
2023-03-27,3.40375,4.45,2.7
2023-03-28,4.854166666666667,8.35,3.15
2023-03-29,6.72375,9.99,5.33
2023-03-30,10.741666666666667,16.28,5.38
2023-03-31,5.702916666666667,12.73,3.42
2023-04-01,6.156666666666666,12.62,4.36
2023-04-02,4.879166666666666,10.3,2.04
2023-04-03,6.463333333333334,9.98,2.24
2023-04-04,9.7075,11.98,8.18
2023-04-05,11.913333333333334,19.6,7.89
2023-04-06,5.411666666666666,16.87,3.13
2023-04-07,5.977916666666666,11.3,3.9
2023-04-08,12.3075,21.99,6.2
2023-04-09,15.331666666666665,25.09,5.56
2023-04-10,6.8525,12.8,4.43
2023-04-11,1.02625,5.04,0.0
2023-04-12,7.0633333333333335,11.15,0.0
2023-04-13,7.01875,11.6,3.56
2023-04-14,6.392083333333333,17.22,4.25
2023-04-15,9.668333333333333,21.74,5.09
2023-04-16,7.676666666666667,22.73,0.0
2023-04-17,14.020416666666668,23.92,0.89
2023-04-18,17.07375,22.07,9.68
2023-04-19,15.192916666666667,25.08,6.12
2023-04-20,8.747083333333334,13.76,5.77
2023-04-21,15.245,29.91,4.32
2023-04-22,22.295833333333334,35.24,7.01
2023-04-23,6.460416666666667,15.13,4.14
2023-04-24,10.021666666666667,22.31,4.16
2023-04-25,6.088333333333334,7.23,4.61
2023-04-26,7.562916666666666,12.98,5.89
2023-04-27,16.951666666666668,22.76,9.51
2023-04-28,6.7775,14.77,3.02
2023-04-29,12.96125,19.54,8.39
2023-04-30,16.9025,26.24,9.04
2023-05-01,8.12875,17.88,4.24
