Date,NO2_mean,NO2_max,NO2_min
2021-06-11,12.915555555555555,16.22,9.14
2021-06-12,18.836666666666666,48.5,7.56
2021-06-13,19.31625,47.02,9.02
2021-06-14,13.792499999999999,23.43,9.41
2021-06-15,9.679166666666665,11.93,7.78
2021-06-18,26.28538461538462,40.88,16.82
2021-06-19,12.595833333333333,22.38,6.74
2021-06-20,18.453333333333333,26.41,8.49
2021-06-21,23.988333333333333,48.37,9.28
2021-06-22,11.46625,20.14,3.82
2021-06-23,37.21958333333333,55.08,13.07
2021-06-24,33.19625,54.12,16.16
2021-06-25,27.650000000000002,42.18,12.04
2021-06-26,29.235,44.73,11.92
2021-06-27,26.022499999999997,57.21,7.97
2021-06-28,75.14625,97.16,23.6
2021-06-29,15.344999999999999,84.91,5.64
2021-06-30,13.887083333333335,26.5,8.28
2021-07-01,36.68875,61.97,16.4
2021-07-02,28.092916666666667,51.75,11.4
2021-07-03,17.96625,29.18,8.29
2021-07-04,11.69,24.21,6.38
2021-07-05,35.0925,56.64,12.58
2021-07-06,18.699583333333333,43.37,10.8
2021-07-07,21.27375,28.07,12.68
2021-07-08,16.665,27.2,8.0
2021-07-09,29.419583333333335,35.97,17.97
2021-07-10,25.35291666666667,52.19,12.77
2021-07-11,20.399583333333332,48.33,7.97
2021-07-12,44.132083333333334,57.51,16.81
2021-07-13,28.8125,54.07,10.96
2021-07-14,25.020833333333332,33.88,13.12
2021-07-15,17.9075,28.09,9.75
2021-07-16,27.627499999999998,43.55,11.77
2021-07-17,36.18833333333333,56.42,9.98
2021-07-18,43.51,63.35,13.81
2021-07-19,78.68791666666667,101.37,30.36
2021-07-20,65.96416666666666,97.64,19.61
2021-07-21,50.690416666666664,83.25,15.67
2021-07-22,27.321250000000003,55.08,15.71
2021-07-23,19.597083333333334,30.76,9.29
2021-07-24,41.532916666666665,56.5,14.15
2021-07-25,34.910000000000004,54.64,11.95
2021-07-26,18.22375,31.1,10.21
2021-07-27,26.415000000000003,46.07,10.45
2021-07-28,32.01,52.73,11.73
2021-07-29,16.336666666666666,31.66,7.77
2021-07-30,39.744166666666665,52.16,24.14
2021-07-31,28.522499999999997,46.11,15.77
2021-08-01,29.5275,38.87,12.18
2021-08-02,31.7225,43.91,15.68
2021-08-03,40.26,54.51,18.36
2021-08-04,48.84,81.57,13.44
2021-08-05,24.489166666666666,50.77,8.89
2021-08-06,20.569583333333334,31.44,6.05
2021-08-07,35.8325,51.39,8.46
2021-08-08,24.297916666666666,34.83,8.72
2021-08-09,28.08875,40.01,9.36
2021-08-10,30.415000000000003,45.07,10.03
2021-08-11,21.93875,45.53,8.92
2021-08-12,20.773333333333333,28.03,10.01
2021-08-13,23.904583333333335,32.06,9.07
2021-08-14,23.736666666666665,34.13,8.87
2021-08-15,15.116666666666667,32.53,6.23
2021-08-16,15.646666666666667,34.46,6.12
2021-08-17,23.68541666666667,32.72,15.44
2021-08-18,16.129166666666666,27.5,9.87
2021-08-19,17.3625,22.45,8.69
2021-08-20,29.235,41.18,10.53
2021-08-21,34.8325,51.46,17.82
2021-08-22,39.53125,62.18,15.21
2021-08-23,13.126249999999999,51.18,4.76
