Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-06-11,4.405555555555555,4.51,4.25
2021-06-12,6.465,7.67,4.47
2021-06-13,7.0808333333333335,9.33,5.57
2021-06-14,7.116666666666666,7.81,6.52
2021-06-15,6.9191666666666665,7.55,6.36
2021-06-18,2.476153846153846,4.85,0.7
2021-06-19,6.184583333333333,13.96,1.04
2021-06-20,8.362499999999999,13.31,5.25
2021-06-21,7.377083333333334,10.23,5.03
2021-06-22,6.779166666666666,10.82,4.74
2021-06-23,7.8566666666666665,12.24,5.21
2021-06-24,11.626666666666665,20.46,4.88
2021-06-25,5.1779166666666665,12.84,3.67
2021-06-26,8.162916666666666,14.54,3.93
2021-06-27,18.032083333333333,31.98,2.97
2021-06-28,10.002083333333333,17.21,2.65
2021-06-29,10.527916666666668,17.77,7.34
2021-06-30,6.504166666666666,11.98,2.85
2021-07-01,26.484166666666667,34.44,9.51
2021-07-02,15.265833333333333,26.35,7.19
2021-07-03,7.5675,15.16,3.51
2021-07-04,4.432916666666666,6.67,2.42
2021-07-05,5.888333333333333,8.96,3.35
2021-07-06,6.694166666666667,13.11,2.66
2021-07-07,10.25,15.25,6.57
2021-07-08,7.679166666666667,13.56,5.25
2021-07-09,8.478333333333333,11.53,4.79
2021-07-10,5.01875,8.91,3.47
2021-07-11,6.385833333333333,10.84,3.43
2021-07-12,6.197500000000001,10.09,3.41
2021-07-13,11.149583333333332,20.48,4.15
2021-07-14,6.7775,9.05,4.91
2021-07-15,6.300833333333333,8.03,5.28
2021-07-16,7.550833333333333,11.97,4.39
2021-07-17,5.565833333333334,8.76,4.29
2021-07-18,7.99625,9.28,5.82
2021-07-19,10.920833333333334,15.34,8.35
2021-07-20,11.579166666666666,14.14,9.54
2021-07-21,17.201249999999998,26.25,11.0
2021-07-22,18.960833333333333,35.14,8.36
2021-07-23,8.98625,11.1,7.2
2021-07-24,15.914583333333333,23.91,4.37
2021-07-25,16.485416666666666,26.4,5.31
2021-07-26,14.55625,19.86,9.25
2021-07-27,6.347916666666666,10.49,3.57
2021-07-28,5.396666666666667,10.02,3.36
2021-07-29,6.276666666666666,10.17,3.29
2021-07-30,5.795000000000001,9.88,3.86
2021-07-31,4.257916666666667,7.83,2.8
2021-08-01,5.2804166666666665,8.25,2.29
2021-08-02,4.930833333333333,6.32,3.52
2021-08-03,6.694166666666667,10.39,4.25
2021-08-04,7.424166666666667,11.7,4.98
2021-08-05,5.80875,8.94,2.77
2021-08-06,5.753333333333334,8.67,3.93
2021-08-07,4.564583333333333,6.72,3.39
2021-08-08,9.04125,13.77,4.72
2021-08-09,5.691666666666666,9.46,3.52
2021-08-10,6.684583333333333,9.38,4.18
2021-08-11,5.6275,7.99,3.55
2021-08-12,5.829166666666667,8.95,3.49
2021-08-13,9.679166666666667,15.5,4.38
2021-08-14,9.469166666666666,13.75,7.02
2021-08-15,6.065,9.8,4.05
2021-08-16,10.39125,19.28,3.86
2021-08-17,4.971666666666667,7.9,3.2
2021-08-18,4.109166666666667,4.95,3.14
2021-08-19,5.83625,11.67,3.25
2021-08-20,4.477916666666666,7.22,3.11
2021-08-21,6.292916666666667,9.53,3.12
2021-08-22,5.482083333333333,9.38,2.12
