Date,NO2_mean,NO2_max,NO2_min
2022-04-30,21.719285714285714,32.65,13.16
2022-05-01,20.165833333333335,30.13,9.34
2022-05-02,19.97,35.2,10.95
2022-05-03,23.4425,36.71,16.06
2022-05-04,25.800416666666667,44.96,13.8
2022-05-05,26.756249999999998,51.66,14.78
2022-05-06,28.49791666666667,52.86,14.55
2022-05-07,19.507916666666667,27.61,13.12
2022-05-08,12.39625,20.17,7.13
2022-05-09,23.65041666666667,52.99,9.81
2022-05-10,20.2075,32.6,8.02
2022-05-11,17.317083333333333,32.31,7.84
2022-05-12,19.547083333333333,34.1,9.94
2022-05-13,17.835,24.39,9.35
2022-05-14,21.7,33.07,10.18
2022-05-15,39.73166666666666,56.98,27.12
2022-05-16,27.201666666666668,55.34,8.79
2022-05-17,23.989166666666666,49.11,14.24
2022-05-18,20.145833333333332,31.89,9.37
2022-05-19,29.98708333333333,40.65,7.72
2022-05-20,24.16541666666667,43.06,9.99
2022-05-21,15.762083333333335,33.39,8.7
2022-05-22,24.223333333333333,36.08,10.2
2022-05-23,20.720000000000002,31.93,11.25
2022-05-24,19.36583333333333,32.16,9.1
2022-05-25,16.534166666666668,25.25,8.44
2022-05-26,10.886249999999999,16.29,5.58
2022-05-27,8.083333333333334,12.55,5.16
2022-05-28,10.297083333333333,13.91,7.68
2022-05-29,7.853750000000001,13.47,4.44
2022-05-30,18.258333333333333,27.22,10.3
2022-05-31,23.035416666666666,45.86,9.89
2022-06-01,23.79958333333333,45.05,11.31
2022-06-02,21.490416666666665,36.69,11.27
2022-06-03,14.22625,20.77,7.07
2022-06-04,16.188333333333333,24.43,6.56
2022-06-05,12.547083333333333,24.7,9.09
2022-06-06,18.257916666666667,27.4,9.91
2022-06-07,15.779583333333333,31.09,6.81
2022-06-08,17.625,27.41,6.53
2022-06-09,19.15375,29.9,12.7
2022-06-10,17.4375,22.31,13.23
2022-06-11,20.658333333333335,30.26,11.38
2022-06-12,13.047916666666666,31.09,6.87
2022-06-13,21.924583333333334,39.52,11.29
2022-06-14,23.89708333333333,44.13,11.02
2022-06-15,42.33083333333333,68.6,18.46
2022-06-16,48.45541666666667,78.06,23.43
2022-06-17,43.97666666666667,61.46,23.93
2022-06-18,24.045833333333334,66.37,10.57
2022-06-19,9.4575,16.7,6.47
2022-06-20,14.885833333333332,25.59,8.13
2022-06-21,49.418749999999996,91.42,25.38
2022-06-22,20.160416666666666,84.09,9.36
2022-06-23,26.905416666666667,38.1,12.83
2022-06-24,22.08125,28.87,7.87
2022-06-25,12.355416666666665,26.62,7.47
2022-06-26,13.090833333333334,23.06,6.51
2022-06-27,11.5875,23.7,6.07
2022-06-28,16.933333333333334,29.94,7.33
2022-06-29,18.622916666666665,28.98,6.73
2022-06-30,16.725,25.18,8.08
2022-07-01,18.41125,25.35,11.11
2022-07-02,7.434583333333333,16.25,4.91
2022-07-03,14.012916666666667,25.21,6.79
2022-07-04,20.252916666666668,35.33,9.96
2022-07-05,14.957916666666668,26.76,7.61
2022-07-06,19.600833333333334,32.91,9.09
2022-07-07,15.66375,36.28,7.69
2022-07-08,27.497083333333336,47.84,12.64
2022-07-09,11.320416666666667,34.37,7.02
2022-07-10,19.767500000000002,28.45,10.79
2022-07-11,28.016666666666666,47.44,14.59
2022-07-12,30.967916666666667,63.36,13.27
2022-07-13,21.835416666666664,36.28,12.86
2022-07-14,13.345833333333333,20.72,8.5
2022-07-15,17.69875,23.28,9.61
2022-07-16,21.21625,28.7,10.88
2022-07-17,17.26875,26.18,11.09
2022-07-18,39.70791666666667,72.82,12.83
2022-07-19,41.68875,69.22,12.27
2022-07-20,16.267500000000002,32.56,7.82
2022-07-21,17.888749999999998,26.46,9.51
2022-07-22,14.712916666666667,20.93,7.26
2022-07-23,7.803333333333334,14.87,5.04
2022-07-24,7.8725,11.69,3.74
2022-07-25,8.355416666666667,13.04,2.63
2022-07-26,23.1725,34.53,6.05
2022-07-27,22.389583333333334,38.21,5.45
2022-07-28,17.97625,30.09,10.87
2022-07-29,18.201666666666668,29.69,8.72
2022-07-30,13.569166666666668,23.93,6.97
2022-07-31,7.134583333333333,13.17,3.81
2022-08-01,17.332916666666666,24.73,8.28
2022-08-02,11.515833333333333,17.92,6.27
2022-08-03,15.145833333333334,25.63,10.88
2022-08-04,16.973333333333333,22.11,5.39
2022-08-05,14.970833333333333,24.83,5.11
2022-08-06,17.62125,33.34,10.21
2022-08-07,24.61916666666667,41.27,10.47
2022-08-08,26.61,45.18,8.81
2022-08-09,33.522083333333335,45.17,17.7
2022-08-10,16.244583333333335,43.74,9.06
2022-08-11,31.002499999999998,46.41,14.28
2022-08-12,29.440416666666668,43.39,12.92
2022-08-13,24.1375,44.71,11.08
2022-08-14,29.50583333333333,46.43,9.79
2022-08-15,34.97541666666667,58.82,12.66
2022-08-16,33.13458333333333,58.01,19.27
2022-08-17,31.534583333333334,62.64,16.27
2022-08-18,19.982499999999998,30.02,8.19
2022-08-19,15.72875,25.21,6.83
2022-08-20,12.623750000000001,22.96,6.22
2022-08-21,14.415,26.44,8.07
2022-08-22,20.662499999999998,36.14,8.47
