Date,PM2.5_mean,PM2.5_max,PM2.5_min
2022-04-30,10.272142857142857,14.33,8.12
2022-05-01,11.872083333333334,16.55,7.67
2022-05-02,14.6925,20.4,11.14
2022-05-03,15.623333333333333,43.97,11.8
2022-05-04,14.732916666666668,24.42,4.54
2022-05-05,8.79875,12.61,6.16
2022-05-06,8.639166666666666,14.68,5.08
2022-05-07,5.5320833333333335,8.56,3.78
2022-05-08,9.607083333333334,10.38,7.21
2022-05-09,11.587083333333332,12.85,9.66
2022-05-10,9.100833333333334,12.14,6.99
2022-05-11,9.779166666666667,14.29,6.0
2022-05-12,8.590833333333334,13.37,7.47
2022-05-13,8.3725,14.51,4.35
2022-05-14,10.589166666666666,16.24,6.51
2022-05-15,13.547916666666666,20.9,6.91
2022-05-16,13.605416666666665,25.35,7.62
2022-05-17,8.355833333333335,10.06,7.14
2022-05-18,8.37625,14.98,4.95
2022-05-19,8.68625,11.59,7.7
2022-05-20,6.791666666666667,9.43,5.76
2022-05-21,8.382083333333332,12.57,6.45
2022-05-22,8.706249999999999,13.72,6.45
2022-05-23,7.165833333333333,8.69,5.56
2022-05-24,6.1312500000000005,9.61,4.26
2022-05-25,2.797916666666667,6.03,1.5
2022-05-26,4.2508333333333335,7.59,1.59
2022-05-27,9.426250000000001,18.1,1.45
2022-05-28,5.507916666666667,10.3,3.32
2022-05-29,2.8754166666666667,5.68,1.33
2022-05-30,6.972916666666666,10.3,3.15
2022-05-31,7.873333333333334,11.14,6.51
2022-06-01,8.181666666666667,10.48,5.69
2022-06-02,9.843333333333334,15.0,6.99
2022-06-03,14.157916666666667,28.68,5.33
2022-06-04,7.603750000000001,12.9,3.74
2022-06-05,10.245,13.54,7.27
2022-06-06,7.129166666666666,9.62,5.28
2022-06-07,6.166250000000001,7.62,4.52
2022-06-08,9.18125,19.32,4.33
2022-06-09,9.700416666666667,15.87,6.2
2022-06-10,12.587083333333332,15.14,9.54
2022-06-11,11.027083333333332,14.48,8.34
2022-06-12,6.4375,10.74,5.15
2022-06-13,6.404583333333334,9.24,4.53
2022-06-14,8.032916666666667,15.77,6.97
2022-06-15,13.007083333333334,17.25,9.04
2022-06-16,12.817916666666667,18.47,10.26
2022-06-17,10.73625,13.44,8.68
2022-06-18,9.266666666666667,16.97,5.98
2022-06-19,10.700000000000001,15.35,4.6
2022-06-20,6.2775,11.03,5.01
2022-06-21,6.459583333333334,10.15,4.61
2022-06-22,8.141666666666667,14.24,5.59
2022-06-23,9.472083333333332,14.44,3.98
2022-06-24,10.43875,16.78,5.86
2022-06-25,8.804166666666667,11.67,6.45
2022-06-26,2.3970833333333332,9.93,0.69
2022-06-27,4.1466666666666665,5.02,2.9
2022-06-28,6.1312500000000005,7.07,4.98
2022-06-29,5.84625,6.73,5.38
2022-06-30,3.1508333333333334,6.8,1.0
2022-07-01,3.404583333333333,8.95,1.07
2022-07-02,2.8229166666666665,3.75,2.12
2022-07-03,4.845416666666666,8.71,2.13
2022-07-04,5.704583333333333,7.29,3.84
2022-07-05,1.2216666666666667,5.34,0.0
2022-07-06,6.31625,9.09,0.28
2022-07-07,6.096666666666667,10.63,4.94
2022-07-08,9.21875,11.89,7.25
2022-07-09,5.1975,9.2,2.58
2022-07-10,7.078749999999999,9.6,5.92
2022-07-11,6.827083333333333,8.48,5.93
2022-07-12,8.499166666666666,10.41,7.07
2022-07-13,8.5925,12.0,7.24
2022-07-14,6.767083333333333,11.63,4.99
2022-07-15,6.14375,7.6,4.98
2022-07-16,5.18625,8.31,3.94
2022-07-17,5.897083333333334,9.34,4.25
2022-07-18,10.75625,13.52,8.88
2022-07-19,15.581249999999999,27.13,11.76
2022-07-20,14.804166666666667,25.19,9.88
2022-07-21,8.571250000000001,12.75,5.4
2022-07-22,5.5562499999999995,6.94,4.87
2022-07-23,6.12375,7.8,4.65
2022-07-24,4.184166666666667,6.59,2.62
2022-07-25,5.665833333333333,7.95,3.41
2022-07-26,5.867916666666667,6.83,4.67
2022-07-27,5.440416666666667,6.59,4.17
2022-07-28,7.260833333333333,10.49,4.46
2022-07-29,7.3445833333333335,9.68,5.65
2022-07-30,9.617916666666668,18.42,5.85
2022-07-31,7.454583333333333,10.32,5.79
2022-08-01,5.496666666666666,9.59,3.55
2022-08-02,6.8825,9.24,4.32
2022-08-03,7.370833333333334,9.03,5.82
2022-08-04,4.472083333333333,7.09,3.11
2022-08-05,3.910833333333333,4.49,3.34
2022-08-06,8.825000000000001,12.28,4.07
2022-08-07,9.268333333333333,13.14,6.09
2022-08-08,6.56375,8.64,4.4
2022-08-09,7.303333333333334,12.09,6.11
2022-08-10,6.447916666666667,8.33,5.51
2022-08-11,9.629583333333334,23.57,5.71
2022-08-12,10.337083333333334,12.31,8.34
2022-08-13,11.040416666666667,12.5,9.4
2022-08-14,11.204166666666666,13.75,8.9
2022-08-15,13.380833333333333,17.53,10.0
2022-08-16,14.636249999999999,19.11,7.49
2022-08-17,12.34875,22.95,0.0
2022-08-18,7.4425,11.7,0.0
2022-08-19,5.2058333333333335,6.26,2.96
2022-08-20,7.198333333333333,10.68,4.99
2022-08-21,7.178333333333334,10.06,5.37
2022-08-22,7.334166666666667,9.89,5.57
2022-08-23,6.980416666666667,10.02,5.5
2022-08-24,5.645416666666667,7.52,4.46
2022-08-25,8.4225,12.51,5.71
2022-08-26,11.200833333333334,13.39,8.32
2022-08-27,8.964583333333334,13.25,6.67
2022-08-28,6.155833333333334,7.04,5.38
2022-08-29,3.87625,6.43,3.16
2022-08-30,4.375416666666667,5.09,3.81
2022-08-31,3.7262500000000003,4.5,2.52
2022-09-01,7.330416666666667,12.2,4.05
2022-09-02,12.526666666666666,21.98,8.97
2022-09-03,15.903333333333334,32.98,7.27
2022-09-04,9.944166666666666,15.85,7.53
2022-09-05,5.175833333333333,8.11,3.37
2022-09-06,6.684583333333333,8.75,5.51
2022-09-07,6.146249999999999,9.98,4.31
2022-09-08,5.854583333333333,11.0,1.12
2022-09-09,8.045833333333333,12.19,5.34
2022-09-10,10.165833333333333,13.33,7.5
2022-09-11,10.127083333333333,14.79,7.22
2022-09-12,10.117083333333333,12.97,8.28
2022-09-13,7.778333333333333,13.52,5.61
2022-09-14,6.442916666666666,8.21,5.34
2022-09-15,7.488333333333333,10.42,6.4
2022-09-16,5.4316666666666675,9.0,2.93
2022-09-17,5.732083333333333,9.35,4.07
2022-09-18,5.23625,7.38,3.58
2022-09-19,3.6220833333333338,6.26,2.22
2022-09-20,6.937916666666666,12.41,4.53
2022-09-21,9.924166666666666,14.4,6.4
2022-09-22,10.761249999999999,17.19,7.69
2022-09-23,9.997083333333334,13.51,7.58
2022-09-24,4.180833333333333,7.41,3.06
2022-09-25,4.451666666666667,7.19,2.66
2022-09-26,7.504583333333334,12.84,4.34
2022-09-27,8.82875,13.95,4.82
2022-09-28,7.370833333333334,12.22,4.96
2022-09-29,10.036666666666667,13.81,6.69
2022-09-30,9.327499999999999,14.92,4.68
2022-10-01,6.80875,8.22,5.76
2022-10-02,8.830416666666666,17.59,6.44
2022-10-03,11.892916666666666,18.36,8.84
2022-10-04,6.66875,14.24,5.36
2022-10-05,5.447083333333333,9.34,2.13
2022-10-06,4.117083333333333,11.55,1.12
2022-10-07,4.3637500000000005,15.38,0.0
2022-10-08,8.000416666666666,14.47,5.25
2022-10-09,7.18875,11.84,5.11
2022-10-10,8.866666666666667,11.51,6.86
2022-10-11,14.947916666666666,21.18,8.2
2022-10-12,12.338333333333333,19.35,9.67
2022-10-13,11.261666666666665,15.71,7.28
2022-10-14,10.4975,16.52,6.18
2022-10-15,3.30625,9.53,1.47
2022-10-16,0.08625,2.07,0.0
2022-10-17,6.679583333333333,9.78,5.06
2022-10-18,8.199583333333333,16.1,5.38
2022-10-19,8.505,13.86,5.6
2022-10-20,12.255,17.36,6.56
2022-10-21,9.302083333333334,12.39,8.1
2022-10-22,6.976666666666667,15.78,5.26
2022-10-23,4.765833333333333,8.9,1.82
2022-10-24,5.664166666666667,8.99,1.71
2022-10-25,6.779166666666666,8.95,5.86
2022-10-26,6.857083333333333,9.94,5.81
2022-10-27,7.958749999999999,13.56,5.38
2022-10-28,9.586666666666666,16.14,6.25
2022-10-29,9.922083333333333,17.88,5.44
2022-10-30,6.4624,7.72,5.38
2022-10-31,7.016666666666667,14.49,4.92
2022-11-01,6.513333333333333,8.75,4.61
2022-11-02,5.03625,9.22,2.5
2022-11-03,4.50875,12.95,1.92
2022-11-04,10.505416666666667,26.45,3.52
2022-11-05,8.342916666666666,20.65,4.13
2022-11-06,4.565833333333333,12.17,2.8
2022-11-07,6.08875,7.93,4.66
2022-11-08,5.398333333333333,9.33,0.0
2022-11-09,3.4258333333333333,6.19,2.15
2022-11-10,5.828333333333333,6.63,4.69
2022-11-11,6.085,12.03,4.62
2022-11-12,9.826666666666666,15.96,4.04
2022-11-13,10.985,14.77,5.65
2022-11-14,14.183750000000002,18.82,4.6
2022-11-15,4.0874999999999995,5.89,2.87
2022-11-16,4.058333333333334,6.98,2.7
2022-11-17,4.5475,8.37,2.94
2022-11-18,5.14,7.26,3.6
2022-11-19,7.636666666666667,17.77,4.91
2022-11-20,6.479583333333333,12.04,5.09
2022-11-21,4.500416666666667,6.99,1.98
2022-11-22,6.6816666666666675,15.42,3.45
2022-11-23,3.9745833333333334,7.03,3.03
2022-11-24,6.339583333333334,9.55,2.27
2022-11-25,7.379166666666666,10.84,5.79
2022-11-26,5.9312499999999995,6.97,4.31
2022-11-27,5.799166666666667,14.61,1.43
2022-11-28,7.399166666666667,14.07,4.34
2022-11-29,12.468333333333334,17.69,7.53
2022-11-30,15.954166666666666,22.6,11.77
2022-12-01,12.5475,17.37,6.42
2022-12-02,8.75095238095238,13.88,3.65
2022-12-03,6.480555555555556,12.34,3.22
2022-12-04,8.235,16.3,3.53
2022-12-05,7.626666666666667,12.72,4.38
2022-12-06,6.004761904761905,10.53,3.64
2022-12-07,10.982916666666666,19.33,7.09
2022-12-08,17.665,21.91,7.8
2022-12-09,22.17375,32.69,15.31
2022-12-10,23.429583333333337,39.85,12.14
2022-12-11,29.944782608695654,49.39,12.85
2022-12-12,11.454736842105262,18.08,1.11
2022-12-13,11.362777777777778,20.91,3.28
2022-12-14,13.326666666666666,17.83,7.93
2022-12-15,15.595555555555555,23.79,9.13
2022-12-16,36.90277777777778,69.5,12.54
2022-12-17,19.729444444444443,47.12,7.8
2022-12-18,11.577777777777778,20.24,3.7
2022-12-19,5.346111111111111,10.62,1.83
2022-12-20,8.101666666666667,15.82,4.57
2022-12-21,8.083333333333334,17.05,5.29
2022-12-22,7.877222222222222,13.25,5.11
2022-12-23,6.793888888888889,19.84,2.89
2022-12-24,7.608888888888889,12.72,4.21
2022-12-25,5.418333333333333,7.35,3.38
2022-12-26,5.9422727272727265,9.51,3.58
2022-12-27,3.8350000000000004,6.77,1.51
2022-12-28,3.5845833333333332,10.25,1.25
2022-12-29,7.334583333333334,9.93,4.95
2022-12-30,3.8699999999999997,6.05,1.17
2022-12-31,6.975652173913043,14.19,3.12
2023-01-01,6.324999999999999,9.96,4.18
2023-01-02,6.9019047619047615,15.81,2.31
2023-01-03,5.385416666666667,10.51,3.04
2023-01-04,7.5252173913043485,14.31,3.06
2023-01-05,5.108888888888889,10.06,1.01
2023-01-06,4.815909090909091,8.66,2.44
2023-01-07,5.93875,9.65,1.32
2023-01-08,3.62375,8.03,0.04
2023-01-09,4.3225,11.3,0.64
2023-01-10,6.506666666666667,11.07,3.42
2023-01-11,6.257083333333334,10.5,3.98
2023-01-12,4.597916666666666,11.09,1.54
2023-01-13,8.612083333333333,11.12,7.14
2023-01-14,4.9624999999999995,10.2,2.4
2023-01-15,4.466666666666667,8.26,2.96
2023-01-16,7.25875,11.56,3.15
2023-01-17,19.84958333333333,27.95,10.09
2023-01-18,10.552083333333334,16.95,6.49
2023-01-19,11.390416666666667,16.44,7.52
2023-01-20,7.006666666666667,10.59,4.96
2023-01-21,13.893749999999999,38.83,4.56
2023-01-22,50.20708333333334,88.78,33.7
2023-01-23,39.63666666666666,79.79,8.02
2023-01-24,11.320833333333333,21.93,5.68
2023-01-25,24.46,31.13,0.52
2023-01-26,5.074999999999999,10.71,1.81
2023-01-27,6.260000000000001,9.81,4.06
2023-01-28,11.356111111111112,17.29,4.62
2023-01-29,8.811666666666667,18.75,1.4
2023-01-30,8.674090909090909,16.24,5.28
2023-01-31,8.764166666666666,12.42,6.84
2023-02-01,7.672083333333333,10.24,5.29
2023-02-02,5.9937499999999995,7.73,4.49
2023-02-03,6.920833333333333,14.9,4.99
