Date,NO2_mean,NO2_max,NO2_min
2023-07-28,24.145714285714288,32.62,8.48
2023-07-29,10.659166666666666,17.64,5.06
2023-07-30,7.104583333333333,15.33,2.94
2023-07-31,12.366666666666667,18.02,4.29
2023-08-01,9.19409090909091,13.2,3.32
2023-08-02,18.18875,28.99,4.85
2023-08-03,14.8075,21.45,6.32
2023-08-04,20.475833333333334,36.25,11.26
2023-08-05,16.995833333333334,30.86,6.04
2023-08-06,8.225,12.44,4.05
2023-08-07,12.57625,16.43,7.91
2023-08-08,22.784166666666668,34.38,9.26
2023-08-09,16.945416666666667,27.53,10.77
2023-08-10,16.396666666666665,30.74,6.87
2023-08-11,8.936666666666666,10.94,6.53
2023-08-12,6.136666666666667,10.26,4.07
2023-08-13,6.480833333333333,8.86,4.38
2023-08-14,9.719166666666666,17.7,6.38
2023-08-15,19.510833333333334,27.43,8.56
2023-08-16,16.71625,34.42,9.79
2023-08-17,12.474583333333333,18.26,7.24
2023-08-18,13.482083333333334,19.8,7.14
2023-08-19,10.035833333333334,28.09,3.96
2023-08-20,8.446666666666667,15.24,4.26
2023-08-21,14.984583333333333,24.7,6.59
2023-08-22,13.748333333333333,21.32,6.39
2023-08-23,19.609583333333333,31.68,8.25
2023-08-24,32.46333333333333,41.65,16.52
2023-08-25,19.992083333333333,31.25,8.17
2023-08-26,23.053749999999997,38.44,9.84
2023-08-27,14.38375,39.82,7.23
2023-08-28,12.9325,18.93,6.97
2023-08-29,24.95625,36.74,10.79
2023-08-30,16.182083333333335,24.58,5.34
2023-08-31,20.692083333333333,30.48,12.02
2023-09-01,24.697083333333335,37.66,12.6
2023-09-02,12.668333333333335,16.61,8.89
2023-09-03,16.102083333333333,22.06,10.42
2023-09-04,18.267083333333336,20.35,14.73
2023-09-05,22.582083333333333,33.46,15.73
2023-09-06,32.175000000000004,41.83,21.46
2023-09-07,36.39,57.53,16.5
2023-09-08,59.59916666666667,83.67,20.17
2023-09-09,35.030833333333334,63.26,13.07
2023-09-10,36.319583333333334,70.3,10.44
2023-09-11,23.415833333333335,38.77,7.62
2023-09-12,27.315833333333334,38.88,8.23
2023-09-13,17.7825,30.7,3.75
2023-09-14,14.487083333333333,25.49,8.39
2023-09-15,25.642916666666665,39.52,17.15
2023-09-16,28.889583333333334,42.96,11.92
2023-09-17,15.189583333333333,27.02,8.08
2023-09-18,18.240416666666665,36.0,4.68
2023-09-19,7.02375,17.06,3.77
2023-09-20,10.879583333333334,22.84,2.5
2023-09-21,22.487916666666667,40.48,2.35
2023-09-22,14.517916666666666,24.51,7.63
2023-09-23,15.747083333333334,23.06,6.25
2023-09-24,9.373333333333333,17.43,4.7
2023-09-25,17.359583333333333,29.14,3.7
2023-09-26,20.08125,33.33,7.77
2023-09-27,14.392916666666666,30.19,5.57
2023-09-28,19.145833333333332,32.21,1.47
2023-09-29,20.349999999999998,43.56,6.57
2023-09-30,12.079166666666666,26.9,6.41
2023-10-01,10.707083333333335,16.6,7.99
2023-10-02,26.31458333333333,37.45,9.54
2023-10-03,12.815,20.52,5.4
2023-10-04,17.37875,28.09,7.92
2023-10-05,17.581666666666667,31.87,5.6
2023-10-06,17.387916666666666,27.34,6.07
2023-10-07,14.01,25.03,5.32
2023-10-08,16.82375,24.84,10.46
2023-10-09,41.29708333333333,67.09,15.18
2023-10-10,21.367500000000003,41.95,7.99
2023-10-11,14.77375,23.81,4.12
2023-10-12,30.71291666666667,44.52,12.77
2023-10-13,9.255833333333333,23.11,3.96
2023-10-14,17.175416666666667,32.94,6.65
2023-10-15,16.414583333333333,39.35,6.99
2023-10-16,45.29125,68.05,21.11
2023-10-17,17.49875,24.25,12.31
2023-10-18,19.675833333333333,27.43,9.54
2023-10-19,12.777916666666668,22.24,3.37
2023-10-20,22.41125,33.17,10.27
2023-10-21,14.15,19.52,8.35
2023-10-22,13.992083333333333,26.68,7.0
2023-10-23,30.033749999999998,37.9,15.45
2023-10-24,31.575,51.27,15.75
