Date,NO2_mean,NO2_max,NO2_min
2022-04-23,26.237272727272728,28.72,23.04
2022-04-24,9.5075,29.03,4.17
2022-04-25,26.835789473684212,45.18,11.63
2022-04-26,30.77541666666667,52.26,14.17
2022-04-27,31.4575,40.47,23.75
2022-04-28,48.3025,72.6,24.85
2022-04-29,29.06375,65.32,18.63
2022-04-30,31.395,47.68,10.88
2022-05-01,22.366666666666664,42.84,2.78
2022-05-02,37.345,59.98,22.37
2022-05-03,49.17166666666666,72.21,37.42
2022-05-04,38.06125,69.39,14.92
2022-05-05,33.50125,63.5,12.93
2022-05-06,64.3725,101.42,26.45
2022-05-07,36.76208333333333,66.31,21.8
2022-05-08,20.600416666666668,34.57,11.64
2022-05-09,34.870416666666664,72.61,17.2
2022-05-10,33.735416666666666,54.73,11.87
2022-05-11,28.02208333333333,41.79,9.0
2022-05-12,35.19583333333333,53.37,13.46
2022-05-13,21.17875,33.8,6.9
2022-05-14,23.51,38.57,9.22
2022-05-15,40.64333333333334,73.35,24.56
2022-05-16,46.03875,74.0,13.6
2022-05-17,33.18,63.02,14.26
2022-05-18,21.217916666666667,40.59,8.05
2022-05-19,51.18666666666667,71.43,16.82
2022-05-20,28.419166666666666,60.84,9.51
2022-05-21,30.998333333333335,59.67,13.79
2022-05-22,33.0375,60.66,6.44
2022-05-23,43.67416666666667,60.92,11.92
2022-05-24,26.924583333333334,43.49,11.91
2022-05-25,26.65416666666667,41.54,11.22
2022-05-26,13.574166666666665,32.35,5.6
2022-05-27,8.73,13.22,4.95
2022-05-28,14.769166666666665,19.32,8.04
2022-05-29,10.938749999999999,20.31,3.57
2022-05-30,28.227500000000003,40.18,11.58
2022-05-31,49.053333333333335,77.48,19.35
2022-06-01,31.26125,74.41,12.25
2022-06-02,32.77291666666667,55.12,12.99
2022-06-03,15.275833333333333,37.34,7.2
2022-06-04,12.243333333333332,19.03,5.9
2022-06-05,17.519166666666667,33.19,7.67
2022-06-06,31.680833333333336,44.83,9.75
2022-06-07,31.985833333333332,50.45,9.35
2022-06-08,28.464583333333334,45.67,7.98
2022-06-09,51.00333333333333,72.15,12.4
2022-06-10,38.066250000000004,63.02,16.29
2022-06-11,43.182500000000005,65.74,12.18
2022-06-12,27.77916666666667,57.94,9.02
2022-06-13,48.98291666666666,85.34,16.81
2022-06-14,55.13125,85.5,14.28
2022-06-15,60.94833333333333,100.78,22.0
2022-06-16,77.77041666666666,119.98,26.36
2022-06-17,102.30166666666666,170.0,27.13
2022-06-18,46.57875000000001,156.78,14.12
2022-06-19,15.33375,37.79,6.86
2022-06-20,18.872083333333332,33.47,9.25
2022-06-21,65.02583333333332,137.35,22.05
2022-06-22,29.0625,122.64,10.62
2022-06-23,37.90708333333333,58.88,18.87
2022-06-24,33.510416666666664,49.86,10.91
2022-06-25,35.1925,56.93,8.74
2022-06-26,42.80708333333334,60.11,6.81
2022-06-27,25.095416666666665,60.81,7.93
2022-06-28,38.556666666666665,63.07,14.25
2022-06-29,19.02625,47.15,7.62
2022-06-30,30.467083333333335,49.45,11.47
2022-07-01,32.40541666666667,52.53,10.2
2022-07-02,16.06083333333333,44.28,5.93
2022-07-03,21.299166666666668,35.86,7.51
2022-07-04,42.20875,67.32,14.95
2022-07-05,27.988333333333333,46.11,8.63
2022-07-06,33.75791666666667,52.66,9.8
2022-07-07,17.235217391304346,52.23,5.07
2022-07-08,33.13916666666667,67.7,11.56
2022-07-09,17.085,46.16,7.34
2022-07-10,29.245833333333334,49.05,9.71
2022-07-11,29.714166666666667,55.1,11.03
2022-07-12,43.56125,77.81,16.9
2022-07-13,36.14041666666667,64.58,18.8
2022-07-14,16.0925,36.46,8.49
2022-07-15,19.432916666666667,29.17,9.98
2022-07-16,22.755,31.79,12.29
2022-07-17,52.75375,75.05,11.71
2022-07-18,40.8525,76.7,12.44
2022-07-19,33.765,67.64,9.63
2022-07-20,32.392916666666665,52.36,8.75
2022-07-21,18.02625,48.27,11.44
2022-07-22,17.715416666666666,25.21,10.33
2022-07-23,8.002916666666666,23.31,5.16
2022-07-24,7.0325,10.33,3.5
2022-07-25,8.755,13.51,3.22
2022-07-26,18.595833333333335,28.89,5.24
2022-07-27,24.881666666666664,42.73,5.78
2022-07-28,19.454583333333336,34.5,10.9
2022-07-29,30.731666666666666,52.19,12.21
2022-07-30,25.170416666666668,48.58,8.15
2022-07-31,14.535833333333334,37.88,4.9
2022-08-01,29.127499999999998,45.57,13.92
2022-08-02,19.610416666666666,31.79,6.62
2022-08-03,26.104166666666668,44.31,8.5
2022-08-04,20.36625,33.92,10.31
2022-08-05,16.830416666666668,32.4,6.55
2022-08-06,20.59958333333333,48.55,5.5
2022-08-07,26.474166666666665,50.48,4.69
2022-08-08,30.810833333333335,56.37,9.24
2022-08-09,52.569583333333334,73.34,18.83
2022-08-10,18.805833333333336,75.79,9.21
2022-08-11,40.53958333333333,61.12,16.15
2022-08-12,37.125416666666666,54.5,14.91
2022-08-13,38.71208333333333,69.48,13.18
2022-08-14,38.83708333333333,65.5,12.01
2022-08-15,42.068333333333335,69.09,14.22
2022-08-16,49.79,76.03,18.84
2022-08-17,39.19166666666667,77.8,14.26
2022-08-18,19.49416666666667,31.94,8.23
2022-08-19,18.126666666666665,32.43,7.34
2022-08-20,17.737916666666667,30.71,5.98
2022-08-21,26.1225,46.12,8.63
2022-08-22,19.386666666666667,47.22,7.9
2022-08-23,11.300833333333335,17.57,6.8
2022-08-24,28.1925,59.82,7.64
2022-08-25,22.027083333333334,60.39,15.13
2022-08-26,41.1075,71.12,17.4
2022-08-27,16.91125,67.56,7.02
2022-08-28,18.8125,32.13,6.76
2022-08-29,15.043750000000001,26.16,5.76
2022-08-30,55.969166666666666,76.25,17.45
2022-08-31,18.501666666666665,72.66,7.89
2022-09-01,26.519583333333333,55.8,13.22
2022-09-02,52.51291666666666,77.52,24.64
2022-09-03,27.4375,58.08,11.47
2022-09-04,22.09875,35.89,8.23
2022-09-05,31.84125,49.48,14.17
2022-09-06,33.49208333333333,52.61,12.14
2022-09-07,31.5175,46.22,11.93
2022-09-08,39.60958333333333,54.82,15.5
2022-09-09,41.678333333333335,69.22,16.18
2022-09-10,35.047916666666666,59.12,14.32
2022-09-11,31.765,52.95,10.18
2022-09-12,42.810833333333335,80.0,14.59
2022-09-13,43.080000000000005,83.02,17.0
2022-09-14,23.625833333333333,36.62,10.74
2022-09-15,29.02625,39.7,12.41
2022-09-16,21.10875,34.75,8.66
2022-09-17,32.65708333333333,51.25,9.73
2022-09-18,27.690833333333334,44.36,7.11
2022-09-19,21.772916666666664,46.66,7.17
2022-09-20,42.321666666666665,85.88,15.49
2022-09-21,57.26125,83.78,18.43
2022-09-22,50.39958333333334,80.2,16.47
2022-09-23,34.17375,54.57,12.57
2022-09-24,15.5675,43.31,8.06
2022-09-25,20.10291666666667,40.46,7.66
2022-09-26,16.644166666666667,30.47,3.26
2022-09-27,27.389166666666668,56.58,13.95
2022-09-28,40.94375,76.72,15.43
2022-09-29,51.94625,80.27,17.85
2022-09-30,34.36375,73.21,9.71
2022-10-01,16.830000000000002,27.36,7.6
2022-10-02,26.842916666666667,61.54,7.58
2022-10-03,59.64875,95.78,18.4
2022-10-04,35.66583333333333,47.32,15.29
2022-10-05,13.900833333333333,23.22,3.68
2022-10-06,30.831666666666667,59.81,9.11
2022-10-07,24.13416666666667,42.2,7.66
2022-10-08,37.558749999999996,72.52,12.63
2022-10-09,44.04833333333334,64.7,11.18
2022-10-10,43.729166666666664,68.26,16.84
2022-10-11,56.46875,80.72,27.6
2022-10-12,47.99583333333334,73.29,14.02
2022-10-13,27.78833333333333,44.32,11.58
2022-10-14,41.26916666666667,59.14,20.9
2022-10-15,32.89208333333333,50.03,9.78
2022-10-16,14.817083333333334,24.66,4.6
2022-10-17,39.941250000000004,69.81,16.24
2022-10-18,50.51916666666667,68.55,18.03
2022-10-19,24.253333333333334,35.51,14.6
2022-10-20,57.69833333333333,76.61,39.23
2022-10-21,26.675416666666667,63.27,9.61
2022-10-22,18.62125,35.18,5.75
2022-10-23,30.246666666666666,42.21,10.96
2022-10-24,17.790833333333335,36.92,3.54
2022-10-25,24.8225,45.16,8.97
2022-10-26,40.09708333333334,63.07,14.63
2022-10-27,29.0325,56.25,12.18
2022-10-28,41.03916666666667,62.64,16.88
2022-10-29,28.080833333333334,61.47,13.29
2022-10-30,27.338800000000003,36.68,14.02
2022-10-31,35.10333333333333,60.45,6.1
2022-11-01,18.28708333333333,28.5,4.15
2022-11-02,22.0425,47.1,5.69
2022-11-03,45.15625,78.46,13.54
2022-11-04,41.98583333333333,67.73,17.47
2022-11-05,26.542083333333334,43.34,15.72
2022-11-06,16.160416666666666,22.43,11.4
2022-11-07,20.660416666666666,34.3,7.88
2022-11-08,21.660416666666666,36.44,7.16
2022-11-09,21.16541666666667,36.49,8.94
2022-11-10,17.287916666666668,25.82,8.36
2022-11-11,20.273333333333333,48.11,7.49
2022-11-12,27.061666666666667,38.63,16.44
2022-11-13,28.618750000000002,42.81,11.62
2022-11-14,31.655416666666667,42.97,14.34
2022-11-15,25.491666666666664,37.92,16.31
2022-11-16,28.660416666666666,49.5,8.13
2022-11-17,18.897083333333335,28.39,7.73
2022-11-18,25.147916666666664,41.04,8.61
2022-11-19,31.215833333333332,65.34,15.27
2022-11-20,27.987916666666667,47.35,14.29
2022-11-21,33.70333333333333,59.84,12.96
2022-11-22,36.72833333333333,73.98,5.88
2022-11-23,22.684583333333332,30.16,12.85
2022-11-24,27.135416666666668,54.42,11.78
2022-11-25,32.23708333333333,58.58,7.49
2022-11-26,21.29125,34.5,7.69
2022-11-27,31.565,45.19,12.71
2022-11-28,54.42333333333334,88.87,17.67
2022-11-29,39.07791666666667,64.64,12.75
2022-11-30,42.218333333333334,63.07,25.5
2022-12-01,44.01208333333333,78.88,24.06
2022-12-02,34.01708333333333,45.22,14.91
2022-12-03,17.75166666666667,26.05,6.68
2022-12-04,18.798333333333332,26.69,10.74
2022-12-05,25.92,33.22,11.26
2022-12-06,27.594583333333333,41.19,13.7
2022-12-07,45.461666666666666,71.9,14.69
2022-12-08,55.34791666666666,72.76,37.58
2022-12-09,63.85708333333333,75.06,46.24
2022-12-10,57.0325,79.32,41.99
2022-12-11,58.984166666666674,72.55,29.77
2022-12-12,43.272083333333335,63.05,23.2
2022-12-13,58.84625,77.55,44.84
2022-12-14,47.41791666666666,58.69,36.25
2022-12-15,61.0075,78.73,34.21
2022-12-16,74.09458333333333,105.21,37.56
2022-12-17,57.94291666666666,69.11,40.56
2022-12-18,34.90833333333333,58.56,12.84
2022-12-19,17.275833333333335,23.19,8.58
2022-12-20,33.02,74.07,7.75
2022-12-21,31.92125,55.52,15.99
2022-12-22,32.65333333333333,66.99,19.26
2022-12-23,24.65625,59.12,10.93
2022-12-24,25.94666666666667,44.92,10.38
2022-12-25,14.908333333333333,24.41,9.2
2022-12-26,17.464583333333334,26.97,4.64
2022-12-27,20.46875,30.98,9.04
2022-12-28,12.398333333333333,17.43,6.95
2022-12-29,13.8025,26.06,3.97
2022-12-30,15.765833333333333,23.36,7.99
2022-12-31,12.115833333333335,18.36,5.98
2023-01-01,21.283333333333335,39.74,7.56
2023-01-02,31.360416666666666,64.77,8.79
2023-01-03,30.806250000000002,71.82,15.48
2023-01-04,13.856666666666667,21.92,3.39
