Date,NO2_mean,NO2_max,NO2_min
2023-07-29,15.8185,24.0,5.2
2023-07-30,8.005416666666667,19.74,3.05
2023-07-31,13.166666666666666,18.79,4.43
2023-08-01,8.006363636363636,13.32,3.39
2023-08-02,18.381249999999998,30.6,5.99
2023-08-03,14.100833333333334,21.16,5.82
2023-08-04,20.823333333333334,41.67,11.57
2023-08-05,19.165833333333335,30.13,8.77
2023-08-06,8.760416666666666,15.11,4.15
2023-08-07,16.8125,26.58,9.59
2023-08-08,26.495833333333334,51.28,14.65
2023-08-09,16.30333333333333,32.95,9.09
2023-08-10,16.795416666666668,32.88,7.07
2023-08-11,12.08625,16.38,7.03
2023-08-12,6.367083333333333,16.15,4.0
2023-08-13,9.57625,13.4,5.73
2023-08-14,9.867916666666666,17.75,6.3
2023-08-15,15.732083333333334,28.23,9.23
2023-08-16,19.452916666666667,37.49,10.4
2023-08-17,12.08625,20.14,7.74
2023-08-18,14.207916666666668,24.54,7.49
2023-08-19,10.869166666666667,31.59,4.47
2023-08-20,12.737083333333333,21.74,5.27
2023-08-21,13.630416666666667,20.23,7.1
2023-08-22,13.850833333333334,25.1,5.76
2023-08-23,20.00875,28.66,13.89
2023-08-24,32.984545454545454,44.16,18.32
2023-08-25,17.367083333333333,28.48,8.01
2023-08-26,21.49875,35.1,8.4
2023-08-27,17.82125,34.0,6.79
2023-08-28,15.330416666666666,26.85,7.25
2023-08-29,20.57375,34.59,8.88
2023-08-30,18.124166666666667,28.44,5.92
2023-08-31,24.073333333333334,36.78,13.54
2023-09-01,23.62291666666667,37.14,12.38
2023-09-02,12.152916666666668,16.26,9.03
2023-09-03,17.567083333333333,26.66,11.4
2023-09-04,18.958333333333332,23.23,14.95
2023-09-05,27.731666666666666,43.06,18.94
2023-09-06,32.17791666666667,51.3,23.58
2023-09-07,41.678333333333335,67.37,16.86
2023-09-08,68.66416666666667,102.92,21.03
2023-09-09,42.129583333333336,72.73,13.62
2023-09-10,35.78791666666667,73.54,10.35
2023-09-11,20.700416666666666,35.93,6.84
2023-09-12,28.15625,41.02,9.73
2023-09-13,18.179583333333333,31.77,3.6
2023-09-14,19.485,30.71,10.3
2023-09-15,27.18166666666667,40.65,14.58
2023-09-16,27.34,42.01,10.5
2023-09-17,16.87333333333333,29.49,7.8
2023-09-18,16.589583333333334,34.0,4.73
2023-09-19,7.7245833333333325,16.04,3.2
2023-09-20,16.150000000000002,33.28,6.41
2023-09-21,23.035416666666666,44.44,4.79
2023-09-22,16.932916666666667,27.8,8.06
2023-09-23,14.97375,20.0,7.57
2023-09-24,9.575833333333334,17.35,4.76
2023-09-25,15.131250000000001,29.53,3.53
2023-09-26,36.17041666666667,51.51,19.86
2023-09-27,17.479166666666668,34.03,8.01
2023-09-28,17.214166666666667,27.09,2.24
2023-09-29,19.009583333333335,40.94,4.83
2023-09-30,12.27375,25.34,6.52
2023-10-01,14.663333333333334,19.93,7.34
2023-10-02,30.39708333333333,46.79,16.23
2023-10-03,16.27208333333333,25.6,7.02
2023-10-04,18.633333333333333,29.41,8.18
2023-10-05,16.915416666666665,30.68,5.79
2023-10-06,16.57125,26.87,5.14
2023-10-07,13.907916666666667,28.74,6.21
2023-10-08,20.409166666666668,32.07,12.53
2023-10-09,40.15208333333333,79.2,19.09
2023-10-10,21.207916666666666,43.33,7.77
2023-10-11,14.338333333333333,20.88,4.24
2023-10-12,30.04625,42.79,12.23
2023-10-13,10.295416666666666,16.1,3.34
2023-10-14,21.68958333333333,39.54,10.35
2023-10-15,21.609166666666667,48.13,6.61
2023-10-16,47.10541666666666,67.1,31.39
2023-10-17,20.289583333333333,30.09,12.93
2023-10-18,25.083333333333332,34.12,11.61
2023-10-19,15.702916666666667,31.04,3.24
2023-10-20,22.4725,30.9,12.63
2023-10-21,25.979583333333334,37.1,14.37
2023-10-22,25.487083333333334,45.06,7.62
2023-10-23,38.74375,49.26,23.61
2023-10-24,54.70416666666667,81.15,18.99
2023-10-25,41.427083333333336,70.32,19.12
2023-10-26,37.7675,53.79,14.39
2023-10-27,38.29,48.71,15.96
2023-10-28,33.437916666666666,49.65,17.45
2023-10-29,20.7812,47.44,6.07
2023-10-30,28.449166666666667,55.34,9.69
2023-10-31,32.13916666666667,50.08,15.71
2023-11-01,14.175416666666665,21.13,5.24
2023-11-02,29.499583333333334,50.35,10.28
2023-11-03,19.070833333333333,42.66,4.58
2023-11-04,27.262916666666666,48.15,13.35
2023-11-05,21.07,48.49,8.33
2023-11-06,15.693333333333333,29.9,7.11
2023-11-07,24.750833333333333,37.85,12.88
2023-11-08,31.325,58.09,14.26
2023-11-09,25.269166666666667,36.84,12.39
2023-11-10,30.3125,53.75,8.29
2023-11-11,34.37625,56.99,16.68
2023-11-12,49.08541666666667,77.11,18.32
2023-11-13,18.445833333333333,22.36,9.32
2023-11-14,27.32041666666667,54.54,5.77
2023-11-15,23.26875,42.67,7.4
2023-11-16,46.84041666666667,71.8,31.46
2023-11-17,38.3275,68.62,13.36
2023-11-18,17.390833333333333,26.2,7.33
2023-11-19,7.328749999999999,10.44,3.25
2023-11-20,31.312916666666666,57.34,8.62
2023-11-21,22.035416666666666,31.07,7.81
2023-11-22,31.954583333333332,45.6,17.71
2023-11-23,26.849166666666665,38.07,9.4
2023-11-24,23.130416666666665,40.32,8.47
2023-11-25,37.496249999999996,61.18,17.48
2023-11-26,41.89125,58.46,26.07
2023-11-27,32.02791666666666,53.23,5.56
2023-11-28,38.23708333333333,69.0,12.97
2023-11-29,43.5025,63.62,29.93
2023-11-30,37.86708333333333,45.83,27.78
2023-12-01,38.63458333333333,66.48,21.95
2023-12-02,40.378750000000004,65.3,20.89
2023-12-03,40.88041666666667,77.98,11.65
2023-12-04,29.418333333333333,59.6,6.22
2023-12-05,33.22666666666667,56.28,16.74
2023-12-06,53.26833333333334,82.15,18.83
2023-12-07,18.445416666666667,35.39,10.46
2023-12-08,28.739166666666666,54.05,13.29
2023-12-09,15.339583333333332,23.82,8.06
2023-12-10,17.952916666666667,34.57,3.79
2023-12-11,41.60875,90.32,6.91
2023-12-12,51.39083333333334,99.34,18.55
2023-12-13,28.25590909090909,43.25,15.09
2023-12-14,38.70375,64.09,15.84
2023-12-15,45.00541666666666,54.75,25.33
2023-12-16,14.615416666666668,23.17,8.53
2023-12-17,12.795416666666666,18.4,6.17
2023-12-18,15.472083333333332,25.92,6.37
2023-12-19,27.631666666666664,44.65,5.53
2023-12-20,24.36708333333333,40.94,9.67
2023-12-21,14.310833333333333,19.94,9.51
2023-12-22,10.839166666666666,14.29,3.63
2023-12-23,12.782499999999999,19.7,4.71
2023-12-24,4.789166666666667,7.34,2.37
2023-12-25,8.466666666666667,16.26,3.61
2023-12-26,28.784166666666664,65.43,4.75
2023-12-27,16.252916666666668,31.92,6.48
2023-12-28,9.5425,14.83,3.02
2023-12-29,13.032916666666667,34.14,5.36
2023-12-30,14.908333333333333,26.63,7.41
2023-12-31,17.673333333333336,26.96,9.52
2024-01-01,15.331249999999999,27.39,8.02
2024-01-02,22.375416666666666,46.37,9.12
2024-01-03,20.857499999999998,42.0,5.55
2024-01-04,28.582083333333333,48.33,6.34
2024-01-05,31.564166666666665,48.74,7.12
2024-01-06,26.795833333333334,41.07,13.41
2024-01-07,16.606666666666666,26.39,6.6
2024-01-08,21.586250000000003,37.48,7.91
2024-01-09,25.301666666666666,39.3,11.75
2024-01-10,27.719166666666666,45.01,11.82
2024-01-11,27.627499999999998,48.72,14.15
2024-01-12,24.885833333333334,37.85,8.61
2024-01-13,29.757499999999997,50.09,12.31
2024-01-14,22.569166666666664,33.98,14.4
2024-01-15,40.985,80.32,18.25
2024-01-16,55.251666666666665,76.83,24.57
2024-01-17,49.26458333333333,83.62,28.98
2024-01-18,57.71666666666667,90.78,21.89
2024-01-19,46.622083333333336,63.49,26.43
2024-01-20,21.848333333333333,36.02,12.47
2024-01-21,9.974583333333333,21.77,3.76
2024-01-22,18.368750000000002,26.05,3.16
2024-01-23,21.33583333333333,49.8,8.9
2024-01-24,25.658749999999998,46.25,2.62
2024-01-25,32.3775,58.57,8.29
2024-01-26,39.74458333333333,69.44,13.07
2024-01-27,40.372499999999995,64.27,17.29
2024-01-28,35.305416666666666,51.15,17.25
2024-01-29,20.718333333333334,30.8,14.56
2024-01-30,27.92458333333333,46.23,4.71
2024-01-31,17.774583333333336,30.97,7.44
2024-02-01,38.6,69.35,9.1
