Date,NO2_mean,NO2_max,NO2_min
2021-05-26,27.122307692307693,42.11,15.26
2021-05-27,40.08833333333333,58.84,15.08
2021-05-28,47.84625,64.1,23.21
2021-05-29,31.442083333333333,61.42,16.24
2021-05-30,21.236666666666668,34.05,9.6
2021-05-31,27.676666666666666,43.51,15.6
2021-06-01,47.93375,71.68,25.13
2021-06-02,59.25833333333333,98.99,32.05
2021-06-03,22.215833333333332,59.03,11.4
2021-06-04,22.60666666666667,29.99,12.5
2021-06-05,16.235833333333336,26.86,9.93
2021-06-06,21.8575,33.45,11.61
2021-06-07,16.110416666666666,25.78,10.97
2021-06-08,16.257916666666667,22.67,9.15
2021-06-09,22.925833333333333,28.98,13.31
2021-06-10,14.409999999999998,23.88,10.93
2021-06-11,19.202916666666667,29.99,11.69
2021-06-12,22.16416666666667,61.45,12.83
2021-06-13,25.74083333333333,61.7,11.95
2021-06-14,31.133750000000003,37.08,17.46
2021-06-15,27.791666666666668,41.51,13.21
2021-06-16,30.153750000000002,55.63,11.8
2021-06-17,22.170416666666668,33.99,11.56
2021-06-18,28.060833333333335,51.12,10.23
2021-06-19,15.377916666666666,25.64,8.76
2021-06-20,13.909583333333332,19.39,9.64
2021-06-21,26.24416666666667,44.37,5.54
2021-06-22,11.946666666666667,28.3,3.89
2021-06-23,28.932916666666667,43.97,15.95
2021-06-24,30.41541666666667,42.31,15.96
2021-06-25,29.101249999999997,40.96,11.82
2021-06-26,25.679583333333337,41.45,13.2
2021-06-27,26.04416666666667,47.64,12.01
2021-06-28,55.718333333333334,72.73,23.6
2021-06-29,16.290833333333335,62.76,6.72
2021-06-30,16.48,29.32,10.05
2021-07-01,28.37708333333333,43.82,18.02
2021-07-02,25.922083333333333,40.26,12.76
2021-07-03,18.74125,27.46,8.43
2021-07-04,9.581249999999999,25.03,5.97
2021-07-05,28.8875,47.2,10.03
2021-07-06,19.265416666666667,35.25,8.45
2021-07-07,13.093333333333334,20.98,6.87
2021-07-08,17.122916666666665,26.5,10.55
2021-07-09,24.048333333333332,29.02,14.95
2021-07-10,36.52125,66.65,21.42
2021-07-11,21.62708333333333,60.46,8.95
2021-07-12,36.20916666666667,48.42,15.87
2021-07-13,20.929583333333333,51.46,11.04
2021-07-14,18.77541666666667,23.81,13.02
2021-07-15,15.714166666666666,21.64,9.67
2021-07-16,18.774583333333332,29.77,12.09
2021-07-17,21.015416666666667,38.33,11.84
2021-07-18,25.55333333333333,44.4,10.04
2021-07-19,50.0925,65.95,35.28
2021-07-20,40.492916666666666,60.69,17.41
2021-07-21,35.67,58.49,16.75
2021-07-22,28.117500000000003,40.44,15.66
