Date,NO2_mean,NO2_max,NO2_min
2023-10-16,47.3195652173913,78.66,22.26
2023-10-17,40.77375,57.02,26.36
2023-10-18,42.43083333333333,58.73,22.61
2023-10-19,19.08458333333333,42.1,4.26
2023-10-20,37.56,56.47,17.28
2023-10-21,28.43375,39.86,13.54
2023-10-22,37.600833333333334,64.09,12.21
2023-10-23,60.10333333333333,84.73,24.81
2023-10-24,58.47708333333333,93.96,21.7
2023-10-25,49.04833333333334,74.4,18.91
2023-10-26,57.80375,100.05,22.7
2023-10-27,67.76791666666666,86.69,27.67
2023-10-28,28.067083333333333,62.46,11.93
2023-10-29,19.576800000000002,32.35,5.87
2023-10-30,46.96416666666667,87.92,15.69
2023-10-31,51.26291666666666,91.27,22.08
2023-11-01,24.147916666666664,42.36,12.96
2023-11-02,56.64166666666667,97.9,33.41
2023-11-03,25.932916666666667,55.94,4.48
2023-11-04,31.28625,50.49,16.24
2023-11-05,24.657083333333333,52.69,11.95
2023-11-06,30.70958333333333,56.59,14.89
2023-11-07,26.890416666666667,51.25,13.44
2023-11-08,56.77708333333334,102.39,32.54
2023-11-09,45.086666666666666,82.58,17.32
2023-11-10,36.641666666666666,64.17,14.42
2023-11-11,45.312916666666666,101.8,16.43
2023-11-12,47.553333333333335,70.62,25.82
2023-11-13,12.664166666666667,17.74,6.87
2023-11-14,27.708333333333332,45.85,6.91
2023-11-15,32.07416666666666,58.98,13.68
2023-11-16,57.822916666666664,78.15,32.08
2023-11-17,50.677083333333336,97.3,15.8
2023-11-18,19.888333333333332,27.28,12.08
2023-11-19,8.27625,14.45,3.56
2023-11-20,36.925000000000004,75.33,9.13
2023-11-21,29.580833333333334,38.95,12.98
2023-11-22,36.562916666666666,57.79,22.13
2023-11-23,36.17916666666667,48.91,11.11
2023-11-24,28.894166666666667,44.18,10.31
2023-11-25,41.71875,83.93,15.96
2023-11-26,53.344166666666666,82.15,24.07
2023-11-27,37.11541666666667,62.81,12.74
2023-11-28,34.61083333333333,68.69,13.12
2023-11-29,43.692499999999995,61.29,27.22
2023-11-30,41.88666666666666,57.46,25.67
2023-12-01,49.76909090909091,77.54,28.83
2023-12-13,33.41307692307692,43.24,19.29
2023-12-14,47.717083333333335,84.98,13.97
2023-12-15,52.70291666666666,68.91,28.38
2023-12-16,12.11,20.54,6.78
2023-12-17,15.72375,24.26,7.59
2023-12-18,20.517500000000002,34.73,7.1
2023-12-19,56.88166666666667,83.02,34.08
2023-12-20,40.79416666666666,66.83,8.79
2023-12-21,14.455,24.41,5.93
2023-12-22,12.585833333333333,19.97,4.65
2023-12-23,14.72625,25.35,4.93
2023-12-24,4.242916666666667,6.54,1.9
2023-12-25,4.194090909090909,7.65,2.05
2023-12-26,31.528333333333332,80.06,2.7
2023-12-27,10.508333333333333,16.85,3.47
2023-12-28,9.8885,16.55,2.06
2023-12-29,15.100416666666668,36.94,4.11
2023-12-30,20.91208333333333,34.21,5.07
2023-12-31,10.689166666666667,16.91,3.46
2024-01-01,19.892083333333332,43.0,8.16
2024-01-02,21.19217391304348,41.61,3.71
2024-01-03,20.538095238095238,39.63,3.79
2024-01-04,38.24,74.79,6.84
2024-01-05,38.657916666666665,62.76,6.93
2024-01-06,44.0975,62.15,22.12
