Date,NO2_mean,NO2_max,NO2_min
2022-06-23,23.247272727272726,32.18,14.9
2022-06-24,11.38375,17.88,5.96
2022-06-25,17.874583333333334,27.33,6.42
2022-06-26,10.5925,27.26,3.23
2022-06-27,10.359166666666667,15.72,5.4
2022-06-28,10.07,14.86,5.67
2022-06-29,14.415416666666667,21.93,7.08
2022-06-30,18.365416666666665,24.88,8.67
2022-07-01,19.340416666666666,26.33,9.79
2022-07-02,10.158333333333333,25.63,4.73
2022-07-03,17.182916666666667,24.61,6.4
2022-07-04,20.798750000000002,30.94,9.39
2022-07-05,12.450416666666667,26.13,6.98
2022-07-06,35.29083333333333,53.41,9.12
2022-07-07,29.50090909090909,52.36,6.91
2022-07-08,32.50208333333333,52.98,9.65
2022-07-09,26.24875,44.68,7.28
2022-07-10,15.180416666666666,35.91,7.49
2022-07-11,17.898333333333333,27.28,8.39
2022-07-12,32.645833333333336,53.63,12.96
2022-07-13,33.2975,55.05,11.0
2022-07-14,18.600833333333334,50.05,7.49
2022-07-15,20.782083333333333,30.54,9.78
2022-07-16,15.9375,24.48,9.09
2022-07-17,26.343333333333334,45.87,7.95
2022-07-18,37.81541666666667,67.65,11.89
2022-07-19,48.90208333333334,85.82,10.05
2022-07-20,17.655833333333334,47.72,6.54
2022-07-21,23.36208333333333,30.88,12.11
2022-07-22,35.315,47.51,13.77
2022-07-23,9.197916666666666,48.81,5.07
2022-07-24,13.169583333333334,25.53,4.38
2022-07-25,27.581666666666667,41.35,9.89
2022-07-26,78.12,104.49,28.12
2022-07-27,30.63791666666667,77.56,12.21
2022-07-28,30.53625,46.21,13.43
2022-07-29,41.25333333333334,69.9,11.48
2022-07-30,22.485833333333332,43.83,7.68
2022-07-31,24.669166666666666,38.09,6.51
2022-08-01,46.778333333333336,66.14,12.52
2022-08-02,14.449166666666665,66.13,6.42
2022-08-03,20.4275,27.93,5.95
2022-08-04,23.487916666666667,35.0,7.86
2022-08-05,17.609166666666667,31.94,6.96
2022-08-06,29.12125,54.41,6.67
2022-08-07,29.046666666666667,51.12,5.28
2022-08-08,30.11125,48.13,8.03
2022-08-09,34.768750000000004,51.84,11.41
2022-08-10,31.392916666666668,49.42,11.73
2022-08-11,36.58208333333334,54.82,15.17
2022-08-12,28.609583333333333,42.28,13.08
2022-08-13,45.46458333333334,64.49,13.31
2022-08-14,50.67666666666667,73.28,17.71
2022-08-15,35.87291666666667,64.39,13.7
2022-08-16,44.62291666666667,65.3,18.96
2022-08-17,46.27375,68.78,12.3
2022-08-18,77.63625,124.96,26.7
2022-08-19,15.875833333333333,115.49,6.83
2022-08-20,17.781666666666666,27.59,5.59
2022-08-21,18.38083333333333,24.35,5.98
2022-08-22,20.605833333333333,31.3,6.8
2022-08-23,12.45125,21.55,6.76
2022-08-24,23.198333333333334,45.07,8.21
2022-08-25,22.565833333333334,51.18,13.69
2022-08-26,49.21041666666667,80.6,21.99
2022-08-27,20.220833333333335,80.69,6.79
2022-08-28,24.509583333333335,36.99,9.81
2022-08-29,17.273333333333333,31.6,5.34
2022-08-30,85.02875,113.64,19.85
2022-08-31,18.451249999999998,106.82,7.24
2022-09-01,55.04291666666666,97.48,15.54
2022-09-02,68.29166666666667,120.91,24.73
2022-09-03,28.264583333333334,70.32,10.21
2022-09-04,19.136666666666667,33.11,7.64
2022-09-05,27.685000000000002,45.75,13.39
2022-09-06,21.019583333333333,33.31,8.83
2022-09-07,34.53458333333334,46.84,14.85
2022-09-08,40.54875,50.66,12.41
2022-09-09,45.8225,70.63,17.11
2022-09-10,35.17458333333333,64.66,15.24
2022-09-11,30.742083333333337,53.63,11.67
2022-09-12,36.54458333333333,66.27,14.16
2022-09-13,39.00958333333333,69.64,15.36
2022-09-14,39.83875,57.73,11.31
2022-09-15,47.335,62.76,17.66
2022-09-16,20.935416666666665,53.88,8.05
2022-09-17,36.49125,62.33,7.66
2022-09-18,39.14291666666667,51.98,8.97
2022-09-19,27.906666666666666,54.51,7.94
2022-09-20,31.31833333333333,64.39,13.96
2022-09-21,41.64958333333333,65.35,16.61
2022-09-22,41.78958333333333,66.19,15.32
2022-09-23,22.05125,40.06,9.74
2022-09-24,17.649166666666666,30.34,8.34
2022-09-25,11.883333333333333,21.03,5.12
2022-09-26,19.56375,29.49,5.83
2022-09-27,33.14333333333333,59.28,18.34
2022-09-28,38.50083333333333,71.63,13.03
2022-09-29,48.965833333333336,76.17,16.47
2022-09-30,35.45583333333333,71.21,10.72
2022-10-01,11.447916666666666,27.24,6.69
2022-10-02,35.95333333333333,68.72,7.44
2022-10-03,54.78541666666666,89.52,23.2
2022-10-04,20.363333333333333,41.54,8.85
2022-10-05,13.374166666666667,23.4,3.74
2022-10-06,33.14,52.36,10.23
2022-10-07,18.925833333333333,32.7,7.55
2022-10-08,55.79708333333334,95.93,12.8
2022-10-09,49.43375,88.45,14.07
2022-10-10,80.41916666666667,113.6,18.81
2022-10-11,65.15291666666667,94.9,28.42
2022-10-12,46.87291666666667,79.39,16.67
2022-10-13,46.93375,72.0,19.92
2022-10-14,42.91291666666667,63.11,20.43
2022-10-15,24.599166666666665,36.62,8.2
2022-10-16,26.925833333333333,40.51,5.48
2022-10-17,41.37083333333333,61.1,10.87
2022-10-18,49.63666666666666,63.25,27.23
2022-10-19,31.59125,41.19,15.24
2022-10-20,51.85333333333333,68.37,27.22
2022-10-21,25.515,61.67,9.4
2022-10-22,13.662916666666666,22.19,6.2
2022-10-23,29.742500000000003,37.53,9.01
2022-10-24,17.052083333333332,32.72,6.43
2022-10-25,27.240416666666665,41.68,12.64
2022-10-26,35.88916666666667,55.64,13.85
2022-10-27,45.357499999999995,68.73,16.47
2022-10-28,37.26083333333333,56.04,13.36
