Date,PM2.5_mean,PM2.5_max,PM2.5_min
2022-06-23,8.511818181818182,10.28,7.15
2022-06-24,7.581666666666667,13.55,4.82
2022-06-25,7.71125,11.84,4.84
2022-06-26,3.99625,10.25,3.34
2022-06-27,3.7104166666666667,4.65,2.55
2022-06-28,4.2562500000000005,5.29,3.06
2022-06-29,3.8295833333333333,14.19,0.78
2022-06-30,3.736666666666667,9.27,1.87
2022-07-01,3.6308333333333334,5.1,2.91
2022-07-02,2.611666666666667,4.07,1.6
2022-07-03,2.7395833333333335,3.51,2.35
2022-07-04,3.2737499999999997,4.55,2.42
2022-07-05,4.91,43.6,2.51
2022-07-06,2.2275,5.48,0.16
2022-07-07,3.3709090909090906,8.18,1.06
2022-07-08,6.2754166666666675,11.18,4.38
2022-07-09,2.6254166666666667,5.15,1.42
2022-07-10,4.68875,6.04,4.07
2022-07-11,4.636666666666667,6.26,4.13
2022-07-12,4.26375,6.47,2.19
2022-07-13,4.887083333333333,10.53,2.82
2022-07-14,5.0325,9.22,3.79
2022-07-15,3.7375000000000003,4.15,3.35
2022-07-16,4.269166666666667,5.5,3.37
2022-07-17,5.112916666666667,9.14,3.3
2022-07-18,5.354166666666667,10.18,3.52
2022-07-19,11.677916666666667,26.14,5.08
2022-07-20,13.829166666666666,24.66,8.32
2022-07-21,6.240416666666667,8.13,5.26
2022-07-22,4.757916666666667,6.42,4.41
2022-07-23,3.8745833333333333,5.73,2.55
2022-07-24,3.7504166666666667,4.32,3.23
2022-07-25,3.060416666666667,5.22,1.74
2022-07-26,4.3775,5.33,2.35
2022-07-27,2.8154166666666662,4.54,2.0
2022-07-28,5.30875,6.52,2.73
2022-07-29,5.935833333333334,12.71,3.66
2022-07-30,6.382916666666667,14.97,3.25
2022-07-31,2.747916666666667,4.46,1.68
2022-08-01,3.4141666666666666,6.0,1.68
2022-08-02,6.304583333333333,9.37,2.68
2022-08-03,4.56625,8.07,3.0
2022-08-04,3.95125,5.99,2.74
2022-08-05,3.6575,4.3,2.85
2022-08-06,6.4575,9.66,3.81
2022-08-07,7.052499999999999,11.06,3.98
2022-08-08,5.114166666666667,12.12,2.69
2022-08-09,5.383333333333333,6.74,4.82
2022-08-10,4.2425,6.2,3.3
2022-08-11,7.2575,12.39,4.42
2022-08-12,8.818333333333333,10.61,7.22
2022-08-13,7.446666666666666,10.43,6.08
2022-08-14,8.65125,10.34,6.87
2022-08-15,8.385416666666666,11.64,7.05
2022-08-16,11.018333333333333,14.82,4.76
2022-08-17,10.85,20.16,2.21
2022-08-18,7.026666666666667,10.07,0.34
2022-08-19,5.00375,5.64,4.37
2022-08-20,4.16875,5.56,3.18
2022-08-21,5.392499999999999,6.0,4.54
2022-08-22,4.264583333333333,6.26,3.16
2022-08-23,3.169166666666667,6.63,0.92
2022-08-24,2.4033333333333333,3.39,1.75
2022-08-25,4.304166666666666,7.49,2.73
2022-08-26,6.535,8.02,4.92
2022-08-27,6.0225,8.31,4.3
2022-08-28,4.254166666666666,4.92,3.62
2022-08-29,3.3487500000000003,4.64,2.93
2022-08-30,4.026666666666666,5.44,3.33
2022-08-31,3.9324999999999997,10.04,2.55
2022-09-01,5.732916666666667,8.54,3.78
2022-09-02,9.194583333333332,18.49,5.83
2022-09-03,12.280416666666667,26.93,4.0
2022-09-04,7.7975,13.83,5.33
2022-09-05,5.3116666666666665,6.05,4.83
2022-09-06,5.59,9.23,3.82
2022-09-07,6.124583333333334,9.26,4.14
2022-09-08,5.74625,14.88,1.81
2022-09-09,5.552916666666667,8.37,4.35
2022-09-10,7.672916666666667,10.41,5.47
2022-09-11,7.814166666666666,12.74,5.04
2022-09-12,6.101666666666667,10.24,4.3
2022-09-13,5.18625,7.87,4.19
2022-09-14,4.8549999999999995,8.47,2.89
2022-09-15,6.6625000000000005,10.57,5.05
2022-09-16,3.49375,5.88,2.14
2022-09-17,3.0,9.11,1.31
2022-09-18,4.09125,14.04,1.49
2022-09-19,2.8333333333333335,4.39,1.92
2022-09-20,4.0129166666666665,9.4,2.35
2022-09-21,6.865416666666667,12.34,3.41
2022-09-22,6.070416666666667,9.84,4.12
2022-09-23,5.5062500000000005,7.87,3.83
2022-09-24,3.4908333333333332,6.39,2.36
2022-09-25,2.598333333333333,4.08,1.77
2022-09-26,4.587916666666667,7.44,2.68
2022-09-27,3.7137499999999997,5.39,1.98
2022-09-28,3.997083333333333,6.84,2.86
2022-09-29,6.535416666666666,14.64,3.49
2022-09-30,6.546250000000001,12.64,2.11
2022-10-01,6.254583333333334,7.97,2.86
2022-10-02,6.477083333333333,9.05,5.03
2022-10-03,8.310833333333333,13.71,3.22
2022-10-04,3.6845833333333338,10.25,2.48
2022-10-05,4.7725,8.02,2.48
2022-10-06,2.87625,8.52,0.25
2022-10-07,4.13,33.2,0.0
2022-10-08,5.359166666666667,14.2,1.63
2022-10-09,7.238333333333333,15.26,4.16
2022-10-10,6.868333333333333,9.54,5.36
2022-10-11,9.4025,15.85,6.61
2022-10-12,7.859166666666667,13.9,5.52
2022-10-13,8.230416666666667,13.74,3.46
2022-10-14,7.77375,13.68,4.32
2022-10-15,6.0,9.91,4.22
2022-10-16,6.255416666666666,6.79,5.33
2022-10-17,7.107916666666667,9.5,6.08
2022-10-18,5.79625,9.64,3.55
2022-10-19,8.7825,15.65,4.27
2022-10-20,11.148333333333333,17.71,3.8
2022-10-21,8.067083333333334,11.21,6.68
2022-10-22,6.017500000000001,12.23,4.28
2022-10-23,6.218333333333334,10.68,3.15
2022-10-24,4.352916666666666,7.95,1.07
2022-10-25,4.622916666666667,7.61,3.58
2022-10-26,6.75,11.36,5.4
2022-10-27,7.654583333333334,13.25,4.72
2022-10-28,8.34625,12.69,5.09
2022-10-29,9.184166666666666,15.54,5.35
2022-10-30,6.1175999999999995,10.64,4.06
2022-10-31,5.905833333333334,14.4,3.74
