Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-01-28,1.41,1.41,1.41
2021-01-29,3.9204166666666667,11.36,0.91
2021-01-30,15.887916666666667,39.64,3.01
2021-01-31,26.300416666666667,56.42,1.89
2021-02-01,38.27791666666666,53.97,18.08
2021-02-02,16.67833333333333,61.04,1.92
2021-02-03,4.741666666666666,15.13,1.34
2021-02-04,6.41875,9.38,4.38
2021-02-05,4.502083333333333,9.43,2.49
2021-02-06,7.104166666666667,15.2,1.62
2021-02-07,6.786666666666666,14.5,4.49
2021-02-08,5.1625000000000005,7.92,2.62
2021-02-09,5.5225,6.4,4.85
2021-02-10,4.644166666666666,6.49,3.57
2021-02-11,11.5475,16.97,4.97
2021-02-12,13.358260869565218,21.45,6.37
2021-02-13,13.641666666666666,18.76,9.42
2021-02-14,11.895000000000001,18.35,8.93
2021-02-15,6.291666666666667,9.58,3.41
2021-02-16,8.46875,17.01,3.62
2021-02-17,4.460833333333333,8.44,2.4
2021-02-18,4.747916666666667,10.34,2.43
2021-02-19,6.79,11.6,5.13
2021-02-20,11.4225,14.99,8.18
2021-02-21,13.72375,17.91,11.21
2021-02-22,16.910833333333333,21.44,14.02
2021-02-23,8.064583333333333,14.6,5.41
2021-02-24,8.913333333333334,15.33,5.27
2021-02-25,8.069583333333334,12.88,4.95
2021-02-26,10.1925,14.81,6.82
2021-02-28,11.348,22.47,7.33
2021-03-01,20.99888888888889,29.2,3.82
2021-03-02,35.56333333333333,48.54,26.1
2021-03-03,76.42166666666667,93.54,55.86
2021-03-04,11.159583333333332,29.79,1.47
2021-03-05,6.605416666666667,7.53,5.94
2021-03-06,6.400833333333334,9.11,4.83
2021-03-07,10.147083333333333,30.04,1.59
2021-03-08,26.07375,33.99,11.34
2021-03-09,14.520000000000001,22.12,7.14
2021-03-10,9.950833333333334,20.45,2.06
2021-03-11,6.157916666666666,11.82,3.31
2021-03-12,3.865,6.03,2.74
2021-03-13,3.43375,4.44,2.47
2021-03-14,5.090416666666667,8.35,3.91
2021-03-15,6.9624999999999995,9.82,4.44
2021-03-16,8.4675,15.23,5.61
2021-03-17,5.785,12.05,2.79
2021-03-18,9.165000000000001,13.76,6.99
2021-03-19,4.09125,8.14,2.22
2021-03-20,7.43375,17.23,1.55
2021-03-21,7.32125,13.41,4.02
2021-03-22,14.073333333333332,19.78,10.83
2021-03-23,14.804166666666667,21.52,8.73
2021-03-24,15.56,26.1,7.72
2021-03-25,5.545416666666667,7.99,4.6
2021-03-26,4.571666666666666,7.32,2.94
2021-03-27,4.30875,6.27,2.24
2021-03-28,6.249130434782608,7.06,5.43
2021-03-29,8.415000000000001,10.93,6.58
2021-03-30,14.992173913043478,23.9,7.33
2021-03-31,23.36,39.1,10.35
2021-04-01,17.170416666666664,32.82,6.36
2021-04-02,4.190416666666667,6.07,2.47
2021-04-03,4.735416666666667,9.68,2.66
2021-04-04,10.109166666666667,14.47,5.25
2021-04-05,5.836666666666667,15.42,2.74
2021-04-06,3.00375,6.01,1.95
2021-04-07,4.78625,6.17,3.69
2021-04-08,4.529583333333333,5.79,3.66
2021-04-09,4.6499999999999995,7.31,2.54
2021-04-10,6.232500000000001,10.61,4.49
2021-04-11,4.265,6.7,3.14
2021-04-12,6.521666666666667,11.95,2.55
2021-04-13,11.097499999999998,15.55,6.12
2021-04-14,10.758333333333333,19.67,4.48
2021-04-15,4.4262500000000005,5.59,3.13
2021-04-16,6.6925,10.45,4.78
2021-04-17,5.617916666666666,8.44,4.09
2021-04-18,7.5112499999999995,15.45,4.97
2021-04-19,17.188333333333333,23.81,10.38
2021-04-20,28.00916666666667,58.18,18.64
2021-04-21,30.13,70.67,6.54
2021-04-22,8.029583333333333,10.01,6.59
2021-04-23,8.703333333333333,12.66,7.09
2021-04-24,10.084999999999999,15.22,7.92
2021-04-25,6.7558333333333325,9.39,5.17
2021-04-26,5.576666666666667,6.6,5.02
2021-04-27,12.782083333333333,24.31,6.5
2021-04-28,15.48375,23.89,7.33
2021-04-29,6.225416666666667,8.35,5.21
2021-04-30,9.179583333333333,13.73,6.36
2021-05-01,10.3175,16.25,6.48
