Date,NO2_mean,NO2_max,NO2_min
2021-06-08,9.925,10.73,9.12
2021-06-10,13.965454545454547,16.66,10.48
2021-06-11,20.027083333333334,31.81,12.53
2021-06-12,29.895833333333332,69.59,11.98
2021-06-13,30.113333333333333,71.35,9.58
2021-06-14,24.982916666666668,36.12,13.92
2021-06-15,31.614166666666666,47.56,15.05
2021-06-16,30.72458333333333,57.67,13.11
2021-06-17,24.406666666666666,35.66,12.29
2021-06-18,28.461249999999996,56.61,10.21
2021-06-19,17.046666666666667,27.12,7.45
2021-06-20,14.020416666666668,19.27,9.16
2021-06-21,24.912916666666664,44.84,5.58
2021-06-22,11.705833333333333,21.68,3.8
2021-06-23,27.5775,41.12,11.91
2021-06-24,30.1825,42.24,15.65
2021-06-25,26.278750000000002,39.54,13.15
2021-06-26,25.449583333333333,41.36,11.75
2021-06-27,24.430416666666662,46.66,11.01
2021-06-28,57.4125,74.19,21.92
2021-06-29,15.270416666666668,64.23,5.38
2021-06-30,16.118333333333332,25.95,11.76
2021-07-01,33.19916666666666,57.21,17.12
2021-07-02,26.92,44.53,11.45
2021-07-03,19.3525,27.95,8.78
2021-07-04,9.44125,25.68,6.14
2021-07-05,23.394583333333333,42.7,9.78
2021-07-06,14.040416666666667,28.28,7.4
2021-07-07,13.217083333333333,17.95,8.31
2021-07-08,13.410416666666668,23.12,7.45
2021-07-09,28.3125,33.65,18.79
2021-07-10,29.40416666666667,67.01,14.02
2021-07-11,19.509583333333335,51.54,9.02
2021-07-12,37.57791666666667,57.42,16.36
2021-07-13,21.778333333333332,54.78,10.83
2021-07-14,20.594583333333333,26.65,12.31
2021-07-15,16.511666666666667,23.26,9.94
2021-07-16,22.322916666666668,35.38,10.37
2021-07-17,29.980416666666667,49.44,10.97
2021-07-18,35.59291666666667,57.69,10.72
2021-07-19,50.80833333333334,68.97,22.94
2021-07-20,48.663333333333334,63.87,20.27
2021-07-21,40.63125,66.61,16.86
2021-07-22,27.23625,39.84,16.14
2021-07-23,16.598333333333333,33.95,8.86
2021-07-24,44.20541666666667,66.08,14.47
2021-07-25,28.78625,52.32,12.57
2021-07-26,23.165000000000003,31.35,11.48
2021-07-27,31.300416666666667,52.4,14.53
2021-07-28,22.66625,32.57,10.55
2021-07-29,12.202916666666667,25.5,7.28
2021-07-30,27.135,36.46,15.16
2021-07-31,20.565833333333334,35.53,11.07
2021-08-01,18.756249999999998,31.97,10.42
2021-08-02,28.122500000000002,42.82,14.88
2021-08-03,30.810000000000002,42.01,16.67
2021-08-04,43.590833333333336,79.99,15.66
2021-08-05,25.135416666666668,46.96,8.99
2021-08-06,13.877916666666666,21.87,6.29
2021-08-07,27.221249999999998,38.05,11.61
2021-08-08,18.207916666666666,25.82,6.48
2021-08-09,19.08791666666667,26.9,7.71
2021-08-10,19.8175,30.03,9.16
2021-08-11,20.163333333333334,31.28,8.18
2021-08-12,20.392083333333336,26.92,11.88
2021-08-13,20.779166666666665,27.68,10.46
2021-08-14,19.877083333333335,30.59,8.89
2021-08-15,12.174999999999999,27.42,5.56
2021-08-16,22.99083333333333,43.9,9.35
2021-08-17,28.855833333333333,43.69,15.87
2021-08-18,15.783333333333333,28.11,10.62
2021-08-19,14.561666666666667,20.34,8.53
2021-08-20,21.8075,35.17,11.59
2021-08-21,42.43416666666666,54.75,26.7
2021-08-22,29.88625,54.51,13.47
2021-08-23,12.891666666666666,40.32,4.03
2021-08-24,19.21291666666667,30.33,8.58
2021-08-25,65.96458333333334,101.48,28.2
2021-08-26,10.898333333333333,76.06,4.9
2021-08-27,14.664583333333333,24.95,5.23
2021-08-28,20.679583333333333,37.77,9.55
2021-08-29,22.233333333333334,43.2,7.28
2021-08-30,12.015,17.06,7.94
2021-08-31,17.15791666666667,27.23,9.14
2021-09-01,18.7975,28.98,7.8
2021-09-02,30.697916666666668,48.53,8.72
2021-09-03,37.94708333333333,63.15,22.48
2021-09-04,26.635,38.98,17.22
2021-09-05,38.00541666666667,64.37,15.35
2021-09-06,65.67041666666667,113.18,29.04
2021-09-07,62.50625,115.61,20.0
2021-09-08,94.54666666666667,124.4,47.82
2021-09-09,26.301666666666666,95.94,14.71
2021-09-10,33.501666666666665,50.76,18.28
2021-09-11,15.97,30.62,8.65
