Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-06-08,5.13,5.17,5.09
2021-06-10,4.757272727272727,6.07,3.9
2021-06-11,5.64,8.71,4.14
2021-06-12,9.054583333333333,17.62,4.74
2021-06-13,12.063749999999999,19.06,7.66
2021-06-14,8.770416666666668,10.77,6.68
2021-06-15,8.270833333333334,10.66,6.04
2021-06-16,10.022083333333333,18.94,7.26
2021-06-17,13.001666666666667,21.72,7.18
2021-06-18,4.002916666666667,7.28,0.68
2021-06-19,5.720833333333334,13.48,0.1
2021-06-20,7.381666666666667,12.91,4.99
2021-06-21,6.138750000000001,7.94,4.05
2021-06-22,6.559583333333333,10.42,4.59
2021-06-23,7.8075,12.96,4.45
2021-06-24,12.0475,19.64,5.11
2021-06-25,5.032916666666667,12.08,3.39
2021-06-26,8.209999999999999,14.23,3.86
2021-06-27,18.105416666666667,29.41,3.37
2021-06-28,9.604166666666666,16.7,1.85
2021-06-29,9.975416666666666,16.69,6.43
2021-06-30,5.933333333333334,9.58,2.74
2021-07-01,27.912916666666664,33.8,9.92
2021-07-02,14.562083333333334,27.35,7.36
2021-07-03,7.614166666666667,16.19,3.32
2021-07-04,3.8470833333333334,6.0,2.01
2021-07-05,4.976249999999999,8.17,2.22
2021-07-06,4.7325,8.89,1.78
2021-07-07,7.052916666666667,10.74,4.09
2021-07-08,6.697083333333333,9.09,3.97
2021-07-09,7.946666666666666,12.11,4.09
2021-07-10,5.63625,16.84,2.6
2021-07-11,6.372916666666666,10.95,3.1
2021-07-12,5.78625,7.71,3.57
2021-07-13,10.213333333333333,17.59,4.03
2021-07-14,6.583749999999999,8.27,4.99
2021-07-15,5.914166666666667,7.53,4.59
2021-07-16,7.198333333333333,10.73,4.44
2021-07-17,5.269583333333333,7.63,4.16
2021-07-18,8.70125,10.33,7.12
2021-07-19,11.178333333333335,15.39,8.64
2021-07-20,12.350416666666668,15.54,9.85
2021-07-21,19.096666666666668,26.44,13.07
2021-07-22,20.004166666666666,39.74,7.11
2021-07-23,9.24875,12.07,6.79
2021-07-24,16.645833333333332,25.95,4.95
2021-07-25,17.503333333333334,27.59,8.73
2021-07-26,15.144166666666665,20.29,9.85
2021-07-27,5.920833333333333,10.28,3.15
2021-07-28,4.883333333333334,10.18,2.57
2021-07-29,5.566666666666666,8.98,2.95
2021-07-30,5.24,10.49,3.41
2021-07-31,3.9483333333333337,6.01,2.52
2021-08-01,4.651666666666666,6.77,2.44
2021-08-02,4.79875,6.37,3.32
2021-08-03,6.551666666666667,10.44,4.2
2021-08-04,7.961666666666666,12.22,4.99
2021-08-05,5.86625,9.38,2.82
2021-08-06,4.836666666666667,7.06,3.13
2021-08-07,3.6445833333333333,6.06,2.37
2021-08-08,6.19625,11.22,3.35
2021-08-09,4.692916666666666,8.07,2.56
2021-08-10,5.934166666666666,7.47,4.12
2021-08-11,4.879583333333334,7.97,2.8
2021-08-12,5.1275,9.28,2.27
2021-08-13,8.678333333333333,13.09,4.09
2021-08-14,8.840416666666666,13.45,6.13
2021-08-15,5.757083333333333,9.69,3.66
2021-08-16,10.689166666666667,18.93,3.18
2021-08-17,4.5424999999999995,8.54,2.37
2021-08-18,3.827916666666667,4.44,2.96
2021-08-19,4.7924999999999995,7.18,2.35
2021-08-20,3.6879166666666667,6.63,2.31
2021-08-21,6.502083333333334,10.03,3.01
2021-08-22,5.274166666666667,9.65,1.83
2021-08-23,5.361249999999999,10.38,4.02
2021-08-24,4.8566666666666665,6.2,3.75
2021-08-25,3.216666666666667,4.8,2.4
2021-08-26,5.495416666666666,8.18,4.69
2021-08-27,7.457916666666667,17.24,4.92
2021-08-28,6.859999999999999,9.61,5.15
2021-08-29,6.507083333333333,9.92,4.43
2021-08-30,5.00125,6.99,3.29
2021-08-31,5.604583333333333,6.49,4.12
2021-09-01,7.909583333333334,13.84,4.85
2021-09-02,9.720416666666667,13.68,7.05
