Date,NO2_mean,NO2_max,NO2_min
2022-03-03,31.328888888888887,39.11,24.87
2022-03-04,33.91708333333333,44.76,21.71
2022-03-05,15.321666666666667,23.43,9.42
2022-03-06,12.91125,20.19,7.67
2022-03-07,24.810000000000002,38.35,10.0
2022-03-08,33.785833333333336,42.95,19.11
2022-03-09,25.040833333333335,36.28,11.77
2022-03-10,25.329583333333332,40.12,14.2
2022-03-11,16.107083333333332,22.54,10.12
2022-03-12,8.881666666666666,15.33,4.57
2022-03-13,15.435416666666667,34.74,7.6
2022-03-14,36.84458333333333,68.7,15.69
2022-03-15,37.45166666666667,60.57,20.6
2022-03-16,31.220416666666665,51.46,16.45
2022-03-17,35.72208333333334,74.91,11.22
2022-03-18,39.2825,60.21,17.7
2022-03-19,22.598333333333333,31.04,16.59
2022-03-20,30.727083333333336,58.79,14.32
2022-03-21,48.81333333333333,66.21,19.31
2022-03-22,61.94208333333333,104.16,17.5
2022-03-23,67.41291666666667,117.39,21.66
2022-03-24,77.12458333333333,116.83,26.4
2022-03-25,57.78458333333333,102.37,19.27
2022-03-26,36.04291666666666,53.63,17.22
2022-03-27,22.699565217391307,29.91,14.83
2022-03-28,42.5875,55.15,26.29
2022-03-29,32.96208333333333,50.85,18.41
2022-03-30,25.221666666666668,42.38,12.79
2022-03-31,16.131249999999998,33.1,6.96
2022-04-01,15.431666666666667,28.06,10.15
2022-04-02,35.11875,68.77,17.41
2022-04-03,38.143750000000004,70.2,10.7
2022-04-04,21.016666666666666,27.67,9.01
2022-04-05,14.25875,21.06,8.81
2022-04-06,11.489583333333334,18.17,5.17
2022-04-07,10.45875,21.68,4.72
2022-04-08,37.935833333333335,63.19,15.43
2022-04-09,29.071250000000003,65.38,8.67
2022-04-10,29.642083333333332,65.27,8.89
2022-04-11,42.42,58.25,17.94
2022-04-12,36.37916666666667,69.57,13.18
2022-04-13,49.032916666666665,79.19,20.36
2022-04-14,35.26333333333333,90.1,15.16
2022-04-15,53.25083333333333,82.99,19.96
2022-04-16,38.41708333333333,70.15,19.71
2022-04-17,35.378750000000004,56.18,10.97
2022-04-18,26.408749999999998,53.17,11.57
2022-04-19,61.43666666666667,101.59,25.92
2022-04-20,22.35375,79.32,12.01
2022-04-21,24.484583333333333,45.93,13.21
2022-04-22,18.033333333333335,29.96,10.86
2022-04-23,16.584166666666665,22.09,10.1
2022-04-24,11.805416666666666,15.77,8.17
2022-04-25,16.892631578947366,33.31,10.79
2022-04-26,27.79375,45.59,10.23
2022-04-27,21.8025,38.41,13.42
2022-04-28,18.068749999999998,32.46,9.64
2022-04-29,15.787083333333333,24.43,10.61
2022-04-30,19.62333333333333,31.37,10.52
2022-05-01,18.856666666666666,24.37,8.84
2022-05-02,19.745833333333334,41.06,9.11
2022-05-03,25.260416666666668,42.5,13.89
2022-05-04,24.092916666666667,39.2,14.38
2022-05-05,35.63166666666667,59.06,14.14
2022-05-06,27.165833333333335,60.06,10.22
2022-05-07,24.36708333333333,38.05,11.07
2022-05-08,14.17375,23.66,6.64
2022-05-09,20.525833333333335,43.21,10.2
2022-05-10,11.665833333333333,16.06,6.98
2022-05-11,14.727083333333333,27.43,6.75
2022-05-12,15.178333333333333,25.01,9.74
2022-05-13,14.670416666666666,26.18,6.27
2022-05-14,23.455833333333334,40.33,12.2
2022-05-15,36.237500000000004,59.31,22.75
2022-05-16,32.12708333333333,53.74,8.0
2022-05-17,20.358333333333334,37.02,10.79
2022-05-18,14.919166666666667,24.09,7.66
2022-05-19,16.1675,26.46,8.25
2022-05-20,18.39375,34.2,8.48
2022-05-21,13.387916666666667,26.37,6.8
2022-05-22,15.830833333333333,25.68,6.51
2022-05-23,19.9475,27.99,9.92
2022-05-24,15.319583333333334,28.48,7.68
2022-05-25,20.715,29.11,12.08
2022-05-26,7.94,26.7,5.18
2022-05-27,9.946250000000001,16.18,5.52
2022-05-28,9.8725,16.29,5.7
2022-05-29,10.37375,19.17,4.78
2022-05-30,18.715833333333332,27.69,10.01
2022-05-31,21.53833333333333,43.05,10.25
2022-06-01,23.198333333333334,47.33,11.49
2022-06-02,26.601249999999997,49.04,14.24
2022-06-03,19.525833333333335,29.41,9.07
2022-06-04,8.084583333333333,18.65,4.95
2022-06-05,10.899583333333332,23.7,5.61
2022-06-06,14.809583333333334,23.14,6.73
2022-06-07,13.22125,24.67,7.34
2022-06-08,11.6075,14.94,4.92
2022-06-09,15.032083333333333,21.06,9.47
2022-06-10,11.332083333333335,15.95,6.33
2022-06-11,14.237083333333333,18.19,7.38
2022-06-12,10.43125,19.59,6.71
2022-06-13,20.201666666666668,34.95,9.02
2022-06-14,16.34541666666667,30.98,8.68
2022-06-15,39.30833333333333,61.53,15.42
2022-06-16,32.21791666666667,61.96,12.65
2022-06-17,38.23583333333333,60.6,16.14
2022-06-18,23.301666666666666,60.28,11.5
2022-06-19,13.62,23.12,6.51
2022-06-20,11.993333333333334,21.73,5.97
2022-06-21,31.870833333333334,57.87,15.26
2022-06-22,20.29625,52.1,9.27
2022-06-23,29.977083333333336,49.0,12.79
2022-06-24,11.335,15.36,5.74
2022-06-25,12.289583333333333,16.76,6.4
2022-06-26,10.463333333333333,18.27,3.94
2022-06-27,10.382916666666667,16.06,5.61
2022-06-28,8.893333333333333,14.62,5.49
2022-06-29,12.8525,18.87,7.7
2022-06-30,13.40375,20.25,7.28
2022-07-01,16.237916666666667,24.65,8.49
2022-07-02,8.045,18.65,4.5
2022-07-03,11.371666666666668,17.65,5.45
2022-07-04,17.625,26.7,8.92
2022-07-05,12.188333333333333,22.19,7.18
2022-07-06,44.86958333333333,60.14,8.63
2022-07-07,16.765833333333333,62.21,5.84
2022-07-08,20.379583333333333,34.44,8.86
2022-07-09,19.378333333333334,29.88,6.4
2022-07-10,12.449166666666665,24.42,7.38
2022-07-11,17.0025,24.49,8.41
2022-07-12,26.92625,43.64,11.78
2022-07-13,30.609166666666667,48.99,11.36
2022-07-14,17.957083333333333,43.01,8.42
2022-07-15,17.992083333333333,27.11,8.52
2022-07-16,13.38125,21.19,8.76
2022-07-17,18.81416666666667,34.66,8.11
2022-07-18,35.72083333333333,62.41,11.96
2022-07-19,38.29541666666667,70.87,9.56
2022-07-20,12.835416666666667,24.74,5.8
2022-07-21,19.75375,25.17,11.45
2022-07-22,17.0075,26.86,8.96
2022-07-23,8.7475,22.68,4.97
2022-07-24,7.791666666666667,16.58,4.22
2022-07-25,16.071666666666665,23.67,6.5
2022-07-26,28.054166666666664,48.47,7.9
2022-07-27,21.12875,28.55,13.49
2022-07-28,22.42375,34.12,11.75
2022-07-29,20.9875,32.1,9.0
2022-07-30,17.793333333333333,31.23,7.15
2022-07-31,15.09375,24.02,6.59
2022-08-01,24.915833333333335,36.39,12.34
2022-08-02,11.366666666666667,28.72,6.6
2022-08-03,12.357916666666666,19.04,5.58
2022-08-04,15.85875,24.55,7.59
2022-08-05,14.271666666666667,24.27,6.44
2022-08-06,15.380833333333333,28.48,6.03
2022-08-07,19.773333333333333,36.26,3.93
2022-08-08,17.7425,33.17,7.38
2022-08-09,23.318749999999998,32.03,11.99
2022-08-10,25.20625,35.64,11.96
2022-08-11,27.47375,38.49,13.31
2022-08-12,23.750833333333333,35.07,11.8
2022-08-13,34.32333333333333,49.39,14.02
2022-08-14,30.5275,52.72,9.68
2022-08-15,29.734166666666667,44.56,14.23
2022-08-16,32.57,50.07,15.91
2022-08-17,33.68958333333333,51.53,12.4
2022-08-18,50.4575,80.61,20.91
2022-08-19,12.70875,70.47,6.65
2022-08-20,13.062916666666666,19.94,6.0
2022-08-21,11.635,15.43,5.95
2022-08-22,13.912916666666668,24.84,7.47
2022-08-23,10.8975,13.88,6.38
2022-08-24,12.823333333333332,30.81,5.43
2022-08-25,22.22083333333333,36.26,16.7
2022-08-26,27.896666666666665,49.9,17.13
2022-08-27,18.25166666666667,49.01,6.78
2022-08-28,16.175833333333333,25.5,6.38
2022-08-29,11.846666666666666,21.27,6.1
2022-08-30,34.922916666666666,51.77,9.63
2022-08-31,23.074583333333333,40.76,8.84
2022-09-01,31.3925,56.48,15.85
2022-09-02,30.60291666666667,48.64,17.3
2022-09-03,22.187083333333334,36.37,10.76
2022-09-04,14.338333333333333,25.45,7.43
2022-09-05,22.454583333333332,36.21,11.93
2022-09-06,17.202083333333334,28.36,8.89
2022-09-07,22.954583333333332,30.16,10.51
2022-09-08,20.970833333333335,29.67,8.55
2022-09-09,29.971666666666668,51.63,12.64
2022-09-10,27.998333333333335,46.66,14.19
2022-09-11,20.183333333333334,41.32,9.79
2022-09-12,25.58458333333333,53.67,12.71
2022-09-13,28.947916666666668,53.8,12.76
2022-09-14,27.877499999999998,45.31,14.45
2022-09-15,33.285000000000004,46.77,13.03
2022-09-16,16.390833333333333,39.54,7.57
2022-09-17,28.537916666666664,57.51,7.68
2022-09-18,24.94875,37.31,6.17
2022-09-19,19.649583333333332,38.48,6.43
2022-09-20,31.478333333333335,62.49,11.93
2022-09-21,36.391666666666666,62.22,14.07
2022-09-22,25.95875,42.62,13.37
2022-09-23,18.835833333333333,27.64,9.73
2022-09-24,12.832916666666668,27.87,7.58
2022-09-25,10.94375,21.22,4.87
2022-09-26,12.756666666666668,19.87,5.35
2022-09-27,20.71590909090909,45.49,7.92
2022-09-28,30.461250000000003,61.84,11.9
2022-09-29,37.558749999999996,61.42,15.89
2022-09-30,24.427083333333332,47.91,8.4
2022-10-01,9.77875,15.7,6.25
2022-10-02,22.3175,54.28,7.64
2022-10-03,42.96625,59.04,26.3
2022-10-04,17.440833333333334,24.62,7.05
2022-10-05,12.284999999999998,23.01,3.32
2022-10-06,19.655833333333334,39.69,9.15
2022-10-07,15.0,25.29,6.86
2022-10-08,42.47416666666667,77.16,11.67
2022-10-09,29.752499999999998,62.02,9.33
2022-10-10,57.885416666666664,80.36,19.47
2022-10-11,57.89541666666667,85.75,27.93
2022-10-12,31.60875,61.2,12.95
2022-10-13,29.949166666666667,53.71,12.66
2022-10-14,35.87708333333333,47.61,17.11
2022-10-15,18.495416666666667,28.2,7.93
2022-10-16,15.309166666666668,24.12,6.17
2022-10-17,27.394166666666667,50.54,10.56
2022-10-18,28.48875,48.92,18.16
2022-10-19,22.2625,30.15,13.93
2022-10-20,56.85708333333333,82.53,29.48
2022-10-21,23.379583333333333,59.61,10.7
2022-10-22,11.970833333333333,19.2,4.61
2022-10-23,16.669583333333332,20.86,7.56
2022-10-24,12.33375,23.86,2.92
2022-10-25,17.5275,26.79,7.2
2022-10-26,26.329166666666666,37.98,10.86
2022-10-27,22.63,39.64,11.7
2022-10-28,30.0125,45.05,12.87
2022-10-29,25.750833333333333,34.97,14.06
2022-10-30,14.8576,20.65,10.09
2022-10-31,23.633333333333336,42.14,5.32
2022-11-01,10.156666666666666,16.56,2.91
2022-11-02,15.909999999999998,30.34,5.05
2022-11-03,34.214166666666664,69.95,8.09
2022-11-04,36.23875,61.22,17.47
2022-11-05,23.177916666666665,39.08,13.56
2022-11-06,12.067083333333334,18.48,7.27
2022-11-07,14.798260869565217,26.03,7.26
2022-11-08,12.704583333333334,21.7,5.17
2022-11-09,13.406666666666666,25.57,6.5
2022-11-10,16.800416666666667,22.07,8.52
2022-11-11,15.744166666666667,31.15,5.52
2022-11-12,33.68833333333333,49.61,17.2
2022-11-13,28.082083333333333,44.48,12.38
2022-11-14,30.131249999999998,44.18,16.5
2022-11-15,19.483333333333334,34.78,9.07
2022-11-16,19.28125,37.03,6.81
2022-11-17,19.11916666666667,29.69,7.04
2022-11-18,22.868750000000002,39.72,5.97
2022-11-19,30.523750000000003,62.04,13.41
2022-11-20,24.329166666666666,42.12,13.2
2022-11-21,22.513749999999998,38.26,12.67
2022-11-22,33.47208333333334,66.13,5.78
2022-11-23,24.954166666666666,36.96,12.17
2022-11-24,19.570416666666667,43.32,6.18
2022-11-25,31.68875,61.47,8.27
2022-11-26,21.327916666666667,32.2,9.41
2022-11-27,23.541666666666668,40.94,7.49
2022-11-28,47.09,70.74,17.11
2022-11-29,36.41625,60.26,14.14
2022-11-30,34.964166666666664,51.98,19.83
2022-12-01,41.14041666666667,53.91,22.14
2022-12-02,30.330833333333334,53.24,13.64
2022-12-03,17.341666666666665,25.54,5.87
2022-12-04,19.535,26.74,9.97
2022-12-05,25.452083333333334,34.49,11.69
2022-12-06,34.11833333333333,48.52,13.79
2022-12-07,39.95695652173913,64.7,15.04
2022-12-08,51.32764705882352,67.39,35.0
2022-12-09,45.08705882352941,62.62,35.18
2022-12-10,51.058888888888895,65.1,38.64
2022-12-11,49.11529411764706,68.18,24.14
2022-12-12,30.56888888888889,49.69,18.59
2022-12-13,68.64823529411764,91.17,40.54
2022-12-14,44.42,57.59,25.1
2022-12-15,62.540000000000006,81.94,31.71
2022-12-16,54.01277777777778,80.83,32.57
2022-12-17,53.92055555555556,75.86,35.7
2022-12-18,23.088823529411766,31.42,11.24
2022-12-19,12.593333333333334,21.86,5.67
2022-12-20,28.155,68.91,4.29
2022-12-21,27.39777777777778,55.68,11.96
2022-12-22,27.85529411764706,43.81,14.42
2022-12-23,17.589444444444446,30.47,7.92
2022-12-24,17.887777777777778,30.24,6.18
2022-12-25,8.648235294117647,14.51,5.18
2022-12-26,11.044444444444444,19.19,2.76
2022-12-27,12.293888888888889,18.28,5.41
2022-12-28,8.094444444444443,12.34,4.05
2022-12-29,9.179411764705883,16.63,2.59
2022-12-30,10.833888888888888,18.07,5.24
2022-12-31,7.716666666666667,10.77,3.16
2023-01-01,11.027058823529412,23.55,3.83
2023-01-02,26.83888888888889,62.58,7.14
2023-01-03,15.136666666666665,28.31,3.75
2023-01-04,6.571111111111112,9.02,1.9
2023-01-05,15.101764705882355,37.29,4.27
2023-01-06,18.96388888888889,35.93,2.9
2023-01-07,8.334444444444445,12.38,3.2
2023-01-08,10.679411764705883,19.28,3.09
2023-01-09,18.589444444444446,29.8,6.58
2023-01-10,20.389444444444443,31.2,6.51
2023-01-11,10.637777777777778,16.19,4.27
2023-01-12,8.221176470588235,12.86,1.93
2023-01-13,12.557777777777778,26.98,2.63
2023-01-14,9.087222222222222,12.45,4.25
2023-01-15,13.212352941176471,26.46,2.8
2023-01-16,27.496666666666666,58.48,7.98
2023-01-17,72.5188888888889,105.79,48.34
2023-01-18,40.72588235294118,61.31,20.72
2023-01-19,47.20117647058824,64.91,26.93
2023-01-20,39.196666666666665,62.72,19.89
2023-01-21,44.42055555555556,65.09,20.12
2023-01-22,57.18705882352941,91.07,34.23
2023-01-23,76.67333333333335,125.73,44.45
2023-01-24,34.62777777777777,54.52,20.03
2023-01-25,38.07,54.87,17.22
2023-01-26,22.29888888888889,36.8,11.61
2023-01-27,29.995555555555555,59.72,7.73
2023-01-28,38.11888888888889,56.12,15.77
2023-01-29,21.293529411764705,34.49,12.03
2023-01-30,33.66411764705882,69.97,7.61
2023-01-31,22.642222222222223,40.78,10.6
2023-02-01,19.271764705882354,27.38,7.74
2023-02-02,17.361176470588234,36.29,6.74
2023-02-03,27.5,50.94,5.85
2023-02-04,26.13611111111111,42.49,16.31
2023-02-05,26.09,60.04,7.19
2023-02-06,74.23444444444445,113.62,33.26
2023-02-07,64.07333333333332,92.3,43.75
2023-02-08,56.15588235294118,79.49,29.61
2023-02-09,42.78388888888889,68.95,20.8
2023-02-10,39.233333333333334,73.16,18.18
2023-02-11,27.772777777777776,37.79,11.99
2023-02-12,23.365882352941178,46.56,12.56
2023-02-13,32.39611111111111,56.5,8.35
2023-02-14,61.20333333333334,99.38,35.6
2023-02-15,37.18352941176471,59.94,15.28
2023-02-16,16.162222222222223,29.44,7.51
2023-02-17,12.53111111111111,21.31,5.22
2023-02-18,11.270555555555555,16.29,3.33
2023-02-19,16.63705882352941,28.49,7.62
2023-02-20,16.90777777777778,29.46,4.19
2023-02-21,27.316111111111113,54.96,6.03
2023-02-22,39.58588235294118,55.63,20.62
2023-02-23,18.241666666666667,40.2,5.7
2023-02-24,31.215,46.1,13.61
2023-02-25,12.599444444444444,19.91,7.6
2023-02-26,17.58235294117647,35.22,7.26
2023-02-27,26.228333333333335,43.98,13.33
2023-02-28,27.02777777777778,49.92,13.52
2023-03-01,22.164117647058823,43.21,7.86
2023-03-02,21.876666666666665,37.9,11.82
2023-03-03,22.147222222222222,37.21,7.97
2023-03-04,17.365,33.44,4.32
2023-03-05,19.26764705882353,34.91,11.1
2023-03-06,30.58777777777778,51.01,12.78
2023-03-07,36.42666666666667,82.34,7.56
2023-03-08,31.36764705882353,58.19,19.11
2023-03-09,27.045294117647057,52.11,12.68
2023-03-10,34.84411764705882,74.65,9.57
2023-03-11,28.69764705882353,64.88,8.11
2023-03-12,8.611764705882353,11.92,5.15
2023-03-13,5.444444444444445,9.7,2.05
2023-03-14,15.715,25.83,3.83
2023-03-15,26.253529411764706,50.87,11.13
2023-03-16,16.954444444444444,36.44,6.93
2023-03-17,23.60666666666667,35.88,8.61
2023-03-18,21.202777777777776,34.93,12.12
2023-03-19,16.331176470588236,33.48,6.23
2023-03-20,13.663333333333334,20.01,6.71
2023-03-21,12.252777777777778,27.91,5.45
2023-03-22,10.112941176470589,19.05,1.7
2023-03-23,8.874117647058824,16.17,2.27
2023-03-24,10.525294117647059,17.55,3.7
2023-03-25,11.288888888888888,20.85,2.65
2023-03-26,17.634117647058822,30.56,7.16
2023-03-27,16.401764705882353,31.41,5.92
