Date,PM2.5_mean,PM2.5_max,PM2.5_min
2022-03-03,10.13,23.32,0.6
2022-03-04,10.124166666666666,16.17,4.13
2022-03-05,8.85125,33.23,0.0
2022-03-06,6.3133333333333335,14.22,3.44
2022-03-07,10.16125,18.78,3.48
2022-03-08,26.236666666666668,34.67,15.9
2022-03-09,9.078333333333333,20.03,3.68
2022-03-10,11.308333333333332,16.95,5.64
2022-03-11,8.56375,18.13,1.88
2022-03-12,3.7708333333333335,7.88,2.16
2022-03-13,4.42125,7.22,2.47
2022-03-14,7.21875,15.89,3.13
2022-03-15,9.82,16.93,5.41
2022-03-16,15.239166666666668,21.38,3.56
2022-03-17,4.895833333333333,12.01,1.82
2022-03-18,9.910833333333334,18.75,5.62
2022-03-19,15.01,22.33,8.18
2022-03-20,20.27625,39.46,3.51
2022-03-21,34.23416666666667,59.68,17.94
2022-03-22,33.800000000000004,62.66,10.92
2022-03-23,36.95375,63.93,14.79
2022-03-24,40.69375,71.76,18.37
2022-03-25,51.37833333333333,99.93,11.99
2022-03-26,30.369583333333335,48.33,8.32
2022-03-27,11.835217391304347,17.71,6.31
2022-03-28,26.362916666666667,33.82,15.56
2022-03-29,29.488333333333333,37.32,22.66
2022-03-30,27.14916666666667,38.2,0.28
2022-03-31,3.2670833333333333,5.08,0.82
2022-04-01,3.3083333333333336,4.15,2.8
2022-04-02,6.2195833333333335,14.78,2.46
2022-04-03,9.65,21.34,1.43
2022-04-04,5.2700000000000005,13.43,2.52
2022-04-05,4.2595833333333335,10.74,1.0
2022-04-06,2.5504166666666666,5.97,0.36
2022-04-07,1.6845833333333333,7.12,0.0
2022-04-08,6.105416666666667,12.74,3.01
2022-04-09,5.859583333333333,12.6,2.79
2022-04-10,6.682083333333334,12.87,2.78
2022-04-11,10.520000000000001,15.88,3.9
2022-04-12,11.7325,22.96,4.56
2022-04-13,8.226666666666667,15.43,3.27
2022-04-14,6.031666666666666,9.31,3.43
2022-04-15,10.0475,23.1,3.67
2022-04-16,26.102500000000003,39.85,12.87
2022-04-17,19.131666666666668,44.08,2.12
2022-04-18,9.905,23.79,3.51
2022-04-19,7.417083333333333,13.19,3.96
2022-04-20,12.67125,23.81,5.39
2022-04-21,12.800416666666669,25.26,4.15
2022-04-22,11.778333333333334,17.6,7.04
2022-04-23,20.97625,25.81,13.4
2022-04-24,12.721666666666666,20.59,5.92
2022-04-25,9.716315789473683,15.54,6.79
2022-04-26,6.985416666666667,11.03,3.8
2022-04-27,5.3012500000000005,14.75,2.43
2022-04-28,9.632083333333332,14.0,4.24
2022-04-29,7.520416666666667,12.67,4.03
2022-04-30,8.270416666666668,13.15,5.44
