Date,NO2_mean,NO2_max,NO2_min
2022-08-13,35.63181818181818,61.54,10.97
2022-08-14,31.427083333333332,58.8,9.37
2022-08-15,37.07083333333333,61.1,12.62
2022-08-16,39.807916666666664,54.7,17.74
2022-08-17,31.039583333333336,53.8,11.6
2022-08-18,19.457916666666666,31.79,8.14
2022-08-19,17.730833333333333,32.61,7.41
2022-08-20,16.959583333333335,30.35,5.74
2022-08-21,26.023750000000003,43.93,8.86
2022-08-22,20.07,45.11,7.76
2022-08-23,10.931176470588234,17.61,6.42
2022-08-25,18.432666666666666,23.24,13.97
2022-08-26,34.35916666666667,59.53,15.76
2022-08-27,16.643333333333334,56.41,7.27
2022-08-28,19.800416666666667,30.63,7.14
2022-08-29,12.378333333333332,27.39,5.72
2022-08-30,36.067083333333336,54.92,11.69
2022-08-31,16.394166666666667,41.17,7.18
2022-09-01,16.436666666666667,33.1,8.89
2022-09-02,29.17833333333333,47.55,19.11
2022-09-03,21.10875,32.2,10.66
2022-09-04,16.72375,26.32,8.47
2022-09-05,31.41,50.45,13.73
2022-09-06,24.485416666666666,41.87,10.68
2022-09-07,23.5725,37.89,10.43
2022-09-08,31.45041666666667,52.09,9.94
2022-09-09,33.251666666666665,57.82,11.99
2022-09-10,29.98625,49.7,12.12
2022-09-11,24.29041666666667,44.83,9.54
2022-09-12,39.68833333333333,73.02,17.09
2022-09-13,29.205416666666668,72.81,16.1
2022-09-14,21.84958333333333,36.47,10.04
2022-09-15,28.063333333333333,37.96,11.9
2022-09-16,20.097916666666666,33.08,8.88
2022-09-17,28.48708333333333,58.66,7.52
2022-09-18,22.140833333333333,41.04,6.03
2022-09-19,22.75125,36.53,7.12
2022-09-20,36.100833333333334,75.05,12.43
2022-09-21,48.9075,71.77,20.18
2022-09-22,40.004583333333336,68.04,16.2
2022-09-23,27.5175,46.89,12.52
2022-09-24,15.665,35.69,8.39
2022-09-25,14.770000000000001,34.95,6.47
2022-09-26,16.43583333333333,29.93,3.18
2022-09-27,23.749166666666667,57.72,5.49
2022-09-28,32.00208333333334,66.98,14.64
2022-09-29,47.03791666666667,76.04,17.87
2022-09-30,25.682083333333335,63.81,8.16
2022-10-01,15.495416666666666,28.81,7.65
2022-10-02,21.638333333333335,55.21,6.95
2022-10-03,51.227916666666665,78.13,19.21
2022-10-04,31.583333333333332,48.46,12.61
2022-10-05,15.117083333333333,24.58,3.44
2022-10-06,24.135,52.59,7.74
2022-10-07,18.41625,37.58,7.69
2022-10-08,30.604583333333334,66.43,11.07
2022-10-09,33.81541666666667,51.01,10.59
2022-10-10,35.375416666666666,54.56,12.43
2022-10-11,52.36833333333333,78.19,27.95
2022-10-12,35.68875,58.24,14.38
2022-10-13,29.075416666666666,44.91,10.86
2022-10-14,36.78791666666667,49.5,20.01
2022-10-15,24.336250000000003,37.37,9.98
2022-10-16,14.882083333333334,22.21,4.33
2022-10-17,32.327083333333334,65.79,12.95
2022-10-18,46.403333333333336,66.07,16.34
2022-10-19,22.150000000000002,31.96,13.41
2022-10-20,47.24333333333333,66.34,27.29
2022-10-21,22.098333333333333,53.34,7.34
2022-10-22,18.33875,35.46,4.76
2022-10-23,24.242083333333337,35.62,9.48
2022-10-24,18.577916666666667,39.07,3.13
2022-10-25,26.582916666666666,45.61,10.96
2022-10-26,22.334285714285716,28.81,10.47
2022-10-28,19.102857142857143,20.48,15.98
2022-10-29,21.537916666666664,35.33,10.95
2022-10-30,21.691599999999998,27.76,13.98
2022-10-31,30.93958333333333,50.6,4.95
2022-11-01,16.002916666666668,27.67,3.64
2022-11-02,17.91375,37.25,5.53
2022-11-03,34.70875,57.7,14.32
2022-11-04,37.33875,59.55,16.87
2022-11-05,23.998333333333335,35.69,15.89
2022-11-06,21.788749999999997,28.38,12.56
2022-11-07,15.046086956521739,27.48,7.86
2022-11-08,18.21375,33.04,5.29
2022-11-09,22.39708333333333,38.28,9.98
2022-11-10,16.121666666666666,25.19,9.69
2022-11-11,18.635416666666668,36.87,6.56
2022-11-12,37.225,46.21,18.86
2022-11-13,22.219166666666666,35.0,10.95
2022-11-14,28.1825,36.49,14.44
2022-11-15,30.82238095238095,47.41,9.26
2022-11-16,24.93958333333333,41.38,7.4
2022-11-17,23.016666666666666,32.4,6.25
2022-11-18,17.669999999999998,33.74,6.11
2022-11-19,24.873333333333335,47.05,12.78
2022-11-20,26.62291666666667,38.81,10.8
2022-11-21,23.760454545454547,35.5,9.77
2022-11-22,25.67,53.32,4.23
2022-11-23,23.708333333333332,31.39,11.53
2022-11-24,21.45125,45.98,6.02
2022-11-25,27.11375,50.45,6.34
2022-11-26,19.90625,33.16,7.78
2022-11-27,23.854166666666668,42.87,5.21
2022-11-28,36.054500000000004,54.96,17.07
2022-11-29,27.431578947368422,40.15,11.32
2022-11-30,31.234545454545454,41.58,20.53
2022-12-01,36.43521739130435,66.57,20.83
2022-12-02,29.852500000000003,41.26,12.68
2022-12-03,14.693157894736842,21.18,5.16
2022-12-04,15.7845,20.49,8.67
2022-12-05,20.253,27.7,8.7
2022-12-06,24.506315789473685,36.88,12.34
2022-12-07,33.66227272727273,54.28,16.24
2022-12-08,51.057391304347824,61.79,38.54
2022-12-09,46.78333333333333,57.13,37.95
2022-12-10,54.31625,66.78,44.73
2022-12-11,45.81041666666667,58.46,28.93
2022-12-12,33.8704347826087,45.26,22.87
2022-12-13,54.701052631578946,65.63,43.14
2022-12-14,35.05277777777778,46.9,25.1
2022-12-15,54.344500000000004,72.07,31.71
2022-12-16,53.14047619047619,67.46,32.57
2022-12-17,51.6905,65.04,35.7
2022-12-18,19.548947368421054,27.06,11.24
2022-12-19,15.607,23.0,6.82
2022-12-20,22.955789473684213,48.5,4.29
2022-12-21,24.243684210526315,44.07,13.22
2022-12-22,31.254444444444445,52.49,16.04
2022-12-23,20.413999999999998,38.28,9.53
2022-12-24,20.895263157894735,39.55,6.83
2022-12-25,11.220526315789474,19.71,5.3
2022-12-26,14.850476190476192,26.3,2.96
2022-12-27,15.921363636363635,26.7,5.41
2022-12-28,7.452105263157895,12.06,4.05
2022-12-29,13.967222222222222,24.26,2.65
2022-12-30,13.703999999999999,19.06,5.24
2022-12-31,12.458,17.84,4.33
2023-01-01,17.59222222222222,37.01,5.04
2023-01-02,28.915238095238095,51.15,8.2
2023-01-03,19.186500000000002,32.28,4.14
2023-01-04,12.380526315789472,19.63,1.9
2023-01-05,17.91,41.2,4.27
2023-01-06,22.01090909090909,43.35,3.49
2023-01-07,13.453157894736842,18.46,6.69
2023-01-08,13.399000000000001,28.03,3.09
2023-01-09,21.244999999999997,33.44,8.92
2023-01-10,26.2125,42.51,6.51
2023-01-11,17.94263157894737,29.11,4.33
2023-01-12,12.885789473684211,21.94,2.27
2023-01-13,14.822,31.23,2.63
2023-01-14,9.706,16.77,4.41
2023-01-15,15.88857142857143,35.57,3.78
2023-01-16,31.9125,58.51,9.95
2023-01-17,73.0865,101.18,48.34
2023-01-18,54.957142857142856,78.5,24.67
2023-01-19,56.78458333333333,85.57,28.9
2023-01-20,46.100833333333334,69.29,22.89
2023-01-21,56.1675,73.39,24.28
2023-01-22,74.73916666666666,94.68,56.69
2023-01-23,67.75375,100.07,50.0
2023-01-24,36.52478260869565,71.19,20.38
2023-01-25,43.966521739130435,52.3,17.22
2023-01-26,21.458571428571428,28.47,12.46
2023-01-27,29.93227272727273,55.53,9.13
2023-01-28,39.97260869565218,59.91,15.77
2023-01-29,21.20809523809524,40.51,12.03
2023-01-30,30.187727272727273,72.62,9.59
2023-01-31,33.28416666666667,46.04,13.75
2023-02-01,19.074166666666667,30.88,9.61
2023-02-02,19.824583333333333,41.67,8.15
2023-02-03,24.995,53.74,7.24
2023-02-04,25.5325,41.4,17.96
2023-02-05,33.572916666666664,69.24,8.6
2023-02-06,81.0025,104.16,45.98
2023-02-07,66.24083333333333,80.78,51.23
2023-02-08,51.72208333333333,65.19,32.78
2023-02-09,59.184583333333336,86.55,27.43
2023-02-10,49.562916666666666,72.6,20.03
2023-02-11,27.683913043478263,47.48,15.63
2023-02-12,21.9865,29.97,12.85
2023-02-13,34.40409090909091,57.26,8.35
2023-02-14,55.3475,73.06,38.42
2023-02-15,35.04541666666667,52.96,16.57
2023-02-16,22.875416666666666,35.69,11.37
2023-02-17,16.905,25.79,7.94
2023-02-18,17.48875,25.52,4.77
2023-02-19,20.754761904761907,38.05,11.07
2023-02-20,18.76625,36.59,5.92
2023-02-21,32.9625,66.21,8.2
2023-02-22,43.03,69.61,26.09
2023-02-23,21.337391304347825,45.4,5.7
2023-02-24,37.73913043478261,58.24,16.24
2023-02-25,16.66375,26.33,8.23
2023-02-26,18.20625,34.56,8.71
2023-02-27,31.3025,62.61,15.79
2023-02-28,31.61826086956522,57.03,16.46
2023-03-01,18.48409090909091,33.88,8.03
2023-03-02,22.334166666666665,40.66,11.98
2023-03-03,26.8625,44.53,10.84
2023-03-04,19.645416666666666,34.19,5.46
2023-03-05,20.995,33.07,13.67
2023-03-06,41.513333333333335,65.48,17.31
2023-03-07,37.65916666666667,76.37,10.51
2023-03-08,35.535833333333336,55.26,19.14
2023-03-09,31.352500000000003,48.89,17.59
2023-03-10,30.470416666666665,75.44,13.67
2023-03-11,44.486250000000005,73.16,14.45
2023-03-12,17.3775,37.99,7.09
2023-03-13,10.445416666666667,14.51,2.12
2023-03-14,16.319166666666668,29.17,5.23
2023-03-15,39.80291666666667,65.16,13.01
2023-03-16,22.083333333333332,41.34,9.91
2023-03-17,33.245,49.56,14.26
2023-03-18,25.217916666666667,45.84,13.85
2023-03-19,20.68,45.29,8.1
2023-03-20,27.871666666666666,44.05,11.87
2023-03-21,18.855833333333333,33.16,8.57
2023-03-22,12.650833333333333,24.0,2.26
2023-03-23,17.91875,35.02,3.32
2023-03-24,13.529583333333333,26.76,4.69
2023-03-25,18.615416666666665,40.43,7.5
2023-03-26,17.125652173913043,24.45,9.73
2023-03-27,24.922916666666666,47.06,6.71
2023-03-28,18.378333333333334,32.07,8.98
2023-03-29,26.245,42.8,8.24
2023-03-30,17.065833333333334,28.27,5.27
2023-03-31,16.52208333333333,27.06,9.5
2023-04-01,27.027916666666666,46.05,7.53
2023-04-02,14.917083333333332,27.37,4.7
2023-04-03,32.759166666666665,57.77,13.67
2023-04-04,43.27125,62.84,23.18
2023-04-05,34.77708333333333,67.55,16.3
2023-04-06,31.877499999999998,59.63,12.63
2023-04-07,19.511666666666667,40.23,8.2
2023-04-08,21.98708333333333,33.87,9.78
2023-04-09,26.25208333333333,36.0,8.91
2023-04-10,47.53208333333333,66.98,17.91
2023-04-11,20.939583333333335,47.58,12.31
2023-04-12,18.542083333333334,39.01,5.82
2023-04-13,16.694166666666664,32.5,3.88
2023-04-14,27.81958333333333,38.03,10.12
2023-04-15,22.947916666666668,70.66,6.95
2023-04-16,46.85874999999999,71.16,17.23
2023-04-17,26.442083333333333,68.49,10.89
2023-04-18,14.905000000000001,20.61,10.18
2023-04-19,20.805833333333332,27.79,10.63
2023-04-20,20.207083333333333,29.58,8.7
2023-04-21,29.184583333333332,54.83,11.22
2023-04-22,30.564166666666665,58.31,14.26
2023-04-23,24.27416666666667,55.08,8.51
2023-04-24,18.229166666666668,30.32,10.64
2023-04-25,23.77208333333333,47.75,8.52
2023-04-26,23.954166666666666,36.48,11.25
2023-04-27,26.86,43.73,13.45
2023-04-28,24.22375,37.94,10.89
2023-04-29,36.42958333333333,57.91,17.58
2023-04-30,21.425833333333333,48.9,8.15
2023-05-01,20.69333333333333,31.58,9.4
2023-05-02,10.070416666666667,34.92,6.63
2023-05-03,18.729583333333334,33.43,10.14
2023-05-04,30.133333333333336,40.5,16.13
2023-05-05,20.198333333333334,42.95,5.74
2023-05-06,21.155833333333334,33.36,13.75
2023-05-07,23.096249999999998,49.9,6.59
2023-05-08,33.65375,52.31,10.65
2023-05-09,25.6575,52.42,6.75
2023-05-10,35.04625,46.98,13.46
2023-05-11,23.747500000000002,38.64,11.08
2023-05-12,15.035833333333334,32.48,6.83
2023-05-13,13.372083333333334,22.48,4.22
2023-05-14,17.423333333333332,31.5,8.06
2023-05-15,22.08583333333333,39.6,6.34
2023-05-16,23.725416666666664,44.38,8.04
2023-05-17,23.91,39.91,10.33
2023-05-18,22.580416666666665,37.38,12.14
2023-05-19,21.730833333333333,46.08,12.09
2023-05-20,16.199166666666667,26.33,7.13
2023-05-21,7.680416666666666,17.81,4.98
2023-05-22,13.807083333333333,25.53,4.56
2023-05-23,11.197083333333333,20.42,4.73
2023-05-24,20.492083333333333,34.83,9.38
2023-05-25,16.1725,28.59,8.89
2023-05-26,9.846666666666666,13.08,6.87
2023-05-27,14.398333333333333,23.18,8.09
2023-05-28,11.87,22.3,5.39
2023-05-29,4.372272727272727,7.49,3.08
2023-05-30,7.7441666666666675,11.43,4.71
2023-05-31,25.607916666666668,45.97,3.93
2023-06-01,4.0562499999999995,6.79,1.07
2023-06-02,4.1362499999999995,6.03,1.68
2023-06-03,14.83875,25.77,6.49
2023-06-04,10.80375,23.84,6.51
2023-06-05,6.914166666666667,12.55,2.99
2023-06-06,7.075833333333333,10.2,3.04
2023-06-07,8.822083333333333,13.0,3.58
2023-06-08,9.517083333333334,16.69,4.66
2023-06-09,10.19875,13.94,6.99
2023-06-10,41.4275,62.55,13.23
2023-06-11,15.347499999999998,57.4,10.73
2023-06-12,46.56666666666666,65.9,14.13
2023-06-13,18.227083333333333,51.22,10.1
2023-06-14,14.004583333333334,21.02,7.33
2023-06-15,16.19,20.81,10.54
2023-06-16,21.614166666666666,36.83,8.59
2023-06-17,36.678333333333335,51.55,21.94
2023-06-18,26.843333333333334,52.59,10.4
2023-06-19,21.17625,33.79,10.35
2023-06-20,24.76875,38.72,10.25
2023-06-21,16.43916666666667,28.73,8.3
2023-06-22,27.38416666666667,40.59,9.82
2023-06-23,24.66625,43.56,6.26
2023-06-24,22.218333333333334,30.65,8.17
2023-06-25,12.861666666666666,25.61,5.2
2023-06-26,18.5525,30.68,9.37
2023-06-27,29.293333333333333,50.78,7.36
2023-06-28,16.106666666666666,28.34,6.06
2023-06-29,18.71,31.14,8.31
2023-06-30,20.979166666666668,36.71,8.8
2023-07-01,5.355416666666667,20.86,2.86
2023-07-02,13.2975,24.88,5.29
2023-07-03,13.875,21.89,5.34
2023-07-04,16.913333333333334,36.2,5.49
2023-07-05,15.471666666666666,21.75,7.95
2023-07-06,18.921666666666667,36.64,7.18
2023-07-07,37.50875,64.92,12.35
2023-07-08,27.20583333333333,47.79,13.51
2023-07-09,18.51125,35.85,8.15
2023-07-10,7.774166666666667,27.68,5.35
2023-07-11,17.083333333333332,27.61,3.42
2023-07-12,11.337083333333334,18.95,4.44
2023-07-13,9.3325,13.94,4.95
2023-07-14,9.969583333333334,11.91,6.01
2023-07-15,24.25708333333333,39.41,6.45
2023-07-16,8.331249999999999,16.63,3.18
2023-07-17,15.429583333333333,25.59,7.3
2023-07-18,28.897499999999997,49.85,10.36
2023-07-19,21.731666666666666,34.02,9.3
2023-07-20,27.15625,41.78,10.8
2023-07-21,28.23,42.32,12.81
2023-07-22,14.820833333333333,40.98,7.69
2023-07-23,9.10125,19.62,4.51
2023-07-24,16.962500000000002,27.43,8.04
2023-07-25,20.549583333333334,34.65,8.86
2023-07-26,18.26125,35.53,5.58
2023-07-27,8.554166666666667,16.6,4.42
2023-07-28,26.8475,37.78,16.34
2023-07-29,22.79041666666667,34.04,7.62
2023-07-30,11.408333333333333,30.91,2.91
2023-07-31,16.59208333333333,31.21,5.72
2023-08-01,18.653181818181817,26.88,6.01
2023-08-02,22.92125,34.7,8.22
2023-08-03,13.446666666666667,20.24,5.54
2023-08-04,19.239583333333332,43.77,9.06
2023-08-05,25.381666666666664,38.74,8.85
2023-08-06,11.537083333333333,21.5,4.64
2023-08-07,25.16875,41.63,8.53
2023-08-08,25.980833333333333,36.84,14.67
2023-08-09,24.55333333333333,33.65,9.27
2023-08-10,19.45875,34.27,7.39
2023-08-11,15.175416666666665,23.77,7.87
2023-08-12,6.3325,20.82,4.29
2023-08-13,12.614166666666668,20.32,5.78
2023-08-14,10.095,17.81,6.32
2023-08-15,34.064166666666665,49.7,9.38
2023-08-16,22.621666666666666,55.06,10.55
2023-08-17,14.18,23.31,7.09
2023-08-18,14.85375,24.81,7.34
2023-08-19,11.433333333333332,31.21,4.46
2023-08-20,18.701249999999998,31.52,5.43
2023-08-21,23.731666666666666,33.54,8.6
2023-08-22,30.189999999999998,45.33,9.11
2023-08-23,30.405416666666667,50.73,11.82
2023-08-24,33.59708333333334,49.33,18.79
2023-08-25,20.551666666666666,35.06,9.75
2023-08-26,46.848333333333336,66.65,19.15
2023-08-27,23.506666666666664,59.84,8.66
2023-08-28,20.446250000000003,33.73,6.53
2023-08-29,27.38208333333333,43.56,7.4
2023-08-30,20.51125,32.42,6.65
2023-08-31,25.961250000000003,37.74,13.99
2023-09-01,23.987916666666667,37.45,13.76
2023-09-02,12.907083333333333,19.48,9.26
2023-09-03,23.610833333333332,34.24,11.52
2023-09-04,20.21708333333333,33.64,14.93
2023-09-05,31.527916666666666,46.6,15.72
2023-09-06,38.59125,52.2,24.96
2023-09-07,43.440416666666664,83.23,14.17
2023-09-08,75.39208333333333,111.27,18.19
2023-09-09,43.905,77.55,13.36
2023-09-10,38.31666666666667,72.85,10.31
2023-09-11,20.113333333333333,37.81,7.48
2023-09-12,25.75125,38.58,8.8
2023-09-13,17.825833333333332,32.03,3.74
2023-09-14,26.205,45.28,8.85
2023-09-15,34.85458333333333,52.02,14.9
2023-09-16,28.136666666666667,54.62,10.45
2023-09-17,20.822083333333335,34.09,7.59
2023-09-18,16.955833333333334,32.5,4.73
2023-09-19,10.706666666666665,17.53,4.39
2023-09-20,21.60375,42.83,5.97
2023-09-21,20.874166666666667,42.39,4.7
2023-09-22,21.755416666666665,33.21,9.02
2023-09-23,25.110416666666666,40.7,8.83
2023-09-24,11.271666666666667,32.89,5.62
2023-09-25,16.232916666666668,35.9,4.96
2023-09-26,34.95875,55.36,9.11
2023-09-27,18.186666666666667,41.74,7.42
2023-09-28,18.240416666666665,29.7,2.02
2023-09-29,29.57166666666667,53.98,10.45
2023-09-30,14.565833333333332,46.29,6.93
2023-10-01,21.24125,28.96,8.55
2023-10-02,30.329166666666666,41.72,19.86
2023-10-03,15.280000000000001,27.0,5.9
2023-10-04,16.84,30.39,8.42
2023-10-05,20.479583333333334,41.75,6.4
2023-10-06,21.814166666666665,34.47,9.08
2023-10-07,19.57375,36.22,6.67
2023-10-08,29.082083333333333,44.73,12.48
2023-10-09,36.24333333333333,70.61,17.09
2023-10-10,26.549583333333334,51.33,8.27
2023-10-11,11.1275,17.26,4.13
2023-10-12,27.26833333333333,43.06,10.26
2023-10-13,9.243333333333334,15.76,3.45
2023-10-14,25.835833333333337,48.4,7.73
2023-10-15,21.824583333333333,44.74,7.23
2023-10-16,46.968333333333334,67.74,29.3
2023-10-17,20.005,29.52,12.83
2023-10-18,21.442916666666665,27.92,9.15
2023-10-19,15.041666666666666,30.88,4.18
2023-10-20,29.947083333333335,44.13,12.99
2023-10-21,24.418333333333333,35.06,12.98
2023-10-22,22.660833333333333,39.98,7.49
2023-10-23,33.95166666666667,44.49,22.31
2023-10-24,47.4275,64.0,17.42
2023-10-25,36.842083333333335,48.39,20.0
2023-10-26,42.223181818181814,59.65,17.54
2023-10-27,31.239166666666666,48.06,13.78
2023-10-28,24.55666666666667,35.55,11.72
2023-10-29,22.023200000000003,40.36,6.62
2023-10-30,33.07541666666666,64.05,11.45
2023-10-31,31.765416666666667,53.01,16.97
2023-11-01,20.503333333333334,30.96,7.89
2023-11-02,20.755416666666665,42.17,8.19
2023-11-03,20.2625,53.41,3.82
2023-11-04,21.135416666666668,36.02,10.38
2023-11-05,17.84,42.99,7.19
2023-11-06,16.975416666666668,30.71,5.77
2023-11-07,26.11208333333333,43.1,10.47
2023-11-08,38.94916666666666,75.02,21.42
2023-11-09,29.575,40.97,11.68
2023-11-10,27.275000000000002,54.34,9.06
2023-11-11,34.33,53.68,14.09
2023-11-12,34.190000000000005,52.52,14.85
2023-11-13,15.407916666666667,19.24,7.16
2023-11-14,22.719583333333333,42.23,3.91
2023-11-15,21.99478260869565,42.06,8.1
2023-11-16,50.98434782608696,67.2,27.79
2023-11-17,34.37045454545454,58.32,14.47
2023-11-18,17.052500000000002,27.75,6.23
2023-11-19,6.912857142857142,12.12,2.57
2023-11-20,24.56904761904762,55.13,5.69
2023-11-21,17.61095238095238,26.0,7.26
2023-11-22,30.924285714285713,46.07,16.11
2023-11-23,25.12857142857143,32.99,7.75
2023-11-24,18.401666666666667,33.94,5.59
2023-11-25,41.597500000000004,71.04,13.21
2023-11-26,39.76208333333333,57.21,22.35
2023-11-27,19.134736842105262,31.93,4.17
2023-11-28,44.02761904761905,77.56,15.85
2023-11-29,39.94916666666666,63.52,24.49
2023-11-30,40.994166666666665,47.36,25.36
2023-12-01,34.891666666666666,52.96,21.61
2023-12-02,33.2075,56.09,15.13
2023-12-03,24.666363636363634,39.13,11.57
2023-12-04,19.337368421052634,37.89,4.93
2023-12-05,25.482,64.74,11.02
2023-12-06,42.07684210526316,56.92,15.97
2023-12-07,14.792631578947368,28.02,9.81
2023-12-08,29.77894736842105,52.94,10.47
2023-12-09,18.437368421052632,29.87,6.2
2023-12-10,19.52809523809524,36.03,3.67
2023-12-11,31.791363636363634,69.51,1.71
2023-12-12,30.289499999999997,53.81,12.42
2023-12-13,19.691111111111113,26.92,12.28
2023-12-14,37.76578947368421,62.55,11.75
2023-12-15,41.64,54.78,25.71
2023-12-16,12.852916666666667,19.77,7.81
2023-12-17,10.698749999999999,14.51,5.43
2023-12-18,16.161666666666665,25.42,5.92
2023-12-19,21.5625,33.92,6.72
2023-12-20,17.666666666666668,38.74,8.99
2023-12-21,13.60875,19.91,6.83
2023-12-22,10.737222222222222,14.81,2.95
2023-12-23,7.521666666666666,14.12,3.47
2023-12-24,3.802222222222222,5.64,1.79
2023-12-25,6.032222222222222,12.17,2.05
2023-12-26,23.355,46.87,2.7
2023-12-27,11.251111111111111,20.55,3.47
2023-12-28,10.605,19.44,2.06
2023-12-29,12.158888888888889,24.63,2.99
2023-12-30,11.901666666666666,27.91,3.79
2023-12-31,10.67,20.96,2.71
2024-01-01,12.671666666666667,25.38,3.68
2024-01-02,14.351666666666667,35.05,2.67
2024-01-03,16.83,27.38,3.79
2024-01-04,20.728235294117646,35.79,4.35
