Date,NO2_mean,NO2_max,NO2_min
2023-07-28,19.899166666666666,25.16,10.15
2023-07-29,26.970416666666665,37.7,7.97
2023-07-30,10.6525,32.2,3.11
2023-07-31,21.51375,30.72,6.9
2023-08-01,13.110000000000001,21.89,8.03
2023-08-02,23.02,33.85,8.08
2023-08-03,12.840416666666668,19.87,5.42
2023-08-04,18.36,40.31,10.19
2023-08-05,22.575,34.28,10.03
2023-08-06,10.370416666666666,18.12,5.43
2023-08-07,26.51291666666667,36.95,14.21
2023-08-08,36.244166666666665,54.07,24.98
2023-08-09,18.362916666666667,42.06,10.63
2023-08-10,16.535,32.48,7.06
2023-08-11,13.118333333333334,18.53,8.02
2023-08-12,6.3495833333333325,17.22,4.0
2023-08-13,9.900833333333333,15.49,5.92
2023-08-14,10.053333333333333,18.05,6.31
2023-08-15,22.650833333333335,34.71,9.37
2023-08-16,22.224166666666665,44.29,11.13
2023-08-17,13.000416666666666,23.8,7.87
2023-08-18,17.042916666666667,27.53,8.17
2023-08-19,12.423333333333332,34.23,4.68
2023-08-20,15.057083333333333,25.45,6.28
2023-08-21,12.71,22.44,7.06
2023-08-22,17.927916666666665,31.83,7.81
2023-08-23,26.147499999999997,37.6,14.51
2023-08-24,35.10583333333333,51.0,19.5
2023-08-25,17.203333333333333,30.31,9.39
2023-08-26,27.473333333333333,46.58,8.32
2023-08-27,21.046666666666667,47.39,8.67
2023-08-28,20.100833333333334,28.84,9.91
2023-08-29,25.395416666666666,42.02,9.86
2023-08-30,21.39833333333333,31.9,10.75
2023-08-31,25.650833333333335,37.59,12.21
2023-09-01,25.33583333333333,40.56,13.18
2023-09-02,14.480416666666665,19.5,10.11
2023-09-03,24.957083333333333,34.2,14.16
2023-09-04,19.379583333333333,32.36,15.06
2023-09-05,33.973333333333336,50.5,19.34
2023-09-06,39.549166666666665,57.34,26.17
2023-09-07,36.108333333333334,62.5,16.6
2023-09-08,77.61541666666666,111.29,24.54
2023-09-09,43.404583333333335,93.54,12.39
2023-09-10,36.09125,73.74,10.31
2023-09-11,23.353333333333335,40.37,7.04
2023-09-12,27.290833333333335,40.26,8.98
2023-09-13,17.969583333333333,33.12,3.88
2023-09-14,25.767916666666665,42.29,10.69
2023-09-15,31.011666666666667,46.13,15.3
2023-09-16,27.67958333333333,48.9,10.89
2023-09-17,19.40125,30.73,8.59
2023-09-18,16.91541666666667,33.81,5.76
2023-09-19,10.339166666666666,16.91,3.96
2023-09-20,21.834999999999997,43.85,7.56
2023-09-21,22.624583333333334,43.46,4.37
2023-09-22,16.815416666666668,27.08,7.72
2023-09-23,35.882083333333334,47.46,18.24
2023-09-24,12.007916666666667,45.17,5.06
2023-09-25,16.185416666666665,33.79,3.39
2023-09-26,46.17416666666667,66.7,19.64
2023-09-27,26.806250000000002,47.18,11.27
2023-09-28,18.89875,31.79,2.08
2023-09-29,26.015833333333333,48.5,6.21
2023-09-30,13.159166666666666,36.75,6.59
2023-10-01,16.699583333333333,24.39,7.64
2023-10-02,33.55583333333333,45.91,20.45
2023-10-03,18.291666666666668,29.47,8.39
2023-10-04,17.745833333333334,29.71,8.88
2023-10-05,15.284166666666666,33.06,6.14
2023-10-06,17.879583333333333,28.7,7.75
2023-10-07,15.395416666666668,32.4,7.62
2023-10-08,28.39625,39.49,13.93
2023-10-09,34.382083333333334,64.16,18.26
2023-10-10,23.351249999999997,43.92,9.42
2023-10-11,13.894166666666665,21.87,5.58
2023-10-12,30.385833333333334,41.06,16.55
2023-10-13,10.807916666666666,23.93,3.86
2023-10-14,23.99291666666667,43.38,9.36
2023-10-15,20.86916666666667,46.58,6.51
2023-10-16,48.553333333333335,69.89,25.62
2023-10-17,20.29375,29.56,12.74
2023-10-18,23.012916666666666,31.77,8.34
2023-10-19,16.648333333333333,31.26,3.85
2023-10-20,23.019166666666667,32.09,13.6
2023-10-21,23.5175,31.09,12.44
2023-10-22,29.198333333333334,46.57,9.17
2023-10-23,35.36375,44.03,21.43
2023-10-24,51.67458333333334,76.48,17.03
2023-10-25,37.577083333333334,61.42,20.59
