Date,PM2.5_mean,PM2.5_max,PM2.5_min
2024-05-18,13.215652173913043,19.08,6.37
2024-05-19,13.225416666666668,16.98,8.85
2024-05-20,12.028333333333334,16.29,8.91
2024-05-21,10.42375,14.29,6.29
2024-05-22,10.328750000000001,16.3,5.38
2024-05-23,5.425416666666667,10.24,3.68
2024-05-24,5.662916666666667,11.15,3.68
2024-05-25,8.062083333333334,10.49,6.42
2024-05-26,4.914166666666667,7.52,3.98
2024-05-27,3.6441666666666666,5.61,2.24
2024-05-28,4.849583333333333,8.34,1.48
2024-05-29,3.5574999999999997,5.61,1.32
2024-05-30,3.0716666666666668,4.2,2.11
2024-05-31,4.9624999999999995,8.61,2.94
2024-06-01,6.3075,13.31,3.81
2024-06-02,9.048333333333334,13.82,4.8
2024-06-03,5.430833333333333,11.39,3.26
2024-06-04,5.63625,7.57,2.64
2024-06-05,7.919583333333333,10.92,4.36
2024-06-06,9.56375,13.5,6.68
2024-06-07,6.94625,9.46,4.78
2024-06-08,3.6945833333333336,6.91,2.2
2024-06-09,4.755416666666666,6.24,3.39
2024-06-10,3.9408333333333334,7.69,1.39
2024-06-11,4.4070833333333335,8.41,2.81
2024-06-12,6.242916666666667,8.67,4.98
2024-06-13,5.707083333333333,7.77,4.09
2024-06-14,1.9779166666666665,4.31,0.61
2024-06-15,4.329583333333333,9.68,2.11
2024-06-16,5.615833333333334,9.02,3.45
2024-06-17,3.5087499999999996,5.09,2.34
2024-06-18,5.980416666666667,8.3,5.18
2024-06-19,5.1658333333333335,8.6,3.85
2024-06-20,5.626666666666666,11.86,4.08
2024-06-21,7.20625,11.26,5.04
2024-06-22,3.7929166666666667,6.9,2.13
2024-06-23,4.45875,6.61,2.18
2024-06-24,5.490833333333334,6.58,4.62
2024-06-25,8.405833333333334,12.28,6.05
2024-06-26,13.781666666666666,20.88,9.18
2024-06-27,8.910833333333333,16.63,3.93
2024-06-28,4.827083333333333,7.85,3.43
2024-06-29,6.182916666666666,8.08,4.88
2024-06-30,4.889583333333333,7.48,3.64
2024-07-01,4.435,6.59,2.65
2024-07-02,5.888750000000001,9.72,2.95
2024-07-03,5.50125,8.96,4.28
2024-07-04,4.075833333333333,5.98,3.49
2024-07-05,3.453333333333333,6.08,1.28
2024-07-06,2.5,6.66,1.21
2024-07-07,3.5095833333333335,5.37,1.5
2024-07-08,3.6358333333333337,5.64,2.81
2024-07-09,5.4695833333333335,11.62,2.61
2024-07-10,2.285416666666667,4.37,1.63
2024-07-11,3.6441666666666666,5.06,2.65
2024-07-12,5.014166666666667,6.73,3.53
2024-07-13,4.894166666666666,6.27,3.68
2024-07-14,5.022083333333334,7.67,3.68
2024-07-15,6.764166666666667,11.95,5.27
2024-07-16,4.125416666666667,6.48,2.42
2024-07-17,6.024166666666667,8.43,4.45
2024-07-18,7.391666666666667,11.91,4.76
2024-07-19,10.591666666666667,20.19,6.22
2024-07-20,6.391666666666667,13.29,2.44
2024-07-21,2.6841666666666666,4.25,1.86
2024-07-22,3.92625,5.62,2.17
2024-07-23,4.972916666666666,12.12,3.09
2024-07-24,6.4870833333333335,11.91,3.5
2024-07-25,2.9879166666666666,5.77,1.52
