Date,NO2_mean,NO2_max,NO2_min
2021-05-25,11.608571428571429,16.17,9.1
2021-05-26,27.272499999999997,38.09,15.79
2021-05-27,35.397083333333335,51.81,15.63
2021-05-28,40.29541666666667,53.5,21.14
2021-05-29,29.015416666666667,53.42,14.28
2021-05-30,22.696250000000003,29.56,8.54
2021-05-31,26.50583333333333,38.74,13.47
2021-06-01,51.0825,71.51,22.26
2021-06-02,62.16625,97.53,27.84
2021-06-03,22.63875,62.01,11.11
2021-06-04,20.75916666666667,27.69,11.8
2021-06-05,17.079166666666666,27.92,10.47
2021-06-06,18.906666666666666,29.76,9.14
2021-06-07,15.839583333333332,21.84,9.56
2021-06-08,15.804583333333333,21.85,8.77
2021-06-09,11.48125,15.63,9.93
2021-06-11,18.391333333333332,27.45,9.52
2021-06-12,19.210833333333333,48.94,8.56
2021-06-13,25.942916666666665,50.4,10.97
2021-06-14,29.079166666666666,35.61,13.69
2021-06-15,26.003333333333334,37.2,10.97
2021-06-16,26.039166666666663,52.08,11.49
2021-06-17,19.36916666666667,28.45,10.68
2021-06-18,17.837083333333336,35.13,9.45
2021-06-19,11.973333333333334,18.51,6.07
2021-06-20,89.3725,99.15,12.98
2021-06-21,20.392916666666668,87.75,10.49
2021-06-22,11.234166666666667,18.24,3.67
2021-06-23,22.640416666666667,34.55,11.97
2021-06-24,28.278333333333332,40.48,15.95
2021-06-25,22.531666666666666,31.17,9.84
2021-06-26,23.395833333333332,33.71,11.03
2021-06-27,19.327083333333334,32.23,8.92
2021-06-28,34.268750000000004,46.06,16.53
2021-06-29,13.015833333333333,41.57,5.04
2021-06-30,10.765416666666667,20.57,6.83
2021-07-01,27.60291666666667,39.09,16.4
2021-07-02,24.831666666666667,39.49,11.27
2021-07-03,18.67125,27.16,8.68
2021-07-04,8.71125,25.44,5.51
2021-07-05,27.045416666666668,39.35,9.32
2021-07-06,11.45125,30.27,5.59
2021-07-07,11.268749999999999,15.74,7.39
2021-07-08,13.745416666666666,22.2,8.05
2021-07-09,24.91,29.79,14.85
2021-07-10,21.77208333333333,45.7,10.47
2021-07-11,17.66625,41.5,7.54
2021-07-12,26.778750000000002,35.95,14.68
2021-07-13,21.5625,35.31,12.17
2021-07-14,18.404999999999998,22.65,12.8
2021-07-15,14.767083333333334,20.43,9.0
2021-07-16,20.145,30.53,12.71
2021-07-17,22.077916666666667,37.04,8.68
2021-07-18,32.513333333333335,47.65,10.5
2021-07-19,39.96041666666667,51.21,21.64
2021-07-20,41.257083333333334,54.44,16.34
2021-07-21,34.97083333333333,55.55,14.9
2021-07-22,27.84166666666667,38.58,14.76
2021-07-23,14.791666666666666,35.44,8.45
2021-07-24,23.263333333333332,33.05,10.36
2021-07-25,23.40416666666667,37.22,11.75
2021-07-26,15.570833333333333,21.94,10.0
2021-07-27,19.598333333333333,34.26,10.28
2021-07-28,20.081666666666667,27.52,13.48
2021-07-29,10.215833333333334,24.72,5.9
2021-07-30,20.127916666666668,27.5,11.33
2021-07-31,21.690416666666664,32.73,11.47
2021-08-01,21.034166666666668,32.58,10.58
2021-08-02,27.58791666666667,39.49,16.32
2021-08-03,27.3075,37.74,17.98
2021-08-04,32.625,60.85,13.24
2021-08-05,21.235416666666666,40.8,9.25
2021-08-06,12.865833333333333,19.96,5.49
