Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-05-25,5.155714285714287,5.98,4.01
2021-05-26,6.2316666666666665,7.7,4.71
2021-05-27,10.0775,17.27,5.4
2021-05-28,13.623333333333333,17.53,9.99
2021-05-29,14.080833333333333,19.68,9.0
2021-05-30,13.765833333333333,17.42,9.14
2021-05-31,15.46375,19.69,9.6
2021-06-01,14.505833333333333,22.84,8.59
2021-06-02,14.418750000000001,20.02,9.51
2021-06-03,13.83875,21.5,7.07
2021-06-04,8.31375,10.05,5.84
2021-06-05,8.570833333333333,12.89,5.89
2021-06-06,6.653333333333333,10.33,4.16
2021-06-07,6.236666666666667,10.84,3.82
2021-06-08,7.059583333333333,10.06,4.99
2021-06-09,9.11875,11.21,6.59
2021-06-11,4.2459999999999996,4.62,4.01
2021-06-12,8.514166666666666,14.54,4.49
2021-06-13,11.164166666666667,17.5,6.72
2021-06-14,8.294166666666667,10.35,6.34
2021-06-15,8.13875,10.38,5.91
2021-06-16,9.345833333333333,11.98,7.09
2021-06-17,11.952916666666667,21.07,7.23
2021-06-18,3.6629166666666664,6.78,0.97
2021-06-19,4.538749999999999,10.91,0.39
2021-06-20,6.791250000000001,11.38,4.34
2021-06-21,6.142916666666667,7.95,4.22
2021-06-22,6.516666666666667,10.33,4.59
2021-06-23,7.824166666666667,11.69,4.8
2021-06-24,11.062083333333334,18.1,4.68
2021-06-25,5.060833333333334,11.71,3.37
2021-06-26,8.488333333333333,15.64,3.75
2021-06-27,16.736250000000002,27.78,4.36
2021-06-28,8.530833333333334,16.88,0.27
2021-06-29,9.786666666666667,16.66,6.47
2021-06-30,5.835,9.23,2.96
2021-07-01,26.06958333333333,32.65,9.01
2021-07-02,13.6825,25.39,7.31
2021-07-03,6.9750000000000005,14.81,2.96
2021-07-04,3.6179166666666664,5.75,1.91
2021-07-05,4.83125,7.56,2.31
2021-07-06,4.6154166666666665,8.04,2.09
2021-07-07,6.607916666666667,9.97,3.51
2021-07-08,6.448333333333333,9.36,3.86
2021-07-09,7.825833333333333,11.0,3.69
2021-07-10,5.44125,8.83,2.78
2021-07-11,5.801666666666667,9.86,3.17
2021-07-12,5.17125,7.22,3.48
2021-07-13,9.771666666666667,16.74,4.0
2021-07-14,6.49125,8.01,5.15
2021-07-15,5.7775,7.4,4.45
2021-07-16,6.769166666666667,10.47,4.29
2021-07-17,5.312083333333334,8.61,3.94
2021-07-18,8.074583333333333,10.09,7.08
2021-07-19,10.579583333333334,13.18,8.15
2021-07-20,12.315833333333332,15.97,9.64
2021-07-21,17.994583333333335,25.54,11.34
2021-07-22,19.1875,38.48,7.78
2021-07-23,8.84375,11.49,6.82
2021-07-24,16.395,24.41,4.7
2021-07-25,15.606250000000001,25.64,5.99
2021-07-26,14.024166666666666,19.74,9.5
2021-07-27,5.721666666666667,9.86,3.25
2021-07-28,4.7225,9.21,2.83
2021-07-29,5.444166666666667,8.78,3.05
2021-07-30,5.441666666666666,9.41,3.53
2021-07-31,3.6575,5.93,2.26
2021-08-01,4.642083333333333,6.5,2.3
2021-08-02,4.424166666666667,5.41,3.08
2021-08-03,6.261666666666667,9.89,4.21
2021-08-04,7.853750000000001,12.77,5.41
2021-08-05,5.543333333333333,9.15,2.41
2021-08-06,4.575,6.69,3.21
2021-08-07,3.9575,5.98,2.72
2021-08-08,5.902083333333334,8.9,3.73
2021-08-09,4.555,7.43,2.97
2021-08-10,5.656666666666666,7.17,4.04
2021-08-11,4.371666666666667,6.26,2.87
2021-08-12,4.940416666666667,8.04,2.14
2021-08-13,7.727083333333333,12.2,3.87
2021-08-14,7.832083333333333,11.59,5.7
2021-08-15,5.565833333333334,10.21,3.69
2021-08-16,10.119166666666667,18.42,3.12
2021-08-17,4.656666666666666,7.0,2.76
2021-08-18,3.8754166666666667,4.59,2.98
2021-08-19,4.904583333333333,7.56,2.33
2021-08-20,3.6308333333333334,6.58,2.25
2021-08-21,5.891249999999999,8.08,3.01
2021-08-22,5.292083333333333,9.59,1.91
2021-08-23,5.240833333333334,9.87,4.0
2021-08-24,4.935416666666667,6.14,3.8
2021-08-25,3.1495833333333336,4.64,2.41
2021-08-26,5.419999999999999,8.08,4.59
2021-08-27,7.03875,14.73,4.84
2021-08-28,6.4937499999999995,8.86,4.86
2021-08-29,5.337083333333333,7.49,3.92
2021-08-30,5.047916666666667,6.65,3.36
2021-08-31,5.6554166666666665,8.64,4.31
2021-09-01,8.01,13.53,4.86
2021-09-02,9.46625,13.07,6.86
2021-09-03,14.0025,19.9,8.24
2021-09-04,14.415,21.3,8.56
2021-09-05,17.58625,28.74,6.67
2021-09-06,21.86708333333333,30.08,10.04
2021-09-07,24.099999999999998,41.11,9.31
2021-09-08,29.589583333333334,45.4,13.9
2021-09-09,9.5325,28.15,2.12
2021-09-10,4.945,9.71,2.94
2021-09-11,5.855,7.83,4.47
2021-09-12,6.543333333333333,11.25,4.33
2021-09-13,4.708333333333333,5.53,3.81
2021-09-14,14.768333333333333,20.22,5.33
2021-09-15,10.169166666666667,18.26,4.49
2021-09-16,11.589166666666666,17.86,5.09
2021-09-17,8.06,13.95,3.32
2021-09-18,14.25625,24.95,5.41
2021-09-19,22.192916666666665,36.38,3.03
2021-09-20,7.8741666666666665,15.67,1.85
2021-09-21,11.46625,17.42,5.59
2021-09-22,9.791666666666666,12.54,6.87
2021-09-23,5.404166666666666,9.88,3.96
2021-09-24,6.3175,8.16,4.92
2021-09-25,8.475833333333334,15.42,3.66
2021-09-26,12.926250000000001,20.61,4.41
2021-09-27,2.938333333333333,5.26,2.0
2021-09-28,4.970833333333333,8.61,2.04
2021-09-29,3.377083333333333,7.5,1.82
2021-09-30,4.735416666666667,7.09,3.28
2021-10-01,3.3479166666666664,5.71,1.67
2021-10-02,3.9812499999999997,7.49,0.44
2021-10-03,3.1491666666666664,5.97,0.96
2021-10-04,4.292083333333333,6.13,3.07
2021-10-05,3.6170833333333334,4.52,1.74
2021-10-06,4.314583333333333,13.55,2.51
2021-10-07,6.80875,8.5,5.22
2021-10-08,8.054583333333333,26.47,2.85
2021-10-09,27.73625,39.28,17.45
2021-10-10,16.856666666666666,31.98,4.05
2021-10-11,6.586666666666667,13.56,4.17
2021-10-12,7.736666666666667,13.77,3.62
2021-10-13,5.478750000000001,10.41,2.97
2021-10-14,7.07375,10.65,3.55
2021-10-15,7.4937499999999995,11.84,4.26
2021-10-16,10.537916666666666,14.85,6.87
2021-10-17,9.53,15.12,5.35
2021-10-18,8.77375,13.27,3.52
2021-10-19,11.293333333333335,22.06,0.0
2021-10-20,6.37875,22.91,3.85
2021-10-21,4.0183333333333335,8.58,2.4
2021-10-22,3.6945833333333336,5.8,2.4
2021-10-23,4.412916666666667,6.05,2.61
2021-10-24,4.733333333333333,7.61,3.79
2021-10-25,5.685833333333334,7.73,4.03
2021-10-26,5.877083333333334,7.95,5.33
2021-10-27,4.112916666666667,7.8,3.1
2021-10-28,6.489999999999999,8.45,4.85
2021-10-29,6.270416666666667,10.39,2.66
2021-10-30,4.562083333333333,9.04,2.26
2021-10-31,5.3728,11.5,3.36
2021-11-01,4.512083333333333,8.63,3.47
2021-11-02,8.797500000000001,24.34,2.41
2021-11-03,11.69,20.55,2.93
2021-11-04,4.660416666666666,18.64,1.56
2021-11-05,15.200833333333334,38.32,0.0
2021-11-06,9.374583333333334,24.45,2.13
2021-11-07,8.898333333333333,26.99,5.2
2021-11-08,11.014166666666666,14.09,7.85
2021-11-09,5.11,9.19,2.93
2021-11-10,6.734583333333333,11.99,3.11
2021-11-11,7.628333333333334,10.85,3.9
2021-11-12,7.721666666666667,14.01,5.17
2021-11-13,3.81375,5.75,2.51
2021-11-14,7.1937500000000005,11.36,3.94
2021-11-15,10.797916666666666,16.79,5.24
2021-11-16,13.0725,18.41,7.29
2021-11-17,9.740833333333333,15.59,6.33
2021-11-18,7.932083333333334,14.71,3.81
2021-11-19,8.799583333333333,16.79,2.89
2021-11-20,7.270416666666667,15.47,3.0
2021-11-21,3.9020833333333336,9.37,2.83
