Date,NO2_mean,NO2_max,NO2_min
2021-02-17,11.402500000000002,26.95,2.98
2021-02-18,32.98916666666667,43.43,25.93
2021-02-19,30.974166666666665,34.08,27.81
2021-02-20,37.97833333333333,42.6,33.18
2021-02-21,52.47125,80.73,35.06
2021-02-22,80.9675,93.35,68.91
2021-02-23,38.970416666666665,64.56,24.78
2021-02-24,23.066666666666666,33.71,13.08
2021-02-25,29.599166666666665,69.0,11.4
2021-02-26,67.88235294117646,92.91,39.4
2021-02-28,31.345,35.7,28.17
2021-03-01,32.39611111111111,47.93,15.97
2021-03-02,44.94375,69.4,19.43
2021-03-03,64.87,75.41,53.84
2021-03-04,45.935833333333335,60.16,31.71
2021-03-05,36.02458333333333,51.17,28.1
2021-03-06,52.2475,65.31,45.64
2021-03-07,45.935833333333335,101.2,19.87
2021-03-08,74.03291666666667,99.18,51.83
2021-03-09,52.73708333333334,82.02,29.81
2021-03-10,34.65541666666667,39.36,27.61
2021-03-11,26.16875,27.58,25.23
2021-03-12,23.88208333333333,31.14,16.38
2021-03-13,16.997083333333332,26.11,11.12
2021-03-14,19.890833333333333,23.83,13.03
2021-03-15,33.09375,61.05,15.44
2021-03-16,35.60333333333333,54.11,22.55
2021-03-17,30.324583333333333,49.4,18.99
2021-03-18,23.790833333333335,42.83,8.69
2021-03-19,16.684166666666666,40.17,6.48
2021-03-20,18.675833333333333,36.41,9.53
2021-03-21,18.57,60.25,1.3
2021-03-22,28.91,46.1,9.52
2021-03-23,27.89375,53.62,10.9
2021-03-24,22.25708333333333,44.3,8.01
2021-03-25,19.783333333333335,31.85,10.93
2021-03-26,12.089583333333332,18.85,4.75
2021-03-27,5.037916666666667,9.41,0.0
2021-03-28,3.827826086956522,6.13,1.44
2021-03-29,13.265,36.26,1.97
2021-03-30,74.87041666666667,195.52,17.98
2021-03-31,62.94916666666666,173.42,11.8
2021-04-01,32.67625,91.42,3.91
2021-04-02,14.876249999999999,23.18,0.0
2021-04-03,16.75,26.49,8.44
2021-04-04,17.266666666666666,40.64,0.0
2021-04-05,15.043750000000001,30.11,0.0
2021-04-06,23.82375,40.43,0.95
2021-04-07,24.86791666666667,40.49,4.83
2021-04-08,25.068749999999998,40.35,11.28
2021-04-09,22.647499999999997,44.09,0.0
2021-04-10,21.684583333333332,30.89,10.7
2021-04-11,21.057916666666667,38.99,0.02
2021-04-12,63.20666666666667,113.63,4.19
2021-04-13,52.553333333333335,96.29,13.86
2021-04-14,40.28916666666667,75.73,16.87
2021-04-15,26.63,37.6,16.51
2021-04-16,32.24583333333333,46.83,14.74
2021-04-17,27.0575,39.25,12.22
2021-04-18,31.540000000000003,61.98,13.58
