Date,PM2.5_mean,PM2.5_max,PM2.5_min
2022-06-22,6.832941176470588,14.07,5.47
2022-06-23,9.736666666666666,14.2,5.24
2022-06-24,9.787083333333333,16.63,5.02
2022-06-25,7.0633333333333335,10.71,4.63
2022-06-26,2.79125,15.59,0.0
2022-06-27,3.7604166666666665,4.49,3.1
2022-06-28,5.661666666666666,6.93,4.57
2022-06-29,5.386666666666667,6.44,4.88
2022-06-30,2.1495833333333336,5.93,0.04
2022-07-01,2.05375,4.71,0.22
2022-07-02,2.4675,3.51,1.94
2022-07-03,3.55875,13.37,1.36
2022-07-04,4.91875,6.66,3.05
2022-07-05,0.6070833333333333,4.75,0.0
2022-07-06,5.279166666666667,7.86,0.0
2022-07-07,5.404583333333334,10.09,4.36
2022-07-08,8.834583333333333,11.58,7.15
2022-07-09,4.485833333333333,8.93,2.8
2022-07-10,6.479583333333333,10.01,5.54
2022-07-11,6.161666666666666,7.44,5.26
2022-07-12,8.009583333333333,9.53,6.74
2022-07-13,8.197916666666666,11.2,6.64
2022-07-14,6.32375,10.68,4.46
2022-07-15,5.545833333333333,7.03,4.3
2022-07-16,4.244166666666667,7.34,3.41
2022-07-17,5.546666666666667,9.51,3.61
2022-07-18,10.423333333333334,14.42,8.43
2022-07-19,15.15875,26.65,11.04
2022-07-20,13.705,23.63,9.36
2022-07-21,7.707083333333333,10.9,5.03
2022-07-22,5.0975,6.39,4.51
2022-07-23,5.696666666666666,7.32,4.42
2022-07-24,2.983333333333333,5.63,1.34
2022-07-25,5.179583333333333,7.46,3.09
2022-07-26,5.519583333333333,7.18,4.28
2022-07-27,4.63,6.2,3.21
2022-07-28,6.365416666666667,8.35,4.17
2022-07-29,6.9745833333333325,11.19,4.4
2022-07-30,9.085833333333333,20.12,5.73
2022-07-31,7.077500000000001,8.14,5.54
2022-08-01,4.560416666666667,8.42,2.04
2022-08-02,6.1325,11.02,3.21
2022-08-03,7.263750000000001,12.36,4.86
2022-08-04,3.7204166666666665,6.37,2.63
2022-08-05,3.5041666666666664,4.12,3.12
2022-08-06,8.56875,11.78,3.72
2022-08-07,8.75,12.07,5.85
2022-08-08,7.145416666666667,10.63,3.81
2022-08-09,6.97,9.5,5.89
2022-08-10,6.312083333333334,8.74,5.24
2022-08-11,9.319583333333334,22.45,4.6
2022-08-12,10.56375,12.63,8.67
2022-08-13,10.9,12.54,9.04
2022-08-14,11.950000000000001,18.27,8.32
2022-08-15,12.800416666666665,18.85,10.24
2022-08-16,13.010833333333332,17.01,5.27
2022-08-17,11.347916666666668,25.97,0.0
2022-08-18,7.09,10.56,0.26
2022-08-19,4.962083333333333,5.99,3.34
2022-08-20,6.276666666666666,8.95,4.78
2022-08-21,5.604583333333333,8.51,2.62
2022-08-22,6.632916666666667,9.58,5.04
2022-08-23,6.758333333333333,9.2,5.29
2022-08-24,5.641666666666667,9.2,4.08
2022-08-25,8.0425,12.17,5.26
2022-08-26,10.721666666666666,13.05,8.71
2022-08-27,8.522083333333333,11.29,6.39
2022-08-28,6.040416666666666,7.28,5.1
2022-08-29,3.435416666666667,6.59,2.85
2022-08-30,4.029583333333334,4.79,3.22
2022-08-31,3.220833333333333,4.0,2.2
2022-09-01,7.035,11.57,3.82
2022-09-02,12.604166666666666,22.29,8.09
2022-09-03,14.079583333333332,25.83,6.3
2022-09-04,9.726666666666667,16.07,7.28
2022-09-05,5.060833333333334,8.16,3.13
2022-09-06,6.6275,9.57,5.33
2022-09-07,5.023333333333333,7.22,3.77
2022-09-08,3.8375,9.16,0.0
2022-09-09,7.470833333333334,11.5,4.91
2022-09-10,10.041666666666666,13.28,7.38
2022-09-11,9.452083333333333,13.17,7.17
2022-09-12,9.155833333333334,11.48,8.1
2022-09-13,7.348333333333334,14.38,4.51
2022-09-14,6.53625,8.9,5.13
2022-09-15,7.595833333333334,10.59,6.2
2022-09-16,4.039166666666667,7.02,2.22
2022-09-17,5.0125,9.18,3.27
2022-09-18,4.39125,6.26,2.75
2022-09-19,3.502083333333333,8.61,1.76
2022-09-20,6.10125,9.25,4.01
2022-09-21,8.845,14.35,5.19
2022-09-22,9.120833333333334,13.49,7.14
2022-09-23,9.33,12.75,7.23
2022-09-24,4.0325,7.81,2.78
2022-09-25,3.651666666666667,6.92,1.7
2022-09-26,5.956666666666667,8.54,3.74
2022-09-27,7.247083333333333,12.81,4.31
2022-09-28,6.798750000000001,12.56,4.37
2022-09-29,9.426666666666668,15.59,5.36
2022-09-30,8.946250000000001,15.55,4.51
2022-10-01,6.109583333333333,7.41,5.23
2022-10-02,7.8495833333333325,15.32,5.63
2022-10-03,10.909166666666666,14.92,8.42
2022-10-04,6.210416666666667,13.22,5.08
2022-10-05,3.69875,5.46,0.73
2022-10-06,1.4037499999999998,4.94,0.0
2022-10-07,2.4391666666666665,10.8,0.0
2022-10-08,7.289583333333333,14.22,4.84
2022-10-09,6.332083333333333,10.15,4.76
