Date,PM2.5_mean,PM2.5_max,PM2.5_min
2022-12-16,36.43333333333333,53.35,23.04
2022-12-17,18.584166666666665,49.53,5.3
2022-12-18,13.03375,21.14,2.04
2022-12-19,4.687083333333334,8.39,2.41
2022-12-20,6.7975,14.32,2.51
2022-12-21,7.5945833333333335,14.87,5.1
2022-12-22,8.31125,12.47,5.39
2022-12-23,6.800833333333333,15.66,3.45
2022-12-24,8.939166666666667,14.83,6.1
2022-12-25,5.284166666666667,8.23,3.15
2022-12-26,4.1691666666666665,7.05,2.49
2022-12-27,4.426666666666667,5.72,2.79
2022-12-28,2.4616666666666664,8.12,0.62
2022-12-29,6.110833333333333,9.48,3.15
2022-12-30,4.255,8.13,1.16
2022-12-31,5.547916666666667,12.12,1.71
2023-01-01,8.23625,12.98,5.92
2023-01-02,5.909166666666667,20.01,1.97
2023-01-03,5.277916666666667,12.57,3.04
2023-01-04,6.00875,10.71,1.78
2023-01-05,6.655833333333334,11.75,2.25
2023-01-06,2.752083333333333,5.94,1.39
2023-01-07,3.4266666666666663,5.14,1.25
2023-01-08,5.552499999999999,12.55,1.95
2023-01-09,4.6875,8.68,2.46
2023-01-10,5.771249999999999,14.04,1.63
2023-01-11,6.305833333333333,9.95,3.77
2023-01-12,4.760833333333333,12.07,1.05
2023-01-13,7.084583333333334,11.25,5.49
2023-01-14,3.0187500000000003,8.59,0.62
2023-01-15,3.3387499999999997,10.6,1.89
2023-01-16,5.060416666666667,10.25,1.0
2023-01-17,14.556666666666667,23.25,6.05
2023-01-18,7.8116666666666665,15.0,4.3
2023-01-19,7.423333333333333,9.81,4.78
2023-01-20,6.1883333333333335,9.04,4.84
2023-01-21,12.75625,38.06,5.22
2023-01-22,45.74916666666667,82.93,10.84
2023-01-23,38.669583333333335,70.3,9.39
2023-01-24,13.35125,21.32,8.47
2023-01-25,24.25208333333333,32.08,1.49
2023-01-26,6.777916666666667,10.16,5.41
2023-01-27,7.226666666666667,9.05,5.93
2023-01-28,8.887083333333333,14.91,2.78
2023-01-29,8.393333333333333,19.0,1.28
2023-01-30,7.32125,12.16,4.79
2023-01-31,6.869583333333334,11.09,4.87
2023-02-01,7.076666666666667,9.33,4.92
2023-02-02,4.067916666666666,5.19,2.94
2023-02-03,4.787916666666667,12.74,2.53
2023-02-04,7.692916666666666,11.75,3.96
2023-02-05,7.479166666666667,12.01,5.11
2023-02-06,14.476666666666667,21.73,8.25
