Date,NO2_mean,NO2_max,NO2_min
2024-05-14,16.32521739130435,24.75,7.7
2024-05-15,27.46666666666667,67.39,7.55
2024-05-16,26.99,63.86,13.4
2024-05-17,23.51625,42.21,7.41
2024-05-18,19.18583333333333,46.94,7.87
2024-05-19,11.680833333333332,22.31,4.81
2024-05-20,26.500416666666666,48.91,6.99
2024-05-21,15.204166666666666,31.55,3.59
2024-05-22,14.660833333333334,21.21,8.65
2024-05-23,7.736666666666667,13.54,4.6
2024-05-24,21.1375,36.72,7.38
2024-05-25,14.283333333333333,37.05,4.52
2024-05-26,6.591666666666666,12.73,2.31
2024-05-27,6.3062499999999995,10.07,2.98
2024-05-28,10.88125,13.64,5.6
2024-05-29,4.992083333333333,9.91,1.61
2024-05-30,29.712500000000002,48.77,9.46
2024-05-31,7.175,23.61,3.42
2024-06-01,7.250416666666666,10.41,3.87
2024-06-02,19.089583333333334,53.82,5.17
2024-06-03,20.239166666666666,46.46,8.4
2024-06-04,15.544583333333334,32.15,6.5
2024-06-05,13.8125,27.36,6.55
2024-06-06,17.074583333333333,23.13,8.91
2024-06-07,12.454166666666666,20.25,6.09
2024-06-08,7.547083333333333,12.21,4.65
2024-06-09,19.035833333333333,31.44,7.65
2024-06-10,12.116666666666667,37.23,3.02
2024-06-11,20.772916666666667,37.44,8.75
2024-06-12,34.68833333333333,55.07,19.98
2024-06-13,13.098333333333334,44.13,4.86
2024-06-14,7.21625,11.61,3.57
2024-06-15,11.816249999999998,15.81,6.56
2024-06-16,9.7575,13.85,4.37
2024-06-17,10.974166666666667,18.84,4.56
2024-06-18,21.000416666666666,32.81,7.62
2024-06-19,8.226666666666667,25.55,4.62
2024-06-20,30.354166666666668,47.44,9.98
2024-06-21,14.887083333333335,46.7,4.89
2024-06-22,7.107916666666667,14.34,3.86
2024-06-23,9.294166666666667,14.48,5.64
2024-06-24,26.830833333333334,48.91,10.62
2024-06-25,35.279583333333335,52.84,11.64
2024-06-26,25.847083333333334,47.92,10.7
2024-06-27,12.337916666666667,28.16,6.27
2024-06-28,7.347083333333334,19.03,3.21
2024-06-29,19.176666666666666,28.9,7.34
2024-06-30,16.607499999999998,32.02,5.2
2024-07-01,14.907916666666667,18.61,7.51
2024-07-02,22.366249999999997,32.64,8.47
2024-07-03,18.2475,30.31,7.51
2024-07-04,6.482083333333333,16.35,4.5
2024-07-05,9.395,14.78,3.22
2024-07-06,11.756666666666668,16.94,6.0
2024-07-07,13.604166666666666,18.52,8.37
2024-07-08,19.705000000000002,27.34,10.73
2024-07-09,20.895416666666666,28.64,10.35
2024-07-10,9.00375,15.11,4.23
2024-07-11,20.2,39.46,7.06
2024-07-12,7.408333333333334,24.58,2.91
2024-07-13,17.91625,27.75,7.13
2024-07-14,20.805,31.65,10.03
2024-07-15,26.5975,39.94,9.24
2024-07-16,21.63083333333333,31.16,11.02
2024-07-17,20.9875,32.44,9.77
2024-07-18,25.794166666666666,37.57,8.93
2024-07-19,31.378333333333334,66.62,9.2
2024-07-20,13.1575,33.28,6.62
2024-07-21,13.193333333333333,16.88,5.91
2024-07-22,8.5175,17.35,5.82
2024-07-23,20.569583333333334,33.66,7.87
2024-07-24,20.712500000000002,37.72,6.92
2024-07-25,8.6425,16.35,5.62
