Date,PM2.5_mean,PM2.5_max,PM2.5_min
2024-05-14,5.983478260869566,15.45,3.15
2024-05-15,5.3220833333333335,9.28,2.89
2024-05-16,11.977916666666665,19.24,4.42
2024-05-17,6.3,14.07,3.04
2024-05-18,11.928333333333333,16.1,4.76
2024-05-19,12.708333333333334,16.28,7.71
2024-05-20,11.494583333333333,15.07,8.53
2024-05-21,9.97375,13.75,6.21
2024-05-22,10.17,15.72,5.19
2024-05-23,5.440833333333334,10.22,3.67
2024-05-24,5.34625,9.46,3.48
2024-05-25,7.40875,10.06,6.11
2024-05-26,4.71,6.97,3.84
2024-05-27,3.295,4.94,2.27
2024-05-28,4.9525,9.82,1.22
2024-05-29,3.4879166666666666,5.83,1.39
2024-05-30,2.9116666666666666,4.41,2.02
2024-05-31,5.0975,8.56,3.03
2024-06-01,6.6000000000000005,14.42,3.79
2024-06-02,8.845,12.95,4.75
2024-06-03,4.977083333333334,8.61,3.27
2024-06-04,5.2075000000000005,7.42,2.45
2024-06-05,7.896249999999999,10.29,4.32
2024-06-06,9.583333333333334,13.76,6.56
2024-06-07,6.992083333333333,9.31,4.88
2024-06-08,3.5825,6.17,2.25
2024-06-09,4.584583333333334,6.05,3.36
2024-06-10,3.901666666666667,7.9,1.5
2024-06-11,4.085,7.05,2.79
2024-06-12,6.115833333333334,8.53,4.92
2024-06-13,5.4679166666666665,7.4,3.92
2024-06-14,1.9416666666666667,4.37,0.67
2024-06-15,4.345416666666666,10.19,2.36
2024-06-16,5.468333333333334,9.52,3.23
2024-06-17,3.3833333333333333,4.93,2.31
2024-06-18,5.618333333333333,7.15,4.16
2024-06-19,5.09375,8.65,3.77
2024-06-20,5.021249999999999,7.71,3.86
2024-06-21,6.727916666666666,10.09,4.89
2024-06-22,3.62625,6.85,2.12
2024-06-23,3.5379166666666664,5.57,1.84
2024-06-24,5.144166666666667,6.41,4.23
2024-06-25,7.61375,10.04,4.85
2024-06-26,11.801250000000001,17.0,7.95
2024-06-27,8.384166666666667,14.85,4.05
2024-06-28,4.763333333333333,6.35,3.55
2024-06-29,5.749583333333334,7.31,4.83
2024-06-30,4.71625,7.48,3.48
2024-07-01,4.260416666666667,6.03,2.56
2024-07-02,5.4624999999999995,8.31,3.43
2024-07-03,5.278333333333333,8.71,4.22
2024-07-04,4.067083333333334,5.84,3.48
2024-07-05,3.1329166666666666,5.58,1.27
2024-07-06,2.4375,7.25,1.25
2024-07-07,3.42625,5.34,1.64
2024-07-08,3.5483333333333333,5.25,3.01
2024-07-09,5.130833333333333,10.92,2.31
2024-07-10,2.2275,4.03,1.65
2024-07-11,3.5483333333333333,4.75,2.46
2024-07-12,4.8525,6.48,3.58
2024-07-13,4.5216666666666665,5.92,3.38
2024-07-14,4.754583333333334,6.73,3.62
2024-07-15,6.160833333333334,8.91,4.9
2024-07-16,4.017916666666666,6.08,2.47
2024-07-17,5.874583333333334,8.38,4.43
2024-07-18,7.03375,11.38,4.59
2024-07-19,9.1425,18.79,5.75
2024-07-20,5.404166666666666,11.18,2.15
2024-07-21,2.5795833333333333,4.56,1.82
2024-07-22,3.8216666666666668,5.91,2.19
2024-07-23,4.765,11.12,2.83
2024-07-24,6.013333333333333,10.52,3.28
2024-07-25,2.827916666666667,5.62,1.32
