Date,NO2_mean,NO2_max,NO2_min
2022-10-12,29.368750000000002,46.52,16.24
2022-10-13,27.277083333333334,40.75,11.11
2022-10-14,28.81958333333333,39.76,17.34
2022-10-15,26.499583333333334,40.08,12.98
2022-10-16,13.486666666666666,21.26,4.57
2022-10-17,22.05875,47.6,8.12
2022-10-18,44.3475,60.99,17.94
2022-10-19,22.098333333333333,31.72,13.9
2022-10-20,51.8125,73.36,33.02
2022-10-21,22.97,63.77,8.71
2022-10-22,18.39875,31.16,5.45
2022-10-23,22.969583333333333,33.79,9.61
2022-10-24,19.66375,35.12,4.7
2022-10-25,22.3875,37.78,7.52
2022-10-26,23.216250000000002,37.97,11.41
2022-10-27,23.250416666666666,44.34,11.63
2022-10-28,26.469166666666666,46.42,11.85
2022-10-29,24.749583333333334,37.85,13.33
2022-10-30,21.8888,32.7,12.59
2022-10-31,34.69625,59.24,6.11
2022-11-01,19.474166666666665,33.11,4.78
2022-11-02,22.607916666666668,42.37,6.38
2022-11-03,43.06041666666667,83.7,15.07
2022-11-04,46.126666666666665,72.44,21.08
2022-11-05,28.88208333333333,44.85,16.71
2022-11-06,16.879583333333333,24.09,13.02
2022-11-07,28.921304347826084,39.87,17.92
2022-11-08,20.429583333333333,32.96,8.86
2022-11-09,18.457916666666666,31.83,10.13
2022-11-10,17.31375,23.01,8.77
2022-11-11,19.6125,42.99,8.46
2022-11-12,31.515833333333333,42.96,18.51
2022-11-13,28.62291666666667,44.79,11.68
2022-11-14,30.37,43.96,16.18
2022-11-15,25.99,45.64,14.38
2022-11-16,29.627916666666668,49.31,9.77
2022-11-17,20.176666666666666,32.62,8.58
2022-11-18,22.265416666666667,39.37,8.68
2022-11-19,30.261666666666667,62.71,15.13
2022-11-20,29.2375,48.73,13.46
2022-11-21,38.08833333333333,60.79,18.27
2022-11-22,35.865,74.44,5.39
2022-11-23,24.7975,35.32,13.13
2022-11-24,31.4675,56.35,17.94
2022-11-25,33.22666666666667,57.56,7.87
2022-11-26,24.572916666666668,38.55,11.6
2022-11-27,26.3275,44.39,9.53
2022-11-28,55.67958333333333,88.12,25.82
2022-11-29,35.61291666666667,51.22,14.66
2022-11-30,42.38291666666667,64.93,24.99
2022-12-01,39.283750000000005,67.67,22.73
2022-12-02,31.956666666666667,44.43,15.44
2022-12-03,18.79,27.89,7.2
2022-12-04,23.216250000000002,30.77,14.19
2022-12-05,23.393333333333334,32.54,12.61
2022-12-06,28.605833333333333,39.88,15.83
2022-12-07,47.403333333333336,79.51,16.88
2022-12-08,67.37416666666667,94.22,43.67
2022-12-09,60.59125,78.04,43.87
2022-12-10,74.90208333333334,103.82,51.53
2022-12-11,62.255,83.4,31.37
2022-12-12,45.18833333333333,72.18,23.22
2022-12-13,60.40291666666667,84.01,46.4
2022-12-14,39.931666666666665,50.59,27.91
2022-12-15,62.23208333333333,80.23,34.94
2022-12-16,85.41958333333334,117.74,35.25
2022-12-17,73.25916666666667,105.38,42.59
2022-12-18,37.84791666666667,63.77,15.38
2022-12-19,20.055833333333336,28.5,7.95
2022-12-20,32.11625,77.01,9.22
2022-12-21,35.855,64.95,15.56
2022-12-22,34.41625,72.18,20.42
2022-12-23,31.917083333333334,69.11,15.77
2022-12-24,25.638333333333335,42.61,10.46
2022-12-25,16.11916666666667,27.88,8.54
2022-12-26,16.127083333333335,26.61,4.1
2022-12-27,24.427083333333332,35.62,13.18
2022-12-28,13.045416666666668,21.51,6.52
2022-12-29,16.188333333333333,28.72,4.09
2022-12-30,19.595833333333335,30.61,6.03
2022-12-31,16.46625,24.32,6.0
2023-01-01,19.532083333333333,37.74,4.74
2023-01-02,29.227083333333336,67.31,8.25
2023-01-03,35.812916666666666,83.14,6.23
2023-01-04,13.767083333333334,20.38,2.22
2023-01-05,22.476249999999997,49.0,7.22
2023-01-06,36.29708333333333,64.37,11.43
2023-01-07,15.73375,24.18,7.34
2023-01-08,20.955000000000002,31.45,7.96
2023-01-09,24.92958333333333,40.66,10.01
2023-01-10,34.91375,55.72,9.75
2023-01-11,17.96291666666667,31.23,4.64
2023-01-12,16.58791666666667,24.72,3.88
2023-01-13,18.18375,35.94,4.4
2023-01-14,10.77375,18.82,5.1
2023-01-15,17.29625,36.02,3.64
2023-01-16,38.246249999999996,94.09,15.43
2023-01-17,77.675,96.96,55.76
2023-01-18,70.93916666666667,119.41,28.03
2023-01-19,79.31416666666667,120.21,37.73
2023-01-20,74.02875,106.12,33.3
2023-01-21,97.36874999999999,152.54,48.56
2023-01-22,147.78583333333333,204.23,69.42
2023-01-23,98.255,144.6,59.76
2023-01-24,54.459583333333335,97.34,30.14
2023-01-25,67.16208333333334,90.09,21.66
2023-01-26,33.80041666666667,45.27,15.93
2023-01-27,38.55166666666667,73.37,12.08
2023-01-28,46.854166666666664,76.81,19.82
2023-01-29,27.435833333333335,66.05,15.24
2023-01-30,41.91125,102.92,10.74
2023-01-31,35.31541666666667,61.51,15.01
2023-02-01,25.25583333333333,41.37,11.29
2023-02-02,23.992500000000003,51.82,10.01
2023-02-03,32.595,82.81,7.94
2023-02-04,45.788333333333334,91.0,23.73
2023-02-05,36.00958333333333,82.11,8.7
2023-02-06,109.40666666666665,152.71,44.41
2023-02-07,74.57333333333334,105.69,50.78
2023-02-08,82.56291666666667,100.68,35.38
2023-02-09,87.04541666666667,156.14,33.38
2023-02-10,61.725,108.32,20.98
2023-02-11,36.63625,66.3,22.37
2023-02-12,41.77791666666666,77.79,21.36
2023-02-13,42.446666666666665,65.87,9.92
2023-02-14,103.03958333333333,150.47,67.9
2023-02-15,47.59125,82.35,19.46
2023-02-16,27.5925,48.41,14.03
2023-02-17,18.779166666666665,30.21,6.92
2023-02-18,23.116249999999997,33.04,7.87
2023-02-19,23.953333333333333,44.16,9.8
2023-02-20,20.46125,41.98,5.5
2023-02-21,42.26791666666667,94.7,10.18
2023-02-22,51.66375,73.42,27.14
2023-02-23,28.46083333333333,71.54,9.15
2023-02-24,49.481249999999996,81.52,17.6
2023-02-25,17.4275,31.07,8.75
2023-02-26,20.91125,39.65,10.0
2023-02-27,46.656666666666666,82.54,22.29
2023-02-28,46.022083333333335,73.9,24.82
2023-03-01,27.61708333333333,47.87,12.22
2023-03-02,23.211249999999996,43.41,12.26
2023-03-03,32.14083333333333,50.67,12.77
2023-03-04,21.859166666666667,37.36,5.77
2023-03-05,30.26625,51.17,18.94
2023-03-06,61.38125,86.71,27.1
2023-03-07,63.80125,138.67,19.7
2023-03-08,57.19541666666667,104.27,35.65
2023-03-09,44.94875,81.97,18.24
2023-03-10,40.25208333333333,87.77,15.15
2023-03-11,104.99125,155.98,42.25
2023-03-12,23.009583333333335,44.28,7.86
2023-03-13,10.528333333333334,14.58,2.21
2023-03-14,21.179166666666667,38.6,7.68
2023-03-15,47.57208333333333,78.84,15.07
2023-03-16,35.537083333333335,60.96,17.86
2023-03-17,40.55291666666667,60.64,15.26
2023-03-18,34.89083333333333,64.31,20.93
2023-03-19,26.997500000000002,57.8,12.61
2023-03-20,32.88125,46.54,13.1
2023-03-21,20.965,34.93,7.52
2023-03-22,15.217500000000001,33.81,5.51
2023-03-23,21.006249999999998,43.22,4.21
2023-03-24,18.65125,33.09,8.85
2023-03-25,23.57875,47.65,10.57
2023-03-26,26.51608695652174,41.06,13.46
2023-03-27,25.45041666666667,55.56,7.8
2023-03-28,27.97791666666667,41.47,14.83
2023-03-29,36.25208333333333,64.34,9.76
2023-03-30,17.842916666666667,33.97,5.97
2023-03-31,26.697916666666668,45.56,11.32
2023-04-01,25.640833333333333,42.03,6.87
2023-04-02,14.908333333333333,29.22,5.86
2023-04-03,33.74666666666666,56.89,13.08
2023-04-04,50.74916666666667,72.3,23.09
2023-04-05,44.168749999999996,76.04,16.31
2023-04-06,45.58375,85.76,13.54
2023-04-07,27.727500000000003,58.19,10.12
2023-04-08,23.82,44.96,9.79
2023-04-09,35.913333333333334,53.96,14.93
2023-04-10,53.82749999999999,79.28,21.13
2023-04-11,24.836250000000003,50.11,11.28
2023-04-12,22.62375,43.32,6.26
2023-04-13,19.307916666666667,36.21,5.75
2023-04-14,31.060833333333335,47.26,11.57
2023-04-15,33.09375,85.98,10.72
2023-04-16,76.27208333333333,129.07,16.43
2023-04-17,29.687083333333334,95.28,14.23
2023-04-18,24.293333333333333,36.31,11.57
2023-04-19,24.961250000000003,35.41,13.07
2023-04-20,20.279583333333335,31.59,8.27
2023-04-21,30.687083333333334,66.59,10.32
2023-04-22,38.11,72.17,15.07
2023-04-23,35.48916666666667,74.04,12.46
2023-04-24,22.93958333333333,48.87,14.85
2023-04-25,30.094166666666666,61.31,15.47
2023-04-26,29.53333333333333,54.27,15.69
2023-04-27,32.544583333333335,54.62,18.41
2023-04-28,27.82166666666667,49.34,12.8
2023-04-29,45.04,74.52,19.55
2023-04-30,30.29125,55.14,15.18
2023-05-01,28.30666666666667,42.55,8.63
2023-05-02,13.319166666666668,46.31,7.36
2023-05-03,20.77375,37.56,11.42
2023-05-04,42.44958333333333,65.6,21.82
2023-05-05,19.868333333333336,42.79,4.65
2023-05-09,35.105555555555554,63.49,11.45
2023-05-10,37.089166666666664,64.67,11.0
2023-05-11,28.214583333333334,52.48,13.49
2023-05-12,15.277083333333332,37.26,6.86
2023-05-13,13.12,22.52,4.34
