Date,NO2_mean,NO2_max,NO2_min
2021-06-08,9.98,12.28,8.6
2021-06-10,11.142307692307693,12.65,9.92
2021-06-11,13.087083333333332,17.7,7.36
2021-06-12,18.145,30.71,8.26
2021-06-13,17.281666666666666,28.91,8.51
2021-06-14,11.386249999999999,20.88,9.73
2021-06-15,11.765833333333333,16.22,8.52
2021-06-18,25.716923076923077,36.18,18.89
2021-06-19,12.768749999999999,16.82,6.75
2021-06-20,12.568333333333333,18.84,8.83
2021-06-21,19.65875,35.23,5.54
2021-06-22,11.4475,18.77,3.76
2021-06-23,22.701666666666668,32.82,11.28
2021-06-24,31.015,43.84,22.01
2021-06-25,22.678749999999997,30.11,12.03
2021-06-26,20.452916666666667,31.85,12.23
2021-06-27,18.26875,31.11,9.22
2021-06-28,50.190416666666664,69.53,16.87
2021-06-29,14.262500000000001,50.07,5.04
2021-06-30,14.36,24.54,6.45
2021-07-01,34.01833333333334,45.71,20.98
2021-07-02,23.562916666666666,40.18,11.15
2021-07-03,19.015833333333333,27.7,9.17
2021-07-04,9.39625,25.76,5.88
2021-07-05,19.3525,29.78,9.8
2021-07-06,9.9125,20.16,4.29
2021-07-07,10.332083333333333,15.06,7.26
2021-07-08,13.205416666666666,21.23,6.87
2021-07-09,24.4325,29.95,16.16
2021-07-10,22.934583333333332,46.99,10.91
2021-07-11,17.32166666666667,37.23,8.07
2021-07-12,28.76,48.55,15.52
2021-07-13,25.667083333333334,43.26,12.45
2021-07-14,22.12875,27.03,12.85
2021-07-15,14.635,24.2,9.52
2021-07-16,20.5475,31.19,10.61
2021-07-17,23.08458333333333,39.89,8.81
2021-07-18,32.85375,49.71,12.2
2021-07-19,49.525416666666665,61.75,25.6
2021-07-20,42.470416666666665,54.55,17.67
2021-07-21,35.58583333333333,58.81,15.62
2021-07-22,28.392916666666665,39.23,15.45
2021-07-23,15.289583333333333,35.98,8.68
2021-07-24,23.817083333333333,34.09,13.14
2021-07-25,31.913750000000004,52.09,17.92
2021-07-26,15.012083333333335,32.07,9.78
2021-07-27,22.125,38.05,13.48
2021-07-28,22.851250000000004,31.34,14.33
2021-07-29,9.603333333333333,28.46,5.59
2021-07-30,19.388749999999998,28.97,11.11
2021-07-31,19.842499999999998,30.44,11.18
2021-08-01,18.34208333333333,31.16,9.09
2021-08-02,22.739166666666666,33.43,14.52
2021-08-03,25.332083333333333,34.36,15.91
2021-08-04,37.01208333333333,61.9,15.77
2021-08-05,18.2375,37.91,8.83
2021-08-06,12.527500000000002,19.06,7.11
2021-08-07,26.474166666666665,37.49,11.05
2021-08-08,18.663333333333334,26.37,7.54
2021-08-09,17.97041666666667,25.44,8.14
2021-08-10,16.135833333333334,23.22,9.59
2021-08-11,17.069166666666664,26.88,8.38
2021-08-12,13.410416666666668,19.02,7.17
2021-08-13,17.938750000000002,24.23,10.3
2021-08-14,14.309583333333334,21.24,8.3
2021-08-15,11.32875,19.67,5.38
2021-08-16,21.862916666666667,39.24,7.16
2021-08-17,24.97375,37.19,17.45
2021-08-18,14.071666666666665,24.97,9.03
2021-08-19,12.38125,17.93,8.22
2021-08-20,24.32375,35.12,13.53
2021-08-21,31.22083333333333,42.05,18.79
2021-08-22,23.791666666666668,43.21,12.25
2021-08-23,12.829583333333334,24.73,3.86
2021-08-24,13.523333333333333,21.6,6.76
2021-08-25,83.11291666666666,111.2,19.33
2021-08-26,13.457083333333332,95.94,6.39
2021-08-27,15.561666666666667,24.0,5.04
2021-08-28,17.962083333333336,32.35,9.66
2021-08-29,21.391666666666666,35.79,9.18
2021-08-30,10.125,14.36,6.89
2021-08-31,12.346666666666666,18.41,5.52
2021-09-01,16.495416666666667,25.52,6.15
2021-09-02,24.00583333333333,42.12,7.7
2021-09-03,36.11958333333333,56.62,18.49
2021-09-04,21.153333333333332,29.67,14.21
2021-09-05,28.11375,47.14,15.04
2021-09-06,50.53958333333333,85.67,25.97
2021-09-07,52.63833333333333,81.57,20.31
2021-09-08,61.51458333333333,86.24,31.03
2021-09-09,25.012083333333333,61.72,14.13
2021-09-10,28.40041666666667,45.85,17.07
2021-09-11,13.511249999999999,26.35,8.39
2021-09-12,33.27583333333333,49.6,14.37
2021-09-13,28.585416666666664,48.92,15.56
2021-09-14,37.53333333333333,58.5,14.63
2021-09-15,45.51708333333334,81.54,12.69
2021-09-16,29.334166666666665,55.92,16.7
2021-09-17,31.00916666666667,54.32,14.8
2021-09-18,50.03666666666667,68.93,17.26
2021-09-19,35.97125,64.71,20.78
2021-09-20,26.705,42.73,13.05
2021-09-21,35.218333333333334,62.6,21.46
2021-09-22,35.57875,47.53,15.55
2021-09-23,27.8225,39.07,15.6
2021-09-24,23.243750000000002,33.59,12.32
2021-09-25,26.573333333333334,43.85,15.07
2021-09-26,25.155833333333334,42.13,9.42
2021-09-27,12.614583333333334,16.53,9.04
2021-09-28,16.0075,31.9,7.86
2021-09-29,22.479166666666668,40.01,10.32
2021-09-30,18.655833333333334,36.71,8.32
2021-10-01,27.603333333333335,46.75,6.44
2021-10-02,22.139166666666668,43.58,9.04
2021-10-03,16.133333333333333,25.2,7.68
2021-10-04,23.50681818181818,35.06,13.07
2021-10-05,18.084166666666665,29.15,8.73
2021-10-06,35.32833333333333,71.8,13.44
2021-10-07,33.501666666666665,49.91,23.57
2021-10-08,34.0025,74.3,12.53
2021-10-09,61.043749999999996,85.43,28.89
2021-10-10,41.9075,69.45,19.35
2021-10-11,35.45333333333333,62.48,18.54
2021-10-12,39.85875,51.31,22.47
2021-10-13,48.903333333333336,69.79,17.07
2021-10-14,32.06875,50.26,14.68
2021-10-15,36.54708333333333,66.79,16.89
2021-10-16,50.01416666666666,66.11,31.08
2021-10-17,39.94291666666667,65.39,15.43
2021-10-18,30.116666666666664,64.74,13.98
2021-10-19,16.111666666666668,20.49,8.57
2021-10-20,21.017916666666668,40.62,12.27
2021-10-21,44.47333333333333,79.39,17.96
2021-10-22,38.00333333333334,59.91,20.08
2021-10-23,32.65,45.74,19.72
2021-10-24,19.495833333333334,27.77,11.21
2021-10-25,31.1975,56.64,10.58
2021-10-26,22.495416666666667,38.63,10.58
2021-10-27,16.301666666666666,25.45,9.1
2021-10-28,17.198333333333334,28.81,7.11
2021-10-29,22.660833333333333,40.98,9.79
2021-10-30,36.612500000000004,53.7,19.05
2021-10-31,14.588,38.34,7.25
2021-11-01,27.794583333333335,59.0,4.44
2021-11-02,58.23583333333334,88.02,33.12
2021-11-03,40.08833333333333,56.11,15.05
2021-11-04,35.78666666666667,57.6,14.08
