Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-06-08,5.18,5.23,5.14
2021-06-10,4.364615384615385,4.67,4.1
2021-06-11,4.765416666666667,5.68,4.31
2021-06-12,6.423749999999999,7.81,4.55
2021-06-13,7.274583333333333,9.52,5.78
2021-06-14,7.057916666666666,7.68,6.55
2021-06-15,6.905833333333334,7.38,6.49
2021-06-18,2.933846153846154,4.96,1.29
2021-06-19,4.9624999999999995,13.73,0.76
2021-06-20,6.715833333333333,13.26,4.44
2021-06-21,5.770833333333333,7.31,4.3
2021-06-22,6.4937499999999995,10.2,4.7
2021-06-23,6.95625,9.99,4.28
2021-06-24,10.411666666666667,16.7,4.82
2021-06-25,4.774166666666667,10.39,3.45
2021-06-26,7.714583333333334,13.51,3.85
2021-06-27,16.55125,27.27,3.32
2021-06-28,8.985833333333334,15.68,1.39
2021-06-29,9.239583333333334,15.39,5.69
2021-06-30,5.608333333333333,8.45,3.23
2021-07-01,23.59958333333333,28.23,9.0
2021-07-02,12.667916666666665,24.85,6.64
2021-07-03,6.927499999999999,15.41,3.25
2021-07-04,3.70375,5.52,2.12
2021-07-05,4.760416666666667,7.74,2.6
2021-07-06,4.997916666666667,8.2,2.45
2021-07-07,6.324583333333333,10.4,3.31
2021-07-08,6.28375,9.07,3.75
2021-07-09,7.364999999999999,10.99,4.03
2021-07-10,5.7575,12.24,2.89
2021-07-11,5.424166666666667,9.35,3.01
2021-07-12,4.885,6.0,3.65
2021-07-13,9.496666666666666,16.84,4.08
2021-07-14,5.970833333333334,7.43,4.84
2021-07-15,5.38,6.94,4.3
2021-07-16,6.579166666666667,9.95,4.43
2021-07-17,5.168333333333334,7.21,3.86
2021-07-18,7.791250000000001,8.92,6.66
2021-07-19,9.720416666666667,12.16,8.05
2021-07-20,11.375833333333333,15.72,9.01
2021-07-21,17.771666666666665,25.21,11.53
2021-07-22,18.80333333333333,40.29,5.95
2021-07-23,8.457916666666668,11.83,6.29
2021-07-24,15.426666666666668,24.78,4.3
2021-07-25,15.774583333333332,26.88,5.16
2021-07-26,13.9225,20.71,8.9
2021-07-27,5.62,9.02,3.53
2021-07-28,4.744583333333334,9.11,2.84
2021-07-29,5.384166666666666,8.19,3.16
2021-07-30,5.349166666666666,9.53,3.81
2021-07-31,3.830416666666667,5.99,2.53
2021-08-01,4.37625,6.49,2.41
2021-08-02,4.6175,5.71,3.23
2021-08-03,5.890000000000001,8.63,3.93
2021-08-04,7.414583333333333,12.19,4.74
2021-08-05,5.1975,9.03,2.52
2021-08-06,4.947916666666667,6.83,3.52
2021-08-07,3.8191666666666664,5.62,2.65
2021-08-08,6.252916666666667,8.95,3.17
2021-08-09,4.704166666666667,7.5,3.05
2021-08-10,5.570833333333333,7.2,4.03
2021-08-11,4.160416666666666,6.91,2.26
2021-08-12,4.94625,8.86,2.34
2021-08-13,8.395,12.91,3.9
2021-08-14,8.251666666666667,13.33,5.96
2021-08-15,5.737916666666667,9.49,3.93
2021-08-16,10.6725,19.04,3.41
2021-08-17,4.788749999999999,8.35,2.99
2021-08-18,3.907916666666667,4.52,3.06
2021-08-19,4.62375,7.03,2.49
2021-08-20,3.910833333333333,6.68,2.77
2021-08-21,5.94,7.78,3.36
2021-08-22,5.304166666666666,8.71,2.23
2021-08-23,5.124583333333333,9.86,3.92
2021-08-24,4.7283333333333335,5.83,3.87
2021-08-25,3.14125,4.32,2.42
2021-08-26,5.388749999999999,7.83,4.63
2021-08-27,7.1625000000000005,12.05,5.12
2021-08-28,6.600416666666667,9.13,4.81
2021-08-29,5.884166666666666,8.52,4.19
2021-08-30,4.985416666666667,7.58,3.84
2021-08-31,5.534166666666667,6.41,4.41
2021-09-01,7.3950000000000005,13.3,4.91
2021-09-02,9.31625,13.18,6.7
2021-09-03,14.043750000000001,19.11,8.37
2021-09-04,14.107083333333334,20.91,7.97
2021-09-05,17.281666666666666,28.35,8.45
2021-09-06,22.180000000000003,27.08,9.42
2021-09-07,22.700833333333335,42.38,7.75
2021-09-08,30.59875,47.78,12.11
2021-09-09,9.029583333333333,27.27,1.95
2021-09-10,4.524583333333333,9.12,2.91
2021-09-11,5.8758333333333335,7.61,4.32
2021-09-12,6.166250000000001,11.1,3.86
2021-09-13,4.78625,5.87,3.95
2021-09-14,15.137083333333335,20.64,5.6
2021-09-15,9.812916666666666,17.41,4.02
2021-09-16,11.40375,16.08,5.04
2021-09-17,7.819583333333334,11.64,3.4
2021-09-18,13.347916666666668,23.31,5.2
2021-09-19,21.726249999999997,35.71,4.6
2021-09-20,7.888333333333333,16.15,2.04
2021-09-21,10.97625,17.8,5.69
2021-09-22,9.522083333333333,12.92,6.82
2021-09-23,5.358333333333333,9.3,3.98
2021-09-24,6.1275,7.47,5.28
2021-09-25,8.507916666666667,14.7,3.89
2021-09-26,11.95125,19.74,4.42
2021-09-27,2.8966666666666665,4.76,2.21
2021-09-28,5.778333333333333,7.6,2.96
2021-09-29,4.041666666666667,8.03,2.46
2021-09-30,5.617916666666667,8.09,4.12
2021-10-01,4.319999999999999,7.8,2.4
2021-10-02,5.5879166666666675,9.41,2.74
2021-10-03,4.557083333333334,9.51,2.45
2021-10-04,5.215909090909091,8.07,3.56
2021-10-05,5.01375,6.81,3.15
2021-10-06,4.736666666666667,10.64,2.8
2021-10-07,6.96375,9.47,5.5
2021-10-08,7.15625,22.2,3.15
2021-10-09,27.13,40.0,15.87
2021-10-10,16.659583333333334,34.73,4.06
2021-10-11,7.147083333333334,13.75,4.54
2021-10-12,7.582083333333333,13.57,3.62
2021-10-13,5.610833333333333,9.83,3.27
2021-10-14,6.947916666666667,10.04,3.65
2021-10-15,7.171666666666667,9.89,4.38
2021-10-16,10.731666666666667,16.47,7.25
2021-10-17,9.625,15.29,5.32
2021-10-18,8.265,12.97,3.37
2021-10-19,11.014583333333334,21.59,0.0
2021-10-20,6.530833333333334,22.38,4.17
2021-10-21,5.3075,11.93,2.92
2021-10-22,4.812083333333333,8.31,2.88
2021-10-23,4.86125,6.52,2.84
2021-10-24,4.742500000000001,7.34,3.8
2021-10-25,6.13375,7.79,4.18
2021-10-26,6.076666666666667,7.57,5.5
2021-10-27,4.150416666666667,6.93,3.31
2021-10-28,6.1620833333333325,7.98,4.86
2021-10-29,6.5129166666666665,11.4,3.25
2021-10-30,4.793333333333334,7.62,2.62
2021-10-31,6.682799999999999,10.9,4.08
2021-11-01,5.653333333333333,10.86,3.81
2021-11-02,9.211666666666666,23.77,2.79
2021-11-03,11.691666666666665,20.33,3.28
2021-11-04,4.534583333333333,16.03,2.0
2021-11-05,17.0725,47.37,0.88
2021-11-06,8.174166666666666,21.54,2.34
2021-11-07,10.734583333333333,24.86,6.22
2021-11-08,11.063333333333333,14.09,7.54
2021-11-09,5.23375,9.66,2.82
2021-11-10,6.447916666666667,12.03,3.39
2021-11-11,7.516249999999999,11.2,3.89
2021-11-12,7.857500000000001,14.29,5.23
2021-11-13,4.2124999999999995,5.92,2.8
2021-11-14,6.952916666666667,11.68,4.24
2021-11-15,11.558750000000002,16.34,8.27
2021-11-16,13.473333333333334,19.21,6.43
