Date,NO2_mean,NO2_max,NO2_min
2024-05-14,8.87304347826087,10.42,7.08
2024-05-15,16.633333333333333,45.1,6.39
2024-05-16,26.09375,43.69,15.6
2024-05-17,21.20875,38.68,9.51
2024-05-18,17.62875,42.71,7.33
2024-05-19,8.246666666666666,16.17,4.0
2024-05-20,12.975,25.14,6.21
2024-05-21,15.972500000000002,34.38,4.76
2024-05-22,14.740833333333333,25.65,9.19
2024-05-23,7.6120833333333335,12.66,3.84
2024-05-24,17.454583333333336,31.98,8.93
2024-05-25,14.387916666666667,31.71,4.54
2024-05-26,5.63625,13.12,2.02
2024-05-27,5.2316666666666665,8.09,2.43
2024-05-28,6.927083333333333,9.65,4.86
2024-05-29,5.805833333333333,9.59,1.56
2024-05-30,23.364583333333332,30.03,8.93
2024-05-31,6.9975,16.07,3.62
2024-06-01,6.78125,9.15,4.12
2024-06-02,13.577916666666667,42.24,4.3
2024-06-03,17.559166666666666,37.17,8.53
2024-06-04,15.107083333333334,29.85,6.61
2024-06-05,11.297083333333333,24.36,6.11
2024-06-06,12.375,17.0,7.84
2024-06-07,11.04625,18.29,5.82
2024-06-08,7.238333333333333,12.11,4.45
2024-06-09,14.400833333333333,28.12,6.26
2024-06-10,11.869166666666667,39.15,3.31
2024-06-11,16.91625,38.31,8.25
2024-06-12,29.555833333333336,46.86,17.06
2024-06-13,13.446666666666665,36.87,4.35
2024-06-14,9.563333333333334,12.0,3.84
2024-06-15,6.514583333333333,10.31,3.53
2024-06-16,5.88375,8.9,3.84
2024-06-17,10.49125,17.76,4.59
2024-06-18,14.849583333333333,25.53,7.17
2024-06-19,9.051666666666668,15.88,4.72
2024-06-20,19.145416666666666,28.53,11.65
2024-06-21,14.691666666666668,27.92,5.28
2024-06-22,8.936666666666667,16.78,3.56
2024-06-23,7.685416666666666,16.18,5.36
2024-06-24,28.043333333333333,50.6,8.48
2024-06-25,23.730416666666667,52.19,11.34
2024-06-26,23.290833333333335,36.56,9.63
2024-06-27,10.89625,24.88,5.39
2024-06-28,7.679166666666667,19.79,2.84
2024-06-29,13.774583333333332,20.13,7.34
2024-06-30,11.917499999999999,19.54,5.86
2024-07-01,9.912916666666666,12.66,6.59
2024-07-02,14.793333333333335,32.23,7.24
2024-07-03,17.384583333333335,26.54,7.51
2024-07-04,6.4004166666666675,15.19,4.65
2024-07-05,8.17,12.7,2.95
2024-07-06,10.76625,17.09,5.81
2024-07-07,9.339166666666666,15.28,6.36
2024-07-08,13.870833333333332,21.21,8.81
2024-07-09,18.76875,25.37,11.42
2024-07-10,6.195416666666667,16.85,3.13
2024-07-11,11.667083333333332,20.07,7.22
2024-07-12,8.387916666666667,13.35,3.01
2024-07-13,15.6775,23.7,7.72
2024-07-14,14.511666666666668,26.08,7.4
2024-07-15,26.550833333333333,38.86,10.94
2024-07-16,10.957500000000001,19.41,4.62
2024-07-17,20.382083333333334,29.94,10.64
2024-07-18,23.85625,34.09,9.62
2024-07-19,29.955,63.71,8.56
2024-07-20,11.655000000000001,29.11,6.3
2024-07-21,7.500416666666666,12.02,4.54
2024-07-22,9.12,11.64,6.2
2024-07-23,12.3425,22.88,6.22
2024-07-24,18.52,31.5,6.92
2024-07-25,8.83625,13.81,5.74
