Date,PM2.5_mean,PM2.5_max,PM2.5_min
2023-11-26,10.936875,18.59,4.57
2023-11-27,4.4904166666666665,8.87,2.18
2023-11-28,6.477916666666666,13.54,3.64
2023-11-29,10.259166666666667,13.78,5.68
2023-11-30,9.975833333333332,16.83,3.88
2023-12-01,11.713333333333333,16.74,7.71
2023-12-02,14.704583333333334,26.18,5.35
2023-12-03,7.3675,11.87,4.58
2023-12-04,6.601666666666667,11.79,3.51
2023-12-05,8.155,11.2,5.55
2023-12-06,11.183750000000002,25.52,5.14
2023-12-07,7.02875,16.24,3.5
2023-12-08,9.662916666666666,18.0,5.87
2023-12-09,5.64875,11.48,1.35
2023-12-10,7.628333333333333,12.29,2.2
2023-12-11,7.287916666666667,15.36,5.1
2023-12-12,5.425416666666667,10.14,3.19
2023-12-13,5.177083333333333,10.78,2.55
2023-12-14,9.22,17.21,5.22
2023-12-15,11.370416666666666,16.49,10.27
2023-12-16,4.189583333333333,8.09,1.56
2023-12-17,7.090833333333333,11.05,5.77
2023-12-18,6.647083333333334,10.91,4.57
2023-12-19,4.174166666666666,8.92,0.78
2023-12-20,4.287083333333333,8.0,2.51
2023-12-21,4.19,10.89,1.56
2023-12-22,2.94125,7.67,1.16
2023-12-23,2.16125,4.79,1.18
2023-12-24,0.8083333333333332,3.24,0.33
2023-12-25,1.14125,3.46,0.64
2023-12-26,7.414583333333333,18.51,4.6
2023-12-27,8.279166666666667,12.95,3.4
2023-12-28,9.607083333333334,16.01,4.88
2023-12-29,3.924583333333333,8.64,1.5
2023-12-30,3.2633333333333336,6.47,0.71
2023-12-31,4.114583333333333,7.96,1.82
2024-01-01,4.747916666666667,8.96,3.4
2024-01-02,3.7312499999999997,10.43,1.49
2024-01-03,4.492916666666667,8.83,1.43
2024-01-04,6.810833333333334,23.03,2.65
2024-01-05,7.457916666666667,12.22,1.21
2024-01-06,5.890416666666667,9.97,3.78
2024-01-07,4.339583333333334,7.16,3.12
2024-01-08,5.477083333333333,9.55,3.4
2024-01-09,7.305833333333333,8.71,6.08
2024-01-10,5.086666666666667,8.2,4.16
2024-01-11,8.069166666666666,12.57,5.19
2024-01-12,7.182916666666666,16.65,4.59
2024-01-13,17.261666666666667,21.38,11.79
2024-01-14,11.72125,19.53,3.55
2024-01-15,4.482916666666667,13.19,1.99
2024-01-16,10.047916666666667,14.95,6.86
2024-01-17,11.669166666666667,23.38,7.4
2024-01-18,10.318333333333333,16.54,6.95
2024-01-19,11.72625,17.16,5.11
2024-01-20,6.58625,9.0,5.13
2024-01-21,4.940833333333333,15.9,0.0
2024-01-22,6.374583333333334,11.96,2.17
2024-01-23,4.729166666666667,11.54,1.34
2024-01-24,12.2975,18.92,5.14
2024-01-25,7.2625,15.26,1.77
2024-01-26,5.34375,11.68,3.09
2024-01-27,8.087083333333334,11.34,6.24
2024-01-28,11.016666666666666,16.69,7.16
2024-01-29,16.11375,21.65,9.4
2024-01-30,5.41125,12.33,2.52
2024-01-31,6.635416666666667,9.56,4.59
2024-02-01,7.977916666666666,14.06,4.86
2024-02-02,4.3879166666666665,8.41,1.93
2024-02-03,4.037083333333333,8.66,1.53
2024-02-04,5.070416666666667,14.71,1.16
2024-02-05,9.59875,14.16,0.17
2024-02-06,10.277916666666666,16.37,5.63
2024-02-07,6.204166666666667,9.51,2.03
2024-02-08,7.51875,14.45,3.84
2024-02-09,6.788333333333333,8.44,5.29
2024-02-10,5.83125,14.42,2.89
2024-02-11,7.740833333333334,10.96,5.47
2024-02-12,3.4895833333333335,5.6,2.28
2024-02-13,3.82625,6.81,2.13
2024-02-14,4.243333333333333,7.28,1.59
2024-02-15,5.6675,9.83,3.29
2024-02-16,5.284166666666667,9.51,3.11
2024-02-17,1.1991666666666667,4.11,0.0
2024-02-18,3.21625,9.14,1.57
2024-02-19,6.640416666666667,13.08,4.2
2024-02-20,7.769166666666667,12.12,3.43
