Date,NO2_mean,NO2_max,NO2_min
2024-05-14,11.02695652173913,14.89,7.43
2024-05-15,18.579583333333336,51.04,5.41
2024-05-16,27.53708333333333,49.58,13.71
2024-05-17,19.029166666666665,33.62,7.47
2024-05-18,15.247083333333334,38.21,7.02
2024-05-19,8.122916666666667,15.22,4.2
2024-05-20,12.691250000000002,22.28,5.48
2024-05-21,12.132916666666667,26.4,3.43
2024-05-22,11.584583333333333,17.93,7.34
2024-05-23,7.183333333333334,11.19,3.83
2024-05-24,14.049999999999999,24.7,6.49
2024-05-25,13.84625,26.04,4.52
2024-05-26,4.995416666666666,12.79,1.77
2024-05-27,4.17375,7.22,2.44
2024-05-28,6.952500000000001,9.18,4.79
2024-05-29,4.927083333333333,9.23,1.45
2024-05-30,14.390416666666667,19.4,6.99
2024-05-31,5.462083333333333,9.95,3.09
2024-06-01,5.840416666666666,8.47,3.38
2024-06-02,12.83875,42.25,3.42
2024-06-03,15.589166666666666,35.56,7.44
2024-06-04,13.732916666666666,25.98,5.93
2024-06-05,11.22625,23.86,6.0
2024-06-06,11.530000000000001,16.66,7.59
2024-06-07,10.656666666666666,17.72,5.75
2024-06-08,7.077500000000001,11.24,4.42
2024-06-09,11.367083333333333,22.27,4.88
2024-06-10,11.186666666666667,37.5,3.35
2024-06-11,15.817916666666667,38.09,7.86
2024-06-12,29.219166666666666,46.44,17.06
2024-06-13,11.92375,35.72,3.78
2024-06-14,7.5929166666666665,10.1,3.6
2024-06-15,5.222916666666666,7.33,3.27
2024-06-16,6.195833333333333,9.21,3.46
2024-06-17,10.839999999999998,18.38,4.54
2024-06-18,14.654166666666667,24.35,6.36
2024-06-19,8.265,16.21,4.69
2024-06-20,18.475416666666664,28.35,9.28
2024-06-21,13.387500000000001,27.24,4.68
2024-06-22,7.97375,15.35,3.82
2024-06-23,7.891666666666667,15.15,5.29
2024-06-24,26.379583333333333,46.95,8.14
2024-06-25,25.93875,50.99,11.82
2024-06-26,22.857083333333335,35.7,9.05
2024-06-27,10.284166666666666,23.84,5.53
2024-06-28,6.89875,18.13,2.7
2024-06-29,11.699166666666665,18.65,7.05
2024-06-30,9.412916666666666,16.91,5.12
2024-07-01,8.037083333333333,9.6,6.86
2024-07-02,10.92375,21.92,5.1
2024-07-03,15.846666666666666,24.75,6.97
2024-07-04,6.104166666666667,13.98,4.39
2024-07-05,8.088333333333333,11.69,2.87
2024-07-06,9.671666666666667,14.88,5.7
2024-07-07,8.100833333333332,14.01,5.26
2024-07-08,13.502916666666666,20.86,8.69
2024-07-09,16.867916666666666,20.98,10.03
2024-07-10,6.1125,14.11,3.4
2024-07-11,12.362083333333333,20.12,7.72
2024-07-12,7.1554166666666665,12.32,2.79
2024-07-13,14.856250000000001,21.57,6.9
2024-07-14,13.487916666666665,22.57,7.2
2024-07-15,25.342083333333335,40.96,9.41
2024-07-16,8.293750000000001,14.49,4.17
2024-07-17,19.964166666666667,30.16,9.38
2024-07-18,25.639166666666668,38.15,9.16
2024-07-19,29.798333333333332,64.32,8.24
2024-07-20,10.2475,29.33,6.24
2024-07-21,6.978333333333333,9.75,4.4
2024-07-22,8.473333333333334,10.8,5.8
2024-07-23,11.229166666666666,21.0,5.77
2024-07-24,19.501250000000002,33.88,6.64
2024-07-25,8.585416666666665,15.25,5.58
