Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-05-25,4.720000000000001,7.35,2.42
2021-05-26,7.471666666666667,9.84,5.54
2021-05-27,11.928333333333333,19.49,7.2
2021-05-28,14.415833333333333,18.84,11.02
2021-05-29,14.259583333333333,21.21,9.21
2021-05-30,12.890833333333333,15.65,9.49
2021-05-31,16.9725,19.84,13.39
2021-06-01,15.58,21.28,11.02
2021-06-02,16.905416666666667,23.73,10.86
2021-06-03,14.341666666666667,21.86,8.03
2021-06-04,11.263333333333334,13.81,7.84
2021-06-05,11.930416666666666,15.17,9.67
2021-06-06,8.52375,12.13,5.03
2021-06-07,15.912083333333333,33.51,7.1
2021-06-08,10.187083333333334,22.45,7.04
2021-06-09,8.302083333333334,11.8,5.82
2021-06-10,9.991666666666667,23.42,3.74
2021-06-11,7.404166666666666,10.96,5.98
2021-06-12,8.4175,13.37,5.88
2021-06-13,14.32625,22.53,9.25
2021-06-14,10.775,13.53,8.01
2021-06-15,9.905416666666666,13.97,6.18
2021-06-16,13.440416666666666,18.22,10.52
2021-06-17,12.321666666666665,21.04,6.74
2021-06-18,4.7875000000000005,6.05,3.66
2021-06-19,6.145416666666667,9.56,3.4
2021-06-20,6.574583333333333,9.64,4.08
2021-06-21,8.004166666666666,10.82,4.2
2021-06-22,7.062083333333334,9.8,5.7
2021-06-23,8.661666666666667,14.26,5.24
2021-06-24,12.493333333333332,18.79,7.09
2021-06-25,7.40625,13.76,5.36
2021-06-26,9.549999999999999,16.26,4.27
2021-06-27,33.40541666666667,52.68,9.39
2021-06-28,9.8275,15.87,3.08
2021-06-29,7.804583333333333,15.23,5.06
2021-06-30,6.353333333333333,8.7,4.33
2021-07-01,9.204583333333334,11.14,7.63
2021-07-02,14.987083333333333,20.96,9.79
2021-07-03,13.338333333333333,29.2,5.91
2021-07-04,6.287916666666667,8.4,4.28
2021-07-05,7.0616666666666665,9.59,4.59
2021-07-06,5.099166666666666,9.41,1.75
2021-07-07,11.932083333333333,16.16,8.24
2021-07-08,15.109166666666667,22.91,6.19
2021-07-09,6.9975,23.92,5.22
2021-07-10,8.665833333333333,17.34,5.31
2021-07-11,7.905,12.61,4.99
2021-07-12,7.663333333333333,9.2,6.27
2021-07-13,12.186250000000001,20.16,5.66
2021-07-14,6.575833333333333,8.36,5.07
2021-07-15,7.095416666666666,9.08,5.42
2021-07-16,11.734166666666667,22.5,3.53
2021-07-17,6.989583333333333,9.26,5.59
2021-07-18,12.103333333333333,14.75,8.18
2021-07-19,14.797083333333333,21.91,10.47
