Date,PM2.5_mean,PM2.5_max,PM2.5_min
2022-06-19,12.527999999999999,18.44,8.52
2022-06-20,7.326250000000001,13.56,5.48
2022-06-21,8.080833333333333,13.13,4.85
2022-06-22,9.120833333333334,17.38,6.19
2022-06-23,11.855833333333335,22.42,6.14
2022-06-24,10.44875,17.15,6.49
2022-06-25,9.542916666666667,12.21,7.71
2022-06-26,3.7279166666666668,12.91,1.49
2022-06-27,4.3549999999999995,4.98,3.54
2022-06-28,6.39,7.27,5.02
2022-06-29,6.06125,6.71,5.76
2022-06-30,3.9308333333333336,7.54,1.55
2022-07-01,4.453333333333333,7.44,2.32
2022-07-02,3.06375,3.83,2.32
2022-07-03,5.71625,8.72,2.88
2022-07-04,6.1175,7.66,4.03
2022-07-05,1.6362499999999998,5.72,0.0
2022-07-06,6.804583333333333,9.24,2.68
2022-07-07,6.918333333333333,13.19,5.38
2022-07-08,9.355833333333333,12.44,7.42
2022-07-09,5.954999999999999,8.43,3.56
2022-07-10,7.483750000000001,10.69,6.18
2022-07-11,7.695416666666667,8.93,6.84
2022-07-12,9.716666666666667,16.62,7.75
2022-07-13,9.03625,11.92,7.62
2022-07-14,7.203749999999999,10.27,5.33
2022-07-15,6.926666666666667,9.84,5.11
2022-07-16,5.31125,9.06,4.12
2022-07-17,7.15125,14.21,3.88
2022-07-18,11.878749999999998,15.93,9.47
2022-07-19,15.632083333333334,26.5,12.27
2022-07-20,15.257916666666667,25.93,9.95
2022-07-21,8.659583333333332,12.12,6.15
2022-07-22,6.510416666666667,11.98,5.31
2022-07-23,6.2683333333333335,8.13,5.13
2022-07-24,4.2908333333333335,6.28,2.4
2022-07-25,5.983750000000001,7.98,3.52
2022-07-26,6.757916666666667,10.06,5.02
2022-07-27,7.80125,14.84,5.39
2022-07-28,8.580833333333333,10.79,6.8
2022-07-29,7.8062499999999995,12.06,5.41
2022-07-30,9.681666666666667,17.46,6.53
2022-07-31,7.955416666666667,10.4,6.34
2022-08-01,6.697083333333333,10.82,4.63
2022-08-02,7.65875,11.51,4.99
2022-08-03,7.520833333333333,9.32,5.97
2022-08-04,4.934583333333333,7.39,3.85
2022-08-05,4.1825,4.75,3.73
2022-08-06,9.248333333333333,12.91,4.5
2022-08-07,9.575416666666667,15.78,6.63
2022-08-08,7.640000000000001,10.85,5.06
2022-08-09,7.95625,11.92,6.52
2022-08-10,6.887083333333333,10.23,5.76
2022-08-11,11.290416666666665,30.84,6.42
2022-08-12,11.597083333333332,14.69,10.0
2022-08-13,11.8525,14.46,9.79
2022-08-14,12.470416666666667,19.04,9.24
2022-08-15,13.156666666666666,15.47,11.77
2022-08-16,14.65,20.03,6.81
2022-08-17,15.81875,27.8,2.97
2022-08-18,8.126666666666667,12.45,0.17
2022-08-19,5.3425,6.32,3.89
2022-08-20,8.387083333333333,12.41,5.37
2022-08-21,8.84,13.07,7.22
2022-08-22,7.984583333333333,11.88,5.97
2022-08-23,7.194166666666667,9.48,5.83
2022-08-24,6.204999999999999,8.67,4.65
2022-08-25,9.713333333333333,14.82,6.67
2022-08-30,5.25,5.45,5.14
2022-08-31,4.400833333333334,5.24,3.38
2022-09-01,7.945833333333333,12.99,4.4
2022-09-02,14.525833333333333,24.99,8.84
2022-09-03,16.682083333333335,33.69,7.43
2022-09-04,10.566666666666666,17.49,7.74
2022-09-05,6.0879166666666675,10.98,3.76
2022-09-06,7.635416666666667,11.57,5.66
2022-09-07,6.706666666666667,8.98,5.13
2022-09-08,6.18625,13.9,1.19
2022-09-09,9.215333333333332,11.94,7.4
2022-09-10,9.3775,14.11,7.68
2022-09-11,10.722916666666668,15.47,7.64
2022-09-12,10.667916666666665,15.43,8.66
2022-09-13,8.252083333333333,14.37,5.48
2022-09-14,6.926666666666667,10.71,5.54
2022-09-15,8.337083333333334,12.55,6.53
2022-09-16,5.508333333333333,8.3,3.03
2022-09-17,5.423749999999999,10.49,4.21
2022-09-18,5.069166666666667,8.52,3.58
2022-09-19,4.047083333333333,7.79,2.35
2022-09-20,7.430416666666667,12.5,4.81
2022-09-21,10.667499999999999,16.49,5.89
2022-09-22,11.535416666666668,19.39,7.82
2022-09-23,10.397499999999999,14.67,7.59
2022-09-24,5.475416666666667,11.08,2.99
2022-09-25,5.4025,10.01,3.03
2022-09-26,7.8525,11.3,4.99
2022-09-27,8.377083333333333,13.24,5.71
2022-09-28,6.880416666666666,13.21,5.16
2022-09-29,10.010833333333332,14.48,6.17
2022-09-30,9.637916666666667,16.35,4.88
2022-10-01,7.4004166666666675,8.82,6.11
2022-10-02,9.612916666666667,21.84,6.55
2022-10-03,14.369166666666667,23.27,9.03
2022-10-04,6.9425,14.93,5.46
2022-10-05,7.528333333333333,11.74,3.71
2022-10-06,5.537916666666667,12.29,2.02
2022-10-07,6.665,18.73,0.33
2022-10-08,8.38125,17.58,5.4
2022-10-09,9.477916666666667,17.7,5.33
2022-10-10,9.646666666666667,14.26,6.98
2022-10-11,14.680416666666666,20.0,9.66
2022-10-12,13.78375,20.44,9.78
2022-10-13,10.745416666666666,18.37,6.46
2022-10-14,10.96125,17.81,6.49
2022-10-15,3.6470833333333332,9.99,1.6
2022-10-16,0.78875,5.86,0.0
2022-10-17,7.988333333333333,14.51,5.66
2022-10-18,9.655,20.77,5.74
2022-10-19,9.570833333333333,16.31,7.17
2022-10-20,13.3825,18.2,6.63
2022-10-21,10.306666666666667,13.77,8.26
2022-10-22,6.835416666666667,9.85,5.39
2022-10-23,8.077083333333333,14.77,2.71
2022-10-24,6.343333333333334,10.5,1.98
2022-10-25,7.452083333333333,10.91,5.94
2022-10-26,7.38,10.94,6.0
2022-10-27,8.625238095238094,12.38,5.85
2022-10-28,8.125,11.31,6.51
2022-10-29,12.182083333333333,18.58,7.64
2022-10-30,7.009600000000001,9.9,5.53
2022-10-31,8.217083333333333,16.87,5.54
2022-11-01,7.120416666666666,9.12,5.05
2022-11-02,5.895416666666667,10.16,2.86
2022-11-03,5.850833333333333,17.96,2.02
2022-11-04,11.020416666666668,20.21,3.18
2022-11-05,10.257916666666667,23.08,4.51
2022-11-06,5.911666666666666,13.52,3.16
2022-11-07,6.792083333333333,8.47,5.36
2022-11-08,6.369583333333334,11.34,1.14
2022-11-09,3.842083333333333,6.97,2.57
2022-11-10,6.125416666666666,6.87,5.46
2022-11-11,6.384583333333333,12.13,4.97
2022-11-12,12.700416666666667,19.43,7.66
2022-11-13,14.43,21.6,8.18
2022-11-14,15.998750000000001,22.7,4.7
2022-11-15,4.694583333333333,6.52,3.45
2022-11-16,4.86625,9.78,3.01
2022-11-17,4.949583333333334,6.51,2.83
2022-11-18,5.69625,9.75,4.08
2022-11-19,7.22375,19.23,4.86
2022-11-20,7.377916666666667,15.68,4.91
2022-11-21,6.966666666666668,12.17,3.33
2022-11-22,6.476666666666667,15.26,3.6
2022-11-23,4.583333333333333,9.61,3.4
2022-11-24,6.603750000000001,9.43,3.05
2022-11-25,7.440833333333334,10.61,6.26
2022-11-26,6.433333333333334,7.83,5.06
2022-11-27,6.077083333333333,14.83,1.58
2022-11-28,8.197083333333333,16.98,4.79
2022-11-29,12.82,16.21,8.89
2022-11-30,13.804583333333333,17.01,10.4
2022-12-01,14.262083333333335,19.85,5.88
2022-12-02,9.814166666666667,13.26,5.55
2022-12-03,8.333333333333334,14.47,4.0
2022-12-04,12.679166666666667,17.6,9.0
2022-12-05,8.587826086956522,12.45,5.05
2022-12-06,6.922499999999999,11.78,4.06
2022-12-07,10.557916666666666,20.04,6.01
2022-12-08,17.700416666666666,22.37,7.84
2022-12-09,17.745416666666667,24.21,5.32
2022-12-10,26.937916666666666,53.76,13.58
2022-12-11,26.232916666666668,53.58,2.81
2022-12-12,13.266666666666666,19.91,4.19
2022-12-13,20.08791666666667,25.9,12.5
2022-12-14,17.064583333333335,21.3,9.17
2022-12-15,16.633333333333333,22.14,10.46
2022-12-16,39.369166666666665,71.43,18.0
2022-12-17,30.299166666666665,59.33,12.12
2022-12-18,13.707500000000001,20.7,2.67
2022-12-19,5.8429166666666665,11.0,2.64
2022-12-20,8.01,14.46,4.58
2022-12-21,8.0525,15.16,5.6
2022-12-22,7.852916666666666,10.75,5.34
2022-12-23,8.287083333333333,19.02,3.67
2022-12-24,7.595833333333334,15.99,4.47
2022-12-25,5.474166666666666,7.45,3.46
2022-12-26,6.055416666666666,8.34,4.16
2022-12-27,4.217083333333333,6.89,1.18
2022-12-28,4.019166666666667,8.91,2.09
2022-12-29,7.6120833333333335,10.52,5.62
2022-12-30,4.329583333333333,6.92,2.56
2022-12-31,7.170833333333333,13.83,3.5
2023-01-01,6.7575,11.9,4.37
2023-01-02,7.560833333333334,20.69,2.77
2023-01-03,6.8758333333333335,15.9,3.26
2023-01-04,8.102083333333333,15.39,3.85
2023-01-05,5.589166666666666,10.29,1.25
2023-01-06,5.6000000000000005,14.83,3.19
2023-01-07,6.240833333333334,9.88,2.6
2023-01-08,4.8725,9.79,1.19
2023-01-09,6.283333333333334,25.09,1.01
2023-01-10,6.6308333333333325,11.82,3.93
2023-01-11,7.113333333333333,10.73,4.62
2023-01-12,5.016666666666667,11.87,1.79
2023-01-13,7.715625,8.62,7.28
2023-01-16,8.2275,8.59,7.73
2023-01-17,18.529166666666665,28.49,6.2
2023-01-18,9.965833333333334,15.06,6.21
2023-01-19,10.935833333333333,15.95,7.6
2023-01-20,7.856249999999999,17.83,5.29
2023-01-21,19.030833333333334,39.39,5.31
2023-01-22,29.062916666666666,45.41,4.34
2023-01-23,24.21875,37.74,9.87
2023-01-24,13.19375,23.27,7.36
2023-01-25,22.340416666666666,29.9,1.47
2023-01-26,7.360833333333333,17.35,1.78
2023-01-27,8.996666666666668,20.17,4.35
2023-01-28,12.312916666666666,21.48,7.93
2023-01-29,8.075416666666667,16.97,2.28
2023-01-30,7.855416666666667,12.96,5.18
2023-01-31,8.845,11.94,6.89
2023-02-01,7.9070833333333335,10.68,5.2
2023-02-02,7.18625,13.53,5.55
2023-02-03,7.233333333333333,13.79,5.22
2023-02-04,9.133076923076924,11.81,5.23
2023-02-06,18.868571428571425,20.97,13.81
2023-02-07,24.540000000000003,32.94,16.45
2023-02-08,25.840833333333332,35.75,16.15
2023-02-09,19.7275,27.98,9.27
2023-02-10,17.017500000000002,25.31,8.45
2023-02-11,9.034166666666666,13.15,6.05
2023-02-12,9.378333333333332,16.53,2.43
2023-02-13,23.74291666666667,33.33,18.01
2023-02-14,31.921666666666667,41.36,16.43
2023-02-15,28.897916666666664,50.07,14.1
2023-02-16,5.364166666666667,7.31,3.85
2023-02-17,4.766666666666667,9.03,3.71
2023-02-18,5.43625,11.93,2.73
2023-02-19,6.093333333333334,8.4,4.71
2023-02-20,5.378333333333334,9.97,4.18
2023-02-21,10.206249999999999,19.96,5.38
2023-02-22,13.645416666666668,20.97,6.13
2023-02-23,6.04375,14.01,3.54
2023-02-24,11.1025,24.84,5.5
2023-02-25,7.818333333333334,10.8,5.38
2023-02-26,5.5249999999999995,8.31,3.52
2023-02-27,5.308333333333334,7.51,3.74
2023-02-28,5.638333333333333,10.2,3.93
2023-03-01,4.324166666666667,7.25,2.7
2023-03-02,9.719166666666666,15.96,5.97
2023-03-03,6.326666666666667,8.63,4.42
2023-03-04,6.038333333333334,9.13,3.45
2023-03-05,10.738333333333332,13.98,7.39
2023-03-06,8.45875,15.98,2.94
2023-03-07,9.924166666666666,22.27,2.34
2023-03-08,8.198333333333332,18.03,2.26
2023-03-09,8.546666666666667,10.85,5.24
2023-03-10,7.0441666666666665,19.78,2.27
2023-03-11,9.907916666666667,16.81,4.58
2023-03-12,6.65875,18.08,3.51
2023-03-13,8.3725,16.14,0.0
2023-03-14,4.492083333333333,7.52,3.06
2023-03-15,5.520833333333333,12.2,3.73
2023-03-16,5.800416666666667,10.1,3.6
2023-03-17,7.735833333333333,11.04,5.29
2023-03-18,7.033333333333334,9.66,5.12
2023-03-19,4.8475,8.59,3.05
2023-03-20,7.421666666666667,10.61,5.79
2023-03-21,5.4437500000000005,9.26,4.27
2023-03-22,7.490833333333334,12.27,3.96
2023-03-23,5.425,8.0,2.34
2023-03-24,6.2179166666666665,10.37,4.06
2023-03-25,7.357499999999999,14.09,5.0
2023-03-26,4.641739130434783,7.92,2.32
2023-03-27,6.63625,10.98,3.65
2023-03-28,5.540833333333333,10.11,3.34
2023-03-29,6.700833333333333,12.51,5.32
2023-03-30,10.299166666666666,19.63,3.48
2023-03-31,4.881666666666667,8.91,2.97
2023-04-01,4.695416666666667,10.76,2.86
2023-04-02,5.992916666666667,14.72,2.97
2023-04-03,8.899166666666666,13.18,3.19
2023-04-04,11.99875,21.48,8.87
2023-04-05,13.44,22.18,8.99
2023-04-06,6.664583333333333,20.49,4.72
2023-04-07,6.495,14.41,5.01
2023-04-08,12.592500000000001,18.35,6.97
2023-04-09,15.364583333333334,23.29,7.67
2023-04-10,6.4745833333333325,11.02,4.53
2023-04-11,2.5691666666666664,6.1,0.0
2023-04-12,5.199166666666667,9.9,2.4
2023-04-13,4.965,6.45,2.75
2023-04-14,5.72125,10.46,4.29
2023-04-15,9.9825,19.39,3.97
2023-04-16,11.300833333333335,22.42,3.22
2023-04-17,13.568333333333333,19.32,4.44
2023-04-18,14.893749999999999,18.56,9.85
2023-04-19,13.5225,20.15,7.5
2023-04-20,8.472916666666666,11.42,6.44
2023-04-21,13.660416666666668,22.53,5.58
2023-04-22,19.181250000000002,30.55,6.43
2023-04-23,7.579999999999999,14.92,5.32
2023-04-24,8.52875,15.66,5.87
2023-04-25,7.599166666666666,11.8,5.27
2023-04-26,9.48625,14.39,7.36
2023-04-27,16.360416666666666,21.47,11.47
2023-04-28,7.7058333333333335,17.15,3.07
2023-04-29,12.810416666666667,18.23,8.6
2023-04-30,15.590833333333334,26.62,8.12
2023-05-01,7.622916666666666,15.36,4.68
2023-05-02,5.6375,7.47,4.62
