Date,PM2.5_mean,PM2.5_max,PM2.5_min
2022-03-24,41.218333333333334,69.23,18.99
2022-03-25,35.2075,68.97,13.37
2022-03-26,22.997083333333336,31.42,13.22
2022-03-27,11.829565217391304,16.33,8.49
2022-03-28,20.814583333333335,31.38,13.66
2022-03-29,24.735,29.13,15.04
2022-03-30,22.694166666666664,32.53,0.48
2022-03-31,7.650833333333334,12.08,0.96
2022-04-01,6.460833333333333,11.01,4.34
2022-04-02,9.669583333333334,14.32,6.97
2022-04-03,8.5275,13.84,6.11
2022-04-04,7.745833333333334,14.59,4.82
2022-04-05,10.314583333333333,18.72,4.5
2022-04-06,3.5308333333333333,7.67,1.11
2022-04-07,9.014583333333333,13.34,4.38
2022-04-08,9.089583333333334,14.43,6.4
2022-04-09,6.910833333333334,11.25,5.02
2022-04-10,8.494166666666667,13.09,6.08
2022-04-11,12.795416666666666,15.88,8.44
2022-04-12,14.360833333333334,20.91,10.24
2022-04-13,12.48625,17.19,9.31
2022-04-14,8.734583333333333,11.93,6.56
2022-04-15,14.457916666666668,20.99,8.37
2022-04-16,21.54041666666667,36.72,3.61
2022-04-17,16.885833333333334,32.05,5.63
2022-04-18,10.217916666666666,18.43,6.35
2022-04-19,8.584166666666667,13.51,5.62
2022-04-20,13.813333333333333,22.3,8.38
2022-04-21,13.90125,23.79,7.93
2022-04-22,13.39625,18.56,9.8
2022-04-23,19.15041666666667,23.89,15.14
2022-04-24,14.342916666666667,20.69,8.56
2022-04-25,21.741666666666667,35.11,10.13
2022-04-26,10.9975,17.05,6.81
2022-04-27,8.0675,13.43,5.33
2022-04-28,10.737499999999999,14.59,6.77
2022-04-29,10.779583333333333,14.57,8.59
2022-04-30,14.21875,20.08,8.73
2022-05-01,13.407083333333333,17.66,8.13
2022-05-02,17.315,22.74,14.24
2022-05-03,16.390416666666667,19.73,13.64
2022-05-04,16.918333333333333,29.71,5.49
2022-05-05,9.468333333333334,13.07,6.98
2022-05-06,9.517916666666666,15.48,5.75
2022-05-07,6.395833333333333,11.54,4.06
2022-05-08,8.991666666666667,9.81,6.88
2022-05-09,12.320416666666667,15.13,9.0
2022-05-10,9.655833333333334,13.99,7.4
2022-05-11,12.310416666666667,23.91,7.49
2022-05-12,9.263333333333334,15.07,7.68
2022-05-13,11.260416666666666,28.49,5.1
2022-05-14,13.715833333333334,25.22,8.9
2022-05-15,16.600416666666668,25.22,7.35
2022-05-16,14.230416666666665,25.02,7.82
2022-05-17,8.982083333333334,10.26,7.35
2022-05-18,12.0575,32.42,7.55
2022-05-19,8.932916666666666,12.09,7.86
2022-05-20,7.5,11.02,5.74
