Date,NO2_mean,NO2_max,NO2_min
2021-10-28,22.148,33.89,13.12
2021-10-29,19.7025,36.41,7.3
2021-10-30,27.39625,40.46,18.63
2021-10-31,16.3668,26.71,6.9
2021-11-01,24.459166666666665,46.48,4.06
2021-11-02,39.35583333333333,60.87,26.14
2021-11-03,39.16458333333333,52.04,14.62
2021-11-04,22.3075,39.15,9.08
2021-11-05,43.69208333333333,53.95,29.74
2021-11-06,19.55375,30.82,13.05
2021-11-07,30.03333333333333,50.42,7.97
2021-11-08,34.84166666666667,47.27,24.19
2021-11-09,26.987083333333334,46.91,11.48
2021-11-10,29.646666666666665,39.01,12.25
2021-11-11,34.36833333333333,49.86,13.09
2021-11-12,21.895416666666666,43.91,13.43
2021-11-13,20.725416666666668,33.94,8.14
2021-11-14,16.345,24.85,9.41
2021-11-15,29.483333333333334,43.97,16.58
2021-11-16,43.96083333333333,56.42,33.15
2021-11-17,37.39208333333333,57.18,17.3
2021-11-18,33.237500000000004,43.21,25.04
2021-11-19,32.02583333333333,47.85,19.22
2021-11-20,21.8475,34.75,7.5
2021-11-21,17.894583333333333,26.91,8.39
2021-11-22,21.788749999999997,38.26,7.88
2021-11-23,40.63291666666667,57.63,26.48
2021-11-24,50.71375,69.42,36.43
2021-11-25,37.32833333333333,56.52,18.47
2021-11-26,27.15125,39.98,17.08
2021-11-27,15.83375,27.48,6.82
2021-11-28,18.139166666666664,33.15,7.21
2021-11-29,37.01125,49.35,21.24
2021-11-30,21.48625,34.15,7.22
2021-12-01,29.625833333333333,63.13,7.83
2021-12-02,29.622083333333332,46.77,11.94
2021-12-03,34.02625,46.91,8.91
2021-12-04,28.438333333333333,35.77,17.44
2021-12-05,15.655833333333334,25.4,3.98
2021-12-06,31.625,43.35,18.95
2021-12-07,28.852500000000003,59.7,9.75
2021-12-08,20.355416666666667,41.29,5.01
2021-12-09,29.204583333333332,52.9,6.3
2021-12-10,22.420416666666668,38.32,7.19
2021-12-11,34.15625,56.6,19.2
2021-12-12,21.085833333333333,34.04,6.21
2021-12-13,23.132499999999997,40.4,5.45
2021-12-14,29.666666666666668,56.86,9.68
2021-12-15,30.37625,48.25,10.17
2021-12-16,39.65708333333333,51.4,28.26
2021-12-17,28.049166666666665,38.55,13.89
2021-12-18,21.67625,31.44,12.05
2021-12-19,19.19125,25.24,11.93
2021-12-20,24.222631578947368,39.25,8.13
2021-12-21,33.46333333333334,56.29,12.85
2021-12-22,42.120555555555555,57.93,30.87
2021-12-23,24.871176470588235,45.8,18.04
2021-12-24,29.59722222222222,52.16,9.4
2021-12-25,14.234444444444446,20.39,8.82
2021-12-26,23.28388888888889,31.83,19.4
2021-12-27,19.707222222222224,25.89,12.33
