Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-10-28,7.876666666666667,9.77,5.94
2021-10-29,8.962083333333334,13.67,5.19
2021-10-30,6.87,11.13,4.43
2021-10-31,5.2,17.86,0.0
2021-11-01,10.088333333333333,15.5,8.11
2021-11-02,12.971666666666666,17.77,7.04
2021-11-03,12.82,21.4,5.02
2021-11-04,13.347916666666668,50.23,3.81
2021-11-05,17.605833333333333,45.77,0.0
2021-11-06,12.188749999999999,31.89,4.74
2021-11-07,10.34625,22.55,6.98
2021-11-08,14.169583333333334,19.33,11.26
2021-11-09,9.46375,13.76,7.61
2021-11-10,13.200833333333334,19.97,6.37
2021-11-11,12.15375,14.58,9.49
2021-11-12,10.362916666666667,15.11,8.07
2021-11-13,7.5975,11.45,4.77
2021-11-14,8.022499999999999,10.91,5.36
2021-11-15,11.971666666666666,15.71,9.1
2021-11-16,15.453333333333333,20.72,11.3
2021-11-17,12.43,16.78,8.72
2021-11-18,13.822083333333333,20.16,8.63
2021-11-19,12.135416666666666,17.69,7.52
2021-11-20,11.234583333333333,15.79,7.75
2021-11-21,6.912916666666667,12.5,5.38
2021-11-22,7.96875,15.42,5.95
2021-11-23,13.5775,23.57,3.58
2021-11-24,18.607916666666664,27.92,6.37
2021-11-25,10.988333333333332,19.22,7.58
2021-11-26,6.539583333333333,10.58,4.51
2021-11-27,6.463333333333334,9.72,4.23
2021-11-28,6.983750000000001,13.54,4.74
2021-11-29,14.23375,18.91,9.37
2021-11-30,7.260000000000001,10.82,5.05
2021-12-01,8.084999999999999,14.19,3.33
2021-12-02,8.918750000000001,15.17,6.06
2021-12-03,11.907916666666665,25.37,3.82
2021-12-04,10.452916666666667,21.98,5.53
2021-12-05,7.088333333333334,13.71,3.33
2021-12-06,10.152083333333334,14.3,6.55
2021-12-07,7.684583333333333,12.74,6.12
2021-12-08,9.425833333333333,22.99,4.13
2021-12-09,10.09625,17.23,5.19
2021-12-10,6.185416666666666,14.03,2.1
2021-12-11,13.317916666666667,26.22,7.51
2021-12-12,6.085833333333333,11.02,2.39
2021-12-13,8.454166666666667,10.97,6.73
2021-12-14,10.56375,14.7,8.89
2021-12-15,11.844583333333333,18.01,8.15
2021-12-16,9.58625,11.74,7.2
2021-12-17,11.147916666666667,20.13,5.75
2021-12-18,14.029583333333333,16.79,10.76
2021-12-19,8.452916666666667,14.38,3.7
2021-12-20,7.685789473684211,19.68,4.25
2021-12-21,14.328333333333331,22.11,7.22
2021-12-22,17.412222222222223,28.71,7.94
2021-12-23,17.919999999999998,22.75,9.16
2021-12-24,26.369444444444444,46.37,11.7
2021-12-25,12.408888888888889,23.39,3.45
2021-12-26,17.64611111111111,26.47,6.75
2021-12-27,7.517777777777777,10.38,5.78
2021-12-28,8.583529411764705,18.0,5.62
2021-12-29,10.835882352941177,19.52,6.31
2021-12-30,8.259444444444444,14.87,4.38
2021-12-31,11.312777777777777,14.42,8.92
2022-01-01,16.90277777777778,49.83,7.05
2022-01-02,8.010000000000002,15.44,3.84
2022-01-03,10.49,23.61,6.13
2022-01-04,12.348888888888888,58.77,3.43
2022-01-05,9.651904761904762,17.93,4.92
2022-01-06,11.207916666666668,16.35,5.59
2022-01-07,6.368333333333333,12.11,4.27
2022-01-08,8.47125,12.52,6.9
2022-01-09,10.82625,23.02,6.97
2022-01-10,15.23625,20.57,12.25
2022-01-11,12.904166666666667,15.88,8.93
2022-01-12,17.88416666666667,31.46,5.63
2022-01-13,22.844583333333333,26.2,16.58
2022-01-14,28.554166666666664,37.5,24.52
2022-01-15,18.520416666666666,26.85,12.64
2022-01-16,15.652083333333332,20.59,7.15
2022-01-17,17.47791666666667,32.77,9.24
2022-01-18,22.250833333333333,33.98,9.17
2022-01-19,11.940833333333332,17.22,7.48
2022-01-20,7.107083333333333,9.2,4.32
2022-01-21,15.980833333333335,23.6,6.63
2022-01-22,11.01625,15.02,7.96
2022-01-23,8.969166666666666,12.0,4.69
2022-01-24,13.79625,18.82,9.09
2022-01-25,18.899583333333332,23.98,12.46
2022-01-26,17.836666666666666,21.08,11.96
2022-01-27,10.981666666666667,15.38,7.17
2022-01-28,12.036666666666667,15.15,8.68
2022-01-29,7.0441666666666665,15.4,4.44
2022-01-30,9.379583333333333,14.72,5.61
2022-01-31,8.89,16.62,5.23
2022-02-01,7.895,10.05,6.36
2022-02-02,8.410833333333333,12.98,5.01
2022-02-03,7.912916666666667,11.61,5.63
2022-02-04,10.352083333333333,17.19,6.9
2022-02-05,6.0683333333333325,12.64,2.61
2022-02-06,2.668333333333333,5.9,1.01
2022-02-07,12.0075,28.67,6.83
2022-02-08,7.692083333333333,24.53,1.83
2022-02-09,7.430416666666667,11.79,5.37
2022-02-10,8.392916666666666,13.18,7.13
2022-02-11,10.342916666666666,18.53,7.8
2022-02-12,8.77375,12.98,6.34
2022-02-13,8.602500000000001,12.07,6.26
2022-02-14,6.1504166666666675,13.12,1.44
2022-02-15,8.362499999999999,12.99,5.51
2022-02-16,6.419583333333333,13.45,1.87
2022-02-17,10.14875,13.68,5.97
2022-02-18,6.948333333333333,12.43,3.42
2022-02-19,8.061666666666666,15.83,4.15
2022-02-20,8.801666666666668,13.46,5.03
2022-02-21,9.684166666666666,17.52,5.22
2022-02-22,9.796249999999999,16.4,5.72
2022-02-23,10.751666666666667,14.82,8.16
2022-02-24,11.4475,20.42,6.72
2022-02-25,9.865416666666667,22.12,6.09
2022-02-26,10.455,15.81,6.55
2022-02-27,8.67625,11.78,6.72
2022-02-28,14.285416666666668,18.44,11.38
2022-03-01,10.055,14.14,6.82
2022-03-02,20.1175,25.81,12.12
2022-03-03,20.32125,34.31,4.84
2022-03-04,7.624583333333334,14.74,2.5
2022-03-05,9.242916666666668,25.36,3.74
2022-03-06,7.079583333333333,12.5,4.79
2022-03-07,10.151666666666666,15.17,5.77
2022-03-08,12.391666666666666,16.83,7.09
2022-03-09,11.961666666666666,19.64,8.61
2022-03-10,12.1025,16.56,8.46
2022-03-11,10.807083333333333,14.62,6.7
2022-03-12,9.212083333333334,16.13,7.47
2022-03-13,8.435833333333333,14.5,3.46
2022-03-14,10.630416666666667,15.51,7.15
2022-03-15,12.286666666666667,15.79,8.78
2022-03-16,12.43125,17.96,2.71
2022-03-17,8.701666666666666,12.72,6.26
2022-03-18,12.564583333333333,16.88,9.25
2022-03-19,14.3025,18.67,9.3
2022-03-20,15.234583333333333,25.18,5.07
2022-03-21,27.285833333333333,40.2,19.1
2022-03-22,32.553333333333335,47.88,17.58
2022-03-23,33.99375,51.7,17.73
2022-03-24,35.52625,61.4,15.03
2022-03-25,30.0925,56.08,11.24
2022-03-26,20.207916666666666,28.21,11.59
2022-03-27,10.846521739130434,15.27,7.73
2022-03-28,16.724166666666665,25.96,11.21
2022-03-29,19.52958333333333,24.4,9.5
2022-03-30,19.28708333333333,27.06,1.08
2022-03-31,7.886666666666667,12.07,0.95
2022-04-01,7.075833333333333,13.5,4.19
2022-04-02,9.572916666666666,13.91,7.63
2022-04-03,8.517083333333334,13.39,5.58
