Date,NO2_mean,NO2_max,NO2_min
2024-01-21,5.531000000000001,7.38,3.73
2024-01-22,7.554583333333333,12.06,2.75
2024-01-23,27.264166666666668,47.39,13.31
2024-01-24,13.872083333333334,30.96,2.29
2024-01-25,19.83791666666667,35.08,7.76
2024-01-26,25.315833333333334,53.02,4.56
2024-01-27,34.355,49.28,17.31
2024-01-28,31.187916666666666,39.51,16.63
2024-01-29,20.024583333333332,29.99,13.13
2024-01-30,19.734583333333333,33.83,4.16
2024-01-31,16.22875,26.96,6.74
2024-02-01,33.02875,58.89,9.77
2024-02-02,12.536666666666667,18.72,6.96
2024-02-03,9.696666666666667,13.34,4.14
2024-02-04,6.034583333333334,8.66,3.7
2024-02-05,9.096666666666666,14.22,3.04
2024-02-06,9.906666666666666,14.08,6.03
2024-02-07,23.747083333333332,37.33,12.35
2024-02-08,28.69458333333333,53.28,11.34
2024-02-09,13.946666666666665,20.6,7.18
2024-02-10,20.254166666666666,33.44,8.33
2024-02-11,31.73375,40.12,13.98
2024-02-12,22.594166666666666,35.1,10.33
2024-02-13,18.313333333333333,31.28,8.8
2024-02-14,14.121666666666668,20.39,5.99
2024-02-15,17.946250000000003,36.41,7.6
2024-02-16,22.625833333333333,31.6,12.8
2024-02-17,16.349999999999998,25.63,8.04
2024-02-18,15.543333333333335,34.61,4.12
2024-02-19,23.470416666666665,37.96,7.46
2024-02-20,25.749583333333334,37.74,9.95
2024-02-21,11.808750000000002,22.27,4.56
2024-02-22,22.620416666666667,37.44,13.09
2024-02-23,20.61625,47.11,6.96
2024-02-24,35.19625,68.07,12.07
2024-02-25,30.284583333333334,53.98,11.07
2024-02-26,10.24625,16.45,5.67
2024-02-27,25.554999999999996,53.44,12.33
2024-02-28,23.55333333333333,45.91,9.7
2024-02-29,19.247916666666665,37.47,5.41
2024-03-01,20.030416666666667,29.54,8.47
2024-03-02,20.743750000000002,37.17,7.42
2024-03-03,38.23416666666667,65.13,14.83
2024-03-04,27.15125,49.29,9.49
2024-03-05,25.78708333333333,47.26,7.4
2024-03-06,43.86708333333333,64.38,22.31
2024-03-07,29.389166666666668,45.73,18.34
2024-03-08,36.593333333333334,44.37,18.42
2024-03-09,30.888333333333332,50.14,14.79
2024-03-10,25.1775,41.71,11.3
2024-03-11,20.15041666666667,32.86,10.91
2024-03-12,21.18583333333333,37.46,9.84
2024-03-13,11.059583333333334,18.98,5.18
2024-03-14,17.702083333333334,28.66,7.27
2024-03-15,10.650416666666667,19.33,5.23
2024-03-16,22.619583333333335,33.72,10.13
2024-03-17,14.257083333333334,20.23,9.97
2024-03-18,12.470833333333333,19.62,7.33
2024-03-19,12.927083333333334,19.84,5.91
2024-03-20,22.815416666666668,43.41,8.35
2024-03-21,23.28,37.53,9.91
2024-03-22,17.4075,28.24,8.66
2024-03-23,10.940833333333332,17.58,6.47
2024-03-24,17.682916666666667,63.51,3.67
2024-03-25,22.373333333333335,34.94,9.98
2024-03-26,38.364583333333336,53.38,8.52
