Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-12-11,14.983846153846153,20.99,10.99
2021-12-12,7.127083333333334,11.98,3.33
2021-12-13,8.237083333333333,10.19,6.99
2021-12-14,10.043750000000001,11.43,8.73
2021-12-15,11.736666666666666,15.05,8.47
2021-12-16,9.218333333333334,11.77,6.88
2021-12-17,9.269166666666667,18.4,4.05
2021-12-18,11.308750000000002,14.1,7.03
2021-12-19,7.63375,14.37,3.98
2021-12-20,6.649583333333333,13.42,3.57
2021-12-21,14.04625,21.05,6.67
2021-12-22,15.737826086956522,27.17,8.49
2021-12-23,17.929583333333333,23.42,8.41
2021-12-24,23.84958333333333,31.31,13.51
2021-12-25,10.3635,22.32,3.12
2021-12-26,17.03529411764706,26.61,6.21
2021-12-27,7.57388888888889,9.93,6.01
2021-12-28,8.971176470588235,12.91,6.05
2021-12-29,11.639444444444443,22.08,5.05
2021-12-30,9.041111111111112,11.42,5.54
2021-12-31,11.813333333333333,16.41,9.34
2022-01-01,18.895555555555557,43.54,8.97
2022-01-02,10.329444444444444,19.56,5.89
2022-01-03,9.807222222222222,13.15,6.95
2022-01-04,8.85888888888889,16.23,2.13
2022-01-05,8.99952380952381,18.23,4.9
2022-01-06,12.171666666666667,19.54,5.98
2022-01-07,6.304166666666667,12.36,4.52
2022-01-08,8.547500000000001,13.31,6.81
2022-01-09,11.0575,23.37,7.05
2022-01-10,14.979583333333332,19.82,12.01
2022-01-11,12.421666666666667,17.32,8.79
2022-01-12,18.610833333333332,32.0,8.69
2022-01-13,23.762083333333333,26.85,18.26
2022-01-14,30.837083333333336,38.09,27.16
2022-01-15,19.443749999999998,25.29,13.09
2022-01-16,16.50875,22.2,8.14
2022-01-17,17.672916666666666,36.01,9.47
2022-01-18,25.302083333333332,43.44,8.46
2022-01-19,11.900416666666667,17.61,6.99
2022-01-20,6.280833333333334,8.67,4.22
2022-01-21,15.260416666666666,23.46,5.68
2022-01-22,9.927916666666667,14.26,6.4
2022-01-23,9.620416666666667,13.88,2.66
2022-01-24,14.724583333333333,20.55,8.8
2022-01-25,20.502916666666668,27.42,11.69
2022-01-26,18.719583333333333,22.93,12.11
2022-01-27,11.1875,15.8,7.47
2022-01-28,12.093333333333334,14.91,9.09
2022-01-29,7.355,16.56,5.15
2022-01-30,10.60125,16.21,6.62
2022-01-31,8.56375,14.83,6.1
2022-02-01,7.9245833333333335,10.15,6.78
2022-02-02,8.415833333333333,14.28,5.61
2022-02-03,7.728333333333333,11.17,5.91
2022-02-04,9.625416666666666,13.57,7.51
2022-02-05,6.182916666666667,11.74,3.08
2022-02-06,3.345,7.4,1.76
2022-02-07,11.220833333333333,22.42,7.01
2022-02-08,7.32375,14.18,4.34
2022-02-09,7.112916666666667,11.29,5.68
2022-02-10,8.135416666666666,11.77,7.21
2022-02-11,9.88625,14.7,7.94
2022-02-12,8.90875,13.52,6.69
2022-02-13,8.8375,13.27,6.21
2022-02-14,5.495,10.8,2.65
2022-02-15,8.295416666666666,12.53,5.85
2022-02-16,6.63375,13.38,3.25
2022-02-17,9.875416666666666,14.72,6.24
2022-02-18,7.838333333333334,13.62,4.79
