Date,NO2_mean,NO2_max,NO2_min
2021-02-19,4.64923076923077,12.08,0.0
2021-02-20,9.243333333333334,15.01,5.12
2021-02-21,19.285,45.63,7.55
2021-02-22,42.95041666666666,54.97,28.62
2021-02-23,13.069166666666668,31.46,5.51
2021-02-24,14.582916666666668,21.55,9.1
2021-02-25,31.55666666666667,73.06,12.69
2021-02-26,36.90058823529412,49.36,20.36
2021-02-28,21.611,25.76,18.53
2021-03-01,28.050555555555558,44.07,13.25
2021-03-02,37.373333333333335,52.63,18.7
2021-03-03,50.12291666666667,55.76,45.59
2021-03-04,30.360833333333332,42.04,13.1
2021-03-05,26.536666666666665,46.48,9.69
2021-03-06,25.182083333333335,36.69,15.32
2021-03-07,25.66,80.61,0.83
2021-03-08,54.1875,73.6,36.51
2021-03-09,38.727916666666665,52.05,23.17
2021-03-10,22.79125,31.52,16.24
2021-03-11,8.924166666666666,12.11,2.9
2021-03-12,15.060416666666667,32.37,2.76
2021-03-13,9.323333333333332,18.33,1.4
2021-03-14,10.837083333333332,12.28,7.26
2021-03-15,22.5525,48.74,5.4
2021-03-16,21.355416666666667,45.56,8.34
2021-03-17,22.233333333333334,38.2,10.44
2021-03-18,24.5425,44.49,5.31
2021-03-19,18.008750000000003,40.15,8.28
2021-03-20,15.777499999999998,21.95,8.19
2021-03-21,3.1649999999999996,15.5,0.0
2021-03-22,7.569583333333333,12.28,1.11
2021-03-23,12.670416666666666,21.04,0.49
2021-03-24,14.662916666666668,33.42,0.17
2021-03-25,15.619583333333333,32.5,5.33
2021-03-26,11.792916666666668,18.75,5.4
2021-03-27,11.395000000000001,26.05,2.16
2021-03-28,12.183913043478261,29.62,4.9
2021-03-29,26.019166666666667,82.76,1.58
2021-03-30,58.824999999999996,103.32,15.71
2021-03-31,75.2225,100.94,35.4
2021-04-01,29.082083333333333,93.18,12.2
2021-04-02,11.706666666666665,16.02,6.76
2021-04-03,10.86,15.06,5.5
2021-04-04,13.641666666666666,26.7,8.54
2021-04-05,10.410416666666666,17.3,3.94
2021-04-06,14.48625,22.01,0.69
2021-04-07,24.761666666666667,38.59,12.96
2021-04-08,17.184166666666666,29.08,6.86
2021-04-09,17.9575,30.52,7.88
2021-04-10,18.651666666666667,28.78,11.38
2021-04-11,18.815833333333334,44.54,7.38
2021-04-12,35.16125,74.0,8.92
2021-04-13,47.701249999999995,84.81,13.76
2021-04-14,34.85666666666667,64.29,14.21
2021-04-15,23.36375,40.88,10.75
2021-04-16,29.105416666666667,48.95,9.46
2021-04-17,23.4075,42.93,5.17
2021-04-18,24.43541666666667,48.91,6.76
2021-04-19,36.349583333333335,52.7,13.92
2021-04-20,48.89875,74.82,19.36
2021-04-21,35.67583333333334,62.38,17.84
2021-04-22,24.760833333333334,42.99,11.98
2021-04-23,31.21291666666667,51.28,18.32
2021-04-24,27.515833333333333,43.11,15.49
2021-04-25,12.112916666666665,21.97,6.37
2021-04-26,16.19625,27.44,5.77
2021-04-27,35.043749999999996,55.13,19.67
2021-04-28,25.832916666666666,42.23,6.48
2021-04-29,18.963333333333335,26.87,5.92
2021-04-30,26.68958333333333,40.46,14.83
2021-05-01,23.31375,44.38,9.75
2021-05-02,27.941666666666666,50.75,13.18
2021-05-03,10.959166666666667,23.11,6.08
2021-05-04,11.921666666666667,31.5,0.0
2021-05-05,18.8475,26.44,11.36
2021-05-06,19.154999999999998,24.39,12.98
2021-05-07,16.5525,27.52,5.9
2021-05-08,14.253333333333332,23.4,7.76
2021-05-09,8.965416666666668,20.06,0.44
2021-05-10,15.33875,23.45,7.23
2021-05-11,18.417083333333334,36.93,6.18
2021-05-12,13.126666666666667,21.31,4.38
2021-05-13,28.712083333333336,40.98,16.35
2021-05-14,18.237916666666667,33.53,6.53
2021-05-15,15.9825,30.58,8.15
2021-05-16,13.44625,26.54,3.26
2021-05-17,22.925833333333333,50.68,5.74
2021-05-18,17.70625,28.36,6.75
2021-05-19,17.782083333333333,33.26,10.87
2021-05-20,17.017500000000002,30.64,7.86
2021-05-21,10.420833333333333,15.24,4.63
2021-05-22,14.767916666666666,36.17,3.25
2021-05-23,8.336666666666666,21.77,3.66
2021-05-24,12.810416666666667,23.26,1.45
2021-05-25,14.147916666666667,20.3,7.28
2021-05-26,20.31,26.39,14.25
2021-05-27,28.431250000000002,41.49,11.06
2021-05-28,35.0475,58.33,15.92
2021-05-29,27.234166666666667,47.88,14.62
2021-05-30,13.221666666666666,19.65,9.03
2021-05-31,17.914166666666667,24.98,10.24
2021-06-01,27.895833333333332,43.68,13.75
2021-06-02,36.95666666666667,68.66,16.91
2021-06-03,12.981666666666667,19.75,8.69
2021-06-04,20.439583333333335,30.2,9.22
2021-06-05,14.350833333333334,21.81,11.21
2021-06-06,12.030833333333334,19.53,4.78
2021-06-07,15.792083333333332,21.21,9.08
2021-06-08,12.968333333333334,21.14,7.78
2021-06-09,10.525416666666667,12.06,9.72
2021-06-10,9.045,11.33,6.88
2021-06-11,8.555,14.64,4.59
2021-06-12,9.481250000000001,24.72,5.46
2021-06-13,15.544583333333334,30.18,1.57
2021-06-14,14.514583333333334,21.59,7.31
2021-06-15,17.03875,24.26,8.43
2021-06-16,17.719583333333333,39.4,7.13
2021-06-17,17.19125,26.62,8.39
2021-06-18,15.607916666666668,30.84,3.3
2021-06-19,10.048333333333334,17.15,3.55
