Date,NO2_mean,NO2_max,NO2_min
2022-03-24,87.265,131.71,49.99
2022-03-25,60.24583333333334,87.92,30.33
2022-03-26,41.4675,61.78,19.24
2022-03-27,33.993478260869566,56.61,22.45
2022-03-28,47.59708333333333,58.14,33.92
2022-03-29,26.14625,48.04,17.05
2022-03-30,23.008333333333336,32.18,14.46
2022-03-31,14.54125,22.71,6.32
2022-04-01,18.364583333333332,33.07,8.58
2022-04-02,32.57458333333333,61.04,14.17
2022-04-03,33.9275,75.36,8.72
2022-04-04,23.309583333333332,35.17,10.83
2022-04-05,20.817916666666665,32.25,11.68
2022-04-06,17.017500000000002,26.81,5.34
2022-04-07,15.09875,28.89,6.17
2022-04-08,38.544583333333335,67.45,15.52
2022-04-09,30.47375,49.45,10.39
2022-04-10,23.9425,47.71,8.56
2022-04-11,42.87708333333333,69.95,15.66
2022-04-12,38.04291666666666,68.99,21.48
2022-04-13,25.81041666666667,49.38,15.06
2022-04-14,36.70166666666667,52.54,17.58
2022-04-15,31.225416666666664,50.83,14.94
2022-04-16,37.14791666666667,54.89,19.44
2022-04-17,33.97208333333334,53.79,12.13
2022-04-18,28.4425,44.2,14.46
2022-04-19,68.62958333333333,94.64,35.04
2022-04-20,26.529583333333335,93.61,14.32
2022-04-21,24.542083333333334,45.17,12.34
2022-04-22,15.934166666666668,24.01,10.39
2022-04-23,12.975,16.87,9.73
2022-04-24,11.6475,15.18,8.3
2022-04-25,16.541578947368418,37.22,8.88
2022-04-26,21.319583333333334,40.45,9.57
2022-04-27,20.634166666666665,44.57,10.93
2022-04-28,17.414166666666667,33.25,12.34
2022-04-29,19.794583333333332,29.58,12.85
2022-04-30,25.220416666666665,40.78,13.53
2022-05-01,22.987916666666667,31.85,10.1
2022-05-02,23.095,43.03,10.76
2022-05-03,27.496666666666666,43.16,16.06
2022-05-04,28.635,51.24,13.93
2022-05-05,23.36791666666667,52.84,11.87
2022-05-06,29.715416666666666,59.28,17.45
2022-05-07,19.90125,30.98,11.21
2022-05-08,13.195833333333333,23.65,7.64
2022-05-09,26.2225,55.81,11.06
2022-05-10,21.634583333333335,35.35,9.99
2022-05-11,21.46291666666667,39.99,7.92
2022-05-12,22.96166666666667,33.68,13.93
2022-05-13,12.35,20.76,7.54
2022-05-14,20.299583333333334,31.56,9.31
2022-05-15,39.94958333333333,63.1,24.48
2022-05-16,28.032083333333333,51.92,11.91
2022-05-17,25.006666666666664,51.75,10.63
2022-05-18,19.145833333333332,32.15,7.84
2022-05-19,31.640833333333333,55.84,7.87
2022-05-20,23.0625,43.94,9.27
2022-05-21,19.109166666666667,41.85,13.01
2022-05-22,23.491249999999997,40.59,8.26
2022-05-23,26.527083333333334,39.5,14.52
2022-05-24,18.638333333333332,36.46,8.5
2022-05-25,21.6825,29.99,12.77
2022-05-26,10.123333333333333,21.72,5.27
2022-05-27,7.925,12.71,4.95
2022-05-28,8.117083333333333,12.3,5.41
2022-05-29,7.883333333333333,13.74,3.65
2022-05-30,19.610833333333332,29.22,11.65
2022-05-31,23.859166666666667,55.3,9.23
2022-06-01,25.673333333333332,49.55,13.37
2022-06-02,23.18541666666667,45.31,10.11
2022-06-03,14.218333333333334,23.52,7.2
2022-06-04,15.082083333333335,22.54,6.08
2022-06-05,11.64625,25.68,7.63
2022-06-06,19.436249999999998,29.8,6.37
2022-06-07,19.025833333333335,32.01,10.58
2022-06-08,15.709999999999999,23.63,7.72
2022-06-09,16.4225,25.51,10.58
2022-06-10,17.054583333333333,28.47,6.09
2022-06-11,17.955416666666668,27.96,7.32
2022-06-12,13.33,27.06,7.08
2022-06-13,21.325,44.42,10.3
2022-06-14,30.442916666666665,47.88,10.76
2022-06-15,48.97,76.32,18.3
2022-06-16,41.76958333333334,88.04,13.2
2022-06-17,51.58541666666667,77.4,22.65
2022-06-18,31.820000000000004,84.31,13.46
2022-06-19,10.27,18.5,6.14
2022-06-20,13.691666666666668,26.66,6.34
2022-06-21,42.28875,96.46,14.71
2022-06-22,21.06416666666667,87.52,9.4
2022-06-23,28.442083333333333,44.56,15.24
2022-06-24,24.55541666666667,34.34,6.94
2022-06-25,15.339583333333332,27.24,7.88
2022-06-26,17.62,24.44,8.01
2022-06-27,11.580833333333333,22.83,5.73
2022-06-28,16.622083333333332,25.92,9.02
2022-06-29,19.959166666666665,32.43,6.85
2022-06-30,18.7825,28.76,7.1
2022-07-01,18.652083333333334,23.74,12.07
2022-07-02,7.9191666666666665,17.99,5.58
2022-07-03,12.720833333333333,24.5,7.2
2022-07-04,20.25875,33.28,10.1
2022-07-05,13.531666666666666,24.59,7.32
2022-07-06,21.908749999999998,32.73,9.94
2022-07-07,19.419999999999998,49.24,5.06
2022-07-08,30.25208333333333,54.82,10.79
2022-07-09,12.702916666666667,39.63,7.01
2022-07-10,22.548333333333332,33.05,9.69
2022-07-11,28.25,45.21,12.01
2022-07-12,31.30125,63.91,14.08
2022-07-13,24.569166666666664,41.03,11.31
2022-07-14,16.46,26.48,9.57
2022-07-15,16.00916666666667,22.65,9.02
2022-07-16,18.792916666666667,27.29,10.44
2022-07-17,19.7175,29.21,12.56
2022-07-18,42.690416666666664,77.64,13.64
2022-07-19,40.1275,70.72,11.89
2022-07-20,20.742916666666666,34.63,11.28
2022-07-21,20.41875,29.49,9.62
2022-07-22,15.991666666666667,21.15,9.1
2022-07-23,7.760000000000001,19.05,5.21
2022-07-24,7.748333333333334,11.29,3.64
2022-07-25,9.606666666666667,14.35,3.41
2022-07-26,18.5925,26.83,5.1
2022-07-27,22.127499999999998,43.83,8.73
2022-07-28,19.21260869565217,33.48,11.27
2022-07-29,22.949166666666667,37.95,7.99
2022-07-30,16.346666666666668,28.91,8.06
2022-07-31,9.59125,16.61,4.67
2022-08-01,20.785833333333333,28.22,13.11
2022-08-02,13.317083333333334,24.74,7.73
2022-08-03,14.66125,28.69,8.38
2022-08-04,12.00625,19.6,4.79
2022-08-05,14.503749999999998,25.56,5.06
2022-08-06,13.765,33.65,5.84
2022-08-07,19.997916666666665,37.55,5.76
2022-08-08,34.26125,56.08,9.49
2022-08-09,33.53041666666667,49.56,9.99
2022-08-10,17.81,49.53,9.18
2022-08-11,34.87708333333333,55.63,15.24
2022-08-12,34.475,53.65,12.78
2022-08-13,31.999583333333334,58.33,11.51
2022-08-14,38.494166666666665,60.01,11.4
2022-08-15,39.22875,76.37,12.71
2022-08-16,36.19416666666667,63.06,14.77
2022-08-17,34.105,86.45,13.04
2022-08-18,19.489583333333332,31.02,8.14
2022-08-19,16.989583333333332,27.15,6.3
2022-08-20,14.577083333333334,24.52,6.23
2022-08-21,14.987916666666665,29.1,9.42
2022-08-22,19.47375,34.57,8.75
2022-08-23,12.770833333333334,19.0,5.97
2022-08-24,19.03875,46.46,5.31
2022-08-25,20.8325,49.63,13.99
2022-08-26,26.674583333333334,46.64,14.99
2022-08-27,16.129166666666666,50.55,6.79
2022-08-28,16.074166666666667,26.03,6.13
2022-08-29,12.932083333333333,23.17,5.1
2022-08-30,26.392500000000002,38.69,7.44
2022-08-31,15.813333333333333,38.6,7.73
2022-09-01,16.170833333333334,38.13,8.17
2022-09-02,36.52,58.09,16.4
2022-09-03,18.7275,37.94,9.04
2022-09-04,13.640416666666667,20.08,6.58
2022-09-05,29.71375,49.13,13.05
2022-09-06,28.92125,49.57,14.96
2022-09-07,18.43583333333333,27.29,10.13
2022-09-08,23.175833333333333,40.72,8.04
2022-09-09,29.862083333333334,53.18,12.9
2022-09-10,29.233333333333334,44.01,11.08
2022-09-11,29.91,44.71,11.81
2022-09-12,30.973333333333333,64.36,14.88
2022-09-13,29.49625,67.55,12.0
2022-09-14,22.339583333333334,35.17,11.46
2022-09-15,21.853333333333335,37.02,10.81
2022-09-16,17.100833333333334,30.58,7.54
2022-09-17,24.245833333333334,42.33,8.4
2022-09-18,20.104166666666668,38.64,5.29
2022-09-19,19.242083333333333,36.87,7.52
2022-09-20,35.51708333333333,72.22,13.71
2022-09-21,50.81666666666666,71.21,18.54
2022-09-22,34.15416666666667,59.13,11.75
2022-09-23,30.746499999999997,61.16,8.99
2022-09-24,13.136666666666667,35.94,6.81
2022-09-25,16.06722222222222,33.53,4.75
2022-09-26,15.665000000000001,29.72,3.12
2022-09-27,24.290555555555557,44.43,3.9
2022-09-28,33.22315789473684,64.43,10.49
2022-09-29,45.65777777777778,68.69,12.11
2022-09-30,24.74277777777778,47.38,6.81
2022-10-01,12.415,20.5,6.09
2022-10-02,18.258888888888887,47.01,5.3
2022-10-03,46.34111111111111,74.91,12.57
2022-10-04,22.391111111111112,35.87,14.3
2022-10-05,12.118947368421052,20.4,2.34
2022-10-06,22.55333333333333,43.08,6.27
2022-10-07,19.225,37.01,6.15
2022-10-08,27.966666666666665,57.46,8.12
2022-10-09,28.24888888888889,47.18,7.18
2022-10-10,33.172222222222224,64.89,9.75
2022-10-11,47.514736842105265,66.34,23.5
2022-10-12,38.037777777777784,64.4,10.64
2022-10-13,28.392222222222223,45.85,10.29
2022-10-14,38.178333333333335,49.86,15.13
2022-10-15,23.350555555555555,36.72,6.52
2022-10-16,13.675555555555555,22.74,3.83
2022-10-17,28.13222222222222,58.04,4.22
2022-10-18,44.61105263157895,69.78,15.2
2022-10-19,23.99529411764706,37.98,12.4
2022-10-20,46.48722222222222,73.9,19.55
2022-10-21,28.00888888888889,76.98,5.65
2022-10-22,20.01888888888889,33.09,4.19
2022-10-23,23.245,38.78,5.52
2022-10-24,18.97157894736842,40.01,2.04
2022-10-25,26.95888888888889,45.66,6.28
2022-10-26,28.173000000000002,48.18,11.9
2022-10-27,23.406666666666666,46.57,11.85
2022-10-28,27.544166666666666,47.31,10.36
2022-10-29,24.662916666666664,40.29,12.65
2022-10-30,16.8556,28.56,9.92
2022-10-31,23.026315789473685,44.56,4.23
