Date,NO2_mean,NO2_max,NO2_min
2021-07-18,6.77,6.77,6.77
2021-07-19,48.50208333333333,70.68,8.14
2021-07-20,55.250416666666666,80.74,17.15
2021-07-21,40.624583333333334,83.31,23.88
2021-07-22,26.853333333333335,39.43,13.82
2021-07-23,17.51125,34.27,10.57
2021-07-24,45.53333333333333,87.47,17.45
2021-07-25,27.47875,46.09,9.89
2021-07-26,23.892083333333332,38.65,10.75
2021-07-27,27.1275,47.55,10.24
2021-07-28,33.13458333333333,55.83,17.17
2021-07-29,16.34875,34.52,7.07
2021-07-30,54.99541666666667,90.57,24.11
2021-07-31,29.93375,59.56,17.42
2021-08-01,21.658749999999998,38.69,11.76
2021-08-02,41.6075,57.38,17.02
2021-08-03,43.83541666666667,53.83,21.91
2021-08-04,35.525416666666665,53.95,14.79
2021-08-05,30.528333333333332,59.21,11.07
2021-08-06,28.00791666666667,52.83,13.15
2021-08-07,35.870416666666664,63.38,9.83
2021-08-08,27.825833333333332,42.67,10.13
2021-08-09,43.762499999999996,76.81,10.69
2021-08-10,25.6875,46.38,11.9
2021-08-11,28.880416666666665,42.47,14.46
2021-08-12,22.035,35.04,10.99
2021-08-13,29.169583333333335,43.21,13.17
2021-08-14,18.875833333333333,38.42,8.28
2021-08-15,17.757916666666667,28.93,6.51
2021-08-16,29.880416666666665,47.53,10.66
2021-08-17,28.714166666666667,43.58,20.15
2021-08-18,30.23166666666667,40.54,14.53
2021-08-19,23.69125,34.78,10.75
2021-08-20,30.474166666666665,43.58,13.44
2021-08-21,40.577083333333334,65.81,22.13
2021-08-22,27.51125,44.34,11.7
2021-08-23,16.743750000000002,35.2,4.32
2021-08-24,17.616666666666667,27.0,7.88
2021-08-25,11.634583333333333,21.73,6.86
2021-08-26,15.842916666666667,21.28,6.2
2021-08-27,15.997916666666667,21.19,6.04
2021-08-28,23.83666666666667,40.74,11.42
2021-08-29,22.244583333333335,37.79,9.43
2021-08-30,14.27125,23.86,7.41
2021-08-31,17.338260869565218,32.85,6.93
2021-09-01,15.382916666666667,23.27,5.67
2021-09-02,16.97458333333333,29.74,8.85
2021-09-03,27.97083333333333,35.72,17.9
2021-09-04,23.89708333333333,29.25,18.3
2021-09-05,35.950833333333335,59.28,17.72
2021-09-06,46.3825,78.09,27.04
2021-09-07,58.57541666666666,81.4,23.76
2021-09-08,57.50625,102.51,26.24
2021-09-09,38.17041666666667,62.98,18.54
2021-09-10,38.375416666666666,67.16,24.68
2021-09-11,22.782916666666665,36.4,11.33
2021-09-12,34.79958333333333,51.79,14.51
2021-09-13,30.288749999999997,49.38,16.06
2021-09-14,37.04125,54.39,18.98
2021-09-15,34.973333333333336,62.59,14.0
2021-09-16,44.155,62.19,19.62
2021-09-17,45.67583333333334,74.64,13.43
2021-09-18,51.473749999999995,82.08,18.54
2021-09-19,30.54125,71.48,16.28
2021-09-20,32.6625,49.22,19.53
2021-09-21,43.79833333333334,68.96,22.9
2021-09-22,38.50666666666667,56.25,16.21
2021-09-23,35.123333333333335,56.11,18.44
2021-09-24,37.94166666666667,59.36,15.47
2021-09-25,28.934583333333332,53.63,18.7
2021-09-26,25.241249999999997,42.69,11.63
2021-09-27,16.544583333333332,32.74,5.48
2021-09-28,31.638333333333335,53.86,13.12
2021-09-29,27.125416666666666,46.3,12.1
2021-09-30,29.05875,43.8,13.62
2021-10-01,37.81375,63.77,10.22
2021-10-02,23.170416666666668,56.42,9.21
2021-10-03,45.99416666666667,66.62,10.42
2021-10-04,44.305,84.19,12.24
2021-10-05,25.2975,44.49,7.15
2021-10-06,34.28666666666667,60.33,13.66
2021-10-07,42.67875,60.34,27.52
2021-10-08,31.476250000000004,64.33,14.67
2021-10-09,41.66791666666666,63.06,26.12
2021-10-10,34.445,51.88,14.94
2021-10-11,33.36166666666667,59.41,18.1
2021-10-12,38.49375,50.11,15.05
2021-10-13,38.65,60.96,16.18
2021-10-14,36.66375,51.87,16.75
2021-10-15,39.204166666666666,72.01,16.97
2021-10-16,63.14791666666667,78.99,35.79
2021-10-17,55.268750000000004,76.52,19.53
2021-10-18,30.405416666666667,65.84,14.13
2021-10-19,16.732499999999998,23.86,6.07
