Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-02-12,20.916363636363634,37.76,10.83
2021-02-13,12.308333333333332,19.0,8.35
2021-02-14,12.0775,18.53,8.61
2021-02-15,10.2475,13.78,7.32
2021-02-16,8.793333333333333,11.54,6.75
2021-02-17,5.517916666666667,8.28,2.89
2021-02-18,6.647083333333334,8.85,5.44
2021-02-19,6.5874999999999995,12.41,4.51
2021-02-20,14.255416666666667,23.18,6.8
2021-02-21,13.051666666666668,15.48,10.29
2021-02-22,21.52416666666667,27.3,15.43
2021-02-23,9.070416666666667,16.52,5.68
2021-02-24,9.225416666666666,18.81,4.67
2021-02-25,8.039166666666667,15.83,2.33
2021-02-26,10.545882352941177,17.19,5.93
2021-02-28,12.924000000000001,23.03,7.88
2021-03-01,26.9,37.56,4.4
2021-03-02,39.962916666666665,52.98,33.67
2021-03-03,44.91375,67.45,4.41
2021-03-04,13.105833333333335,30.76,1.25
2021-03-05,4.649166666666667,6.21,3.56
2021-03-06,6.507083333333334,10.05,2.87
2021-03-07,14.9975,27.03,4.39
2021-03-08,30.7325,39.88,15.0
2021-03-09,17.058333333333334,26.53,7.08
2021-03-10,12.92125,26.1,1.79
2021-03-11,6.602083333333333,11.32,3.93
2021-03-12,5.905,11.58,0.0
2021-03-13,2.77,5.25,0.53
2021-03-14,4.275416666666667,9.71,1.79
2021-03-15,6.99125,12.48,3.43
2021-03-16,8.82,14.49,6.34
2021-03-17,9.144583333333333,18.99,5.33
2021-03-18,9.187083333333334,13.26,7.1
2021-03-19,4.012083333333334,12.16,0.77
2021-03-20,10.300416666666667,19.85,2.78
2021-03-21,8.231250000000001,13.11,4.66
2021-03-22,15.8825,19.53,14.05
2021-03-23,19.2925,25.62,12.86
2021-03-24,19.800416666666667,29.51,10.89
2021-03-25,9.720833333333333,24.19,4.18
2021-03-26,5.502916666666667,9.91,2.91
2021-03-27,5.910833333333334,13.67,0.0
2021-03-28,7.934782608695652,10.57,5.1
2021-03-29,9.77125,15.19,4.84
2021-03-30,17.309565217391306,26.82,10.06
2021-03-31,27.638333333333335,42.99,16.49
2021-04-01,19.815833333333334,41.5,6.42
2021-04-02,4.885,6.96,2.8
2021-04-03,6.660833333333333,12.6,3.54
2021-04-04,11.639583333333334,20.21,3.51
2021-04-05,6.73,21.67,2.27
2021-04-06,4.568333333333333,13.06,1.46
2021-04-07,8.7975,19.06,1.24
2021-04-08,7.445833333333333,13.57,4.57
2021-04-09,8.821250000000001,14.98,4.22
2021-04-10,7.56625,14.47,4.92
2021-04-11,6.3254166666666665,12.37,3.66
2021-04-12,10.0775,16.69,4.98
2021-04-13,16.857499999999998,22.18,10.93
2021-04-14,12.84625,23.34,4.74
2021-04-15,6.142500000000001,20.79,3.09
2021-04-16,8.374583333333334,14.82,4.9
2021-04-17,7.8308333333333335,19.95,2.56
2021-04-18,8.29625,16.6,4.4
2021-04-19,19.075833333333332,32.73,12.36
2021-04-20,31.20875,71.08,22.36
2021-04-21,38.28333333333333,82.67,6.18
2021-04-22,5.717083333333334,9.86,3.1
2021-04-23,9.237499999999999,19.01,6.1
2021-04-24,10.460833333333333,20.48,7.24
2021-04-25,6.070416666666667,12.35,1.0
2021-04-26,4.949583333333333,16.19,0.0
2021-04-27,15.206249999999999,27.29,5.7
2021-04-28,16.694583333333334,29.61,7.96
2021-04-29,11.14625,22.88,6.22
2021-04-30,10.935833333333333,15.5,6.9
2021-05-01,11.029166666666667,18.09,6.82
2021-05-02,16.22875,21.18,8.68
2021-05-03,9.165833333333333,17.94,5.5
2021-05-04,2.5704166666666666,5.72,1.11
2021-05-05,4.819166666666667,8.94,1.52
2021-05-06,7.091666666666666,10.03,4.86
2021-05-07,7.5575,16.56,0.0
2021-05-08,10.64125,29.99,2.49
2021-05-09,5.2562500000000005,9.33,2.02
2021-05-10,5.190416666666667,12.55,2.5
