Date,NO2_mean,NO2_max,NO2_min
2022-03-24,90.68333333333334,131.74,52.68
2022-03-25,60.3975,88.16,35.88
2022-03-26,41.32958333333333,58.54,22.81
2022-03-27,33.78391304347826,54.2,24.59
2022-03-28,48.888749999999995,57.1,35.43
2022-03-29,24.245833333333334,48.51,13.05
2022-03-30,21.499583333333334,30.47,10.59
2022-03-31,14.330454545454545,22.72,7.15
2022-04-01,17.474166666666665,31.43,7.01
2022-04-02,30.736666666666668,55.82,13.5
2022-04-03,33.388333333333335,73.23,10.23
2022-04-04,24.24625,35.19,9.05
2022-04-05,23.45375,33.11,10.32
2022-04-06,15.453333333333333,26.0,5.29
2022-04-07,14.89125,27.44,6.08
2022-04-08,32.056666666666665,58.0,13.07
2022-04-09,32.40875,48.38,14.09
2022-04-10,23.56125,51.66,6.98
2022-04-11,38.19083333333334,60.16,16.3
2022-04-12,36.06041666666667,66.49,13.93
2022-04-13,24.545833333333334,44.81,12.04
2022-04-14,32.343333333333334,41.46,16.91
2022-04-15,30.482916666666668,44.9,13.47
2022-04-16,33.63458333333333,48.82,17.44
2022-04-17,28.98375,46.86,9.96
2022-04-18,22.365416666666665,37.51,11.99
2022-04-19,46.12916666666666,67.16,24.8
2022-04-20,23.19541666666667,59.79,12.81
2022-04-21,26.299166666666665,45.9,12.48
2022-04-22,17.91125,24.31,9.68
2022-04-23,12.803333333333333,16.86,9.55
2022-04-24,10.812916666666666,13.7,8.47
2022-04-25,16.538947368421052,37.63,7.81
2022-04-26,20.294999999999998,38.44,9.2
2022-04-27,20.31125,33.84,10.22
2022-04-28,16.082916666666666,24.57,8.67
2022-04-29,17.64125,26.83,12.02
2022-04-30,23.685000000000002,37.59,13.83
2022-05-01,18.949166666666667,27.76,10.39
2022-05-02,25.354166666666668,44.17,8.86
2022-05-03,22.379583333333333,45.04,13.96
2022-05-04,30.0925,47.25,12.98
2022-05-05,24.18625,54.56,13.65
2022-05-06,31.14375,62.29,19.25
2022-05-07,16.868750000000002,29.18,10.05
2022-05-08,12.15625,24.21,5.42
2022-05-09,27.26625,57.64,10.89
2022-05-10,19.832916666666666,29.54,7.73
2022-05-11,19.0975,39.23,6.59
2022-05-12,22.8,33.35,15.59
2022-05-13,11.900833333333333,20.07,7.47
2022-05-14,17.997916666666665,29.57,9.35
2022-05-15,38.940416666666664,53.74,24.65
2022-05-16,24.255416666666665,48.72,9.47
2022-05-17,26.348333333333333,49.99,14.16
2022-05-18,22.108333333333334,33.65,8.18
2022-05-19,44.84625,58.65,7.72
2022-05-20,24.375416666666666,43.54,9.2
2022-05-21,14.752916666666666,33.63,7.69
2022-05-22,22.519583333333333,31.91,9.08
2022-05-23,25.99,37.59,17.39
2022-05-24,19.257916666666667,35.79,8.96
2022-05-25,17.742916666666666,27.35,9.46
2022-05-26,9.633333333333333,20.33,5.49
2022-05-27,8.577083333333333,13.47,4.97
2022-05-28,8.071666666666667,10.99,5.32
2022-05-29,7.057083333333334,12.5,3.62
2022-05-30,17.645416666666666,25.45,11.24
2022-05-31,24.75125,55.48,8.48
2022-06-01,21.03625,51.69,10.4
2022-06-02,20.443749999999998,36.9,10.17
2022-06-03,14.130416666666667,20.96,7.2
2022-06-04,14.610833333333334,20.82,5.11
2022-06-05,11.218333333333334,24.5,6.0
2022-06-06,21.66208333333333,30.53,6.3
2022-06-07,18.362916666666667,32.47,7.51
2022-06-08,13.032083333333333,19.43,6.35
2022-06-09,17.29375,25.91,9.26
2022-06-10,17.820416666666667,27.43,8.72
2022-06-11,13.681666666666667,25.51,6.73
2022-06-12,11.697916666666666,23.77,6.48
2022-06-13,19.4275,39.49,11.25
2022-06-14,22.270416666666666,37.23,12.79
2022-06-15,41.770833333333336,62.09,17.18
2022-06-16,38.598333333333336,70.53,16.38
2022-06-17,26.761666666666667,43.03,13.72
2022-06-18,22.322083333333335,42.9,14.07
2022-06-19,11.487916666666665,16.26,5.49
2022-06-20,11.585,20.39,6.15
2022-06-21,30.6125,67.02,16.31
2022-06-22,19.412916666666668,57.18,9.51
2022-06-23,23.010416666666668,33.39,11.81
2022-06-24,23.38083333333333,30.79,6.61
2022-06-25,10.182083333333333,27.41,4.87
2022-06-26,7.665416666666666,19.44,3.76
2022-06-27,11.59375,23.46,5.87
2022-06-28,14.517916666666666,27.63,7.16
2022-06-29,18.576249999999998,29.21,6.99
2022-06-30,15.649583333333332,23.84,7.2
2022-07-01,14.177916666666667,20.15,8.47
2022-07-02,5.434583333333333,7.76,4.2
2022-07-03,13.524166666666666,23.06,6.09
2022-07-04,21.961250000000003,36.82,9.31
2022-07-05,14.520833333333334,26.74,7.49
2022-07-06,18.08791666666667,30.62,8.31
2022-07-07,14.41909090909091,39.02,5.69
2022-07-08,21.792083333333334,39.24,9.01
2022-07-09,11.28875,27.68,6.12
2022-07-10,17.704583333333336,24.92,10.94
2022-07-11,22.989583333333332,40.01,9.89
2022-07-12,27.137916666666666,56.87,11.71
2022-07-13,24.332083333333333,36.6,18.02
2022-07-14,16.455000000000002,22.35,8.31
2022-07-15,13.9925,20.31,9.07
2022-07-16,16.76625,24.98,9.57
2022-07-17,14.264166666666666,22.75,8.84
2022-07-18,41.86541666666667,79.91,11.93
2022-07-19,44.22333333333333,73.94,15.91
2022-07-20,21.132916666666667,36.07,9.23
2022-07-21,20.547083333333333,32.32,9.47
2022-07-22,17.625,23.43,8.24
2022-07-23,7.885416666666667,18.16,5.02
2022-07-24,7.7370833333333335,11.14,3.55
2022-07-25,9.234583333333333,14.08,3.13
2022-07-26,17.291666666666668,27.6,4.42
2022-07-27,25.089583333333334,41.52,6.21
2022-07-28,18.893333333333334,32.72,11.1
2022-07-29,20.024166666666666,35.15,7.76
2022-07-30,12.580833333333333,20.32,7.04
2022-07-31,7.552083333333333,10.98,3.82
2022-08-01,19.351666666666667,26.32,8.71
2022-08-02,9.1625,18.75,6.28
2022-08-03,13.253333333333332,24.66,8.48
2022-08-04,12.217500000000001,17.67,5.29
2022-08-05,14.47375,26.45,5.73
2022-08-06,10.43375,25.5,4.97
2022-08-07,19.50125,30.44,7.06
2022-08-08,22.600416666666664,35.11,7.81
2022-08-09,26.6125,36.03,12.77
2022-08-10,15.380833333333333,33.67,9.29
2022-08-11,32.62291666666667,44.98,13.48
2022-08-12,28.590416666666666,40.43,12.78
2022-08-13,25.684166666666666,50.35,11.61
2022-08-14,26.83,47.0,9.59
2022-08-15,30.713333333333335,50.25,11.28
2022-08-16,31.644583333333333,52.71,15.62
2022-08-17,26.38,67.59,13.56
2022-08-18,19.610416666666666,29.44,8.26
2022-08-19,17.377083333333335,28.27,7.15
2022-08-20,9.429166666666665,25.47,5.88
2022-08-21,12.214999999999998,23.6,7.93
2022-08-22,19.667916666666667,35.19,8.86
2022-08-23,12.127916666666666,18.31,6.18
2022-08-24,19.419999999999998,43.87,6.15
2022-08-25,24.777083333333334,46.32,15.81
2022-08-26,33.07791666666667,49.86,14.18
2022-08-27,16.854583333333334,52.26,6.88
2022-08-28,13.450000000000001,20.7,6.02
2022-08-29,11.75,18.04,5.36
2022-08-30,21.487916666666667,37.37,9.72
2022-08-31,19.146666666666665,32.7,9.76
2022-09-01,22.316666666666666,37.11,9.48
2022-09-02,34.760416666666664,54.54,16.15
2022-09-03,18.696666666666665,41.87,10.44
2022-09-04,12.158333333333333,23.94,6.9
