Date,NO2_mean,NO2_max,NO2_min
2021-12-11,31.293076923076924,48.05,21.41
2021-12-12,14.18125,19.4,7.2
2021-12-13,17.812916666666666,26.46,6.66
2021-12-14,27.8025,39.44,15.32
2021-12-15,30.75,43.84,9.61
2021-12-16,33.356249999999996,45.47,22.76
2021-12-17,36.51708333333333,44.32,18.16
2021-12-18,23.61391304347826,35.88,13.19
2021-12-19,23.28916666666667,35.36,15.48
2021-12-20,21.315416666666668,34.97,9.22
2021-12-21,33.660869565217396,48.78,13.66
2021-12-22,47.15041666666667,60.13,32.74
2021-12-23,34.529583333333335,54.93,22.64
2021-12-24,32.639583333333334,49.6,13.33
2021-12-25,18.010833333333334,30.87,9.79
2021-12-26,29.252499999999998,40.85,20.0
2021-12-27,20.308333333333334,30.61,12.33
2021-12-28,14.713333333333335,22.11,4.77
2021-12-29,18.693333333333335,33.96,6.81
2021-12-30,9.971666666666668,14.9,3.15
2021-12-31,11.537777777777778,20.59,2.99
2022-01-01,8.971904761904762,12.28,4.73
2022-01-02,11.209130434782608,16.76,4.58
2022-01-03,13.847916666666668,26.13,3.59
2022-01-04,24.77125,41.09,11.12
2022-01-05,29.232916666666668,46.39,9.14
2022-01-06,36.60041666666667,51.8,13.53
2022-01-07,22.83791666666667,36.03,6.55
2022-01-08,26.98875,53.59,12.29
2022-01-09,30.985416666666666,59.94,9.08
2022-01-10,50.849583333333335,63.68,22.51
2022-01-11,31.307083333333335,47.88,13.55
2022-01-12,63.01166666666666,81.28,25.71
2022-01-13,52.61666666666667,62.97,39.86
2022-01-14,66.06541666666666,78.49,51.88
2022-01-15,46.99666666666667,59.98,35.63
2022-01-16,39.25666666666667,57.89,29.83
2022-01-17,58.377916666666664,87.58,23.89
2022-01-18,62.6975,83.54,45.93
2022-01-19,35.19416666666667,49.05,25.43
2022-01-20,37.35125,48.25,27.31
2022-01-21,56.46625,75.68,31.16
2022-01-22,32.385416666666664,43.38,26.35
2022-01-23,30.250833333333333,41.72,22.16
2022-01-24,39.24,61.08,14.03
2022-01-25,37.03125,53.04,21.41
2022-01-26,39.32,61.1,24.12
2022-01-27,36.055,65.46,12.25
2022-01-28,43.94083333333333,62.37,17.49
2022-01-29,15.32875,25.25,6.86
2022-01-30,29.994583333333335,50.82,11.06
2022-01-31,20.368750000000002,39.15,5.92
2022-02-01,23.718333333333334,31.57,15.23
2022-02-02,33.943333333333335,60.45,10.57
2022-02-03,32.505,48.22,10.34
2022-02-04,23.09958333333333,37.39,7.43
2022-02-05,15.470416666666667,21.9,7.98
2022-02-06,6.945833333333333,12.51,2.29
2022-02-07,31.23,58.83,9.03
2022-02-08,20.044999999999998,32.2,5.61
2022-02-09,27.787499999999998,51.19,7.22
2022-02-10,27.761666666666667,40.92,12.44
2022-02-11,39.38291666666667,61.44,23.5
2022-02-12,21.219166666666666,41.16,10.3
2022-02-13,10.864583333333334,16.55,6.92
2022-02-14,23.055833333333336,34.9,7.24
2022-02-15,27.909583333333334,66.37,15.65
2022-02-16,11.795833333333334,19.58,4.32
2022-02-17,16.04625,30.39,3.33
2022-02-18,12.4925,19.28,5.76
2022-02-19,15.511249999999999,34.45,8.13
2022-02-20,10.257083333333334,16.23,5.41
2022-02-21,20.425416666666667,47.17,5.13
2022-02-22,25.22,46.24,11.28
2022-02-23,29.327083333333334,46.96,13.96
2022-02-24,18.364583333333332,30.61,5.75
2022-02-25,33.425000000000004,80.08,8.48
2022-02-26,38.47291666666667,70.27,12.96
2022-02-27,43.8475,68.56,16.98
2022-02-28,28.272916666666664,38.42,20.2
2022-03-01,42.6075,60.34,18.12
2022-03-02,49.20458333333334,71.12,29.47
2022-03-03,47.1875,63.86,29.31
2022-03-04,38.69416666666667,50.45,23.61
2022-03-05,16.3025,27.48,9.37
2022-03-06,12.075833333333334,17.69,7.75
2022-03-07,21.91,40.91,9.8
2022-03-08,31.96291666666667,43.57,20.61
2022-03-09,20.651666666666667,33.46,13.12
2022-03-10,27.714583333333334,42.03,15.07
2022-03-11,16.547916666666666,22.12,10.52
2022-03-12,8.837083333333334,15.86,4.67
2022-03-13,17.09875,38.06,7.98
2022-03-14,37.93416666666667,67.03,18.99
2022-03-15,44.145,63.3,22.85
2022-03-16,36.84375,52.86,16.94
2022-03-17,29.656666666666666,61.06,11.37
2022-03-18,37.293749999999996,58.02,16.91
2022-03-19,24.9275,31.69,17.34
2022-03-20,31.164583333333336,55.03,16.06
2022-03-21,49.072916666666664,69.0,21.61
2022-03-22,62.765416666666674,94.47,19.49
2022-03-23,73.53958333333334,119.01,23.86
2022-03-24,79.83208333333333,123.78,31.79
2022-03-25,58.547083333333326,101.93,23.04
2022-03-26,41.166666666666664,62.13,14.95
2022-03-27,24.95,37.68,15.12
2022-03-28,41.31333333333333,51.65,27.06
2022-03-29,33.501666666666665,42.76,19.96
2022-03-30,32.375,49.83,13.44
2022-03-31,17.16375,32.87,9.61
2022-04-01,16.34958333333333,27.01,8.04
2022-04-02,27.464166666666667,58.43,15.71
2022-04-03,34.3175,66.49,10.97
2022-04-04,25.146666666666665,34.27,10.07
2022-04-05,18.287916666666668,25.69,10.22
2022-04-06,12.607083333333334,19.77,4.9
2022-04-07,11.716666666666667,20.3,5.4
2022-04-08,37.24458333333333,62.55,17.01
2022-04-09,24.64333333333333,47.82,9.21
2022-04-10,28.59166666666667,53.89,10.45
2022-04-11,39.98625,61.94,15.74
2022-04-12,35.97625,63.92,14.14
2022-04-13,34.34583333333333,55.41,15.87
2022-04-14,35.772083333333335,64.21,17.45
2022-04-15,42.1725,57.34,18.09
2022-04-16,36.53541666666667,52.07,19.35
2022-04-17,31.801666666666666,52.9,10.08
2022-04-18,23.632500000000004,45.89,13.2
2022-04-19,45.5625,96.59,24.73
2022-04-20,25.01833333333333,63.19,14.19
2022-04-21,23.432916666666667,39.9,11.94
2022-04-22,25.844166666666666,39.04,10.86
2022-04-23,16.585,28.95,12.76
2022-04-24,11.383333333333333,14.54,7.84
2022-04-25,16.823684210526313,33.33,8.28
2022-04-26,29.65041666666667,49.35,15.26
2022-04-27,22.214166666666667,51.1,13.58
2022-04-28,25.137916666666666,38.59,11.95
2022-04-29,16.237916666666667,23.51,11.18
2022-04-30,20.662916666666668,30.87,11.61
2022-05-01,18.133333333333333,24.61,12.25
2022-05-02,25.6525,49.7,9.94
2022-05-03,23.187916666666666,49.5,14.71
2022-05-04,28.278333333333332,38.73,12.97
2022-05-05,25.372083333333332,42.47,15.83
2022-05-06,25.28625,48.02,10.98
2022-05-07,20.922916666666666,29.92,12.03
2022-05-08,14.618333333333332,26.18,6.24
2022-05-09,25.740416666666665,50.89,10.4
2022-05-10,12.399583333333332,17.74,6.88
2022-05-11,13.807083333333333,29.11,6.26
2022-05-12,14.615833333333333,26.9,9.86
2022-05-13,11.295416666666666,17.83,7.65
2022-05-14,22.388333333333335,37.71,10.71
2022-05-15,39.621249999999996,57.05,24.75
2022-05-16,25.40125,51.23,9.03
2022-05-17,19.56416666666667,36.57,9.7
2022-05-18,13.59125,23.25,7.6
