Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-12-11,11.725384615384616,16.45,7.74
2021-12-12,4.892083333333333,6.66,3.24
2021-12-13,3.9758333333333336,6.22,2.6
2021-12-14,6.59625,8.39,5.43
2021-12-15,7.291250000000001,12.79,3.65
2021-12-16,9.189583333333333,14.09,6.63
2021-12-17,12.380833333333333,18.07,5.23
2021-12-18,14.683913043478261,19.63,8.93
2021-12-19,9.066666666666666,16.63,3.87
2021-12-20,19.39375,44.45,4.22
2021-12-21,12.676521739130434,20.53,3.85
2021-12-22,14.136666666666668,25.92,5.55
2021-12-23,16.330833333333334,22.0,4.7
2021-12-24,8.977916666666667,16.09,4.88
2021-12-25,10.89125,27.32,0.0
2021-12-26,15.970500000000001,27.17,3.98
2021-12-27,6.461111111111111,10.33,3.69
2021-12-28,7.402222222222223,20.87,1.46
2021-12-29,8.32611111111111,15.03,2.88
2021-12-30,6.543333333333333,12.4,1.91
2021-12-31,8.476666666666667,14.38,4.37
2022-01-01,16.16,35.79,7.76
2022-01-02,5.3878260869565215,7.91,3.0
2022-01-03,7.665833333333333,11.49,4.75
2022-01-04,7.109166666666667,13.15,3.13
2022-01-05,7.68625,13.28,4.19
2022-01-06,7.927083333333333,11.57,4.32
2022-01-07,4.841666666666667,9.46,2.79
2022-01-08,5.87,9.76,3.95
2022-01-09,7.591666666666666,14.76,4.43
2022-01-10,11.825833333333334,15.73,9.83
2022-01-11,10.749583333333334,18.29,5.67
2022-01-12,14.332500000000001,22.29,5.4
2022-01-13,16.948333333333334,20.14,11.52
2022-01-14,24.292916666666667,29.52,19.4
2022-01-15,19.402916666666666,25.61,13.57
2022-01-16,14.715416666666668,18.31,5.14
2022-01-17,13.061666666666667,26.17,6.61
2022-01-18,18.99875,23.16,10.98
2022-01-19,10.415000000000001,13.56,6.96
2022-01-20,8.406666666666666,12.78,6.0
2022-01-21,11.6475,16.81,6.07
2022-01-22,12.169583333333334,21.93,5.36
2022-01-23,10.334166666666667,15.0,6.94
2022-01-24,17.535833333333333,22.56,12.38
2022-01-25,18.062083333333334,20.59,13.35
2022-01-26,16.085833333333333,19.82,10.0
2022-01-27,9.534166666666666,14.34,4.97
2022-01-28,8.025,9.99,5.9
2022-01-29,11.439583333333333,31.03,2.6
2022-01-30,9.237916666666667,15.99,5.85
2022-01-31,7.383333333333333,13.05,3.56
2022-02-01,5.5575,8.79,3.69
2022-02-02,5.829999999999999,10.22,3.38
2022-02-03,5.224583333333333,9.54,2.34
2022-02-04,7.413333333333333,15.44,3.25
2022-02-05,7.939166666666666,12.33,4.87
2022-02-06,7.419583333333333,13.28,3.33
2022-02-07,6.40625,10.97,4.45
2022-02-08,4.6570833333333335,7.97,2.63
2022-02-09,4.127916666666667,11.19,1.81
2022-02-10,5.940416666666667,9.51,4.03
2022-02-11,7.3500000000000005,13.32,4.91
2022-02-12,7.145833333333333,10.81,5.19
2022-02-13,6.795416666666667,11.08,3.77
2022-02-14,9.770000000000001,26.92,2.19
2022-02-15,5.32,9.09,3.6
2022-02-16,7.65625,13.72,1.84
2022-02-17,12.992916666666666,28.72,5.98
2022-02-18,7.902916666666666,14.36,2.82
2022-02-19,7.173749999999999,21.19,3.4
2022-02-20,8.095416666666667,11.4,4.53
2022-02-21,9.465833333333334,14.32,4.44
2022-02-22,10.685416666666667,21.67,5.87
2022-02-23,7.2437499999999995,12.39,2.14
2022-02-24,9.507916666666667,20.41,3.73
2022-02-25,9.860833333333334,19.42,5.08
2022-02-26,9.120833333333334,14.1,5.68
2022-02-27,7.672916666666667,10.99,5.74
2022-02-28,9.524583333333334,12.65,7.82
2022-03-01,7.322083333333333,11.65,3.15
2022-03-02,19.854583333333334,28.41,10.13
2022-03-03,20.00375,32.25,2.8
2022-03-04,10.50375,14.74,3.72
2022-03-05,10.160833333333334,28.93,2.88
2022-03-06,8.63125,13.36,4.57
2022-03-07,9.265416666666667,15.58,4.26
2022-03-08,17.215,23.79,8.45
2022-03-09,10.0875,20.52,5.33
2022-03-10,10.880833333333333,15.33,6.53
2022-03-11,8.852083333333333,12.92,4.12
2022-03-12,6.415416666666666,11.2,3.94
2022-03-13,4.91,6.15,3.65
2022-03-14,7.5441666666666665,10.61,5.03
2022-03-15,10.762500000000001,14.25,7.4
2022-03-16,12.585,17.08,4.24
2022-03-17,7.67625,15.23,4.3
2022-03-18,10.913333333333334,16.86,8.42
2022-03-19,15.157083333333333,16.95,10.29
2022-03-20,15.737499999999999,25.83,5.36
2022-03-21,26.289583333333336,39.37,16.64
2022-03-22,27.687916666666666,45.15,10.67
2022-03-23,30.515833333333333,43.19,15.89
2022-03-24,35.630833333333335,59.78,14.2
2022-03-25,33.11708333333333,55.87,14.54
2022-03-26,22.46083333333333,29.56,11.59
2022-03-27,9.368260869565217,14.2,6.03
2022-03-28,18.25875,25.99,11.67
2022-03-29,19.338333333333335,23.71,13.24
2022-03-30,21.18375,27.34,3.49
2022-03-31,4.433333333333334,5.94,2.97
2022-04-01,4.372083333333333,5.92,3.44
2022-04-02,7.161666666666666,11.94,4.11
2022-04-03,6.4575,10.41,2.97
2022-04-04,5.176666666666667,9.86,3.09
2022-04-05,6.84125,14.24,2.6
2022-04-06,6.21125,12.82,3.48
2022-04-07,9.684166666666666,19.22,4.12
2022-04-08,9.414166666666667,22.18,4.36
2022-04-09,6.091666666666666,9.03,4.06
2022-04-10,6.218333333333334,10.22,4.4
2022-04-11,11.335,14.77,5.27
2022-04-12,11.33,18.29,6.57
2022-04-13,7.872083333333333,11.21,4.94
2022-04-14,7.984166666666667,14.85,5.03
2022-04-15,10.665833333333333,18.68,5.58
2022-04-16,18.969166666666666,26.17,7.39
2022-04-17,13.907083333333333,26.33,4.49
2022-04-18,9.234583333333333,16.18,5.4
2022-04-19,8.8575,13.95,4.44
2022-04-20,11.49375,17.82,7.66
2022-04-21,11.810416666666667,19.35,6.86
2022-04-22,11.945416666666667,14.9,8.75
2022-04-23,17.11625,20.95,12.87
2022-04-24,12.284166666666666,15.98,7.88
2022-04-25,9.377368421052632,11.03,6.68
2022-04-26,8.50375,11.82,5.87
2022-04-27,7.524583333333333,11.08,4.68
2022-04-28,9.847083333333334,14.58,5.06
2022-04-29,9.665833333333333,13.95,6.51
2022-04-30,9.815,28.12,7.24
2022-05-01,10.799166666666666,14.95,7.84
2022-05-02,14.3225,18.52,10.47
2022-05-03,14.527500000000002,20.49,11.65
2022-05-04,15.265,24.01,4.17
2022-05-05,8.610833333333334,10.27,5.83
2022-05-06,8.755833333333333,12.82,5.15
2022-05-07,6.8812500000000005,11.09,3.91
2022-05-08,12.759166666666665,25.97,7.93
2022-05-09,8.562916666666666,12.27,6.89
2022-05-10,7.002083333333334,9.73,5.17
2022-05-11,8.46125,20.67,4.55
2022-05-12,7.5575,10.03,5.51
2022-05-13,7.574583333333333,14.42,4.4
2022-05-14,10.786666666666667,35.79,7.04
2022-05-15,15.289166666666667,22.63,8.46
2022-05-16,11.21625,20.8,5.84
2022-05-17,5.767083333333333,7.57,4.23
2022-05-18,4.715416666666667,9.07,2.42
2022-05-19,4.125416666666667,5.15,2.8
2022-05-20,4.930416666666667,7.84,3.57
2022-05-21,7.989999999999999,14.67,4.3
2022-05-22,6.029166666666666,9.2,4.47
2022-05-23,5.5008333333333335,9.62,2.39
2022-05-24,2.8775,4.31,1.68
2022-05-25,6.4816666666666665,15.8,2.48
2022-05-26,5.935833333333334,8.26,4.26
2022-05-27,10.66375,20.48,3.81
2022-05-28,13.617083333333333,31.92,5.1
2022-05-29,6.418333333333333,12.01,3.52
2022-05-30,4.070416666666667,6.66,3.15
2022-05-31,4.837083333333333,7.51,3.24
2022-06-01,6.317916666666666,9.92,4.86
2022-06-02,9.03875,12.44,6.2
2022-06-03,9.215416666666666,11.11,7.83
2022-06-04,9.156666666666666,11.76,6.97
2022-06-05,10.260416666666666,12.51,5.04
2022-06-06,4.86875,6.57,2.45
2022-06-07,4.681666666666667,7.45,2.96
2022-06-08,11.462916666666667,22.11,4.7
2022-06-09,7.8808333333333325,13.17,6.63
2022-06-10,7.807916666666667,9.58,6.05
2022-06-11,9.054166666666667,11.74,6.95
2022-06-12,7.308333333333334,9.36,5.81
2022-06-13,6.692083333333333,11.68,4.21
2022-06-14,5.3,6.92,4.6
2022-06-15,11.304166666666667,15.97,6.24
2022-06-16,9.880416666666667,14.09,7.17
2022-06-17,11.185833333333333,15.02,8.5
2022-06-18,11.215833333333334,16.28,5.19
2022-06-19,5.787916666666667,7.82,4.6
2022-06-20,7.345416666666666,10.9,4.55
2022-06-21,7.391249999999999,9.17,6.05
2022-06-22,8.041666666666666,13.68,5.51
2022-06-23,9.816666666666666,13.91,5.24
2022-06-24,8.035833333333334,13.15,5.51
2022-06-25,5.870416666666666,9.08,3.88
2022-06-26,4.0874999999999995,6.04,3.73
2022-06-27,5.404583333333334,8.45,3.99
2022-06-28,5.33125,7.93,4.16
2022-06-29,7.2316666666666665,12.94,3.64
2022-06-30,5.7175,11.5,3.67
