Date,NO2_mean,NO2_max,NO2_min
2022-04-25,9.85,11.44,7.23
2022-04-27,18.621875,35.47,11.1
2022-04-28,23.011666666666667,33.21,8.53
2022-04-29,17.77125,24.74,12.9
2022-04-30,25.842083333333335,137.47,12.88
2022-05-01,17.740833333333335,24.5,8.62
2022-05-02,22.464583333333334,37.91,9.51
2022-05-03,27.764583333333334,41.79,15.68
2022-05-04,26.672916666666666,42.66,12.17
2022-05-05,25.263333333333335,49.39,16.16
2022-05-06,29.469583333333333,52.34,15.33
2022-05-07,14.887083333333335,23.23,10.71
2022-05-08,12.090833333333334,17.84,5.84
2022-05-09,26.327083333333334,54.18,13.18
2022-05-10,19.87666666666667,31.26,7.22
2022-05-11,17.690416666666668,34.25,6.45
2022-05-12,19.944166666666668,28.96,11.46
2022-05-13,14.948749999999999,22.08,8.0
2022-05-14,16.976666666666667,27.99,8.72
2022-05-15,33.79083333333333,49.2,21.26
2022-05-16,26.622500000000002,48.47,12.37
2022-05-17,25.00916666666667,47.93,14.36
2022-05-18,20.88375,31.24,8.65
2022-05-19,36.98416666666667,51.09,7.03
2022-05-20,24.121666666666666,43.21,8.95
2022-05-21,14.276666666666666,32.53,7.85
2022-05-22,19.81,32.38,8.05
2022-05-23,26.757499999999997,39.44,16.45
2022-05-24,19.14375,33.14,8.46
2022-05-25,15.617083333333333,26.77,8.82
2022-05-26,9.424999999999999,15.16,5.52
2022-05-27,8.140833333333333,12.53,4.99
2022-05-28,10.6425,15.07,5.84
2022-05-29,8.074583333333333,13.06,3.56
2022-05-30,16.749166666666667,24.04,10.5
2022-05-31,22.97583333333333,49.14,7.84
2022-06-01,21.50208333333333,44.55,10.76
2022-06-02,20.940833333333334,35.68,11.39
2022-06-03,13.61125,20.05,7.14
2022-06-04,17.7275,27.29,6.39
2022-06-05,14.9625,27.75,7.75
2022-06-06,20.787916666666668,28.68,6.91
2022-06-07,17.67833333333333,30.58,8.17
2022-06-08,28.476249999999997,37.17,6.78
2022-06-09,15.44375,26.09,9.11
2022-06-10,13.918750000000001,18.88,7.09
2022-06-11,19.9275,30.72,9.64
2022-06-12,14.37375,30.17,8.52
2022-06-13,25.114583333333332,45.34,14.86
2022-06-14,26.381249999999998,45.07,13.09
2022-06-15,47.36666666666667,72.89,15.42
2022-06-16,56.75666666666667,92.66,22.3
2022-06-17,59.68375,83.5,24.77
2022-06-18,28.154583333333335,91.01,15.17
2022-06-19,9.408333333333333,15.35,5.07
2022-06-20,11.414583333333333,21.29,5.25
2022-06-21,38.156666666666666,81.69,18.24
2022-06-22,20.018333333333334,66.97,10.04
2022-06-23,26.685000000000002,36.0,13.44
2022-06-24,21.930000000000003,29.73,6.24
2022-06-25,14.762916666666667,23.66,9.66
2022-06-26,11.226666666666667,24.6,5.51
2022-06-27,11.610416666666666,23.22,5.77
