Date,PM2.5_mean,PM2.5_max,PM2.5_min
2022-03-24,41.079166666666666,67.74,18.64
2022-03-25,34.45666666666667,62.46,12.46
2022-03-26,23.111666666666665,32.64,12.56
2022-03-27,11.62782608695652,16.66,8.17
2022-03-28,20.152916666666666,28.7,13.31
2022-03-29,22.91,28.64,10.66
2022-03-30,21.672083333333333,30.82,0.59
2022-03-31,7.01125,10.19,0.63
2022-04-01,5.442083333333334,8.84,3.53
2022-04-02,9.51,14.49,6.53
2022-04-03,8.677916666666667,13.99,5.46
2022-04-04,7.171666666666667,13.77,4.63
2022-04-05,9.366666666666667,15.77,4.48
2022-04-06,3.064166666666667,7.43,1.29
2022-04-07,7.57875,12.63,4.45
2022-04-08,8.464166666666667,12.48,6.18
2022-04-09,6.955416666666667,12.06,4.78
2022-04-10,8.069166666666666,14.06,5.84
2022-04-11,12.828333333333333,16.52,8.19
2022-04-12,14.4425,20.85,9.68
2022-04-13,12.095416666666667,16.76,9.19
2022-04-14,8.565,11.41,6.54
2022-04-15,14.48375,22.84,8.49
2022-04-16,20.685416666666665,33.62,1.68
2022-04-17,17.157500000000002,33.14,5.24
2022-04-18,10.249166666666666,18.75,6.41
2022-04-19,8.068333333333333,11.32,5.96
2022-04-20,12.94625,20.4,8.27
2022-04-21,13.018333333333333,22.77,7.43
2022-04-22,12.724166666666667,17.52,9.27
2022-04-23,17.95625,21.7,14.27
2022-04-24,13.917916666666665,20.29,8.71
2022-04-25,17.67684210526316,31.07,9.91
2022-04-26,10.380416666666667,16.0,6.29
2022-04-27,7.3879166666666665,13.93,4.86
2022-04-28,9.833333333333334,13.12,6.34
2022-04-29,10.335833333333333,14.15,7.78
2022-04-30,13.005,20.71,7.71
2022-05-01,12.485,16.62,8.14
2022-05-02,16.735416666666666,21.78,11.77
2022-05-03,15.128333333333332,18.41,12.0
2022-05-04,15.362916666666669,25.8,4.69
2022-05-05,9.260833333333332,14.23,6.31
2022-05-06,9.139166666666666,15.08,5.16
2022-05-07,5.770833333333333,10.7,3.78
2022-05-08,9.202916666666667,9.96,7.68
2022-05-09,12.494583333333333,15.81,8.61
2022-05-10,9.407083333333334,14.06,7.23
2022-05-11,11.449583333333335,21.46,8.09
2022-05-12,8.955416666666666,15.23,7.57
2022-05-13,9.003333333333332,15.56,4.39
2022-05-14,12.246250000000002,16.46,7.41
2022-05-15,15.992083333333333,24.05,6.93
2022-05-16,13.930416666666666,24.16,7.9
2022-05-17,8.665833333333333,11.18,7.54
2022-05-18,10.475833333333332,14.01,7.84
2022-05-19,8.88,12.28,7.83
2022-05-20,6.942916666666666,9.26,5.92
2022-05-21,8.854166666666666,17.18,6.43
2022-05-22,9.12875,14.68,6.78
2022-05-23,7.319583333333333,8.91,5.7
2022-05-24,6.449583333333333,11.72,4.31
2022-05-25,3.5820833333333333,6.93,2.13
2022-05-26,4.945,9.04,1.89
2022-05-27,9.232083333333334,14.78,1.73
2022-05-28,5.2437499999999995,9.76,3.37
2022-05-29,2.50875,4.58,0.91
2022-05-30,7.27,10.35,5.32
2022-05-31,8.137083333333333,11.48,6.4
2022-06-01,7.995416666666666,10.57,5.77
2022-06-02,10.935833333333333,16.62,7.28
2022-06-03,18.3825,37.95,8.04
2022-06-04,11.856666666666667,18.61,6.43
2022-06-05,10.770833333333334,19.73,8.92
2022-06-06,7.577916666666667,10.02,5.22
2022-06-07,6.858333333333333,9.28,4.8
2022-06-08,9.17625,15.67,5.82
2022-06-09,10.029166666666667,16.08,6.3
2022-06-10,12.161666666666667,14.75,8.64
2022-06-11,11.195,14.25,9.07
2022-06-12,6.509166666666666,11.03,5.14
2022-06-13,6.764166666666667,9.8,4.68
2022-06-14,8.06875,10.17,7.15
2022-06-15,13.480833333333335,17.87,9.47
2022-06-16,13.7525,19.32,10.2
2022-06-17,10.901666666666666,13.9,8.54
2022-06-18,9.896666666666667,17.35,6.23
2022-06-19,11.813333333333333,16.97,5.41
2022-06-20,6.824166666666667,11.38,5.31
2022-06-21,6.632916666666667,10.57,4.8
2022-06-22,8.472083333333334,14.48,5.98
2022-06-23,10.03125,16.77,4.24
2022-06-24,10.781666666666666,17.68,6.63
2022-06-25,9.415000000000001,19.27,6.74
2022-06-26,2.62625,10.25,1.17
2022-06-27,4.262083333333333,5.18,3.01
2022-06-28,6.35125,7.23,5.07
2022-06-29,6.081666666666667,7.17,5.48
2022-06-30,3.532083333333333,6.58,1.69
2022-07-01,4.136666666666667,7.24,3.02
2022-07-02,3.0187500000000003,3.79,2.28
2022-07-03,5.415416666666666,9.66,2.8
2022-07-04,5.9120833333333325,7.45,3.92
2022-07-05,1.2504166666666665,6.04,0.0
2022-07-06,6.297916666666667,9.12,0.46
2022-07-07,6.121666666666666,10.77,4.99
2022-07-08,9.185,12.4,7.36
2022-07-09,5.678333333333334,9.47,2.81
2022-07-10,7.300833333333333,11.32,6.1
2022-07-11,7.085416666666667,8.31,6.09
2022-07-12,8.895833333333334,12.87,7.39
2022-07-13,8.701666666666666,12.34,7.43
2022-07-14,6.800416666666667,11.58,5.22
2022-07-15,6.3066666666666675,8.58,5.3
2022-07-16,5.59625,8.63,4.55
2022-07-17,6.333333333333333,11.6,4.31
2022-07-18,11.450833333333334,15.64,9.0
2022-07-19,15.752083333333333,26.85,12.66
2022-07-20,14.818333333333333,24.76,10.0
2022-07-21,8.755416666666667,12.94,5.7
2022-07-22,6.302499999999999,9.15,4.98
2022-07-23,6.360416666666667,8.11,4.94
2022-07-24,4.81125,9.61,3.44
2022-07-25,5.671666666666667,7.65,3.28
2022-07-26,6.035,8.0,4.8
2022-07-27,6.480416666666667,10.64,4.91
2022-07-28,8.507083333333332,11.41,5.55
2022-07-29,7.692083333333334,12.4,5.98
2022-07-30,9.855833333333333,18.15,6.33
2022-07-31,7.56,9.79,6.31
2022-08-01,6.151666666666666,10.05,4.06
2022-08-02,7.239999999999999,10.45,4.48
2022-08-03,7.58125,9.0,6.09
2022-08-04,4.569166666666667,6.93,3.42
2022-08-05,3.9829166666666667,4.57,3.45
2022-08-06,8.904166666666667,11.83,4.31
2022-08-07,9.019166666666667,12.54,6.07
2022-08-08,6.859583333333333,9.17,4.69
2022-08-09,7.677916666666667,12.07,6.37
2022-08-10,6.7375,8.58,5.64
2022-08-11,10.460416666666667,25.36,5.93
2022-08-12,10.912083333333333,12.77,9.37
2022-08-13,11.117391304347825,13.27,9.79
2022-08-14,11.728333333333333,14.89,9.22
2022-08-15,13.205416666666666,18.83,10.11
2022-08-16,14.856666666666667,19.86,8.34
2022-08-17,13.500416666666666,25.36,0.0
2022-08-18,7.36625,11.36,0.01
2022-08-19,5.221666666666667,5.89,3.5
2022-08-20,7.666250000000001,10.53,5.14
2022-08-21,7.601666666666667,11.46,5.81
2022-08-22,7.492083333333333,9.02,6.0
2022-08-23,7.034166666666667,9.04,5.79
2022-08-24,5.933333333333334,7.36,4.65
2022-08-25,8.72125,12.98,5.95
2022-08-26,11.294166666666667,14.09,9.27
2022-08-27,9.080416666666666,12.82,6.62
2022-08-28,6.463333333333334,7.72,5.87
2022-08-29,3.9441666666666664,7.02,3.28
2022-08-30,4.723333333333334,6.12,4.01
2022-08-31,4.0616666666666665,4.95,3.14
2022-09-01,7.547499999999999,12.03,4.32
2022-09-02,12.720416666666667,21.66,8.98
2022-09-03,15.27875,25.87,8.07
2022-09-04,9.955833333333333,16.25,7.59
2022-09-05,5.25375,7.95,3.56
2022-09-06,6.925833333333333,8.96,5.74
2022-09-07,6.327083333333333,8.64,4.73
2022-09-08,5.7525,12.51,0.69
2022-09-09,8.507916666666667,12.45,5.87
2022-09-10,10.17,14.01,7.48
2022-09-11,10.659166666666666,14.39,7.55
2022-09-12,10.18625,13.07,8.38
2022-09-13,7.646249999999999,13.81,5.53
2022-09-14,6.57,9.23,5.44
2022-09-15,7.714166666666666,11.41,6.41
2022-09-16,4.707083333333333,7.89,2.75
2022-09-17,5.73875,11.22,4.0
2022-09-18,5.172916666666667,7.84,3.39
2022-09-19,3.4095833333333334,6.08,2.31
2022-09-20,6.132083333333333,10.68,4.33
2022-09-21,10.827083333333334,15.88,6.98
2022-09-22,10.980833333333335,18.52,7.8
2022-09-23,10.0,13.58,7.45
