Date,NO2_mean,NO2_max,NO2_min
2023-01-21,28.825,31.65,26.0
2023-01-22,62.959583333333335,102.32,45.12
2023-01-23,74.95666666666666,102.44,57.65
2023-01-24,41.025,66.82,25.58
2023-01-25,48.565416666666664,58.05,21.66
2023-01-26,31.241666666666664,42.98,13.15
2023-01-27,33.312916666666666,58.32,11.21
2023-01-28,45.40958333333333,65.86,21.04
2023-01-29,26.075,44.0,15.78
2023-01-30,40.483333333333334,74.09,12.99
2023-01-31,29.345,47.0,16.25
2023-02-01,37.53875,58.47,11.55
2023-02-02,28.35666666666667,47.36,9.67
2023-02-03,37.85875,59.99,8.98
2023-02-04,35.445,48.26,21.64
2023-02-05,36.17625,69.73,8.71
2023-02-06,60.5525,72.62,44.52
2023-02-07,70.83791666666666,87.83,56.31
2023-02-08,52.905,63.75,39.01
2023-02-09,49.39541666666667,75.79,30.12
2023-02-10,44.718333333333334,71.03,23.17
2023-02-11,37.15083333333333,46.48,20.93
2023-02-12,36.9325,51.38,23.4
2023-02-13,38.553333333333335,60.61,9.59
2023-02-14,65.28916666666667,91.45,43.7
2023-02-15,41.950833333333335,59.81,21.87
2023-02-16,42.862500000000004,63.38,15.14
2023-02-17,25.78708333333333,44.06,7.82
2023-02-18,27.8575,39.03,7.37
2023-02-19,24.778333333333332,39.99,11.02
2023-02-20,28.275000000000002,45.74,6.61
2023-02-21,37.93083333333333,55.79,11.09
2023-02-22,54.83416666666667,73.88,27.11
2023-02-23,30.375,53.19,10.75
2023-02-24,46.852916666666665,72.17,22.42
2023-02-25,21.400000000000002,32.96,9.88
2023-02-26,19.555416666666666,36.46,8.98
2023-02-27,33.40916666666667,60.22,19.73
2023-02-28,40.569583333333334,63.95,22.68
2023-03-01,32.81666666666667,47.92,10.9
2023-03-02,23.80333333333333,40.31,12.8
2023-03-03,41.514583333333334,68.59,13.75
2023-03-04,25.532083333333333,39.57,7.65
2023-03-05,33.6575,62.65,17.9
2023-03-06,37.2725,63.55,20.12
2023-03-07,60.85,92.93,15.1
2023-03-08,53.029583333333335,64.98,28.74
2023-03-09,55.67416666666667,83.91,18.41
2023-03-10,46.78333333333333,89.43,17.33
2023-03-11,58.5625,86.05,25.74
2023-03-12,20.660833333333333,40.47,10.06
2023-03-13,11.075416666666667,15.13,2.24
2023-03-14,25.7825,39.97,7.86
2023-03-15,42.053333333333335,65.07,14.54
2023-03-16,29.02416666666667,50.64,9.16
2023-03-17,31.091250000000002,50.3,14.19
2023-03-18,35.461666666666666,62.75,16.11
2023-03-19,30.662499999999998,54.98,11.57
2023-03-20,40.73708333333334,56.06,11.31
2023-03-21,22.0,35.22,6.65
2023-03-22,20.74625,35.28,2.69
2023-03-23,23.374583333333334,40.98,4.82
2023-03-24,17.768333333333334,33.11,5.03
2023-03-25,26.94333333333333,54.78,4.35
2023-03-26,23.189565217391305,35.5,13.14
2023-03-27,29.77208333333333,56.22,6.95
2023-03-28,24.13173913043478,41.02,9.64
2023-03-29,35.487826086956524,57.01,17.87
2023-03-30,26.28833333333333,37.56,8.81
2023-03-31,45.72416666666666,84.72,8.27
2023-04-01,27.02,44.9,8.15
2023-04-02,18.533333333333335,32.98,6.87
2023-04-03,38.75,60.09,14.19
2023-04-04,45.95083333333333,64.45,27.78
2023-04-05,40.57791666666667,66.85,22.75
2023-04-06,33.805416666666666,54.96,14.07
2023-04-07,25.4525,46.15,16.58
2023-04-08,21.37375,40.58,9.31
2023-04-09,28.31041666666667,39.69,14.39
2023-04-10,43.036249999999995,58.4,20.22
2023-04-11,26.55666666666667,48.91,11.74
2023-04-12,26.72666666666667,45.39,5.35
2023-04-13,25.299583333333334,39.7,4.49
2023-04-14,33.010416666666664,48.44,14.9
2023-04-15,35.58,76.6,7.86
2023-04-16,61.98583333333334,86.1,34.84
2023-04-17,30.062083333333334,70.59,17.83
2023-04-18,31.001666666666665,52.14,9.7
2023-04-19,28.5625,40.07,11.01
2023-04-20,22.842916666666667,32.49,8.83
2023-04-21,41.27375,72.0,9.94
2023-04-22,38.67916666666667,76.33,20.52
2023-04-23,45.14416666666667,83.41,9.14
2023-04-24,27.915000000000003,43.51,13.64
2023-04-25,31.29041666666667,55.63,10.35
2023-04-26,31.74875,54.65,16.01
2023-04-27,30.097083333333334,42.72,15.62
2023-04-28,21.422083333333333,39.95,10.46
2023-04-29,38.08833333333333,69.68,14.29
2023-04-30,20.58375,46.69,10.94
2023-05-01,23.958333333333332,40.56,12.58
2023-05-02,13.042499999999999,27.33,7.09
2023-05-03,17.707083333333333,30.24,11.68
2023-05-04,37.13375,66.81,9.43
2023-05-05,25.820416666666663,41.5,8.66
2023-05-06,20.741666666666667,41.67,11.57
2023-05-07,17.856666666666666,40.82,6.34
2023-05-08,34.869166666666665,50.4,14.98
2023-05-09,28.67833333333333,59.35,8.8
2023-05-10,29.67833333333333,47.99,16.34
2023-05-11,29.071250000000003,44.45,11.46
2023-05-12,16.302083333333332,33.55,8.07
2023-05-13,16.27208333333333,27.07,4.41
2023-05-14,19.109166666666667,35.83,6.65
2023-05-15,30.2625,51.47,6.8
2023-05-16,24.104583333333334,59.83,16.77
2023-05-17,25.28,34.68,15.21
2023-05-18,28.976666666666663,43.55,17.55
2023-05-19,23.579166666666666,48.55,13.19
2023-05-20,19.807083333333335,30.07,9.23
2023-05-21,9.46375,20.26,5.62
2023-05-22,15.139166666666666,27.2,5.31
2023-05-23,17.365416666666665,31.31,6.51
2023-05-24,22.946250000000003,33.44,12.33
2023-05-25,16.05,26.08,10.82
2023-05-26,9.481818181818182,13.13,6.5
2023-05-27,15.875416666666666,26.21,9.91
2023-05-28,11.70875,22.83,5.27
2023-05-29,4.551666666666667,5.9,3.27
2023-05-30,11.823749999999999,16.62,4.37
2023-05-31,30.148750000000003,51.29,4.28
2023-06-01,3.9454166666666666,6.54,1.99
2023-06-02,4.071666666666666,5.9,1.92
2023-06-03,18.135833333333334,31.58,6.51
2023-06-04,11.483333333333334,24.59,6.97
2023-06-05,8.889999999999999,12.68,3.24
2023-06-06,7.519583333333333,10.43,3.17
2023-06-07,12.03375,18.34,3.57
2023-06-08,14.047083333333333,21.37,4.52
2023-06-09,13.870833333333332,20.83,7.61
2023-06-10,31.12875,52.9,12.87
2023-06-11,15.906666666666666,48.0,11.84
2023-06-12,41.64625,60.72,13.85
2023-06-13,15.85875,25.07,10.78
2023-06-14,13.225833333333334,18.75,8.54
2023-06-15,17.192916666666665,23.14,12.23
2023-06-16,20.645,30.93,11.71
2023-06-17,40.84875,61.7,23.74
2023-06-18,25.39625,57.89,12.47
2023-06-19,17.055416666666666,23.8,12.71
2023-06-20,22.933333333333334,39.18,11.61
2023-06-21,15.434583333333334,24.38,6.52
2023-06-22,23.714583333333334,34.3,11.82
2023-06-23,26.77541666666667,43.08,13.21
2023-06-24,17.680416666666666,25.86,9.66
