Date,NO2_mean,NO2_max,NO2_min
2022-03-18,12.80642857142857,26.85,0.0
2022-03-19,17.195,22.87,14.65
2022-03-20,32.878750000000004,64.77,13.47
2022-03-21,30.08125,48.25,0.0
2022-03-22,30.505416666666665,65.33,0.0
2022-03-23,84.85375,128.87,26.15
2022-03-24,69.35458333333334,106.25,26.03
2022-03-25,38.89541666666667,60.21,18.72
2022-03-26,33.24875,50.02,13.67
2022-03-27,23.863478260869567,37.28,14.61
2022-03-28,42.123333333333335,50.66,26.54
2022-03-29,25.989583333333332,39.57,16.64
2022-03-30,20.527083333333334,27.43,8.86
2022-03-31,14.687083333333334,24.06,6.9
2022-04-01,15.241666666666667,30.02,7.96
2022-04-02,30.53708333333333,62.65,11.4
2022-04-03,31.36916666666667,64.1,9.79
2022-04-04,22.7925,32.15,10.06
2022-04-05,21.949583333333333,33.27,12.92
2022-04-06,16.691666666666666,26.24,5.55
2022-04-07,11.970833333333333,24.77,5.01
2022-04-08,32.67791666666667,61.11,13.79
2022-04-09,29.410833333333333,47.62,9.31
2022-04-10,22.552916666666665,42.13,7.59
2022-04-11,33.694583333333334,55.37,16.95
2022-04-12,29.597916666666666,52.72,14.51
2022-04-13,23.63083333333333,45.58,13.03
2022-04-14,31.576249999999998,43.15,15.23
2022-04-15,25.834166666666665,43.59,12.11
2022-04-16,30.91208333333333,45.04,17.1
2022-04-17,29.854583333333334,48.61,9.87
2022-04-18,21.809166666666666,42.01,12.02
2022-04-19,45.46458333333334,68.62,21.29
2022-04-20,20.424583333333334,56.45,11.9
2022-04-21,24.39708333333333,41.76,12.89
2022-04-22,18.138333333333332,25.08,10.12
2022-04-23,12.754166666666668,16.32,9.09
2022-04-24,10.437916666666666,12.82,7.99
2022-04-25,16.96578947368421,37.09,7.84
2022-04-26,19.83791666666667,38.42,9.19
2022-04-27,23.566666666666666,31.5,14.14
2022-04-28,16.625833333333333,24.5,7.71
2022-04-29,16.377083333333335,24.15,11.79
2022-04-30,19.76625,31.61,11.01
2022-05-01,19.14125,30.24,8.85
2022-05-02,19.32875,38.87,8.8
2022-05-03,22.547916666666666,38.91,15.23
2022-05-04,24.394166666666667,40.5,12.17
2022-05-05,24.731666666666666,53.86,11.86
2022-05-06,37.50333333333334,66.91,13.96
2022-05-07,16.765416666666667,30.97,9.43
2022-05-08,11.57625,19.09,6.65
2022-05-09,24.75125,52.67,12.66
2022-05-10,20.520416666666666,35.55,7.39
2022-05-11,18.497083333333332,35.07,6.19
2022-05-12,21.66333333333333,32.51,8.61
2022-05-13,17.587083333333332,24.27,7.4
2022-05-14,23.072916666666668,35.26,8.89
2022-05-15,33.724583333333335,43.74,22.42
2022-05-16,27.32875,49.59,9.86
2022-05-17,25.262083333333333,51.46,10.13
2022-05-18,18.4525,28.64,9.36
2022-05-19,26.820000000000004,45.8,7.33
2022-05-20,22.452916666666667,40.78,9.21
2022-05-21,13.870833333333332,35.52,6.94
2022-05-22,22.82041666666667,35.05,8.19
2022-05-23,24.842916666666667,37.82,10.41
2022-05-24,19.82875,33.54,11.12
2022-05-25,21.485,29.77,11.17
2022-05-26,11.58,23.98,6.01
2022-05-27,8.56125,13.89,5.14
2022-05-28,8.519166666666667,12.52,6.01
2022-05-29,7.1816666666666675,13.36,3.69
2022-05-30,20.402083333333334,27.67,11.32
2022-05-31,26.783749999999998,55.01,9.27
2022-06-01,30.53125,48.72,13.55
2022-06-02,27.34958333333333,47.8,10.63
2022-06-03,14.852083333333333,28.38,7.25
2022-06-04,11.113333333333335,18.31,5.42
2022-06-05,11.218333333333334,27.06,6.73
2022-06-06,18.93583333333333,33.93,9.84
2022-06-07,21.059166666666666,35.97,9.82
2022-06-08,20.01625,35.87,6.51
2022-06-09,24.407083333333333,37.21,10.13
2022-06-10,23.21375,36.42,8.89
2022-06-11,23.017916666666665,36.26,8.79
2022-06-12,13.955833333333333,34.14,7.36
2022-06-13,30.910416666666666,61.65,9.21
2022-06-14,39.27583333333333,65.33,12.02
2022-06-15,53.53375,83.17,18.75
2022-06-16,49.11666666666667,87.5,11.47
2022-06-17,51.037083333333335,83.55,12.03
2022-06-18,27.942916666666665,94.12,12.48
2022-06-19,9.212083333333334,17.64,5.03
2022-06-20,22.695833333333336,40.33,8.46
2022-06-21,59.7225,113.65,17.84
2022-06-22,21.522916666666664,112.0,9.23
2022-06-23,28.609166666666667,41.01,14.75
2022-06-24,20.512916666666666,32.01,8.61
2022-06-25,19.4575,35.61,6.68
2022-06-26,15.081666666666665,37.57,5.5
2022-06-27,13.096666666666666,25.62,5.94
2022-06-28,23.12291666666667,40.16,7.35
2022-06-29,19.82,33.02,7.32
2022-06-30,24.848333333333333,38.61,11.72
2022-07-01,22.249166666666667,35.26,9.86
2022-07-02,7.979583333333333,26.52,4.23
2022-07-03,15.96125,28.91,6.41
2022-07-04,25.052916666666665,45.99,9.68
2022-07-05,16.465416666666666,31.77,7.6
2022-07-06,26.5525,42.95,8.88
2022-07-07,30.881666666666664,64.75,6.08
2022-07-08,37.895833333333336,64.27,9.69
2022-07-09,15.313333333333333,48.28,6.09
2022-07-10,26.87125,38.3,9.55
2022-07-11,29.711250000000003,52.46,10.92
2022-07-12,38.517916666666665,68.58,16.41
2022-07-13,26.44875,51.17,11.66
2022-07-14,18.13375,34.05,7.56
2022-07-15,19.56,27.52,9.69
2022-07-16,21.52333333333333,30.96,9.91
2022-07-17,26.65833333333333,33.71,12.95
2022-07-18,42.94416666666667,79.24,13.3
2022-07-19,38.35041666666667,74.15,9.52
2022-07-20,19.24416666666667,35.0,7.78
2022-07-21,15.551250000000001,28.94,8.75
2022-07-22,13.619583333333333,19.51,8.0
2022-07-23,7.42625,16.36,5.46
2022-07-24,6.40375,9.52,3.49
2022-07-25,6.7562500000000005,9.75,2.92
2022-07-26,16.747916666666665,23.82,3.99
2022-07-27,20.617083333333333,40.59,8.01
2022-07-28,20.54,34.95,11.48
2022-07-29,25.069999999999997,40.55,8.96
2022-07-30,17.35875,29.73,8.02
2022-07-31,13.248333333333333,19.49,6.91
2022-08-01,25.958333333333332,33.86,13.39
