Date,PM2.5_mean,PM2.5_max,PM2.5_min
2022-03-18,12.557857142857143,16.35,9.72
2022-03-19,15.015833333333333,19.07,9.45
2022-03-20,16.494583333333335,28.13,4.83
2022-03-21,29.729166666666668,44.25,20.63
2022-03-22,35.0225,51.89,17.87
2022-03-23,38.63833333333333,58.01,17.86
2022-03-24,40.257083333333334,62.08,18.53
2022-03-25,36.26416666666667,67.96,13.81
2022-03-26,23.391666666666666,29.64,13.47
2022-03-27,11.742173913043478,15.67,8.39
2022-03-28,18.888333333333332,28.11,12.3
2022-03-29,21.812083333333334,26.95,10.78
2022-03-30,20.927916666666665,29.29,1.52
2022-03-31,7.1125,11.17,0.32
2022-04-01,6.015833333333333,9.76,3.55
2022-04-02,10.500833333333334,15.77,7.5
2022-04-03,8.742916666666666,12.49,5.74
2022-04-04,6.9316666666666675,13.94,4.23
2022-04-05,8.910833333333334,15.66,4.34
2022-04-06,2.3325,6.16,0.94
2022-04-07,7.02,12.03,4.0
2022-04-08,8.957916666666668,15.56,6.34
2022-04-09,6.94125,11.98,4.69
2022-04-10,8.477500000000001,13.3,5.86
2022-04-11,12.6,18.7,8.09
2022-04-12,13.860416666666666,19.72,9.83
2022-04-13,11.859583333333333,15.6,9.04
2022-04-14,8.33,11.41,6.41
2022-04-15,14.681666666666667,23.16,8.19
2022-04-16,19.491666666666667,30.75,3.87
2022-04-17,16.175,30.38,5.31
2022-04-18,9.885833333333332,17.72,6.36
2022-04-19,8.053749999999999,10.73,5.83
2022-04-20,13.00875,19.55,9.21
2022-04-21,13.08375,21.02,7.56
2022-04-22,12.625833333333333,16.89,9.53
2022-04-23,17.392916666666668,21.43,13.86
2022-04-24,13.859166666666667,18.79,9.23
2022-04-25,17.080526315789474,27.48,9.82
2022-04-26,9.979166666666666,14.87,6.62
2022-04-27,7.3075,12.63,4.4
2022-04-28,10.0175,16.18,5.59
2022-04-29,10.406666666666666,13.18,7.84
2022-04-30,12.7475,17.31,7.81
2022-05-01,12.07625,15.4,7.82
2022-05-02,15.464583333333332,20.77,11.42
2022-05-03,14.56875,17.43,11.99
2022-05-04,14.530000000000001,25.64,4.48
2022-05-05,8.90375,15.13,6.23
2022-05-06,8.706249999999999,14.6,5.03
2022-05-07,6.3812500000000005,10.18,4.05
2022-05-08,9.05875,9.81,7.95
2022-05-09,11.980833333333335,14.77,9.21
2022-05-10,9.199166666666667,13.11,7.14
2022-05-11,10.03,17.81,7.6
2022-05-12,8.719166666666666,14.66,7.48
2022-05-13,7.9775,13.94,3.45
2022-05-14,12.386249999999999,19.52,8.88
2022-05-15,15.2725,24.07,6.78
2022-05-16,13.110833333333334,22.63,7.63
2022-05-17,8.655833333333334,10.68,7.55
2022-05-18,11.254583333333334,22.84,6.4
2022-05-19,8.580416666666666,11.7,7.69
2022-05-20,6.849166666666666,9.13,5.76
2022-05-21,8.463333333333333,14.72,6.43
2022-05-22,8.91125,15.03,6.61
2022-05-23,6.92625,8.74,5.22
2022-05-24,5.765000000000001,11.5,3.77
2022-05-25,2.6991666666666667,6.0,1.05
2022-05-26,4.117916666666667,7.58,1.67
2022-05-27,8.727083333333333,13.4,1.71
2022-05-28,6.571666666666666,19.29,3.1
2022-05-29,3.2225,8.24,0.61
2022-05-30,6.95625,9.59,2.83
2022-05-31,7.822500000000001,10.38,6.41
2022-06-01,8.0325,10.85,5.54
2022-06-02,10.96875,18.83,7.8
2022-06-03,17.517083333333336,33.22,10.16
2022-06-04,12.19,19.51,5.64
2022-06-05,10.457083333333333,17.64,8.38
2022-06-06,7.105416666666667,9.45,5.06
2022-06-07,6.550416666666667,9.27,4.66
2022-06-08,7.46625,12.92,4.28
2022-06-09,9.245416666666667,14.47,5.75
2022-06-10,12.437083333333334,14.91,9.25
2022-06-11,10.905833333333334,13.75,9.04
2022-06-12,6.328333333333333,10.75,4.99
2022-06-13,6.62875,16.76,4.28
2022-06-14,7.84875,9.88,6.7
2022-06-15,13.429583333333333,17.01,8.78
2022-06-16,13.20875,18.64,10.24
2022-06-17,10.641666666666667,14.09,8.21
2022-06-18,9.469166666666666,15.81,5.68
2022-06-19,12.492083333333333,27.35,5.3
2022-06-20,7.140416666666667,12.65,5.06
2022-06-21,7.046666666666667,9.91,4.73
2022-06-22,8.94875,13.44,6.32
2022-06-23,9.391666666666667,14.87,3.43
2022-06-24,10.834166666666667,17.04,6.11
2022-06-25,9.874583333333334,17.1,7.24
2022-06-26,2.2104166666666667,9.06,0.67
2022-06-27,4.043333333333334,4.82,2.33
2022-06-28,6.369583333333334,8.83,5.06
2022-06-29,5.831666666666667,6.57,5.24
2022-06-30,3.14625,6.69,0.87
2022-07-01,3.5241666666666664,8.72,1.66
2022-07-02,2.8074999999999997,3.41,2.23
2022-07-03,4.7175,11.65,2.78
2022-07-04,5.304583333333333,6.77,3.74
2022-07-05,0.7108333333333333,5.24,0.0
2022-07-06,5.853750000000001,8.8,0.46
2022-07-07,6.27875,13.28,4.67
2022-07-08,9.084999999999999,11.83,7.25
2022-07-09,6.807916666666666,16.63,2.51
